A23C1/00	7	Concentration, evaporation or drying (products obtained thereby A23C9/00)	A23C1/00	A23C1/00		219
A23C1/01	8	Drying in thin layers	A23C1/01	A23C1/01		51
A23C1/03	9	on drums or rollers	A23C1/03	A23C1/03		168
A23C1/04	8	by spraying into a gas stream	A23C1/04	A23C1/04		463
A23C1/045	9	{by simultaneously or separately spraying of two different liquid products other than water or steam; by separate addition of additives other than milk products or lactose in the spray-dryer}	A23C1/04	A23C1/04		45
A23C1/05	9	combined with agglomeration {granulation or coating}	A23C1/05	A23C1/05		57
A23C1/06	8	Concentration by freezing out the water	A23C1/06	A23C1/06		85
A23C1/08	9	Freeze-drying	A23C1/08	A23C1/08		186
A23C1/10	8	Foam drying (A23C1/04, A23C1/08 take precedence)	A23C1/10	A23C1/10		17
A23C1/12	8	Concentration by evaporation	A23C1/12	A23C1/12		407
A23C1/14	8	combined with other treatment	A23C1/14	A23C1/14		97
A23C1/16	9	using additives	A23C1/16	A23C1/16		114
A23C7/00	7	Other dairy technology (preservation of milk or dairy products A23B11/00)<br><br><u>WARNING</u><br>Group A23C7/00 is impacted by reclassification into group A23B11/00. <br>Groups A23C7/00 and A23B11/00 should be considered in order to perform a complete search.	A23C7/00	A23C7/00		201
A23C7/02	8	Chemical cleaning of dairy apparatus; Use of sterilisation methods therefor	A23C7/02	A23C7/02		200
A23C7/04	8	Removing unwanted substances {other than lactose or milk proteins} from milk	A23C7/04	A23C7/04		489
A23C7/043	9	{using chemicals in liquid or solid state, e.g. flocculating, adsorbing or extracting agents (A23C9/146 and A23C9/148 take precedence)}	A23C7/04	A23C7/04		145
A23C7/046	9	{by centrifugation without using chemicals, e.g. bactofugation; re-use of bactofugate}	A23C7/04	A23C7/04		159
A23C9/00	7	Milk preparations; Milk powder or milk powder preparations (mixtures of whey with milk products or milk components A23C21/06; preservation of milk or milk preparations A23B11/10)<br><br><u>WARNING</u><br>Group A23C9/00 is impacted by reclassification into group A23B11/10. <br>Groups A23C9/00 and A23B11/10 should be considered in order to perform a complete search.	A23C9/00	A23C9/00		346
A23C9/005	8	{Condensed milk; Sugared condensed milk (A23C1/06 and A23C1/12 take precedence)}	A23C9/00	A23C9/00		209
A23C9/12	8	Fermented milk preparations; Treatment using microorganisms or enzymes	A23C9/12	A23C9/12		520
A23C9/1203	9	{Addition of, or treatment with, enzymes or microorganisms other than lactobacteriaceae}	A23C9/12	A23C9/12		338
A23C9/1206	10	{Lactose hydrolysing enzymes, e.g. lactase, beta-galactosidase}	A23C9/12	A23C9/12		515
A23C9/1209	10	{Proteolytic or milk coagulating enzymes, e.g. trypsine}	A23C9/12	A23C9/12		231
A23C9/1213	10	{Oxidation or reduction enzymes, e.g. peroxidase, catalase, dehydrogenase}	A23C9/12	A23C9/12		70
A23C9/1216	10	{Other enzymes}	A23C9/12	A23C9/12		263
A23C9/122	9	{Apparatus for preparing or treating fermented milk products}	A23C9/12	A23C9/12		177
A23C9/1223	10	{for making stirred yoghurt; Apparatus with agitating or stirring means; Continuous bulk fermentation, heating or cooling, i.e. continuous inlet and outlet flow of yoghurt}	A23C9/12	A23C9/12		232
