A61J1/00	7	Containers specially adapted for medical or pharmaceutical purposes (capsules or the like for oral use A61J3/07; specially adapted for surgical or diagnostic appliances or instruments A61B50/30; containers for radioactive substances G21F5/00)	A61J1/00	A61J1/00		2163
A61J1/03	8	for pills or tablets (containers for pills or tablets with special dispensing means therefor B65D83/04)	A61J1/03	A61J1/03		2459
A61J1/035	9	{Blister-type containers (blisters in general B65D75/36)}	A61J1/03	A61J1/03		1516
A61J1/05	8	for collecting, storing or administering blood, plasma or medical fluids {(multiple bags systems for separating or storing blood components A61M1/0209); Infusion or perfusion containers}	A61J1/05	A61J1/05		1921
A61J1/06	9	Ampoules or carpules (syringe ampoules or carpules A61M5/28)	A61J1/06	A61J1/06		511
A61J1/062	10	{Carpules}	A61J1/06	A61J1/06		326
A61J1/065	10	{Rigid ampoules, e.g. glass ampoules}	A61J1/06	A61J1/06		849
A61J1/067	10	{Flexible ampoules, the contents of which are expelled by squeezing}	A61J1/06	A61J1/06		576
A61J1/10	9	Bag-type containers<br><br><u>WARNING</u><br>Group A61J1/10 is incomplete pending reclassification of documents from group A01N1/146. <br>Group A61J1/10 is also impacted by reclassification into groups C12N5/54 - C12N5/548.<br>Groups A01N1/146, A61J1/10 and C12N5/54 - C12N5/548 should be considered in order to perform a complete search.	A61J1/10	A61J1/10		3433
A61J1/12	10	with means for holding samples of contents<br><br><u>WARNING</u><br>Group A61J1/12 is impacted by reclassification into groups C12N5/54 - C12N5/548.<br>Groups A61J1/12 and C12N5/54 - C12N5/548 should be considered in order to perform a complete search.	A61J1/12	A61J1/12		206
A61J1/14	8	Details; Accessories therefor (A61J7/00 takes precedence; openers B65D, B67B7/00)	A61J1/14	A61J1/14		1214
A61J1/1406	9	{Septums, pierceable membranes}	A61J1/14	A61J1/14		1229
A61J1/1412	9	{Containers with closing means, e.g. caps}	A61J1/14	A61J1/14		1111
A61J1/1418	10	{Threaded type}	A61J1/14	A61J1/14		494
A61J1/1425	10	{Snap-fit type}	A61J1/14	A61J1/14		389
A61J1/1431	10	{Permanent type, e.g. welded or glued}	A61J1/14	A61J1/14		173
A61J1/1437	9	{Locking means requiring key or combination to open the container}	A61J1/14	A61J1/14		176
A61J1/1443	9	{Containers with means for dispensing liquid medicaments in a filtered or sterile way, e.g. with bacterial filters}	A61J1/14	A61J1/14		196
A61J1/145	10	{using air filters}	A61J1/14	A61J1/14		179
A61J1/1456	10	{using liquid filters}	A61J1/14	A61J1/14		136
A61J1/1462	9	{Containers with provisions for hanging, e.g. integral adaptations of the container (accessories for hanging the container A61M5/1414)}	A61J1/14	A61J1/14		404
A61J1/1468	9	{Containers characterised by specific material properties}	A61J1/14	A61J1/14		1033
A61J1/1475	9	{Inlet or outlet ports}	A61J1/14	A61J1/14		1226
A61J1/1481	10	{with connection retaining means, e.g. thread or snap-fit}	A61J1/14	A61J1/14		306
A61J1/1487	10	{with friction fit, e.g. connecting tubes directly to a protruding port}	A61J1/14	A61J1/14		232
A61J1/1493	9	{Containers with shape retaining means, e.g. to support the structure of the container during emptying or filling}	A61J1/14	A61J1/14		74
A61J1/16	9	Holders for containers<br><br><u>WARNING</u><br>Group A61J1/16 is impacted by reclassification into groups C12N5/54 - C12N5/548.<br>Groups A61J1/16 and C12N5/54 - C12N5/548 should be considered in order to perform a complete search.	A61J1/16	A61J1/16		1265
A61J1/165	10	{Cooled holders, e.g. for medications, insulin, blood or plasma}<br><br><u>WARNING</u><br>Group A61J1/165 is impacted by reclassification into groups C12N5/54 - C12N5/548.<br>Groups A61J1/165 and C12N5/54 - C12N5/548 should be considered in order to perform a complete search.	A61J1/16	A61J1/16		408
A61J1/18	9	Arrangements for indicating condition of container contents, e.g. sterile condition	A61J1/18	A61J1/18		454
A61J1/20	9	Arrangements for transferring {or mixing} fluids, e.g. from vial to syringe	A61J1/20	A61J1/20		1065
A61J1/2003	10	{Accessories used in combination with means for transfer or mixing of fluids, e.g. for activating fluid flow, separating fluids, filtering fluid or venting}	A61J1/20	A61J1/20		762
A61J1/2006	11	{Piercing means}	A61J1/20	A61J1/20		191
A61J1/201	12	{having one piercing end}	A61J1/20	A61J1/20		2109
