B06B1/00	7	Methods or apparatus for generating mechanical vibrations of infrasonic, sonic, or ultrasonic frequency	B06B1/00	B06B1/00		356
B06B1/02	8	making use of electrical energy (B06B1/18, B06B1/20 take precedence)	B06B1/02	B06B1/02		916
B06B1/0207	9	{Driving circuits (specially adapted for particular applications, see the relevant subclass, e.g. G01; circuits for steering transducer arrays G10K11/34; basic circuits H03)}	B06B1/02	B06B1/02		740
B06B1/0215	10	{for generating pulses, e.g. bursts of oscillations, envelopes}	B06B1/02	B06B1/02		785
B06B1/0223	10	{for generating signals continuous in time}	B06B1/02	B06B1/02		182
B06B1/023	11	{and stepped in amplitude, e.g. square wave, 2-level signal}	B06B1/02	B06B1/02		91
B06B1/0238	11	{of a single frequency, e.g. a sine-wave}	B06B1/02	B06B1/02		141
B06B1/0246	12	{with a feedback signal}	B06B1/02	B06B1/02		130
B06B1/0253	13	{taken directly from the generator circuit}	B06B1/02	B06B1/02		314
B06B1/0261	13	{taken from a transducer or electrode connected to the driving transducer}	B06B1/02	B06B1/02		261
B06B1/0269	11	{for generating multiple frequencies}	B06B1/02	B06B1/02		180
B06B1/0276	12	{with simultaneous generation, e.g. with modulation, harmonics}	B06B1/02	B06B1/02		195
B06B1/0284	12	{with consecutive, i.e. sequential generation, e.g. with frequency sweep}	B06B1/02	B06B1/02		160
B06B1/0292	9	{Electrostatic transducers, e.g. electret-type}	B06B1/02	B06B1/02		1021
B06B1/04	9	operating with electromagnetism (dynamo-electric motors with vibrating magnet, armature or coil system H02K33/00)	B06B1/04	B06B1/04		917
B06B1/045	10	{using vibrating magnet, armature or coil system}	B06B1/04	B06B1/04		1505
B06B1/06	9	operating with piezoelectric effect or with electrostriction (piezoelectric or electrostrictive devices per seH10N30/00)	B06B1/06	B06B1/06		2183
B06B1/0603	10	{using a piezoelectric bender, e.g. bimorph}	B06B1/06	B06B1/06		501
B06B1/0607	10	{using multiple elements (B06B1/064 and B06B1/0688 take precedence)}	B06B1/06	B06B1/06		560
