B07C1/00	7	Measures preceding sorting according to destination	B07C1/00	B07C1/00		463
B07C1/02	8	Forming articles into a stream; Arranging articles in a stream, e.g. spacing, orientating {(transport of sheets B65H)}	B07C1/02	B07C1/02		332
B07C1/025	9	{Devices for the temporary stacking of objects provided with a stacking and destacking device (interstack device)}	B07C1/02	B07C1/02		271
B07C1/04	9	Forming a stream from a bulk; Controlling the stream, e.g. spacing the articles	B07C1/04	B07C1/04		352
B07C1/06	9	Orientating; Aligning {; Aligning to one edge}	B07C1/06	B07C1/06		116
B07C1/10	8	Sorting according to size or flexibility	B07C1/10	B07C1/10		113
B07C1/12	9	Separating letters from parcels	B07C1/12	B07C1/12		21
B07C1/14	9	Sorting according to length or width	B07C1/14	B07C1/14		61
B07C1/16	9	Sorting according to thickness or stiffness	B07C1/16	B07C1/16		77
B07C1/18	8	Orientating articles other than in a stream {, e.g. turning, deflecting or changing direction}	B07C1/18	B07C1/18		209
B07C1/20	8	Sorting according to orientation, e.g. according to position of stamp	B07C1/20	B07C1/20		90
B07C3/00	7	Sorting according to destination {(collating the pages of a book B42C1/00)}	B07C3/00	B07C3/00		1188
B07C3/001	8	{Code converters for keyboards in coding stations (code converters in reading devices B07C3/10)}	B07C3/00	B07C3/00		49
B07C3/003	8	{Destination control; Electro-mechanical or electro- magnetic delay memories}	B07C3/00	B07C3/00		388
B07C3/005	9	{the transport holders of objects being provided with means for storing the destination signals (sorting devices for transport holders B07C3/082)}	B07C3/00	B07C3/00		108
B07C3/006	9	{Electric or electronic control circuits, e.g. delay lines (delay devices per seH03H7/30, H03H11/26)}	B07C3/00	B07C3/00		183
B07C3/008	8	{Means for collecting objects, e.g. containers for sorted mail items (pile receivers in general B65H31/00)}	B07C3/00	B07C3/00		601
B07C3/02	8	Apparatus characterised by the means used for distribution	B07C3/02	B07C3/02		1602
B07C3/04	9	Drum-type sorting machines {or having circularly arranged sorting compartments}	B07C3/04	B07C3/04		194
B07C3/06	9	Linear sorting machines in which articles are removed from a stream at selected points	B07C3/06	B07C3/06		342
B07C3/065	10	{construction of switches therefor}	B07C3/06	B07C3/06		157
B07C3/08	9	using arrangements of conveyors {(transport of sheets B65H; transport in general B65G)}	B07C3/08	B07C3/08		1604
B07C3/082	10	{In which the objects are carried by transport holders and the transport holders form part of the conveyor belts (conveyors with carriers B65G47/00)}	B07C3/08	B07C3/08		285
B07C3/085	11	{making use of transport holders in the form of clamps or grips (cable post B65G)}	B07C3/08	B07C3/08		97
B07C3/087	11	{the objects being taken up in transport files or holders which are not part of the conveyor belts (cable post B65G)}	B07C3/08	B07C3/08		503
B07C3/10	8	Apparatus characterised by the means used for detection ofthe destination (methods or arrangements for reading and recognising printed or written characters or geometric figures G06V30/00)	B07C3/10	B07C3/10		657
B07C3/12	9	using electric or electronic detecting means (B07C3/14 takes precedence)	B07C3/12	B07C3/12		314
B07C3/14	9	using light-responsive detecting means {(for information carriers G06K7/14)}	B07C3/14	B07C3/14		1200
