C23G1/00	7	Cleaning or pickling metallic material with solutions or molten salts (with organic solvents C23G5/02)	C23G1/00	C23G1/00		1093
C23G1/02	8	with acid solutions	C23G1/02	C23G1/02		1551
C23G1/025	9	{acidic pickling pastes}	C23G1/02	C23G1/02		271
C23G1/04	9	using inhibitors	C23G1/04	C23G1/04		421
C23G1/06	10	organic inhibitors<br><br><u>NOTE</u><br><br>In groups C23G1/061&#160;-&#160;C23G1/068 an invention is classified in the last appropriate place	C23G1/06	C23G1/06		463
C23G1/061	11	{nitrogen-containing compounds}	C23G1/06	C23G1/06		277
C23G1/063	11	{heterocyclic compounds}	C23G1/06	C23G1/06		235
C23G1/065	11	{sulfur-containing compounds}	C23G1/06	C23G1/06		391
C23G1/066	11	{phosphorus-containing compounds}	C23G1/06	C23G1/06		96
C23G1/068	11	{compounds containing a C=C bond}	C23G1/06	C23G1/06		181
C23G1/08	9	Iron or steel<br><br><u>NOTE</u><br><br>In groups C23G1/081&#160;-&#160;C23G1/088 an invention is classified in the last appropriate place	C23G1/08	C23G1/08		1821
C23G1/081	10	{solutions containing H2SO4}	C23G1/08	C23G1/08		576
C23G1/083	10	{solutions containing H3PO4}	C23G1/08	C23G1/08		216
C23G1/085	10	{solutions containing HNO3}	C23G1/08	C23G1/08		399
C23G1/086	10	{solutions containing HF}	C23G1/08	C23G1/08		681
C23G1/088	10	{solutions containing organic acids}	C23G1/08	C23G1/08		902
C23G1/10	9	Other heavy metals	C23G1/10	C23G1/10		467
C23G1/103	10	{copper or alloys of copper}	C23G1/10	C23G1/10		758
C23G1/106	10	{refractory metals}	C23G1/10	C23G1/10		530
C23G1/12	9	Light metals	C23G1/12	C23G1/12		241
C23G1/125	10	{aluminium}	C23G1/12	C23G1/12		1065
C23G1/14	8	with alkaline solutions	C23G1/14	C23G1/14		1020
C23G1/16	9	using inhibitors	C23G1/16	C23G1/16		155
C23G1/18	10	Organic inhibitors	C23G1/18	C23G1/18		295
C23G1/19	9	Iron or steel	C23G1/19	C23G1/19		952
C23G1/20	9	Other heavy metals	C23G1/20	C23G1/20		534
C23G1/205	10	{refractory metals}	C23G1/20	C23G1/20		188
C23G1/22	9	Light metals	C23G1/22	C23G1/22		892
C23G1/24	8	with neutral solutions	C23G1/24	C23G1/24		1010
C23G1/26	9	using inhibitors	C23G1/26	C23G1/26		301
C23G1/28	8	with molten salts	C23G1/28	C23G1/28		154
C23G1/30	9	using inhibitors	C23G1/30	C23G1/30		
C23G1/32	9	Heavy metals	C23G1/32	C23G1/32		126
C23G1/34	9	Light metals	C23G1/34	C23G1/34		17
C23G1/36	8	Regeneration of waste pickling liquors	C23G1/36	C23G1/36		1528
C23G3/00	7	Apparatus for cleaning or pickling metallic material (with organic solvents C23G5/04)	C23G3/00	C23G3/00		3154
C23G3/02	8	for cleaning wires, strips, filaments continuously	C23G3/02	C23G3/02		605
C23G3/021	9	{by dipping}	C23G3/02	C23G3/02		560
C23G3/022	10	{the objects following a helicoidal path}	C23G3/02	C23G3/02		47
C23G3/023	9	{by spraying}	C23G3/02	C23G3/02		438
C23G3/024	9	{by a combination of dipping and spraying}	C23G3/02	C23G3/02		126
C23G3/025	9	{Details of the apparatus, e.g. linings or sealing means}	C23G3/02	C23G3/02		330
C23G3/026	10	{for guiding the objects}	C23G3/02	C23G3/02		193
C23G3/027	9	{Associated apparatus, e.g. for pretreating or after-treating}	C23G3/02	C23G3/02		418
C23G3/028	10	{for thermal or mechanical pretreatment}	C23G3/02	C23G3/02		127
C23G3/029	10	{for removing the pickling fluid from the objects}	C23G3/02	C23G3/02		321
C23G3/04	8	for cleaning pipes	C23G3/04	C23G3/04		735
C23G5/00	7	Cleaning or de-greasing metallic material by other methods; Apparatus for cleaning or de-greasing metallic material with organic solvents<br><br><u>NOTE</u><br><br>Mixtures of organic solvents are classified according to the major component	C23G5/00	C23G5/00		1578
C23G5/02	8	using organic solvents	C23G5/02	C23G5/02		346
C23G5/024	9	containing hydrocarbons	C23G5/024	C23G5/024		315
C23G5/028	9	containing halogenated hydrocarbons	C23G5/028	C23G5/028		130
C23G5/02803	10	{containing fluorine}	C23G5/028	C23G5/028		158
C23G5/02806	10	{containing only chlorine as halogen atom}	C23G5/028	C23G5/028		167
C23G5/02809	10	{containing chlorine and fluorine}	C23G5/028	C23G5/028		39
C23G5/02812	11	{Perhalogenated hydrocarbons}	C23G5/028	C23G5/028		30
C23G5/02816	12	{Ethanes}	C23G5/028	C23G5/028		1
C23G5/02819	13	{C2Cl3F3}	C23G5/028	C23G5/028		85
C23G5/02822	13	{C2Cl4F2}	C23G5/028	C23G5/028		27
C23G5/02825	11	{containing hydrogen}	C23G5/028	C23G5/028		34
C23G5/02829	12	{Ethanes}	C23G5/028	C23G5/028		21
C23G5/02832	13	{C2H3Cl2F}	C23G5/028	C23G5/028		66
C23G5/02835	13	{C2H2Cl2F2}	C23G5/028	C23G5/028		19
C23G5/02838	13	{C2HCl2F3}	C23G5/028	C23G5/028		28
C23G5/02841	12	{Propanes}	C23G5/028	C23G5/028		25
C23G5/02845	13	{C3H3ClF4}	C23G5/028	C23G5/028		3
C23G5/02848	13	{C2H2Cl2F4}	C23G5/028	C23G5/028		4
C23G5/02851	13	{C2HCl2F5}	C23G5/028	C23G5/028		32
C23G5/02854	10	{characterised by the stabilising or corrosion inhibiting additives}	C23G5/028	C23G5/028		6
C23G5/02858	11	{Hydrocarbons}	C23G5/028	C23G5/028		11
C23G5/02861	11	{Oxygen-containing compounds}	C23G5/028	C23G5/028		22
C23G5/02864	12	{Alcohols}	C23G5/028	C23G5/028		10
C23G5/02867	13	{aliphatic}	C23G5/028	C23G5/028		13
C23G5/0287	13	{aromatic}	C23G5/028	C23G5/028		6
C23G5/02874	12	{Aldehydes or ketones}	C23G5/028	C23G5/028		13
C23G5/02877	12	{Ethers}	C23G5/028	C23G5/028		35
C23G5/0288	12	{Epoxy compounds}	C23G5/028	C23G5/028		38
C23G5/02883	11	{Nitrogen-containing compounds}	C23G5/028	C23G5/028		51
C23G5/02887	12	{Nitro-compounds}	C23G5/028	C23G5/028		38
C23G5/0289	12	{N-heterocyclics}	C23G5/028	C23G5/028		38
C23G5/02893	11	{Sulfur-containing compounds}	C23G5/028	C23G5/028		17
C23G5/02896	11	{Phosphorus-containing compounds}	C23G5/028	C23G5/028		4
C23G5/032	9	containing oxygen-containing compounds	C23G5/032	C23G5/032		663
C23G5/036	10	having also nitrogen	C23G5/036	C23G5/036		174
C23G5/04	9	Apparatus	C23G5/04	C23G5/04		993
C23G5/06	8	using emulsions	C23G5/06	C23G5/06		473
