F16K1/00	7	Lift valves {or globe valves}, i.e. cut-off apparatus with closure members having at least a component of their opening and closing motion perpendicular to the closing faces ({in combination with sliding valves F16K3/246, F16K3/267} ; diaphragm valves F16K7/00)	F16K1/00	F16K1/00		3975
F16K1/02	8	with screw-spindle (F16K1/12&#160;-&#160;F16K1/28 take precedence; actuating mechanisms with screw-spindles F16K31/50)	F16K1/02	F16K1/02		1675
F16K1/04	9	with a cut-off member rigid with the spindle, e.g. main valves	F16K1/04	F16K1/04		859
F16K1/06	9	Special arrangements for improving the flow, e.g. special shape of passages or casings	F16K1/06	F16K1/06		165
F16K1/08	10	in which the spindle is perpendicular to the general direction of flow	F16K1/08	F16K1/08		212
F16K1/10	10	in which the spindle is inclined to the general direction of flow	F16K1/10	F16K1/10		258
F16K1/12	8	with streamlined valve member around which the fluid flows when the valve is opened	F16K1/12	F16K1/12		943
F16K1/123	9	{with stationary valve member and moving sleeve}	F16K1/12	F16K1/12		373
F16K1/126	9	{actuated by fluid}	F16K1/12	F16K1/12		616
F16K1/14	8	with ball-shaped valve member (check valves F16K15/04)	F16K1/14	F16K1/14		1392
F16K1/16	8	with pivoted closure-members	F16K1/16	F16K1/16		295
F16K1/165	9	{with a plurality of closure members}	F16K1/16	F16K1/16		230
F16K1/18	9	with pivoted discs or flaps	F16K1/18	F16K1/18		436
F16K1/20	10	with axis of rotation arranged externally of valve member	F16K1/20	F16K1/20		627
F16K1/2007	11	{specially adapted operating means therefor (operating means per seF16K31/00)}	F16K1/20	F16K1/20		1036
F16K1/2014	11	{Shaping of the valve member}	F16K1/20	F16K1/20		410
F16K1/2021	11	{with a plurality of valve members}	F16K1/20	F16K1/20		300
F16K1/2028	11	{Details of bearings for the axis of rotation}	F16K1/20	F16K1/20		467
F16K1/2035	12	{the axis of rotation having only one bearing}	F16K1/20	F16K1/20		47
F16K1/2042	11	{Special features or arrangements of the sealing}	F16K1/20	F16K1/20		112
F16K1/205	12	{the sealing being arranged on the valve member}	F16K1/20	F16K1/20		285
F16K1/2057	12	{the sealing being arranged on the valve seat}	F16K1/20	F16K1/20		189
F16K1/2064	13	{with a channel- or U-shaped seal covering a central body portion}	F16K1/20	F16K1/20		15
F16K1/2071	13	{and being forced into sealing contact with the valve member by a spring or a spring-like member}	F16K1/20	F16K1/20		29
F16K1/2078	12	{Sealing means for the axis of rotation}	F16K1/20	F16K1/20		100
F16K1/2085	12	{Movable sealing bodies}	F16K1/20	F16K1/20		38
F16K1/2092	13	{the movement being caused by the flowing medium}	F16K1/20	F16K1/20		8
F16K1/22	10	with axis of rotation crossing the valve member, e.g. butterfly valves	F16K1/22	F16K1/22		2453
F16K1/221	11	{specially adapted operating means therefor (operating means per seF16K31/00)}	F16K1/22	F16K1/22		1904
F16K1/222	11	{Shaping of the valve member}	F16K1/22	F16K1/22		1107
F16K1/223	11	{with a plurality of valve members}	F16K1/22	F16K1/22		740
F16K1/224	11	{Details of bearings for the axis of rotation}	F16K1/22	F16K1/22		580
F16K1/225	12	{the axis of rotation having only one bearing}	F16K1/22	F16K1/22		84
F16K1/226	11	Shaping or arrangements of the sealing	F16K1/226	F16K1/226		1056
F16K1/2261	12	{the sealing being arranged on the valve member}	F16K1/226	F16K1/226		1235
F16K1/2263	12	{the sealing being arranged on the valve seat}	F16K1/226	F16K1/226		1055
F16K1/2265	13	{with a channel- or U-shaped seal covering a central body portion}	F16K1/226	F16K1/226		337
F16K1/2266	13	{and being forced into sealing contact with the valve member by a spring or a spring-like member}	F16K1/226	F16K1/226		245
F16K1/2268	12	{Sealing means for the axis of rotation}	F16K1/226	F16K1/226		747
F16K1/228	12	Movable sealing bodies	F16K1/228	F16K1/228		405
F16K1/2285	13	{the movement being caused by the flowing medium}	F16K1/228	F16K1/228		190
F16K1/24	8	with valve members that, on opening of the valve, are initially lifted from the seat and next are turned around an axis parallel to the seat	F16K1/24	F16K1/24		600
F16K1/26	9	Shape or arrangement of the sealing {Not used}	F16K1/26	F16K1/26		5
F16K1/28	10	Movable sealing bodies {Not used}	F16K1/28	F16K1/28		6
F16K1/30	8	specially adapted for pressure containers	F16K1/30	F16K1/30		206
F16K1/301	9	{only shut-off valves, i.e. valves without additional means}	F16K1/30	F16K1/30		67
F16K1/302	10	{with valve member and actuator on the same side of the seat}	F16K1/30	F16K1/30		362
F16K1/303	10	{with a valve member, e.g. stem or shaft, passing through the seat}	F16K1/30	F16K1/30		364
F16K1/304	9	{Shut-off valves with additional means}	F16K1/30	F16K1/30		77
F16K1/305	10	{with valve member and actuator on the same side of the seat}	F16K1/30	F16K1/30		570
F16K1/306	10	{with a valve member, e.g. stem or shaft, passing through the seat}	F16K1/30	F16K1/30		368
F16K1/307	9	{Additional means used in combination with the main valve}	F16K1/30	F16K1/30		682
F16K1/308	9	{Connecting means}	F16K1/30	F16K1/30		160
F16K1/32	8	Details (details of more general applicability F16K25/00&#160;-&#160;F16K51/00)	F16K1/32	F16K1/32		7052
F16K1/34	9	Cutting-off parts, e.g. valve members, seats (F16K1/06, F16K1/12, F16K1/14, F16K1/26 take precedence)	F16K1/34	F16K1/34		1698
F16K1/36	10	Valve members (for double-seat valves F16K1/44{; for butterfly valves F16K1/222, F16K1/223})	F16K1/36	F16K1/36		7236
F16K1/38	11	of conical shape	F16K1/38	F16K1/38		2330
F16K1/385	12	{contacting in the closed position, over a substantial axial length, a seat surface having the same inclination}	F16K1/38	F16K1/38		701
F16K1/40	11	of helical shape	F16K1/40	F16K1/40		113
F16K1/42	10	Valve seats (for double-seat valves F16K1/44)	F16K1/42	F16K1/42		3754
F16K1/422	11	{attachable by a threaded connection to the housing}	F16K1/42	F16K1/42		333
F16K1/425	11	{Attachment of the seat to the housing by plastical deformation, e.g. valve seat or housing being plastically deformed during mounting}	F16K1/42	F16K1/42		195
F16K1/427	11	{Attachment of the seat to the housing by one or more additional fixing elements}	F16K1/42	F16K1/42		317
F16K1/44	10	Details of seats or valve members of double-seat valves	F16K1/44	F16K1/44		978
F16K1/443	11	{the seats being in series}	F16K1/44	F16K1/44		530
F16K1/446	12	{with additional cleaning or venting means between the two seats}	F16K1/44	F16K1/44		442
