H01B1/00	7	Conductors or conductive bodies characterised by the conductive materials; Selection of materials as conductors<br><br><u>NOTE</u><br><br>Groups H01B1/14&#160;-&#160;H01B1/24 take precedence over groups H01B1/02&#160;-&#160;H01B1/12	H01B1/00	H01B1/00		2816
H01B1/02	8	mainly consisting of metals or alloys	H01B1/02	H01B1/02		4994
H01B1/023	9	{Alloys based on aluminium}	H01B1/02	H01B1/02		1889
H01B1/026	9	{Alloys based on copper}	H01B1/02	H01B1/02		2476
H01B1/04	8	mainly consisting of carbon-silicon compounds, carbon or silicon	H01B1/04	H01B1/04		3025
H01B1/06	8	mainly consisting of other non-metallic substances	H01B1/06	H01B1/06		1364
H01B1/08	9	oxides	H01B1/08	H01B1/08		2437
H01B1/10	9	sulfides	H01B1/10	H01B1/10		548
H01B1/12	9	organic substances {(organic macromolecular compounds or compositions C08)}	H01B1/12	H01B1/12		1110
H01B1/121	10	{Charge-transfer complexes}	H01B1/12	H01B1/12		193
H01B1/122	10	{Ionic conductors}	H01B1/12	H01B1/12		1821
H01B1/124	10	{Intrinsically conductive polymers}	H01B1/12	H01B1/12		563
H01B1/125	11	{comprising aliphatic main chains, e.g. polyactylenes}	H01B1/12	H01B1/12		249
H01B1/127	11	{comprising five-membered aromatic rings in the main chain, e.g. polypyrroles, polythiophenes}	H01B1/12	H01B1/12		1486
H01B1/128	11	{comprising six-membered aromatic rings in the main chain, e.g. polyanilines, polyphenylenes}	H01B1/12	H01B1/12		1214
H01B1/14	8	Conductive material dispersed in non-conductive inorganic material	H01B1/14	H01B1/14		376
H01B1/16	9	the conductive material comprising metals or alloys	H01B1/16	H01B1/16		2263
H01B1/18	9	the conductive material comprising carbon-silicon compounds, carbon or silicon	H01B1/18	H01B1/18		606
H01B1/20	8	Conductive material dispersed in non-conductive organic material {(organic macromolecular compounds or compositions C08)}	H01B1/20	H01B1/20		1597
H01B1/22	9	the conductive material comprising metals or alloys	H01B1/22	H01B1/22		8850
H01B1/24	9	the conductive material comprising carbon-silicon compounds, carbon or silicon	H01B1/24	H01B1/24		4553
H01B3/00	7	Insulators or insulating bodies characterised by the insulating materials; Selection of materials for their insulating or dielectric properties	H01B3/00	H01B3/00		380
H01B3/002	8	{Inhomogeneous material in general}	H01B3/00	H01B3/00		374
H01B3/004	9	{with conductive additives or conductive layers}	H01B3/00	H01B3/00		633
H01B3/006	9	{Other inhomogeneous material}	H01B3/00	H01B3/00		387
H01B3/008	8	{Other insulating material}	H01B3/00	H01B3/00		188
H01B3/02	8	mainly consisting of inorganic substances	H01B3/02	H01B3/02		443
H01B3/025	9	{Other inorganic material}	H01B3/02	H01B3/02		415
H01B3/04	9	mica	H01B3/04	H01B3/04		1094
H01B3/06	9	asbestos	H01B3/06	H01B3/06		159
H01B3/065	10	{Wires with asbestos}	H01B3/06	H01B3/06		8
H01B3/08	9	quartz; glass; glass wool; slag wool; vitreous enamels	H01B3/08	H01B3/08		440
H01B3/081	10	{Wires with vitreous enamels}	H01B3/08	H01B3/08		30
H01B3/082	10	{Wires with glass or glass wool}	H01B3/08	H01B3/08		381
H01B3/084	10	{Glass or glass wool in binder}	H01B3/08	H01B3/08		269
H01B3/085	10	{Particles bound with glass}	H01B3/08	H01B3/08		127
H01B3/087	10	{Chemical composition of glass}	H01B3/08	H01B3/08		340
H01B3/088	10	{Shaping of glass or deposition of glass}	H01B3/08	H01B3/08		119
H01B3/10	9	metallic oxides (ceramics H01B3/12)	H01B3/10	H01B3/10		935
H01B3/105	10	{Wires with oxides}	H01B3/10	H01B3/10		232
H01B3/12	9	ceramics	H01B3/12	H01B3/12		1673
H01B3/14	9	cements	H01B3/14	H01B3/14		32
H01B3/16	9	gases	H01B3/16	H01B3/16		183
H01B3/18	8	mainly consisting of organic substances {(organic macromolecular compounds or compositions C08)}	H01B3/18	H01B3/18		815
H01B3/185	9	{Substances or derivates of cellulose}	H01B3/18	H01B3/18		303
H01B3/20	9	liquids, e.g. oils (silicone oils H01B3/46)	H01B3/20	H01B3/20		758
H01B3/22	10	hydrocarbons	H01B3/22	H01B3/22		653
H01B3/24	10	containing halogen in the molecules, e.g. halogenated oils	H01B3/24	H01B3/24		379
H01B3/26	9	asphalts; bitumens; pitches	H01B3/26	H01B3/26		49
H01B3/28	9	natural or synthetic rubbers	H01B3/28	H01B3/28		2832
H01B3/30	9	plastics; resins; waxes<br><br><u>NOTE</u><br><br><br>Group H01B3/47 takes precedence over groups H01B3/32&#160;-&#160;H01B3/46	H01B3/30	H01B3/30		2599
H01B3/301	10	{Macromolecular compounds obtained by reactions forming a linkage containing sulfur with or without nitrogen, oxygen or carbon in the main chain of the macromolecule, not provided for in group H01B3/302}	H01B3/30	H01B3/30		230
H01B3/302	10	{Polyurethanes or polythiourethanes; Polyurea or polythiourea}	H01B3/30	H01B3/30		811
H01B3/303	10	{Macromolecular compounds obtained by reactions forming a linkage containing nitrogen with or without oxygen or carbon in the main chain of the macromolecule, not provided for in groups H01B3/38 or H01B3/302}	H01B3/30	H01B3/30		191
H01B3/305	11	{Polyamides or polyesteramides}	H01B3/30	H01B3/30		579
H01B3/306	11	{Polyimides or polyesterimides}	H01B3/30	H01B3/30		1281
H01B3/307	10	{Other macromolecular compounds}	H01B3/30	H01B3/30		880
H01B3/308	10	{Wires with resins}	H01B3/30	H01B3/30		750
H01B3/32	10	natural resins	H01B3/32	H01B3/32		71
H01B3/34	10	Waxes (silicone waxes H01B3/46)	H01B3/34	H01B3/34		55
H01B3/36	10	condensation products of phenols with aldehydes or ketones	H01B3/36	H01B3/36		317
H01B3/38	10	condensation products of aldehydes with amines or amides	H01B3/38	H01B3/38		111
H01B3/40	10	epoxy resins	H01B3/40	H01B3/40		1703
H01B3/42	10	polyesters; polyethers; polyacetals	H01B3/42	H01B3/42		653
H01B3/421	11	{Polyesters}	H01B3/42	H01B3/42		640
H01B3/422	12	{Linear saturated polyesters derived from dicarboxylic acids and dihydroxy compounds}	H01B3/42	H01B3/42		140
H01B3/423	13	{Linear aromatic polyesters}	H01B3/42	H01B3/42		209
H01B3/425	12	{Non-saturated polyesters derived from polycarboxylic acids and polyhydroxy compounds, in which at least one of the two components contains aliphatic unsaturation}	H01B3/42	H01B3/42		150
H01B3/426	12	{Polycarbonates}	H01B3/42	H01B3/42		145
H01B3/427	11	{Polyethers}	H01B3/42	H01B3/42		541
H01B3/428	11	{Polyacetals}	H01B3/42	H01B3/42		23
H01B3/44	10	vinyl resins; acrylic resins (silicones H01B3/46)	H01B3/44	H01B3/44		1399
H01B3/441	11	{from alkenes}	H01B3/44	H01B3/44		6677
H01B3/442	11	{from aromatic vinyl compounds}	H01B3/44	H01B3/44		450
H01B3/443	11	{from vinylhalogenides or other halogenoethylenic compounds}	H01B3/44	H01B3/44		2128
H01B3/445	12	{from vinylfluorides or other fluoroethylenic compounds}	H01B3/44	H01B3/44		1083
H01B3/446	11	{from vinylacetals}	H01B3/44	H01B3/44		98
H01B3/447	11	{from acrylic compounds}	H01B3/44	H01B3/44		521
H01B3/448	11	{from other vinyl compounds}	H01B3/44	H01B3/44		391
H01B3/46	10	silicones	H01B3/46	H01B3/46		1373
H01B3/465	11	{Silicone oils}	H01B3/46	H01B3/46		166
H01B3/47	10	fibre-reinforced plastics, e.g. glass-reinforced plastics	H01B3/47	H01B3/47		175
H01B3/48	9	fibrous materials (fibre-reinforced plastics H01B3/47)	H01B3/48	H01B3/48		471
H01B3/485	10	{Other fibrous materials fabric}	H01B3/48	H01B3/48		447
H01B3/50	10	fabric	H01B3/50	H01B3/50		293
H01B3/52	10	wood; paper; press board	H01B3/52	H01B3/52		321
H01B3/54	10	hard paper; hard fabrics	H01B3/54	H01B3/54		41
H01B3/545	11	{Hard fabrics}	H01B3/54	H01B3/54		
H01B3/56	9	gases	H01B3/56	H01B3/56		178
H01B5/00	7	Non-insulated conductors or conductive bodies characterised by their form	H01B5/00	H01B5/00		946
H01B5/002	8	{Auxiliary arrangements}	H01B5/00	H01B5/00		155
H01B5/004	9	{for protection against corona}	H01B5/00	H01B5/00		57
H01B5/006	9	{for protection against vibrations}	H01B5/00	H01B5/00		30
