A01J1/00	手で搾乳するための器具または付属具（搾乳用腰掛Ａ４７Ｃ９／０４）
A01J3/00	カテーテルによる搾乳
A01J5/00	搾乳機または装置（Ａ０１Ｊ１／００，Ａ０１Ｊ３／００が優先）
A01J5/003	可動搾乳機
A01J5/007	搾乳工程の監視；搾乳機の制御または調整
A01J5/0075	特に適合した乳首の刺激を行うもの
A01J5/01	ミルクメーター；乳流感知装置（液体メーターと組み合わせた空気またはガス分離器Ｇ０１Ｆ１５／０８）
A01J5/013	現場での乳房炎の探知
A01J5/0131	乳の組成を分析することによるもの、例．特定の物質の濃度または検知
A01J5/0132	細胞カウンターを使用するもの
A01J5/0133	電気を使用することによるもの、例．導電率または電気容量
A01J5/0134	濾過装置またはデカンターを使用することによるもの
A01J5/0135	光を使用することによるもの、例．光吸収または光透過
A01J5/0136	乳流の特徴を使用することによるもの、例．乳房による差または前の搾乳との差
A01J5/0137	音を使用することによるもの、例．超音波検知
A01J5/0138	温度を使用することによるもの
A01J5/017	クラスタの自動取付けまたは取外し
A01J5/0175	クラスタの取付け
A01J5/02	乳頭の機械的操作を行うもの
A01J5/04	乳頭の空気的操作を行うもの
A01J5/041	ミルククロー
A01J5/042	ミルクリリーサー
A01J5/044	ミルク導管用のミルクラインまたは連結装置
A01J5/045	牛乳試料抽出（サンプリング一般Ｇ０１Ｎ１／００）
A01J5/047	減圧手段、例．トラクタエンジンの空気入口に接続することによるもの（真空ポンプＦ０４）
A01J5/048	真空調圧器
A01J5/06	一室を有するティートカップ
A01J5/08	二室を有するティートカップ
A01J5/10	ティートカップ上より別なところに配列されたパルセーター
A01J5/12	膜を有するもの
A01J5/14	電磁的に制御されるもの
A01J5/16	パルセーターを有するティートカップ
A01J7/00	搾乳機のための付属具
A01J7/005	搾乳終了時の自動減圧遮断
A01J7/02	搾乳機または装置の清掃または消毒用（パイプやチューブまたはパイプやチューブ系統の清掃Ｂ０８Ｂ９／０２）
A01J7/022	クリーンインプレースシステム、すなわちＣＩＰ、すべての搾乳設備を配置したままで清掃するためのもの
A01J7/025	ティートカップの清掃、例．リンスジェッターまたはノズルによるもの
A01J7/027	容器の清掃、例．乳タンク、乳容器または乳分離器の清掃
A01J7/04	乳房または乳頭の処置用、例．洗浄用
A01J9/00	乳容器（容器一般Ｂ６５Ｄ；容器の傾動および荷あけのための装置Ｂ６５Ｇ６５／２３）
A01J9/02	濾過装置を有するもの
A01J9/04	冷却装置を有するもの
A01J9/06	自動閉止バルブを有するもの
A01J9/08	乳容器の保持または支える装置
A01J9/10	搾乳用腰掛と結合する搾乳容器
A01J11/00	乳を処理するための装置（保存または滅菌Ａ２３Ｃ）
A01J11/02	泡を防ぐ器具または消す器具（台所における料理用容器中のミルク沸騰防止Ａ４７Ｊ２７／５６；沸騰装置における発泡防止Ｂ０１Ｂ１／０２）
A01J11/04	乳に通気する器具または脱気する器具（乳用遠心分離機Ｂ０４Ｂ）
A01J11/06	乳のための濾過機または濾過装置（濾過材料Ｂ０１Ｄ）
A01J11/08	濾布式濾過機または濾過装置のためのホルダー
A01J11/10	クリームからの乳の分離（乳用遠心機Ｂ０４Ｂ）
A01J11/12	クリームを取出す器具
A01J11/14	乳の液面を上げることによるもの
A01J11/16	乳の均質化（均質化一般Ｂ０１Ｆ）
A01J13/00	クリームを処理するためのタンク
A01J15/00	バターの製造
A01J15/02	かくはん装置を有する定置式チャーン
A01J15/04	回転または振動式チャーン
A01J15/06	チャーンの側壁に関して移動できるかくはん装置を有するもの
A01J15/08	チャーンの側壁に関して移動できるかくはん装置を有しないもの
A01J15/10	チャーンによるもの以外のバター製造装置
A01J15/12	連続式バター製造のための装置を有するもの
A01J15/14	空気中に吹き出すことによるバター製造装置を有するチャーン
A01J15/16	細部；付属装置
A01J15/18	脱気のための器具
A01J15/20	回転計数器の結合；警報装置つき
A01J15/22	バターチャーンの蓋またはカバー
A01J15/24	バターチャーン用のかくはん装置
A01J15/25	バターをチャーンまたはそれに類似するものから取出す手段（そのためのポンプＦ０４）
A01J15/26	分離，チャーニングおよび混練をいっしょに行う装置
A01J15/28	駆動機構
A01J17/00	バターまたは類似のもののための混練機（生地仕込用の混合または混捏（ねつ）の機械Ａ２１Ｃ１／００）
A01J19/00	バターまたは類似のもののスラブを形成するための手動器具
A01J21/00	バターまたは類似のもののスラブを形成するための機械
A01J21/02	包器具を備えるかまたは備えない押出し装置および切断具を備えたもの
A01J23/00	バター塊または類似のものを分割するための器具
A01J25/00	チーズの製造（チーズの被覆Ａ０１Ｊ２７／０２）
A01J25/001	バット内用
A01J25/002	連続的
A01J25/004	カードを永久的容器に充填することによるもの、すなわち最終製品販売用
A01J25/005	カードに加塩するもの
A01J25/007	軟質の未熟性チーズを製造する装置、例．カッテージまたはクリームチーズ
A01J25/008	軟質の熟成されていないイタリアチーズを製造する装置、例．モツァレラ、リコッタ、パスタフィラータチーズ
A01J25/02	チーズバット
A01J25/04	チーズバットを洗浄するための器具
A01J25/06	カード化された乳を分割するための器具
A01J25/08	バットからチーズを取出すための器具
A01J25/10	バットからホエーを取出すための器具
A01J25/11	カードからのホエーの分離；カードの洗浄
A01J25/111	連続的分離によるもの
A01J25/112	シリンダー用
A01J25/114	無限ベルト用
A01J25/115	不連続的分離によるもの
A01J25/117	フィルター設計
A01J25/118	カードの洗浄
A01J25/12	チーズの成形
A01J25/123	型からのチーズの取出し
A01J25/126	チーズ製造装置の清掃（搾乳機の清掃Ａ０１Ｊ７／０２）
A01J25/13	型
A01J25/15	プレス
A01J25/16	熟成中のチーズを処理するための器具
A01J25/162	チーズの貯蔵または裏返し用
A01J25/165	貯蔵チーズ用の冷蔵室または換気システム
A01J25/167	チーズの加塩用
A01J27/00	チーズの後処理；チーズの被覆
A01J27/005	チーズのマーク付け
A01J27/02	チーズの被覆，例．パラフインワックスによるもの（表面に液体または流体を作用させるもの一般Ｂ０５）
A01J27/04	チーズの挽砕または再製
A01J27/045	多層チーズ
A01J99/00	このサブクラスの他のグループに分類されない主題事項
