A23C1/00	濃縮，蒸発または乾燥（それによって得られる製品Ａ２３Ｃ９／００；粉末バターの製造Ａ２３Ｃ１５／１４，粉末チーズＡ２３Ｃ１９／０８６；蒸発一般Ｂ０１Ｄ１／００）
A23C1/01	薄膜法による乾燥
A23C1/03	ドラムまたはローラー上でのもの
A23C1/04	ガス流中への噴霧によるもの
A23C1/045	水または蒸気以外の２つの異なった液状の製品の同時または個別噴霧によるもの；スプレードライヤへの乳製品または乳糖以外の添加剤の個別の添加
A23C1/05	集塊化と組み合されたもの　｛造粒または被覆｝
A23C1/06	水分を凍結させて分離することによる濃縮
A23C1/08	凍結乾燥
A23C1/10	泡沫乾燥（Ａ２３Ｃ１／０４，Ａ２３Ｃ１／０８が優先）
A23C1/12	蒸発による濃縮
A23C1/14	他の処理と組み合わされたもの（Ａ２３Ｃ３／００，Ａ２３Ｃ９／００が優先）
A23C1/16	添加物を使用するもの
A23C7/00	他の乳業技術
A23C7/02	乳業装置の化学的な清掃（清掃一般Ｂ０８Ｂ，例．Ｂ０８Ｂ３／０８）；そのための殺菌方法の使用（殺菌方法それ自体Ａ６１Ｌ）
A23C7/04	不要物質の除去　｛ラクトースまたは乳蛋白質以外のもの｝牛乳からのもの（ろ過によるものＡ０１Ｊ９／０２，Ａ０１Ｊ１１／０６）
A23C7/043	液体または固体状態の化学薬品を用いるもの，例．凝集，吸着，または抽出剤（Ａ２３Ｃ９／１４６とＡ２３Ｃ９／１４８が優先）
A23C7/046	化学薬品を使用せず遠心分離によるもの，例．　遠心除菌；遠心除菌の再使用
A23C9/00	乳調製品；粉乳または粉乳調製品（２１／０６が優先；保存Ａ２３Ｃ３／００；チョコレートミルクＡ２３Ｇ１／００；アイスクリーム，アイスクリームを調製するための混合物Ａ２３Ｇ９／００；プディング，乾燥粉末プディングＡ２３Ｌ１／１８７）
A23C9/005	濃縮乳；　糖を加えた濃縮乳（Ａ２３Ｃ１／０６とＡ２３Ｃ１／１２が優先）
A23C9/12	発酵乳調製品；微生物または酵素を使用する処理（ホエー調製品Ａ２３Ｃ２１／００）
A23C9/1203	乳酸菌以外の酵素または微生物を用いた処理，または添加
A23C9/1206	乳糖加水分解酵素，例．ラクターゼ，β-ガラクトシダーゼ
A23C9/1209	蛋白質分解のまたは乳凝結酵素，例．トリプシン
A23C9/1213	酸化または抑制酵素，例．　ペルオキシダーゼ，カタラーゼ，デヒドロゲナーゼ
A23C9/1216	他の酵素
A23C9/122	発酵させた乳製品の調製または処理のための装置
A23C9/1223	攪拌ヨーグルトの製造のためのもの；攪拌または揺動手段を持つ装置；連続した大量発酵，加熱または冷却，すなわち，連続したヨーグルトの注入口と排出口の流れ
A23C9/1226	培養，加熱，または冷却中に，ヨーグルトまたは容器を攪拌，揺動または移動せずに，容器に型入れされたヨーグルトを製造するためのもの；攪拌手段のない家庭用ヨーグルト装置
A23C9/123	乳酸菌ｌａｃｔｏｂａｃｔｅｒｉａｃｅａｅのみを使用するもの；ヨーグルト（Ａ２３Ｃ９／１３が優先）
A23C9/1232	粉状，粒状または固体状のもの
