A24F1/00	たばこパイプ
A24F1/02	煙の除去または冷却用の装置を有するもの（水ぎせるＡ２４Ｆ１／３０）
A24F1/04	煙室またはよだれ止めＶ字管を有するもの
A24F1/06	パイプ内部
A24F1/08	軸内部
A24F1/10	火ざら内部
A24F1/12	パイプ外側
A24F1/14	液体―コンテナを有するもの
A24F1/16	煙に適したジグザグまたは同様な煙道を有するもの
A24F1/18	非吸収性ライニングを有するもの
A24F1/20	吸収性ライニングを有するもの
A24F1/22	空気によって冷却する装置を有するもの，例．二重壁を有するパイプ
A24F1/24	下部からたばこを燃焼させるもの
A24F1/26	充填装置を有するもの
A24F1/28	管状パイプ，例．葉巻たばこの形状
A24F1/30	水ぎせる
A24F1/32	パイプに適した材料の選択
A24F3/00	他のものと結合したたばこパイプ（歩行杖またはステッキについた喫煙用具Ａ４５Ｂ３／１６）
A24F3/02	掃除用具を有するもの
A24F5/00	パイプ用火ざら
A24F5/02	しまっておく時に，まっすぐに保持するのに適した装置を有するもの
A24F5/04	空気導入口を有するもの
A24F5/06	陶製または類似物のそう入物を有するもの
A24F5/08	格子，ふるい，または類似物を有するもの
A24F5/10	取り付けたものおよび取りはずし可能な火ざらカバー
A24F5/12	取り付けたストッパーを有するもの
A24F5/14	風よけを有するもの
A24F7/00	パイプ用マウスピース；葉巻たばこまたは紙巻たばこホルダー用マウスピース
A24F7/02	取りはずし可能な結合部材を有するもの
A24F7/04	煙フィルターを有するもの（フィルター自体Ａ２４Ｄ３／００）
A24F9/00	喫煙パイプ用付属品
A24F9/02	たばこストッパー，すなわち，たばこをパイプの中につめるための装置（たばこケースと結合したものＡ２４Ｆ２３／０４）
A24F9/04	パイプ用掃除装置（パイプと結合したものＡ２４Ｆ３／０２）
A24F9/06	軸用のもの，例．ブラシ，針，ひも
A24F9/08	掃除セット
A24F9/10	火ざら用のもの，例．こする道具，切断刃を有する火ざら掃除具
A24F9/12	蒸気，空気，または水によってたばこパイプを掃除する装置
A24F9/14	たばこパイプ用スタンドまたは支持体
A24F9/16	パイプまたはそれの部品用保護カバーまたはケース
A24F11/00	たばこパイプのシーズニング
A24F13/00	葉巻たばこまたは紙巻たばこの喫煙用具
A24F13/02	葉巻たばこまたは紙巻たばこのホルダー（マウスピースＡ２４Ｆ７／００）
A24F13/04	煙を掃除または冷却する装置を有するもの
A24F13/06	煙フィルターを有するもの（フィルター自体Ａ２４Ｄ３／００）
A24F13/08	特殊装置を有するもの，例．葉巻たばこまたは紙巻たばこを保持するための火門せん，または握り
A24F13/10	端部排出口を有するもの
A24F13/12	他のもの，例．筆記具，と結合したもの（歩行用または傘用ステッキと結合したものＡ４５Ｂ３／１６）
A24F13/14	保護ケース
A24F13/16	灼熱の灰による損害を防ぐ葉巻たばこまたは紙巻たばこ用安全スリーブ
A24F13/18	葉巻たばこまたは紙巻たばこ用消火具
A24F13/20	灼熱の灰を切り取る装置
A24F13/22	喫煙の時に葉巻たばこまたは紙巻たばこを保持する支持体
A24F13/24	葉巻カッター，スリットまたは穴あけ器，例．ライターと結合したもの
A24F13/26	ポケット用に形成した装置
A24F13/28	葉巻たばこを通じて吹きつける装置
A24F13/30	煙に似たものまたは輪状のものを製造する装置
A24F15/00	葉巻タバコ，紙巻タバコ，擬似喫煙具または疑似喫煙具のための紙巻タバコに特に適合される容器または箱（車の中で使用するものＢ６０Ｎ３／１２；紙巻タバコに特に適合される包装Ｂ６５Ｄ８５／１０）
A24F15/005	｛喫煙頻度を制限するための手段を有するもの，例．時間制御，計数手段を有するもの｝
A24F15/01	擬似喫煙具または疑似喫煙具のための紙巻タバコに特に適合されるもの（ケースと構造的に結合したバッテリー充電手段Ａ２４Ｆ４０／９５）
A24F15/015	液状の吸入可能な前駆体を補充する手段付きのもの
A24F15/02	家庭用のもの｛（Ａ２４Ｆ１５／００５が優先）｝
A24F15/04	一本の葉巻たばこまたは紙巻たばこを放出するための器具を有するもの
A24F15/06	さし出し装置を有するもの（Ａ２４Ｆ１５／０４が優先）
A24F15/08	他のものと結合したもの
A24F15/10	ライターを有するもの
A24F15/12	ポケット用のもの｛（Ａ２４Ｆ１５／００５が優先）｝
A24F15/14	一本の葉巻たばこまたは紙巻たばこを放出するための器具を有するもの
A24F15/16	さし出し装置を有するもの（Ａ２４Ｆ１５／１４が優先）
A24F15/18	他のものと結合したもの
A24F15/20	おのおのの葉巻たばこまたは紙巻たばこのために区分室を有するもの｛（Ａ２４Ｆ１５／００５が優先）｝
A24F17/00	紙巻たばこ用紙の容器
