A41D1/00	衣服（子供用Ａ４１Ｄ１１／００）
A41D1/002	｛電子装置の収容に適合したもの（医療監視用の患者の衣服Ａ４１Ｄ１３／１２８１；発光性の装飾品Ａ４１Ｄ２７／０８５）｝
A41D1/005	｛埋め込まれたケーブルまたはコネクタを有するもの｝
A41D1/007	｛螺旋状または渦巻き状に巻かれた材料で作られたもの｝
A41D1/02	上着
A41D1/04	チョッキ，ニットシャツ，セーターまたは類似のもの
A41D1/06	ズボン
A41D1/062	｛下着を見えたままにするもの｝
A41D1/065	｛股線の開口を有するもの｝
A41D1/067	｛補強パッチを有するもの｝
A41D1/08	スポーツ用に特に適合したもの
A41D1/082	スキー用
A41D1/084	サイクリング用
A41D1/085	ゴルフ用
A41D1/086	乗馬用
A41D1/088	｛股部分の補強を有するもの｝
A41D1/089	ショートパンツ
A41D1/10	ひだを保つための手段
A41D1/12	Ｏ脚をかくすための手段
A41D1/14	スカート
A41D1/16	輪骨入りスカート；堅い布で作った下スカートでふくらませたスカート
A41D1/18	ブラウス
A41D1/21	妊産婦服；乳幼児の世話をする人に特に適合した衣
A41D1/215	授乳用衣服，例．母乳を与えるためのもの
A41D1/22	他に分類されない，女性に特に適合した衣服
A41D3/00	外套（毛皮服Ａ４１Ｄ５／００；子供用Ａ４１Ｄ１１／００；職業用またはスポーツ用保護衣Ａ４１Ｄ１３／００）
A41D3/005	｛プルオーバー構造を有するもの｝
A41D3/02	オーバーコート
A41D3/04	レインコート
A41D3/06	足を保護する手段を有するもの
A41D3/08	ケープ
A41D5/00	毛皮服；模造毛皮の衣服
A41D5/003	｛模造毛皮の衣服｝
A41D5/006	｛毛皮服用の付属品，例．毛皮止め具，人工の動物頭部（衣服に特に適合する止め具一般Ａ４１Ｆ１／００）｝
A41D7/00	入浴着；水泳着，水泳パンツ；海浜着
A41D7/001	｛非沈水性水泳着，水泳パンツ（水難救助Ｂ６３Ｃ９／０８）｝
A41D7/003	｛膨張可能な要素を備えるもの｝
A41D7/005	｛水泳パンツ（Ａ４１Ｄ７／００１が優先）｝
A41D7/006	｛水泳用を目的としない海浜衣類｝
A41D7/008	｛海浜用ケープまたはローブ｝
A41D10/00	パジャマ；寝衣
A41D11/00	子屈
A41D13/00	職業用，工業用またはスポーツ用の保護衣類，例．外科医用のガウン，あるいは衝撃または打撃に対する保護を有する衣服（ヘルメットＡ４２Ｂ３／００；化学剤からの防護のためのまたは高所での使用のための防護服Ａ６２Ｂ１７／００；海で使用する救命衣類，潜水服Ｂ６３Ｃ；防弾または装甲服Ｆ４１Ｈ；放射線防護服Ｇ２１Ｆ３／０２）
A41D13/0002	｛グループＡ４１Ｄ１３／０００７〜Ａ４１Ｄ１３／１２８１に属さない防護衣の細部｝
A41D13/0005	｛係合部｝
A41D13/0007	｛内蔵装着具を有する衣服（安全装着具Ａ６２Ｂ３５／００）｝
A41D13/001	｛虫よけ用の衣服｝
A41D13/0012	｛特定用途用ポケット，例．ゲーム用ポケット，を備える，または工具または同類のものの保持手段を備える職業用または防護用衣服｝
A41D13/0015	｛グループＡ４１Ｄ１３／０００７〜Ａ４１Ｄ１３／０８８に属するもの以外のスポーツ用衣服｝
A41D13/0017	｛婦人用に特に適合したもの｝
A41D13/002	衣服内環境が調整されるもの
A41D13/0025	｛強制空気循環手段によるもの｝
A41D13/005	温度が調整されるもの
A41D13/0051	｛加熱衣服（加熱潜水服Ｂ６３Ｃ１１／２８）｝
A41D13/0053	｛冷却衣服｝
A41D13/0055	｛ドライアイスによるもの｝
A41D13/0056	｛蒸発効果を利用したもの｝
A41D13/0058	｛加熱または冷却要素のためのポケットを有するもの｝
A41D13/008	電気ショックまたは静電気から防護するもの
A41D13/01	反射性または発光性の安全手段を有するもの｛（可視信号装置Ｇ０８Ｂ５／００）｝
A41D13/012	水上または水中での活動用，例．浮力が付加されたもの
A41D13/0125	｛浮力を与える補助具を有するもの｝
A41D13/015	衝撃吸収手段を有するもの（Ａ４１Ｄ１３／０５が優先）
A41D13/0151	｛反動パッド付狩猟服｝
A41D13/0153	｛蝶番または分離可能な部分を有するもの｝
A41D13/0155	｛膨張構造を有するもの，例．非自動式｝
A41D13/0156	｛複数の突出部が並んだもの｝
A41D13/0158	｛換気機能を有するもの｝
A41D13/018	自動的に膨らむもの
A41D13/02	繋ぎ服，｛例．ボディスーツまたはよだれ掛けオーバーオール｝（発汗着Ａ６１Ｈ３６／００）
A41D13/04	エプロン；エプロンの留め具
A41D13/043	｛機械的攻撃に耐えるエプロン，例．肉屋のエプロン｝
A41D13/046	｛弾力のある材料でできた１個以上の分割環帯により使用者に固定されるエプロン｝
A41D13/05	身体の特定部分のみを保護するもの（耳の保護具Ａ６１Ｆ１１／０６）
A41D13/0506	｛臀部の側部｝
A41D13/0512	｛首または肩の部分｝
A41D13/0518	｛胸部｝
A41D13/0525	｛腰部または腹部｝
A41D13/0531	｛背部｝
A41D13/0537	｛臀部の後部｝
A41D13/0543	｛脚（膝または足Ａ４１Ｄ１３／０６；競技者またはスポーツマンの脚の保護具Ａ６３Ｂ７１／１２２５）｝
A41D13/055	｛保護具の固定，例．人体へ｝
A41D13/0556	｛開放可能な固定手段を有するもの｝
A41D13/0562	｛面ファスナーを有するもの｝
A41D13/0568	｛紐を有するもの｝
A41D13/0575	｛開放可能なポケット内のもの｝
A41D13/0581	｛永久的な固定手段を有するもの｝
A41D13/0587	｛衣服と一体のもの｝
A41D13/0593	｛密封されたポケット内のもの｝
A41D13/06	膝または足｛（競技者またはスポーツマンの脚の保護具Ａ６３Ｂ７１／１２２５）｝
A41D13/065	｛膝の保護具｝
A41D13/08	腕または手（保護用手袋Ａ４１Ｄ１９／０１５；｛競技者またはスポーツマンの手の保護具Ａ６３Ｂ７１／１４｝）
A41D13/081	｛手の保護具｝
A41D13/082	｛特に手の内側用のもの｝
A41D13/084	｛特に手の外側用のもの｝
A41D13/085	｛取っ手または棒用に少なくとも１個の穴を有するもの｝
A41D13/087	｛特に指用のもの｝
A41D13/088	｛特に手首用のもの｝
A41D13/11	保護用の顔面マスク，例．外科医用，または汚れた空気中で使用するもの（アイマスクＡ６１Ｆ９／０４；｛熱または有害な化学剤からの防護のためのフードＡ６２Ｂ１７／０４｝）
