A42B1/00	ハット；キャップ；フード
A42B1/002	ハット，キャップまたはフードの形を保持するのに適した外部装置または支持体（寸法を変えるためのものＡ４２Ｃ３／００）
A42B1/004	装飾的構造または装飾的な効果
A42B1/006	頭当て以外に転用できるもの，または頭当て以外の利用に適したもの
A42B1/008	加温または冷却する手段を持つもの（頭を覆うものの通風手段の配置Ａ４２Ｃ５／０４）
A42B1/009	光を反射する手段を持つもの
A42B1/011	臭気を除去する装置または賦香装置
A42B1/012	衛生または使い捨て，例．医療機関でまたは食品事業者が使用するためのもの
A42B1/014	昆虫からの保護に特に適したもの
A42B1/017	健康促進に特に適したもの，例．鍼療法のつぼを押すための手段を持つもの
A42B1/0175	磁石を用いるもの
A42B1/018	目，耳またはえり首を保護する手段を持つもの，例．日よけまたは雨よけ；空気緩衝材または取り外し可能な裏地を有するもの
A42B1/0181	目を保護する手段を持つもの
A42B1/0182	ひさしまたはバイザー
A42B1/0183	補強手段を有するもの
A42B1/0184	取外し可能または移動可能，例．回転可能
A42B1/0185	伸縮可能なもの，例．望遠鏡のようなもの
A42B1/0186	耳またはえり首を保護する手段を持つもの
A42B1/0187	取外し自在のえり首の保護，例．日よけまたは雨よけ
A42B1/0188	耳の保護，例．取外し自在の耳覆い
A42B1/0189	裏地
A42B1/019	材料に特徴のあるもの
A42B1/0192	紙；ボール紙
A42B1/0195	抗菌性または抗細菌性
A42B1/02	ハット，堅いキャップ
A42B1/04	柔らかいキャップ；フード
A42B1/041	ひさしが無く柔らかい頭を覆うもの，例．ターバン，ベレー帽（Ａ４２Ｂ１／０４５，Ａ４２Ｂ１／０４６が優先）
A42B1/045	顎の下で固定するもの，例．ボンネット（婦人帽Ａ４２Ｂ１／１６）
A42B1/046	バラクラバ帽
A42B1/048	取り外し可能なフード
A42B1/049	ナイトキャップ（ヘアーネットまたは髪保護キャップＡ４５Ｄ８／４０）
A42B1/06	縁を有するキャップ；自動車運転用キャップ
A42B1/08	打撃に対する防護具を有するもの
A42B1/10	鉱山労働者キャップ
A42B1/12	水泳帽
A42B1/14	麦わら帽；その代用品
A42B1/16	婦人帽
A42B1/18	埃，雨，または日光からハット，キャップまたはフードを保護するための覆い
A42B1/201	折り重ねまたは折りたたみ
A42B1/203	膨脹可能なもの
A42B1/205	分離可能な部分からなるもの
A42B1/206	変形可能，転用可能または両面使用可能（頭当て以外に用いるためのものＡ４２Ｂ１／００６）
A42B1/208	１枚の平らなシートから作られたハット
A42B1/22	大きさが調節できるもの；｛形状に適合するまたは自己調整型の頭を覆うもの；ハットの大きさを縮小する装置｝
A42B1/225	｛髪のための開口部を有するもの｝
A42B1/24	物品，例．記録表または鏡を取り付けるための手段を有するもの
A42B1/241	そのためのポケット；ポケット付きの頭を覆うもの
A42B1/242	検知，信号または照明装置を取付けるための手段
A42B1/244	ランプを取付けるための手段
A42B1/245	音響または通信システムを取付けるための手段
A42B1/247	眼鏡を取付けるための手段（頭当てによる保持具　Ｇ０２Ｃ３／０２）
A42B1/248	記章，ロゴ，紋章または類似のもの
A42B3/00	ヘルメット；ヘルメットカバー；｛他の保護用に頭を覆うもの｝（｛溶接工のためのずきんＡ６１Ｆ９／０６｝；防御ヘルメットＦ４１Ｈ１／０４）
A42B3/003	｛ヘルメットカバー｝
A42B3/006	｛ヘルメットを輸送または貯蔵するための手段｝
A42B3/04	ヘルメットの部品，細部または付属品
A42B3/0406	｛ヘルメットの付属品｝
A42B3/0413	｛盗難防止用装置（ヘルメットを自転車に締結するのに特に適合した支持装置Ｂ６２Ｊ１１／２４；錠Ｅ０５）｝
A42B3/042	｛光学的装置（暗視ゴーグルＧ０２Ｂ２３／１２）｝
A42B3/0426	｛バックミラー装置または類似のもの｝
A42B3/0433	｛検知，信号または照明装置｝
A42B3/044	｛照明装置，例．ランプ付きのヘルメット｝
