A43C1/00	靴ひも（衣服の取り付け具Ａ４１Ｆ）
A43C1/003	｛ゾーンひも，すなわち，１または複数の靴ひもを用い，履物の異なる領域が異なる締めつけ度合いを有するもの（他のシステムと組み合わされた靴ひもＡ４３Ｃ１１／００８；ストラップを用いる領域締め付けＡ４３Ｃ１１／１４）｝
A43C1/006	｛背部ひも，すなわち，旧来の前部のひもに代わって，または追加的に足の背部に配置されたひも｝
A43C1/02	弾性のある靴ひもを有するもの
A43C1/04	リングまたはループを有するもの
A43C1/06	引きひもにより締めるもの
A43C3/00	靴ひも用フック（板金から製作Ｂ２１Ｄ５３／４６）；フック用保護具
A43C3/02	案内ローラを有する靴ひもフック
A43C3/04	ばね付き安全フック
A43C5/00	鳩目（鳩目打機Ａ４３Ｄ１００／００）
A43C7/00	靴ひもの保持具
A43C7/005	｛保持具が旧来の結び目または締め付けられた結び目の一部を保持するための手段を有するもの｝
A43C7/02	ひも通し片；ポケット
A43C7/04	蝶番付きの保持具
A43C7/06	弾性バンド
A43C7/08	靴ひもにより引き締められるクランプ
A43C9/00	靴ひも；織物，皮革，またはプラスティックで作られた衣服用の一般の靴ひも
A43C9/02	ひも先金具を有するもの，ボタンを，または装飾用のふさをもつもの
A43C9/04	プラスティック，セルロイド，ゴム，または類似のものによる靴ひも端部の成形
A43C9/06	取外し自在な靴ひも端部
A43C9/08	紙製またはワイヤー製
A43C11/00	靴用の特別なその他の緊締具（衣服用留め具一般Ａ４４Ｂ）
A43C11/002	｛甲皮の切れ目に取り付けられた伸縮性材料を用いた緊締具｝
A43C11/004	｛甲皮の上端に沿って固定された緊締具｝
A43C11/006	｛弾性緊締具｝
A43C11/008	｛組み合わされた緊締具，例．解き放ちまたは緊締を加速するためのもの｝
A43C11/02	ボタン
A43C11/04	飾りボタン；それと同種の緊締具
A43C11/06	スナップボタン
A43C11/08	フック；回転できるフック
A43C11/10	数個の舌片を有するフック
A43C11/12	ファスナー
A43C11/14	クランプによるもの，｛例．ストラップ緊締具｝；クランプ付きバックルによるもの；トッグルレバーを有するもの
A43C11/1406	｛トッグルレバーを有するもの；そのための装置｝
A43C11/1413	｛トッグルレバーを緊締するための装備｝
A43C11/142	｛靴に調整手段を備えるトッグルレバーを有する緊締具，例．ラック｝
A43C11/1426	｛履物に対するラックの取り付けに特徴のあるもの｝
A43C11/1433	｛トッグルレバーの緊締動作に必要な力を低減する手段に特徴のあるもの｝
A43C11/144	｛緊締手段が緩められた位置にある時にラック上の好ましい位置を保持する手段に特徴のあるもの｝
A43C11/1446	｛緊締手段の損傷または不測の緩みを防止する特別な保護手段に特徴のあるもの｝
A43C11/1453	｛ラック上の歯の形状に特徴のあるもの｝
A43C11/146	｛ストラップに調節手段を備えるトッグルレバーを有する緊締具，例．ラチェットストラップ｝
A43C11/1466	｛トッグルレバーの緊締動作に必要な力を低減する手段に特徴のあるもの｝
A43C11/1473	｛緊締手段が緩められた位置にある時にストラップ上の好ましい位置を保持する手段に特徴のあるもの｝
A43C11/148	｛緊締手段の損傷または不測の緩みを防止する特別の保護手段に特徴のあるもの｝
A43C11/1486	｛ラチェットストラップ上の歯の形状に特徴のあるもの｝
A43C11/1493	｛ホックおよびループ型の緊締具を有するストラップ緊締具｝
A43C11/16	ワイヤ，ボルト，または類似のものによって取付けられた緊締具
A43C11/165	｛ケーブル，靴ひもまたはストラップを回転により巻き上げるスプール，リールまたはプーリーに特徴のあるもの｝
A43C11/18	不精ばさみ式緊締具
A43C11/20	舌片に設けられた引き締め具によって緊締するもの
A43C11/22	鳩目間に弾性引き締め部品を有する止め具，例．締め金，スプリング，バンド
A43C11/24	緊締機能を有する靴用の装飾バックルまたは他の装飾具（バックル一般Ａ４４Ｂ１１／００）
A43C13/00	耐摩耗用付属物
A43C13/02	底またはかかと用の金属板
A43C13/04	クリート；鋲；ねじ釘；鋲釘
A43C13/06	靴底のコバ，特にスキー靴用のもの，につける付属品
A43C13/08	ゴム，プラスチック，皮革，フェルトまたは類似部品によるもの
A43C13/10	ワイヤで作られたもの
A43C13/12	取外しできる金属製の保護底（金属底Ａ４３Ｂ３／１０）
A43C13/14	つま先部用特殊付属品；つま先部用保護キャップ
A43C15/00	滑り止め具または付属具（柱，樹木または類似のものに登るための装置Ａ６３Ｂ２７／００）
A43C15/005	｛釘，ピン｝
A43C15/02	底に取付けられるもの
A43C15/04	かかとに取り付けられるもの
A43C15/06	氷をつかむ器具または付属具，例．氷上かんじき，氷上クリート，氷上クリーパー，アイゼン；登はん具または付属具，｛例．登山用かなもの｝（Ａ４３Ｃ１５／０９が優先；蹄鉄用氷上かんじきＡ０１Ｌ７／０８）
A43C15/061	｛氷をつかむ器具または付属具，例．氷上クリート，氷上クリーパー｝
A43C15/063	｛氷をつかむ手段が足の前部から突出するもの｝
A43C15/065	｛氷をつかむ手段がかかとのすぐ前の部分から突出するもの｝
A43C15/066	｛氷をつかむ手段がかかとの部分から突出するもの，例．氷上かんじき｝
A43C15/068	｛登はん具または付属具，例．氷河アイゼン，登山用かなもの｝
A43C15/08	転換できる氷上用アイゼン
A43C15/09	傾斜面を歩くための履物と組合さって傾斜角度を補償する機器
A43C15/10	ワイヤ，チェンまたは他の網目材で作られた滑り止め付属品
