A43D1/00	足または靴型の測定装置；靴部品の測定装置
A43D1/02	足の測定装置（診断目的のための身体の形，型または大きさの測定Ａ６１Ｂ５／１０３，例．身体の寸法を測定するものＡ６１Ｂ５／１０７）
A43D1/022	｛足跡または永久的な足型の作成を含むもの｝
A43D1/025	｛足の測定または検査に光学的手段，例．鏡，光電池，を用いるもの｝
A43D1/027	｛靴のサイズ適合性表示装置｝
A43D1/04	靴型の測定装置
A43D1/06	靴の内側寸法，かかと高さ，またはかかと配置の測定装置
A43D1/08	靴部品の測定装置
A43D3/00	靴型
A43D3/02	製造用靴型または修理用靴型（木型の製造Ｂ２７Ｍ３／２０）
A43D3/021	｛整形外科用の履物のためのもの｝
A43D3/022	｛靴の部品を靴型に保持，固定または中心に位置させるための手段，例．ホック，からなるもの｝
A43D3/023	｛接合された部分からなる靴型用の蝶番構造｝
A43D3/024	｛前部とかかと部が傾斜した裁断線に沿って相対的に互いの方向に摺動可能な靴型｝
A43D3/025	｛縦方向に伸張可能な靴型｝
A43D3/026	｛ゴム履物の製造用または履物へのゴム底の加硫用の靴型｝
A43D3/027	｛交換可能な部品，例．形状変更または改造のためのもの，を有する靴型｝
A43D3/028	｛靴型用のタックスを保持する手段｝
A43D3/029	｛かかと部の構成的特徴｝
A43D3/04	空気入り靴型；形弾性靴型
A43D3/06	靴型用の楔状係止具
A43D3/08	靴の特定部分の伸張具
A43D3/10	靴型抜取り装置
A43D3/12	靴型そう入または再そう入具
A43D3/14	伸張または拡張できる靴型；保形用靴型；詰め物；靴型状保持具（履物を乾燥するものＡ４７Ｌ２３／２０）
A43D3/1408	｛靴の加熱または乾燥のための装置｝
A43D3/1416	｛長靴の保形用靴型｝
A43D3/1425	｛底の伸張装置｝
A43D3/1433	｛靴の保形用靴型｝
A43D3/1441	｛靴の幅を拡張するもの，すなわち，横方向に拡張可能なもの｝
A43D3/145	｛調節可能なもの｝
A43D3/1458	｛ねじによるもの｝
A43D3/1466	｛靴の長さを伸張するもの，すなわち，縦方向に伸張可能なもの｝
A43D3/1475	｛調節可能なもの｝
A43D3/1483	｛ねじによるもの｝
