A44C1/00	装飾用のブロ−チまたは止め具
A44C3/00	メダル；バッジ
A44C3/001	｛バッジ｝
A44C3/002	｛名誉バッジ，例．装飾用のリボン保持具｝
A44C3/004	｛メダル｝
A44C3/005	｛単一片から作成されたもの｝
A44C3/007	｛部分に分割できるもの，例．２人で装着できるようになるもの｝
A44C3/008	｛吊り下げるひも輪または輪｝
A44C5/00	腕輪；腕時計バンド；腕輪や腕時計バンドの締め金具｛（宝石の支持台または類似のものＡ４７Ｃ１７／０２；腕輪を身に付けたり取り外すための装置Ａ４７Ｇ２５／９０１）｝
A44C5/0007	｛他の機能に特に適合された腕輪または他の物品を取り付けるための手段をもつもの｝
A44C5/0015	｛情報を提供するもの，例．カレンダー付きの腕輪（本人証明用の腕輪Ｇ０９Ｆ３／００５）｝
A44C5/0023	｛治療目的のためのもの｝
A44C5/003	｛収納部分を有するもの｝
A44C5/0038	｛鍵を取り付ける手段を有するもの（Ａ４４Ｃ５／００３が優先）｝
A44C5/0046	｛筆記具またはメモ用紙を取り付ける手段を有するもの（Ａ４４Ｃ５／００１５およびＡ４４Ｃ５／００３が優先）｝
A44C5/0053	｛可撓性のバンド｝
A44C5/0061	｛基本的に金属で作られたもの（Ａ４４Ｃ５／００７６が優先）｝
A44C5/0069	｛広げることができるもの｝
A44C5/0076	｛基本的に金属で作られたもの｝
A44C5/0084	｛輪，帯または管の形状の剛体材料の腕輪（Ｃ形ばね状腕輪Ａ４４Ｃ５／１２）｝
A44C5/0092	｛基本的に金属で作られたもの｝
A44C5/02	輪の構成
A44C5/022	｛少なくとも一つのフィラメント核に通したリンクのあるもの（真珠からなる装飾用鎖Ａ４４Ｃ１１／００２）｝
A44C5/025	｛バンドに通した輪のあるもの｝
A44C5/027	｛バンドも輪からなるもの｝
A44C5/04	広げることのできるもの｛（Ａ４４Ｃ５／０２２およびＡ４４Ｃ５／０２５が優先）｝
A44C5/06	不精ばさみをもっているもの
A44C5/08	分離した輪をもっているもの
A44C5/10	広げることができないもの｛（Ａ４４Ｃ５／０２２およびＡ４４Ｃ５／０２５が優先）｝
A44C5/102	｛一体結合手段を有する単一片からなる輪のあるもの｝
A44C5/105	｛一つの結合要素により互いに連結された単一片からなる輪のあるもの｝
A44C5/107	｛結合要素を含む二またはそれ以上の結合要素からなる輪のあるもの｝
A44C5/12	Ｃ形ばね状腕輪または腕時計の保持具
A44C5/14	腕時計または類似物の緊締の方法に特徴があるもの
A44C5/142	｛コード形のバンド｝
A44C5/145	｛ホック｝
A44C5/147	｛それ自身が締め金具として用いられる時計箱｝
A44C5/16	バンドを折りたたむことによるもの
A44C5/18	バンドの締め金具，｛鎖または類似物｝（バックルＡ４４Ｂ１１／００）
A44C5/185	｛バンドまたは鎖への締め金具の取り付け｝
A44C5/20	開放端をもつバンド，｛鎖または類似物｝のためのもの
A44C5/2004	｛南京錠｝
A44C5/2009	｛輪型のもの｝
A44C5/2014	｛ばね輪型のもの｝
A44C5/2019	｛ホック｝
A44C5/2023	｛滑りホック｝
A44C5/2028	｛ばね閉止手段のあるもの｝
A44C5/2033	｛枢動閉止手段を備えるホック｝
A44C5/2038	｛スイベル｝
A44C5/2042	｛回転式固定レバ−を有する締め金具｝
A44C5/2047	｛Ｖ字形ばね舌片オス型部材を備える締め金具｝
A44C5/2052	｛締め金具の主面に平行かつ締め付け方向に垂直に動作する少なくとも一つの押しボタンを備える締め金具（Ａ４４Ｃ５／２０４７が優先）｝
A44C5/2057	｛締め金具のオス部を滑動または回転させることにより係止する締め金具；回しボタン式締め金具｝
A44C5/2061	｛ばね手段と組み合わされたもの｝
A44C5/2066	｛締め金具の主面に平行かつ締め付け方向に垂直に動作する係止手段を有する締め金具｝
A44C5/2071	｛バンドまたは鎖の両端が互いに重なり合いかつその両端の主面に垂直な動作により固定されるもの（Ａ４４Ｃ５／２００９〜Ａ４４Ｃ５／２０５７が優先）｝
A44C5/2076	｛バンドまたは鎖の両端が互いに接し合いまたはその両端の主面またはそれらの両端の主面に平行な面において滑動するもの（Ａ４４Ｃ５／２００９〜Ａ４４Ｃ５／２０６１が優先）｝
A44C5/208	｛互いにねじ留めされたもの｝
A44C5/2085	｛両端がバンドまたは鎖の主面を横断する方向に滑動するもの｝
A44C5/209	｛真珠のネックレスまたは腕輪に特に適合された締め金具｝
A44C5/2095	｛数連の真珠を保持する手段を備えるもの｝
A44C5/22	開放端をもたないバンドのためのもの
A44C5/24	折りたたみ装置によるもの
A44C5/243	｛自動で折りたたむばね閉止｝
A44C5/246	｛サイズ調節手段のあるもの｝
A44C7/00	耳輪；耳たぶを通す装置
A44C7/001	｛耳たぶを通す装置｝
A44C7/002	｛交換式の装飾具を有する耳輪｝
A44C7/003	｛耳用の鋲またはその受け具｝
A44C7/004	｛耳用のクリップ｝
A44C7/005	｛単一片から作られたもの｝
A44C7/006	｛枢動可能な背面把持アームのあるもの｝
A44C7/007	｛背面アームの上端に挟持部材，例．枢動可能なもの，が取り付けられたもの｝
A44C7/008	｛軸方向に移動可能なもの｝
A44C7/009	｛耳の上部を覆う耳輪｝
A44C9/00	指輪｛（宝石または類似物の支持台Ａ４４Ｃ１７／０２）｝
A44C9/0007	｛いくつかの輪からなるもの｝
A44C9/0015	｛互いに接続されまたは連結されたもの｝
A44C9/0023	｛分離可能な方法で｝
A44C9/003	｛回転可能な方法で｝
A44C9/0038	｛開けられるものまたは安全な方法で壊すことができるもの｝
A44C9/0046	｛ヒンジからなるもの｝
A44C9/0053	｛特別な機能をもつもの｝
A44C9/0061	｛拘束用品｝
A44C9/0069	｛収納用品，例．錠剤｝
A44C9/0076	｛いくつかの指にまたは指の間に着用されるもの｝
A44C9/0084	｛付属品｝
A44C9/0092	｛輪の保護具｝
A44C9/02	調節できるもの
A44C11/00	時計用鎖；装飾用鎖｛（時計または装飾用鎖用の締め金具Ａ４４Ｃ５／１８）｝
A44C11/002	｛真珠からなる装飾用鎖（ロザリオＡ４４Ｃ２３／００；そのような鎖の製造Ｄ０４Ｄ９／００）｝
A44C11/005	｛摩擦箱の調節器のあるもの｝
A44C11/007	｛テニスタイプ｝
A44C13/00	結合した宝石細工
A44C15/00	他の形状の宝石細工
A44C15/0005	｛人体上に付着可能な宝石｝
A44C15/001	｛他の宝石に変形可能な宝石，例．耳輪に変形可能な指輪｝
A44C15/0015	｛照明付きのまたは音を発する宝石｝
A44C15/002	｛香水または類似のものを散布する宝石｝
A44C15/0025	｛裏返すことが可能なまたは二面を持った宝石｝
A44C15/003	｛宝石を拘束または保持する物品，例．眼鏡｝
A44C15/0035	｛刺す形式の宝石（耳輪Ａ４４Ｃ７／００）｝
A44C15/004	｛モノグラムまたは他の銘刻を有する宝石｝
