A47D1/00	子供用いす
A47D1/002	｛調整可能なもの｝
A47D1/004	｛高さについてのもの｝
A47D1/006	｛取り外しできるもの｝
A47D1/008	｛トレイ付きのもの（子供用の机と組み合わされたいすＡ４７Ｄ３／００）｝
A47D1/0081	｛調整可能なもの｝
A47D1/0083	｛作動しない位置へ移動可能なもの｝
A47D1/0085	｛取り外し可能なもの｝
A47D1/02	折りたたみいす｛（折りたたみ揺動いすＡ４７Ｄ１３／１０１）｝
A47D1/023	｛高いす型のもの｝
A47D1/04	高いすから低いすに変えることができるもの，｛例｝．転倒させることによって
A47D1/06	手押しいすに変えることができるもの
A47D1/08	揺動いすに変えることができるもの
A47D1/10	机その他の家具に吊り下げ，取付けることのできるもの
A47D1/103	｛大人用のいすに取付けることのできるもの｝
A47D1/106	｛机に取付けることのできるもの｝
A47D3/00	子供用机｛（学校用長いすＡ４７Ｂ３９／００；学校用机またはテーブルＡ４７Ｂ４１／００）｝
A47D3/001	｛座席を囲むもの｝
A47D3/005	｛旋回または移動可能な，任意に持ち上げて傾げることのできる子供用いすを取り付けたもの｝
A47D5/00	子供用化粧台｛またはおむつ取替用支持具｝
A47D5/003	｛壁に取付けられたもの｝
A47D5/006	｛折りたたみできるもの｝
A47D7/00	子供用ベッド
A47D7/002	｛折りたたみできるもの｝
A47D7/005	｛取り外しできるもの｝
A47D7/007	｛他の子供用家具，例．引き出したんす，と組み合わせた子供用ベッド｝
A47D7/01	調節可能部を有するもの，例．子供の成長に従って長さを合わせるもの
A47D7/02	低くできる側板を備えたもの
A47D7/03	調節可能に取り付けられたマットレスを備えたもの
A47D7/04	窓わくその他の物品に吊り下げ，または取付け可能なもの
A47D9/00	ゆりかご；かご型ベッド
A47D9/005	｛折りたたみできるもの｝
A47D9/008	｛取り外しできるもの｝
A47D9/012	｛調節可能部を有するもの｝
A47D9/016	｛その他の物品または構造，例．大人用のベッド，に吊り下げ，または取付け可能なもの｝
A47D9/02	揺動装置を有するもの
A47D9/04	分離可能の揺れ軸を備えたもの
A47D9/053	｛湾曲した揺動部材を有するもの｝
A47D9/057	｛電動機により駆動されるもの｝
A47D11/00	他のものに変えられる子供用家具，例．ベッドにすることができる子供用いすまたはベンチ｛または組み立て式玩具用家具｝
A47D11/002	｛机に変えられる子供用いす｝
A47D11/005	｛他のものに変えられる子供用ベッド｝
A47D11/007	｛子供用囲いに変えられる子供用ベッド｝
A47D11/02	子供用いすに変えられるいす
A47D13/00	他の子供用家具
A47D13/02	幼児運搬具；持運びのできる幼児用寝台
A47D13/025	｛幼児をそこに座らせたまま運搬するためのもの｝
A47D13/027	｛堅い枠を有する幼児運搬具｝
A47D13/029	｛腰ベルトのみを有する幼児運搬具｝
A47D13/04	幼児用歩行補助器；幼児歩行器，巡遊器
A47D13/043	｛座席を有する幼児歩行器｝
A47D13/046	｛幼児の歩行補助用引き具｝
A47D13/06	子供用｛玩具｝囲い
A47D13/061	｛折りたたみできるもの｝
A47D13/063	｛柔らかい壁を有するもの｝
A47D13/065	｛堅い壁を有するもの｝
A47D13/066	｛取り外しできるもの｝
A47D13/068	｛拡張できるもの｝
A47D13/08	子供を誘導または支持する装置，例．安全引き具
A47D13/083	｛授乳用クッション｝
A47D13/086	｛既に歩ける幼児用の安全引き具｝
A47D13/10	揺動いす；｛屋内｝ぶらんこ；｛幼児のお守り｝
A47D13/101	｛折りたたみできる揺動いす｝
A47D13/102	｛地面に置かれる湾曲した揺動部材を有するもの｝
A47D13/105	｛枢動可能に枠に取付けられたもの｝
A47D13/107	｛弾性的に懸架または支持されるもの，例．幼児のお守り｝
A47D15/00	子供用家具の付属品，例．安全ベルトまたは哺乳ビンホルダー
A47D15/001	｛マットレス｝
A47D15/003	｛折りたたみできるもの，例．乳幼児用マット｝
A47D15/005	｛拘束装置，例．安全ベルト，異形クッションまたは側面バンパー｝
A47D15/006	｛いすにおけるもの｝
A47D15/008	｛ベッド，玩具囲いまたはゆりかごにおけるもの｝
A47D15/02	幼児がベッドカバーを転落させるのを防ぐためのベッドカバー支持具
