A47H1/00	カーテン吊り下げ装置
A47H2001/003	｛棒とレールに共通する構造的細部｝
A47H2001/006	｛エンドストップ，すなわちレールまたは棒の端からのカーテンの落下を防ぐための装置｝
A47H1/02	カーテン棒｛（階段敷物押えＡ４７Ｇ２７／０６）｝
A47H2001/0205	｛湾曲したもの｝
A47H2001/021	｛平行な装置における多数の棒｝
A47H2001/0215	｛管状であるもの｝
A47H1/022	伸縮可能なもの
A47H1/03	戸または窓とともに回転するように回転可能に取りつけられたもの
A47H1/04	カーテンレール
A47H2001/042	｛カーテン棒の形状をしたカーテンレール｝
A47H2001/045	｛湾曲したもの｝
A47H2001/047	｛多数の線路を有するもの｝
A47H1/06	固定されたもの
A47H1/08	伸縮可能のもの
A47H1/10	カーテン棒またはレールを取り付ける装置
A47H1/102	カーテン棒を取りつけるためのもの（Ａ４７Ｈ１／１２，Ａ４７Ｈ１／１４が優先）
A47H1/104	カーテンレールを取り付けるためのもの（Ａ４７Ｈ１／１２，Ａ４７Ｈ１／１４が優先）
A47H1/12	調節可能な取り付け具
A47H1/122	カーテン棒用のもの
A47H1/124	カーテンレール用のもの
A47H1/13	ブラケットまたは巻き込み日よけおよび引出し可能なカーテンに調節可能に取り付けられる取り付け具
A47H1/14	棒またはレールを支持するブラケット
A47H1/142	棒を支持するためのもの
A47H1/144	レールを支持するためのもの
A47H1/16	針金製のカーテン棒保持具，｛レールまたはローラー｝
A47H1/18	その他のカーテン吊り下げ装置，例．針金，ひも，｛ばね｝
A47H1/19	針金，ひもまたは類似物を取付ける装置
A47H2/00	ペルメットまたは類似物
A47H2/02	伸縮可能なもの
A47H3/00	カーテンまたは類似物の帯またはひもを定着締付け，または誘導する装置
A47H3/02	帯またはひもを定着，締付け，または誘導する装置
A47H3/04	自動ひも締付け
A47H3/06	非自動ひも締付け
A47H3/08	２本のひもを有するカーテン用ひも引張り装置
A47H3/10	ひも誘導器｛（ひもの案内滑車Ａ４７Ｈ１１／０６）｝
A47H3/12	帯条保持具；帯条ローラ；帯条引張り装置
A47H5/00	たれ幕，カーテンまたは類似物を引き出す装置
A47H5/02	カーテン開閉装置
A47H2005/025	｛電子センサーにより制御されるもの｝
A47H5/03	誘導手段および押引棒を有する装置
A47H5/032	誘導手段および引きひもを有する装置（ひもの案内滑車Ａ４７Ｈ１１／０６）
A47H5/0325	｛電気的または電子的駆動，検出または制御手段を用いるもの｝
A47H5/04	レージートングを有する装置
A47H5/06	棒またはスピンドルにねじ溝を設けたもの
A47H5/08	戸または窓に取付けられたたれ幕引き出し装置
A47H5/09	戸または窓からカーテンを揺れ動かせて離れさせる装置
A47H5/14	カーテンまたは類似物を引下げる道具｛（カーテン棒を移動するためのものＡ４７Ｈ７／０２）｝
A47H7/00	カーテン棒を持上げおよび移動させる装置
A47H7/02	引下げ可能のカーテン棒
A47H11/00	カーテンの操作ひもの付属品
A47H11/02	カーテンを操作するためにカーテンひもに取り付けたつかみ具
A47H11/04	端に取り付けたクリップ，例．ふさ用のもの
A47H11/06	ひもの案内滑車｛（誘導手段および引きひもを有する装置Ａ４７Ｈ５／０３２）｝
A47H13/00	カーテン棒またはカーテンレール上へのカーテンの取り付け
A47H13/01	締付け具によるもの；フックまたはリングに取り付けた締付け具によるもの
A47H13/02	リングによるもの，例．付加的なランナーを有するもの
A47H13/04	フックによるもの，例．付加的なランナーを有するもの（特にひだ帯に適用されたフックによるものＡ４７Ｈ１３／１６）
A47H13/06	ピンによるもの，例．付加的なランナーを有するもの
A47H13/14	ひだを作るための装置
A47H13/16	ひだ帯；特にひだ帯に適用したフック
A47H15/00	カーテンをレールまたは棒上に支持するランナーまたは滑り
A47H2015/005	｛カーテンレールからランナーまたは滑りを挿入または取外しするための装置｝
A47H15/02	ランナー
A47H15/04	滑り
A47H19/00	カーテンを支持するばら結び；花づな支持具
A47H21/00	カーテン保護わく
A47H23/00	カーテン；たれ幕（シャワーカーテン装置Ａ４７Ｋ３／３８）
A47H2023/003	｛カーテンレールの装飾のための付加的要素｝
A47H2023/006	｛照明装置｝
A47H23/01	吊りカーテンを拡げるための底部の横木；カーテンの閉鎖を改善するための磁石，滑り留め具または類似物
A47H23/02	カーテンの形状；カーテンとして用いられる特別な材料の選択
A47H2023/025	｛パネル型カーテン｝
A47H23/04	カーテンの形状
A47H23/05	鎖または鎖かたびらのもの；自由に吊り下げた細片または薄板のもの
A47H23/06	背後の透明または貫通部と協同する２つまたはそれ以上のカーテンからなるシステム
A47H23/08	特別な材料を用いたもの
A47H23/10	材質がプラスチックまたは類似物のもの
A47H23/12	材質が紙または厚紙のもの
A47H23/14	材質が補強棒，例．木製，を有する織物のもの
A47H27/00	花を保持するための箱，たな，保持具または類似の支持具（植物を支えるために改造された窓Ｅ０６Ｂ７／２８）
A47H99/00	このサブクラスの他のグループには分類されない主題事項
A47H2201/00	カーテンを接続するための手段
A47H2201/01	磁石
A47H2201/02	面ファスナー
