A61G1/00	担架
A61G1/003	病人または病弱者を移乗する設備を有するもの，例．分離型またはエンドレスベルトを使用するもの（病弱者リフト装置一般Ａ６１Ｇ７／１０）
A61G1/007	スキーまたはそり等の滑走部を有するもの（スキー乗物Ａ６３Ｃ５／００）
A61G1/01	担架としてまたは担架と共に使用するのに特に適合させたシーツ（看護用拘束用具Ａ６１Ｆ５／３７）
A61G1/013	折り重ねまたは折りたたみの可能なもの（Ａ６１Ｇ１／０１７が優先）
A61G1/017	いすに変換可能なもの
A61G1/02	車輪を有するもの
A61G1/0206	｛担架が延長された場合の支持輪の数によって特徴づけられるもの｝
A61G1/0212	｛長手方向の同じ位置に二つの車輪を持っている一組のもの，例．同じ軸上に｝
A61G1/0218	｛長手方向の同じ位置に三つの車輪を持っている一組のもの，例．同じ軸上に｝
A61G1/0225	｛その他の構成，例．奇数の車輪数｝
A61G1/0231	｛固定ホイールのみをもつもの｝
A61G1/0237	｛少なくとも1つの回転ホイールをもつもの，例．キャスター｝
A61G1/0243	｛ロック可能な旋回操作，例．特定方向に固定されるキャスター（キャスターの旋回運動の固定一般Ｂ６０Ｂ３３／０２）｝
A61G1/025	｛補助輪をもつもの，例．拡張位置で地面に触れないホイール｝
A61G1/0256	｛担架が低い位置にあるときに支える専用の車輪をもつもの，例．折り畳まれた脚の上にあるもの｝
A61G1/0262	｛前部に積載用の車輪をもつもの｝
A61G1/0268	｛展開可能または引き込み式の車輪をもつもの｝
A61G1/0275	｛駆動輪をもつもの，例．電動の｝
A61G1/0281	｛ステアリング装置をもつもの｝
A61G1/0287	｛ブレーキをもつもの，例．減速および/または保持するもの（キャスターのブレーキアクチュエータの細部　Ｂ６０Ｂ３３／００７８；ハンドカートのブレーキ　Ｂ６２Ｂ５／０４；ブレーキ一般　Ｆ１６Ｄ４９／００−Ｆ１６Ｄ６５／８５３）｝
A61G1/0293	｛車輪を有する担架支持具，例．車輪のない担架に使用されるもの（車輪のない担架支持具）｝
A61G1/04	部品，細部または付属品，例．担架に特に適合させヘッドレスト，フットレスト，または類似のささえ
A61G1/042	｛懸架手段｝
A61G1/044	ひも，バンドまたはベルト
A61G1/048	ハンドル
A61G1/052	支柱，円材または脚部
A61G1/056	回転脚
A61G1/0562	｛独立して折りたためるもの，すなわち脚の折りたたみ運動の少なくとも一部が同時ではないもの｝
A61G1/0565	｛同時に行われる折りたたむもの，例．平行四辺形構造｝
A61G1/0567	｛Ｘ字形に折りたたむもの｝
A61G1/06	担架，例．乗物の中または上に置かれる，の支持具
A61G3/00	傷病者運搬用車両；病弱者のための特別な設備を有する車両，例．車椅子の乗り入れまたは積込みを容易にするためのもの
A61G3/001	｛手術や検査をするための医療機器を搭載した車両｝
A61G3/003	｛補助席，例．患者に対応する医師のためのもの｝
A61G3/005	｛折り畳み式の座席｝
A61G3/006	｛加速による病人への影響を少なくする手段，例．運搬台のサスペンションシステム（衝撃から積載されているものを固定するためもの一般Ｂ６０Ｐ７／１６）｝
