A63C1/00	スケート（ローラスケートまたはスケートボードＡ６３Ｃ１７／００）
A63C1/02	靴底に固定したもの
A63C1/04	留め金によって固定したもの
A63C1/06	留め金がソールプレートとヒールプレートについているもの
A63C1/08	留め金が底と踵に同時にとりつけられたもの
A63C1/10	足を動かすことによってとりつけられたもの
A63C1/12	プレートまたはスケートを横に動かしまたは移動させることによりしまるもの
A63C1/14	スプリングによってしまるもの
A63C1/16	留め金固定手段の特殊構造
A63C1/18	紐によって固定されるもの
A63C1/20	靴の特殊金属部分に固定手段を有するもの
A63C1/22	特殊な靴金を有するもの
A63C1/24	弾性板
A63C1/26	足の大きさに調節できるように２つの部分にわかれたもの
A63C1/28	廻転できる取付板
A63C1/30	特殊なブレードを有するもの
A63C1/303	
A63C1/306	
A63C1/32	単純なブレードの特殊な構造
A63C1/34	多部分からなるブレード
A63C1/36	数種のブレードを有するもの
A63C1/38	管状のもの
A63C1/40	一体に作られたもの
A63C1/42	スケートの製造
A63C3/00	スケートの付属品
A63C3/02	足の関節をささえるもの（足支持部分を有する履物Ａ４３Ｂ７／１４）
A63C3/04	スケータ用の支え枠または滑走物
A63C3/06	靴にスケートを紐でしばるのに用いる支持体
A63C3/08	スケートのブレードに用いる特殊な釘
A63C3/10	ブレードを研磨する補助装置
A63C3/12	スケートブレード用防具
A63C3/14	スケート用鍵
A63C5/00	スキー　｛（スキー乗物Ｂ６２Ｂ１３／００）｝
A63C5/003	｛上部滑走面の構造，カバーまたは装飾｝
A63C5/006	｛スキーの先端部，後端部，または上部スキーエッジの外観｝
A63C5/02	折りたたみのできるもの；分割のできるもの
A63C5/025	
A63C5/03	モノスキー；　｛雪上スキー板｝
A63C5/031	｛２またはそれ以上の滑走部からなる雪上スキー板，または互いに乗り手を支持するプラットフォームが結合しているスキー｝
A63C5/033	｛モノスキーとして普通に使用できるための装置，例．スキー靴を並べて支持するためのスキー上に固定されたプラットフォーム｝
A63C5/035	地上係合ロールまたはベルトを備えたスキー
A63C5/04	滑走面の構造
A63C5/0405	
A63C5/0411	
A63C5/0417	
A63C5/0422	｛縦のガイド溝｝
A63C5/0428	｛他の浮き彫りにした滑走底部（歯状滑走面板Ａ６３Ｃ７／０６）｝
A63C5/0434	
A63C5/044	滑走底部の構造
A63C5/048	エッジの構造
A63C5/0485	｛補助的なまたは補足的なスキーエッジ｝
A63C5/052	先端部または後端部の構造
A63C5/056	滑走底部の材料
A63C5/06	スキーの部分的特殊装置，例．操舵手段
A63C5/061	｛スキー靴の底の雪落とし｝
A63C5/062	｛スキーの先端部またはスキーの後端部を防護または補強する装置｝
A63C2005/063	回転または類似の装置
A63C5/065	交叉防止装置
A63C5/07	スキーの硬度を調節する手段
A63C5/075	防振器（防振器それ自体Ｆ１６Ｆ７／００参照）
A63C5/08	動力駆動のスキー（Ａ６３Ｃ５／０３５が優先；　｛スキーを牽引するための機器Ａ６３Ｃ１１／１０｝）
A63C5/085	｛回転または類似の装置を有するもの｝
A63C5/11	帆またはその類似物と組合わせたスキー　｛特に帆走スキーに適合した付属品｝
A63C5/12	スキーの製造；特殊材料の選択（滑走底部の材料Ａ６３Ｃ５／０５６）
A63C5/122	｛防振目的のための特殊材料の選択，例．ゴムまたは類似のもの｝
A63C5/124	｛上部滑走面のための特殊材料の選択｝
A63C5/126	
A63C5/128	
A63C5/16	お互いが特殊形態を保ちながらスキーが使用できる装置（例．訓練装置）
A63C7/00	スキーの後滑り防止装置；スキーストッパーまたはスキーブレーキ
A63C7/005	｛靴によって作動される，スキーの逆滑り防止装置｝
A63C7/02	皮；皮の代用品
A63C7/04	皮を固定する装置
A63C7/06	歯状滑走面板
A63C7/08	操作位置に常にあり，スキーに取付ける停止刃
A63C7/10	操作位置からとり去ることができ，スキーに取付できる蝶番止めされている停止刃　｛（現在この分類は使用していない，サブグループ参照）｝
A63C7/1006	｛スキーストッパー（現在この分類は使用していない，サブグループ参照｝
A63C7/1013	｛靴によって作動（Ａ６３Ｃ７／１０６が優先；現在この分類は使用していない，サブグループ参照）｝
A63C7/102	｛一つの横断軸の回りに連結されもの｝
A63C7/1026	｛滑走面の上に横に格納されるもの｝
A63C7/1033	｛少なくとも２つの横断軸の回りに連結されたもの｝
A63C7/104	｛滑走面の上に横に格納されるもの｝
A63C7/1046	｛スキー締具によって作動するもの（Ａ６３Ｃ７／１０６が優先）｝
A63C7/1053	｛滑走面の上に横に格納されるもの｝
A63C7/106	｛縦軸の回りに連結されたもの｝
A63C7/1066	｛モノスキーまたは雪上スキー板のためのもの｝
A63C7/1073	｛スキーブレーキ（現在この分類は使用していない，サブグループ参照）｝
A63C7/108	｛手で作動されるもの，例．杖の使用，足または靴によるもの｝
A63C7/1086	｛他の手段で作動するもの，例．電気，空気または水力手段によるもの｝
A63C7/1093	｛詳細｝
A63C7/12	横滑り防止の留め金
A63C9/00	スキー締具
A63C9/001	｛耐摩擦装置｝
A63C9/002	｛紐体または掛け金によるふた｝
A63C9/003	｛スキー上に固定された非回転底板｝
A63C9/005	｛長さまたは高さが調節可能なもの｝
A63C9/0053	
A63C9/0057	
A63C9/006	
A63C9/007	
A63C2009/008	
A63C9/02	回転底板または回転部分を有する自動的に解放しない締具，すなわちエレフゼンタイプ
A63C9/04	自動的に解放しないひも式締具
A63C9/06	スキーの前端に固定され踵と紐で係合する自動的に解放しない締具
A63C9/065	｛詳細，例．ケーブル，ケーブルガイド，ソケット，フック，鈎爪または伸張具｝
A63C9/08	事故の場合自動的にはずれるもの，すなわち安全締具
A63C9/0802	｛機械的に制御されない他のもの，例．電気，電子，水力，空気，磁気，火工品装置；遠隔制御（Ａ６３Ｃ９／０８８５が優先）｝
A63C9/0805	｛足指または踵ホルダの調節；そのための指示装置（爪先留め金具の調節Ａ６３Ｃ９／２２）｝
A63C9/0807	｛牽引と降滑とのためのもの｝
A63C9/081	回転底板を有するもの
A63C9/082	回転胱板を有するもの
A63C9/083	ゆるめることができる鋼索を有するもの
A63C9/084	胱固定具を有するもの，例．スウインガブル
A63C9/0841	
A63C9/0842	
A63C9/0843	
A63C9/0844	
A63C9/0845	
A63C9/0846	
A63C9/0847	
A63C9/0848	
A63C9/085	靴底固定具を有するもの，例．スウインガブル
A63C9/08507	｛現在この分類は使用していない，サブグループ参照｝
A63C9/08514	｛水平かつ垂直にスウインガブルまたは垂直のみスウインガブル（Ａ６３Ｃ９／０８５２１が優先）｝
A63C9/08521	｛水平または垂直にスウインガブルかつ少なくとも踏み板で部分的に作動されるスウインガブル｝
A63C9/08528	
A63C9/08535	｛側面の顎部からなるもの｝
A63C9/08542	
A63C9/0855	
A63C9/08557	
A63C9/08564	
A63C9/08571	
A63C9/08578	
A63C9/08585	
A63C9/08592	
A63C9/086	使用者の靴に取付けられ，スキー締具からとりはずせる部品を使用するもの
A63C9/088	電子的に制御された係止装置を有するもの
A63C9/0885	｛遠隔操作されるもの，例．スキーヤーによって｝
A63C9/10	自動的に解放しない爪先ばさみ金具；一体に作られた自動的に解放しない締具のフック
A63C9/12	自動的に解放しない弾性胱
