A63G1/00	回転木馬
A63G1/02	仮装トンネルを有するもの
A63G1/04	トボガンぞりを有するもの
A63G1/06	複数個の同心回転台を有するもの
A63G1/08	動力駆動のもの
A63G1/10	電気的に駆動するもの
A63G1/12	塔乗者自身が回転させるもの
A63G1/14	固定面に足を押圧して回転するものまたは走行により回転するもの
A63G1/16	把持輪の操作により回転するもの
A63G1/18	オールにより回転するもの
A63G1/20	振動または揺動により回転するもの
A63G1/22	座席用２輪車を有するもの
A63G1/24	水平面内円運動以外の運動をする座席を有するもの
A63G1/26	水平面内で遊星運動をする座席を有するもの
A63G1/28	遠心揺動可能に垂下された座席を有するもの
A63G1/30	上下動をする座席，例．形象を模した座席，を有するもの
A63G1/32	シーソーを構成する二つまたはそれ以上の座席を有するもの
A63G1/34	波形走行路を動く座席を有するもの
A63G1/36	半径方面に動き出ないぶらんこ状可動座席を有するもの
A63G1/38	揺動する回転台を有するもの
A63G1/40	傾斜支柱を付設したもの
A63G1/42	円錐形状のもの
A63G1/44	上下動をする回転台を有するもの
A63G1/46	ネジ付スピンドルにより動くもの
A63G1/48	回転台の回転により外側に動く乗物を有する回転木馬
A63G3/00	水上回転木馬，例．浮動自在体
A63G3/02	浮動座席を有するもの
A63G3/04	水泳者用のもの
A63G3/06	潜水回転木馬
A63G4/00	グループＡ６３Ｇ１／００またはＡ６３Ｇ３／００のうちの一つに限定されない回転木馬の付属具
A63G5/00	回転木馬に関するゲーム
A63G7/00	起伏走路；スイッチバック
A63G9/00	ぶらんこ
A63G9/02	二つの懸下軸を有するもの
A63G9/04	運動支点を有するもの
A63G9/06	よじ登りぶらんこ
A63G9/08	宙返りぶらんこ
A63G9/10	馬形，ズボン形または類似形の座席を有するもの
A63G9/12	懸下部の特殊留め金具
A63G9/14	弾性的に懸下したもの
A63G9/16	ロープ駆動，歯車駆動，ベルト駆動，モーター駆動などの駆動機構
A63G9/18	揺動する走行体により動くもの
A63G9/20	オール付ぶらんこ
A63G9/22	制動装置
A63G11/00	シーソー
A63G13/00	ゆりかごブランコ；揺動木馬；類似の地上設置物
A63G13/02	ゆりかごブランコ
A63G13/04	バネ支持式ゆりかごブランコ
A63G13/06	揺動木馬
A63G13/08	リンクまたはバネ上に設置するもの
A63G13/10	転用可能な取外しできる走行体を有するもの
A63G15/00	前進運動をする走行体上に設置した揺動木馬
A63G15/02	分割走行体を有するもの
A63G15/04	押進装置を有するもの
A63G17/00	馬頭付竹馬
A63G19/00	動物形乗物玩具
A63G19/02	歯止装置を有する車輪によらないで塔乗運動により進むもの
A63G19/04	偏心輪を有するもの
A63G19/06	平行四辺形結合により進む揺動式動物形乗物玩具
A63G19/08	歯止装置を有する車輪，例．脚部屈伸式，により前進するもの
A63G19/10	座席またはサドルの上下押圧によるもの
A63G19/12	振動によるもの
A63G19/14	あぶみまたはペダルを動かすことによるもの
A63G19/16	打つことにより前進するもの
A63G19/18	一歩づつ前進するもの
A63G19/20	モーター駆動によるもの
A63G21/00	すべり坂；ヘルタースケルター
A63G21/02	レールを有しないもの
A63G21/04	固定レールを有するもの
A63G21/06	車体の通過装置を有するもの
A63G21/08	車体の付帯的な回転を有するもの
A63G21/10	螺旋状走路を有するもの
A63G21/12	特殊な車体，例．馬形車体，を有するもの
A63G21/14	駆動滑走路を有するもの
A63G21/16	塔乗者を座席から強制移動させるもの
A63G21/18	水上すべり坂
A63G21/20	可動的に懸下した車体ないしはロープ上を動く車体を有する滑走路，または類似物
A63G21/22	懸下滑走路
A63G23/00	回転ポット乗物または揺動ポット乗物　｛例．全身を動かすことによるもの（敏捷性または動きの協調性を訓練するための回転運動または揺動運動Ａ６３Ｂ２２／１４，Ａ６３Ｂ２２／１６，Ａ６３Ｂ２２／１８）｝
A63G25/00	塔乗者自身が操縦する自動車に似た装置；その走行路
A63G27/00	ロシア式ぶらんこ；観覧車，例．フェリス観覧車
A63G27/02	座席支持体の特殊な運動を伴うもの
A63G27/04	傾動可能の軸を有するもの
A63G27/06	平面上で回転するもの
A63G27/08	回転木馬に設置したもの
A63G29/00	回転座席を設け，または設けない宙返りドラム　｛（使用者が動かすフープ鍛錬装置Ａ６３Ｂ１９／００）｝
A63G29/02	ドラムの底に位置する座席を有するもの
A63G31/00	娯楽装置｛（使用者が動かすフープ鍛錬装置Ａ６３Ｂ１９／００）｝<br><br><u>｛注</u><br><br>このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。―ここに分類されている文献は，さまざまな娯楽装置；自転車学校に関連するＩＤＴ?グループに分類されていた:―これらは前記ＩＤＴーグループからこのグループへ管理上再分類された。｝
A63G2031/002	フリーフォール
A63G2031/005	スカイダイビング
A63G31/007	｛水を含むもの｝
A63G31/02	運動する基礎構造を有するもの
A63G31/04	揺動する基礎構造を有するもの
A63G31/06	波動する基礎構造を有するもの
A63G31/08	基礎構造が環状運動，跳躍運動，投出運動を伴うもの
A63G31/10	自動階段または同類の基礎構造を有するもの
A63G31/12	膨脹および移動可能な基礎構造を有するもの（ふくらむ弾性体への弁の取付けＢ６０Ｃ２９／００）
A63G31/14	バネ上に設置した平板を有するもの；可動平板を有するもの
A63G31/16	旅の幻想を創るもの
A63G33/00	複数人により競技する装置で，他に分類されないもの
A63G2200/00	一般娯楽装置を輸送または保管するための手段
