B02C1/00	往復動部材による破砕または粉砕
B02C1/005	｛液体または気体で作動されるもの｝
B02C1/02	あご式破砕機または粉砕機
B02C1/025	｛あご部の間隙または過負荷の調整｝
B02C1/04	片口あご式によるもの
B02C1/043	｛協動する片口あご式によるもの｝
B02C1/046	｛複数段型のもの｝
B02C1/06	両口あご式によるもの
B02C1/08	回転ローラと協働するあごによるもの
B02C1/10	あごの形状または構造
B02C1/12	回転しない植針部材を有する粉砕機
B02C1/14	スタンプミル
B02C2/00	旋動破砕機または円錐クラッシャによる破砕あるいは粉砕｛（交差軸を有し非同軸円盤を有するものＢ０２Ｃ７／００５）｝
B02C2002/002	｛ボウルが破砕効果を出すための被駆動要素であるもの｝
B02C2/005	｛ライニング｝
B02C2/007	｛供給装置｝
B02C2/02	偏心運動をするもの
B02C2/04	縦軸線を有するもの
B02C2/042	｛偏心おもりにより動かされるもの｝
B02C2/045	｛ボウルを調整または制御する機構を有するもの（Ｂ０２Ｃ２／０４２，Ｂ０２Ｃ２／０６が優先）｝
B02C2/047	｛ヘッドを調整または制御する機構を有するもの（Ｂ０２Ｃ２／０４２，Ｂ０２Ｃ２／０６が優先）｝
B02C2/06	上部軸受を有するもの｛（Ｂ０２Ｃ２／０４２が優先）｝
B02C2/08	横軸線を有するもの
B02C2/10	同心運動するもの；ベルクラッシャ
B02C4/00	ロールミルによる破砕または粉砕（リングまたは円盤と協働するローラーまたはボールの形をした粉砕部材をもつものＢ０２Ｃ１５／００；チョコレートに独自のロールミルまたはロール微粉砕Ａ２３Ｇ１／１０，Ａ２３Ｇ１／１２）
B02C4/02	２以上のローラを有するもの
B02C4/04	ペースト状原料の粉砕に特に適したもの，例．塗料，チョコレート，コロイド
B02C4/06	穀粒粉砕に特に適したもの
B02C4/08	波形または歯形の協働破砕ローラを有するもの
B02C4/10	固定部材と協働するローラを有するもの
B02C4/12	板状の形態のもの
B02C4/14	ペースト状原料の粉砕に特に適したもの，例．塗料，チョコレート，コロイド
B02C4/16	穀粒の粉砕に特に適したもの
B02C4/18	棒状の形態のもの
B02C4/20	波形または歯形のローラ
B02C4/22	ペースト状原料の粉砕に特に適したもの，例．塗料，チョコレート，コロイド
B02C4/24	穀粒の粉砕に特に適したもの
B02C4/26	格子の形態をしたもの
B02C4/28	細部
B02C4/283	｛側部密封遮へい｝
B02C4/286	｛供給装置｝
B02C4/30	ローラの形状または構造
B02C4/305	｛耐磨耗ローラ｝
B02C4/32	粉砕部材間の調節，操作圧力，または間隙の制御
B02C4/34	固定部材と協動するローラを有する粉砕機の場合
B02C4/36	ペースト状原料に特に適した粉砕機の場合
B02C4/38	穀粒粉砕機の場合
B02C4/40	剥離装置，例．かき板
B02C4/42	駆動機構；ローラ速度の制御
B02C4/423	｛振動または揺動機構を有するもの｝
B02C4/426	｛トルク平衡機構｝
B02C4/44	ローラまたは棒の冷却または加熱
B02C7/00	円盤粉砕機による破砕または粉砕（カカオまたはカカオ製品の製造または処理のみに特に適合した装置Ａ２３Ｇ１／０４）
B02C7/005	｛交差軸を有し非同軸の歯のある円盤を有する破砕機｝
B02C7/02	同軸円盤を有するもの
B02C7/04	噛合歯が同心円状のもの
B02C7/06	横軸線を有するもの（Ｂ０２Ｃ７／０４が優先）
B02C7/08	縦軸線を有するもの（Ｂ０２Ｃ７／０４が優先）
B02C7/10	偏心円盤を有するもの
B02C7/11	細部
B02C7/12	円盤の形状または構造
B02C7/13	穀粒粉砕機のためのもの
B02C7/14	円盤間の調節，操作圧力，または間隙の制御
B02C7/16	駆動機構
B02C7/17	円盤の冷却または加熱
B02C7/175	ペースト状原料の粉砕に特に適した円盤粉砕機，例．塗料，チョコレート，コロイド
B02C7/18	穀粒に特に適した円盤粉砕機
B02C7/182	｛横軸線を有するもの｝
B02C7/184	｛縦軸線を有するもの｝
B02C7/186	｛円盤の調節，加圧，または円盤間の間隙の制御｝
B02C7/188	｛駆動機構｝
B02C9/00	穀粒に特に適した他の粉砕方法または粉砕機
B02C9/02	穀粒の切断または分割
B02C9/04	操作の系統または順序；プラント
B02C11/00	穀粒に特に適した他の補助装置または付属品
B02C11/02	蓄積された粒子の粉砕，例．フレーク
B02C11/04	供給装置
B02C11/06	防火または爆発防止装置（防火または消火方法，装置Ａ６２Ｃ）
B02C11/08	冷却，加熱，換気，温度または水分含量に関しての調質（粉砕前の穀粒の調整Ｂ０２Ｂ１／０８；空気調和または換気一般Ｆ２４Ｆ）
B02C13/00	回転打撃部材を有する粉砕機による粉砕；｛ハンマーミル｝
B02C13/02	水平回転子軸を有するもの（軸流形のものＢ０２Ｃ１３／１０）
B02C13/04	回転子に蝶着された打撃子を有するもの；ハンマーミル
B02C13/06	回転子に固定された打撃子を有するもの
B02C13/08	および送風機のように作動するもの
B02C13/09	および原料をアンビルまたは衝撃板に対して投入するもの｛（縦軸線を有するものＢ０２Ｃ１３／１８０７）｝
B02C13/095	｛調節可能なアンビルまたは衝撃板を有するもの｝
B02C13/10	水平回転子軸を有し，軸流形のもの
B02C13/12	渦巻室を有するもの
B02C13/13	水平回転子軸を有し，ふるい分け装置を結合したもの，例．粉末燃料の製造のためのもの
B02C13/14	垂直回転子軸を有するもの，例．ふるい分け装置と結合したもの
B02C2013/145	｛材料状の衝撃を材料に及ぼす渦を発生させる高速回転羽根を有するもの｝
B02C13/16	回転子に蝶着された打撃子を有するもの
B02C13/18	回転子に固定された打撃子を有するもの
B02C13/1807	｛破砕される材料がアンビルまたは衝撃板に投入されるもの（水平軸を有するものＢ０２Ｃ１３／０９；放射状に延びる溝を経る材料の遠心加速Ｂ０２Ｃ１９／００２５；頂部が開口した回転子による材料の遠心加速Ｂ０２Ｃ１９／００３１）｝
B02C13/1814	｛円盤型回転子の頂部上に固定された打撃子または羽根車要素によるもの｝
B02C13/1821	｛打撃子または羽根車部材が自身の軸の周囲に回転可能に固定されたもの｝
B02C13/1828	｛デッドベッド防止打撃子または羽根車部材を有するもの｝
B02C13/1835	｛上下の回転翼円盤の間に固定された打撃子または羽根車部材によるもの｝
B02C13/1842	｛デッドベッド防止打撃子または羽根車部材を有するもの｝
B02C13/185	｛アンビルまたは衝撃板の構造または形状｝
B02C2013/1857	｛回転子軸の周りを同軸回転するもの｝
B02C2013/1864	｛それ自身の軸の周りを回転可能なもの｝
B02C2013/1871	｛垂直調整可能なもの｝
B02C2013/1878	｛放射状に調整可能なもの｝
B02C2013/1885	｛デッドベッド型のもの｝
B02C2013/1892	｛冷却または加熱されるもの｝
B02C13/20	２以上の協働する回転子を有するもの
B02C13/205	｛同軸に配置されたもの｝
B02C13/22	植針を有するもの；｛針円盤粉砕機｝
B02C13/24	垂直軸の周囲に配置したもの
B02C13/26	細部
B02C13/28	打撃部材の形状または構造
B02C13/2804	｛打撃部材が回転子に剛的に固定されたもの｝
B02C2013/2808	｛打撃部材が軸上に装着された円盤に固定されたもの｝
B02C2013/2812	｛打撃部材が中空円筒回転子に固定されたもの｝
B02C2013/2816	｛チェーン，ロープまたはケーブル型のもの｝
B02C13/282	粉砕室の形状または内表面
B02C2013/2825	｛粉砕質の内表面に内張り部材を固定するための固着手段を有するもの｝
B02C13/284	組込みふるい
B02C13/286	供給または排出
B02C2013/28609	｛排出手段｝
B02C2013/28618	｛供給手段｝
B02C2013/28627	｛ラム式またはプッシャー式のもの｝
B02C2013/28636	｛搬送ベルト式のもの｝
B02C2013/28645	｛搬送ベルト式および協動するローラ式のもの）｝
B02C2013/28654	｛スクリュー式のもの｝
B02C2013/28663	｛ローラを用いるもの｝
B02C2013/28672	｛供給シュート装置｝
B02C2013/28681	｛垂直粉砕機のための供給排出板｝
B02C2013/2869	｛互いに関連する供給および排出手段の配置｝
B02C13/288	換気，または空気循環の増大
B02C2013/29	｛打撃部材を操作するための装置｝
B02C13/30	駆動機構
B02C13/31	安全装置または方法
B02C15/00	環体または円盤と協働するローラまたはボールの形状をした粉砕媒体による粉砕｛（高速ドラムミルＢ０２Ｃ１９／１１）｝
B02C15/001	｛水平回転式粉砕面の周囲に位置する空気流誘導手段｝
B02C2015/002	｛分級機と組み合わされたもの｝
B02C15/003	｛円盤または環体の形状または構造｝
B02C15/004	｛ローラまたはボールの形状または構造｝
B02C15/005	｛複合構造のローラまたはボール｝
B02C15/006	｛環体または円盤駆動歯車装置｝
B02C15/007	｛水平回転式円盤に押しつけられるローラを有する粉砕機（揺動自在に取付けられたローラを有するものＢ０２Ｃ１５／０４）｝
B02C2015/008	｛ローラ駆動装置｝
B02C15/02	遠心重錘式粉砕機
B02C15/04	押圧され揺動自在に取付けられたローラを有する粉砕機，例．スプリング加圧されるもの
B02C15/045	｛垂直面内の回転環体の内側に押しつけられるもの｝
B02C15/06	回転リングの内側に押しつけられるローラを有する粉砕機，例．スプリング作用によるもの（Ｂ０２Ｃ１５／０４が優先）
B02C15/08	環体の内面に対して遠心力により押しつけられるボールまたはローラを有する粉砕機であって，その粉砕機が中心に配置された部材によって駆動されるもの（Ｂ０２Ｃ１５／０２が優先）
B02C15/10	環体の内面に対して遠心力により押しつけられるボールまたはローラを有する粉砕機であって，その粉砕機が中心に配置された部材以外の手段により駆動されるもの
B02C15/12	少なくとも２個の円盤｛または環体｝とボール又はローラを有し，ボール又はローラはベアリング状に取付けられた粉砕機
B02C15/123	｛環体および介在したローラを有するもの｝
B02C2015/126	｛複数段型のもの｝
B02C15/14	エッジランナ，例．チリ硝石粉砕機
B02C2015/143	｛各ランナの旋回支軸が２つ以上のランナを搬送するもの｝
B02C2015/146	｛階段形状のランナ｝
B02C15/16	本質的に異なった周速によるものであって，それが中空シリンダまたは円錐と，内部ローラまたは円錐との形状を有した粉砕部材をもつもの
B02C17/00	円筒型粉砕機による粉砕，すなわち小石またはボールなどの特別な粉砕媒体によるもの，またはこれらによらないで粉砕される原料を入れる容器を有する粉砕機（高速ドラムミルＢ０２Ｃ１９／１１；｛研磨または研削用ドラムＢ２４Ｂ｝）
B02C17/002	｛回転切断部材または打撃部材を有するもの｝
B02C17/005	｛充電が磁力により開始されるもの｝
B02C17/007	｛廃棄物の粉砕に特に適したもの｝
B02C17/02	有孔容器を有するもの
B02C17/04	無孔容器を有するもの
B02C17/06	数個の区画を有するもの
B02C2017/065	｛多坑井ブロックの形状にある複数の区画を有するもの｝
B02C17/07	放射配列のもの
B02C17/08	遊星運動をする容器を有するもの
B02C17/10	容器内に１ないし数個の粉砕媒体を設けたもの
