B06B1/00	振動数が亜音波，音波，超音波級の機械的振動を発生させる方法または装置
B06B1/02	電気的エネルギーを利用するもの（Ｂ０６Ｂ１／１８，Ｂ０６Ｂ１／２０が優先）
B06B1/0207	｛駆動回路（特定の用途に特に適合されたものは，関連するサブクラスを参照，例．Ｇ０１；変換器配列体を操作するための回路Ｇ１０Ｋ１１／３４；基本回路Ｈ０３）｝
B06B1/0215	｛パルスを発生するためのもの，例．振動のバースト，包絡｝
B06B1/0223	｛時間的に継続した信号を発生するためのもの｝
B06B1/023	｛さらに振幅が段階的に変化するもの，例．方形波，２レベル信号｝
B06B1/0238	｛単一振動数のもの，例．正弦波｝
B06B1/0246	｛フィードバック信号をともなうもの｝
B06B1/0253	｛発生器回路から直接得られるもの｝
B06B1/0261	｛変換器または駆動する変換器に接続された電極から得られるもの｝
B06B1/0269	｛多数の振動数を発生するためのもの｝
B06B1/0276	｛同時の発生をともなうもの，例．変調，調波をともなうもの｝
B06B1/0284	｛連続，すなわち順鹿生をともなうもの，例．振動数掃引をともなうもの｝
B06B1/0292	｛静電変換器，例．エレクトレット型｝
B06B1/04	電磁気を利用するもの（振動する磁石，電機子またはコイルを有する電動モーターＨ０２Ｋ３３／００）
B06B1/045	｛振動する磁石，電機子またはコイルシステムを用いるもの｝
B06B1/06	圧電効果または電気ひずみを利用するもの（圧電装置または電わい装置それ自体Ｈ１０Ｎ３０／００）
B06B1/0603	｛圧電曲げを用いるもの，例．バイモルフ｝
B06B1/0607	｛多数の素子を用いるもの（Ｂ０６Ｂ１／０６４およびＢ０６Ｂ１／０６８８が優先）｝
B06B1/0611	｛積み重なったもの｝
B06B1/0614	｛幾つかの振動数を発生するためのもの｝
B06B1/0618	｛圧電と非圧電の素子からなるもの，例．トンピルズ｝
B06B1/0622	｛一表面上のもの｝
B06B1/0625	｛環状配置｝
B06B1/0629	｛四角配置｝
B06B1/0633	｛筒状配置｝
B06B1/0637	｛球状配置｝
B06B1/064	｛多数の動的な層をともなうもの｝
B06B1/0644	｛単一の圧電素子を用いるもの（Ｂ０６Ｂ１／０６８８が優先）｝
B06B1/0648	｛矩形のもの｝
B06B1/0651	｛円形のもの｝
B06B1/0655	｛円筒形のもの｝
B06B1/0659	｛Ｕ字形のもの｝
B06B1/0662	｛検出面上の電極をともなうもの｝
B06B1/0666	｛隔膜として用いるもの｝
B06B1/067	｛インピーダンス整合層として用いられる，またはそれと組み合わされるもの｝
B06B1/0674	｛さらに低インピーダンスの裏打ち，例．空気，をともなうもの｝
B06B1/0677	｛さらに高インピーダンスの裏打ちをともなうもの｝
B06B1/0681	｛さらに減衰構造をともなうもの｝
B06B1/0685	｛圧電素子の裏面上のみのもの｝
B06B1/0688	｛箔型圧電素子，例．ＰＶＤＦ，をともなうもの｝
B06B1/0692	｛一方の側の連続的な電極と他方の側の複数の電極をともなうもの｝
B06B1/0696	｛両側に複数の電極をともなうもの｝
B06B1/08	磁気ひずみを利用するもの（磁わい装置それ自体Ｈ１０Ｎ３０／００）
B06B1/085	｛多数の素子を用いるもの，例．配列｝
B06B1/10	機械的エネルギーを利用するもの（Ｂ０６Ｂ１／１８，Ｂ０６Ｂ１／２０が優先）
B06B1/12	往復動体を含む機構を有する操作
B06B1/14	往復動体が弾性的に結合されているもの
B06B1/16	回転不平衡重錘を含む機構を有する操作
B06B1/161	｛調整システム，すなわち，振動の振幅または振動数の変化方向を変えられるもの｝
B06B1/162	｛偏心量を調整できる重錘を利用するもの｝
B06B1/163	｛偏心量がシステムが静止状態の時にのみ調整できるもの（Ｂ０６Ｂ１／１６５が優先）｝
B06B1/164	｛偏心量が運転状態，例．速度，方向，に応じて自動的に可変であるもの（Ｂ０６Ｂ１／１６５が優先）｝
B06B1/165	｛流体重錘または類似のものをともなうもの｝
B06B1/166	｛反対方向に回転するシャフトに設けられた重錘の位相角が可変であるもの，例．振動相の変化｝
B06B1/167	｛遊星歯車，回転クランクまたは類似のものにより駆動される重錘を有する軌道振動体｝
B06B1/168	｛回転振り子振動体｝
B06B1/18	振動体が圧力流体によって作動されるもの（Ｂ０６Ｂ１／２０が優先）
B06B1/183	｛往復動する重錘により動作するもの｝
B06B1/186	｛回転する不平衡重錘により動作するもの｝
B06B1/20	振動する流体を利用するもの｛（笛またはサイレンそれ自体Ｇ１０Ｋ）｝
B06B3/00	超低周波数，可聴周波数，超音波周波数の機械的振動を伝達するために特に適合された方法または装置
B06B3/02	振幅変動を含むもの
B06B3/04	振動を集中させ，または反射させることを含むもの
B06B2201/00	Ｂ０６Ｂ１／０２０７に包含されながらそのサブグループに分類されない細部のためにＢ０６Ｂ１／０２０７と組み合わされるインデキシング系列
B06B2201/20	多数素子の変換器への適用
B06B2201/30	電子減衰をもとなうもの
B06B2201/40	試験，較正，安全装置，組み込まれた保護，構造的細部を伴うもの
B06B2201/50	特定の変換器型式への適用
B06B2201/51	静電変換器
B06B2201/52	動動変換器
B06B2201/53	振動する磁石またはコイルをともなうもの
B06B2201/54	電磁音響変換器［ＥＭＡＴ］
B06B2201/55	圧電変換器
B06B2201/56	箔型，例．ＰＶＤＦ
B06B2201/57	電歪変換器
B06B2201/58	磁歪変換器
B06B2201/70	特定の応用
B06B2201/71	タンク内の清掃
B06B2201/72	溶接，接合，はんだ付け
B06B2201/73	穴開け
B06B2201/74	水中
B06B2201/75	動物，虫，人除け
B06B2201/76	医療用，歯科用
B06B2201/77	噴霧器
