B21K1/00	機械要素の製造
B21K1/02	球，ロール，またはローラー，例．ベアリングのためのもの
B21K1/025	｛小球のもの｝
B21K1/04	ボールレース
B21K1/05	軸受保持器
B21K1/06	軸またはシャフト
B21K1/063	｛中空軸またはシャフト（中空ラックＢ２１Ｋ１／７６８）｝
B21K1/066	｛スプライン軸またはシャフト｝
B21K1/08	クランクシャフト
B21K1/10	円筒状のもの
B21K1/12	断面が特別な形状をしたもの
B21K1/14	取付具
B21K1/16	パイプまたはホース継手の部品
B21K1/18	ピストンまたはプランジャー
B21K1/185	｛冷却チャネルを有するもの｝
B21K1/20	弁部品
B21K1/205	｛ロッカーアーム｝
B21K1/22	ポペット弁，例．内燃機関用
B21K1/24	弁体；弁座
B21K1/26	ハウジングまたは支持部品，例．軸ハウジング，エンジン取付具
B21K1/28	車輪；ディスク
B21K1/30	歯車をもつもの
B21K1/305	｛ヘリカル歯車｝
B21K1/32	デイスク，例．ディスク車輪
B21K1/34	スポーク車輪
B21K1/36	翼をもつもの
B21K1/38	リム；タイヤ
B21K1/40	ハブ
B21K1/42	プーリー，例．ケーブルプーリー
B21K1/44	ボルト，スタッド，またはそれに類するもの（ネジ山の形成Ｂ２１Ｋ１／５６；Ｕボルトの製造Ｂ２１Ｋ１／７４）
B21K1/46	頭をもつもの
B21K1/463	｛凹状の頭部があるもの｝
B21K1/466	｛振動ダイブロックを備えた頭造機｝
B21K1/48	ハンマをもった加工機械，例．頭部形成のための軸心方向の打撃
B21K1/50	成形した頭部のトリミングまたはせん断，例．ダイスによる仕上げ
B21K1/52	両端加工，例．両側に頭部を有するもの（頭部の形成Ｂ２１Ｋ１／４６）
B21K1/54	溝またはノッチのあるもの
B21K1/56	ネジ山要素
B21K1/58	リベット
B21K1/60	中空または半中空リベット
B21K1/62	特別なリベット，例．電気接点をもつもの
B21K1/64	ナット（ネジ山の形成Ｂ２１Ｋ１／５６）
B21K1/66	帯状材からのもの
B21K1/68	丸棒または角棒からのもの
B21K1/70	特殊形状のもの，例．もどり止ナット，蝶ナット
B21K1/701	｛溶接ナット｝
B21K1/702	｛クリンチナット｝
B21K1/704	｛袋ナット｝
B21K1/705	｛菊ナット｝
B21K1/707	｛戻り止ナット｝
B21K1/708	｛蝶ナット｝
B21K1/72	フック，例．クレーン用フック，軌道用犬釘（釘の製造一般Ｂ２１Ｇ）
B21K1/74	フォーム状部品または２以上のリムをもった部品，例．Ｕボルト，アンカー
B21K1/76	先のグループの一つに列挙されない要素
B21K1/761	｛リング｝
B21K1/762	｛機械運動を伝達するための結合部材，例．自在継手｝
B21K1/763	｛結合部材の内部要素｝
B21K1/765	｛結合部材の外部要素｝
B21K1/766	｛連結棒｝
B21K1/767	｛歯付きラック｝
B21K1/768	｛中空ラック｝
B21K3/00	Ｂ２１Ｋ１／００のサブグループに包含されないエンジンまたはそれに類似する機械の部品の製造；プロペラまたはそれに類するものの製造
B21K3/02	シリンダヘッド
B21K3/04	翼，例．タービン用；翼のつけ根のアップセット
B21K5/00	工具または工具部品の製造，例．プライヤー
B21K5/02	ドリルまたはその他穴をあけるまたは仕上げる工具
B21K5/04	ねじれ工具，例．ドリル，リーマ
B21K5/06	ドレッシング，例．ロックドリルの研磨
B21K5/08	折込み用工具
B21K5/10	ドリルビットシャンクの成形
B21K5/12	その他切断工具（家庭用刃物細工品Ｂ２１Ｋ１１／００）
B21K5/14	手ハンマー
B21K5/16	ナットをまわすための工具
B21K5/18	ハンドルとその部品
B21K5/20	凹部または凸部を有するダイス面の仕上加工
B21K7/00	鉄道付属品の製造；車両部品の製造
B21K7/02	軌道のための部品（犬釘類Ｂ２１Ｋ１／７２）
B21K7/04	転てつ器の先端
