B27N1/00	成形材料の前処理
B27N1/003	｛ホルムアルデヒドガスの放出を減らすためのもの｝
B27N1/006	｛湿度に対する膨張抵抗を増すためのもの｝
B27N1/02	材料と結合剤の混合（混合一般Ｂ０１Ｆ）
B27N1/0209	｛方法，例．結合剤の組成に特徴のあるもの｝
B27N1/0218	｛回転ドラム内で｝
B27N1/0227	｛回転攪拌具を使用するもの，例．その結合剤が攪拌具の軸を経由して供給されるもの｝
B27N1/0236	｛水平軸の周りを回転する攪拌具を有するもの，例．連続するケーシング内で（Ｂ２７Ｎ１／０２５４が優先）｝
B27N1/0245	｛単一攪拌軸｝
B27N1/0254	｛結合剤を混合機に導入する前にその結合剤を材料に噴霧するための手段を有するもの｝
B27N1/0263	｛結合剤を落下材に噴霧する，例．回転要素またはノズルを使用し，傾斜した表面に沿って滑動する材料を有するもの（Ｂ２７Ｎ１／０２５４が優先）｝
B27N1/0272	｛材料を結合剤の層を設けた回転ロールに接触させることによるもの｝
B27N1/0281	｛異なる混合機の組合せ｝
B27N1/029	｛供給する:つり合いを取る:制御する｝
B27N3/00	実質的に平担な物品，例．粒子または繊維からのボード，の製造
B27N3/002	｛結合剤の種類に特徴のあるもの（高分子化合物の組成Ｃ０８Ｌ）｝
B27N3/005	｛および発泡体｝
B27N3/007	｛および少なくとも一部がリサイクル材料により構成されるもの｝
B27N3/02	粒子からなる物品の製造
B27N3/04	繊維からなる物品の製造
B27N3/06	予備成形された被覆層と共に，単一の加圧操作により粒子または繊維が加圧されたパーティクルボードまたはファイバーボードの製造
B27N3/08	成形またはプレス加工（プレス一般Ｂ３０Ｂ）
B27N3/083	｛鋳型を製品から容易に分離するための剤｝
B27N3/086	｛マット中の気体または液体を抽出するまたは導入するための手段を有するプレス｝
B27N3/10	マットの成形
B27N3/12	繊維から成形するもの
B27N3/14	粒子または繊維の分配または配向
B27N3/143	｛粒状物または繊維を方向づけるもの｝
B27N3/146	｛マットの重量配分を制御するもの｝
B27N3/16	マット成形ステーションからプレスへの材料の移送（Ｂ２７Ｎ３／２２が優先）；材料の移送のために特に適合する装置またはそのための構成要素，例．コール（運搬装置一般Ｂ６５Ｇ）
B27N3/18	補助操作，例．予備加熱，加湿，切断
B27N3/183	｛マットの端部を形成するもの，例．切断により｝
B27N3/186	｛当て板を板材から分離するもの｝
B27N3/20	プラテンープレスを利用することにより特徴づけられたもの
B27N3/203	｛加熱または冷却手段を有するもの｝
B27N3/206	｛連続する板材用｝
B27N3/22	充填または排出
B27N3/24	圧縮領域を移動する無端ベルトまたはチエンを有する連続作動プレスを利用することにより特徴づけられたもの
B27N3/26	加熱されたプレスドラムと無端ベルトを有し，材料をベルトとドラムの間で圧縮する連続作動プレスを利用することにより特徴づけられたもの
B27N3/28	押出プレスの利用により特徴づけられたもの
B27N5/00	平坦でない物品の製造
B27N5/02	中空物品の製造
B27N7/00	後処理，例．膨潤または収縮の軽減，表面処理；湿気からのボード端部の保護
B27N7/005	｛板材を塗装するもの，例．仕上げ層または飾り層を有するもの｝
B27N9/00	耐火用処理装置（耐火材料Ｃ０９Ｋ２１／００）
