B29D1/00	ねじ山を有する物品の製造
B29D1/005	｛繊維で補強されたもの｝
B29D5/00	スライドファスナーの要素の製造；スライドファスナーの要素の製造と取付けとの組合せ
B29D5/02	分離した結合部材を有するファスナー
B29D5/04	フィラメント材料からなる連続的曲折体により形成された結合部材
B29D5/06	連続ら旋体によって形成された結合部材
B29D5/08	ストリンガーの輪郭付端部または城郭状端部によって形成された結合部材
B29D5/10	輪郭付けされた連続ストリップによって形成された結合部材
B29D7/00	板状物品の製造，例．フィルムまたはシート，の製造（Ｂ２９Ｄ２４／００が優先）
B29D7/01	フィルムまたはシート
B29D11/00	光学部品，例．レンズまたはプリズム，の製造（光学部品の研削または研磨Ｂ２４Ｂ；光学部品の構造的な形状Ｇ０２Ｂ；｛眼鏡の光学部材Ｇ０２Ｃ７／００｝）
B29D11/00009	｛単純または複合レンズの製造｝
B29D11/00019	｛非球状表面をもつもの，例．円環体表面｝
B29D11/00028	｛二重焦点レンズ；多焦点レンズ｝
B29D11/00038	｛コンタクトレンズの製造｝
B29D11/00048	｛異なる組成物をもつ部品から構成されるもの（Ｂ２９Ｄ１１／０００５７が優先）｝
B29D11/00057	｛端部の形状または表面状態に特徴のあるもの，例．余肉のないもの，バリのないもの，滑らかなもの｝
B29D11/00067	｛水和コンタクトレンズ｝
B29D11/00076	｛レンズの下部領域とレンズ外部との間での流体，例．酸素，涙，の通過を可能にするもの｝
B29D11/00086	｛コンタクトレンズの前部面を眼球の形状に合わせるための方法｝
B29D11/00096	｛成分を伝達するためのもの，例．薬を目に届ける｝
B29D11/00105	｛角膜の大部分を覆うもの｝
B29D11/00115	｛回転鋳造により作られたもの｝
B29D11/00125	｛補助操作，例．型から酸素を取り除くもの，不活性雰囲気の中で型を貯蔵室から生産ラインへ運搬するもの｝
B29D11/00134	｛コンタクトレンズの材料の硬化｝
B29D11/00144	｛レンズの材料が完全に重合化されない，例．重合化されていない容量を残す，ことによるもの｝
B29D11/00153	｛差異硬化，例．差異放射によるもの｝
B29D11/00163	｛移動可能なマスクまたはシャッター，例．露出を違えるため｝
B29D11/00173	｛型の運搬｝
B29D11/00182	｛キャリアプレートの使用｝
B29D11/00192	｛脱型，例．金型部分からのレンズの分離｝
B29D11/00201	｛冷却手段の使用｝
B29D11/00211	｛加熱手段の使用｝
B29D11/00221	｛てこ手段の使用｝
B29D11/0023	｛コンタクトレンズの移送｝
B29D11/0024	｛真空吸引グリッパーの使用｝
B29D11/0025	｛コンタクトレンズからの不純物の除去，例．溶出｝
B29D11/00259	｛コンタクトレンズの製造のための設備｝
B29D11/00269	｛フレネルレンズ｝
B29D11/00278	｛レンチキュラーシート（Ｂ２９Ｄ１１／００２６９が優先）｝
B29D11/00288	｛回転円筒により作られたもの｝
B29D11/00298	｛レンズアレイの製造｝
B29D11/00307	｛レンズウエファの製造｝
B29D11/00317	｛印付けまたはパターン化をともなうレンズの製造｝
B29D11/00326	｛表面が特定の性質をもつもの，例．ミクロ模様｝
B29D11/00336	｛レンズ表面に窪みを作ることによるもの｝
B29D11/00346	｛ナノサイズの構造または特徴をもつもの，例．充填材｝
B29D11/00355	｛屈折率に勾配をもつもの｝
B29D11/00365	｛マイクロレンズの製造（レンチキュラーシートＢ２９Ｄ１１／００２７８）｝
B29D11/00375	｛基板を貫通する穴の中でのレンズの造型によるもの｝
B29D11/00384	｛加熱による局部的な成形，例．膨張を引き起こす局部的な照射｝
B29D11/00394	｛固体浸透レンズ［ＳＩＬ］の製造｝
B29D11/00403	｛複合レンズの製造｝
B29D11/00413	｛お互いに直接接触していない二つの型部品間の成形によって作られるもの，例．端部間または端部上の密封からなるもの（Ｂ２９Ｄ１１／０００１９〜Ｂ２９Ｄ１１／００３５５，Ｂ２９Ｄ１１／００４２３，Ｂ２９Ｄ１１／００４３２が優先）｝
B29D11/00423	｛単純または複合レンズの製造のための工場設備（Ｂ２９Ｄ１１／００２５９が優先）｝
B29D11/00432	｛補助操作，例．型を充填するための機械（Ｂ２９Ｄ１１／００１２５が優先）｝
B29D11/00442	｛レンズ材料の硬化｝
B29D11/00451	｛再溶解による形状の変更｝
B29D11/00461	｛屈折率の調節，例．移植後｝
B29D11/00471	｛回転鋳造により作られたもの（Ｂ２９Ｄ１１／００１１５が優先）｝
B29D11/0048	｛レンズの型（プラスチック製品の型一般Ｂ２９Ｃ３３／００）｝
