B60G1/00	車軸とフレーム間が固着された懸架装置
B60G1/02	連続した車軸をもつもの
B60G1/04	分離した車軸をもつもの
B60G3/00	単一車輪の弾性的懸架装置（軸支された懸架腕それ自体，車両の振動部に対するその取付け，腕の運動を制限するための緩衝手段Ｂ６０Ｇ７／００；　｛剛性車軸式懸架装置Ｂ６０Ｇ９／００；｝ばねの配置，位置，または形式に特徴があるものＢ６０Ｇ１１／００）
B60G3/01	摺動するように取付けられる車輪，例．垂直ガイド中にまたは上に（キャンバーをほぼ一定に保つ手段Ｂ６０Ｇ３／２６）
B60G3/02	単一の軸支腕をもつもの
B60G3/04	腕が本質的に車両の長手軸と交差しているもの
B60G3/06	腕が剛体であるもの
B60G3/08	腕が車軸箱を形成するもの
B60G3/10	腕自体が弾性体，例．板ばね，であるもの　｛（Ｂ６０Ｇ７／００３が優先）｝
B60G3/12	腕が本質的に車両の長手軸と平行であるもの
B60G3/14	腕が剛体であるもの
B60G3/145	｛腕が車軸箱を形成するもの｝
B60G3/16	腕自体が弾性体，例．板ばねであるもの　｛（Ｂ６０Ｇ７／００３が優先）｝
B60G3/18	２以上の軸支腕をもつもの，例．平行四辺形
B60G3/185	｛腕が本質的に車両の長手軸と平行であるもの｝
B60G3/20	すべての腕が剛体であるもの
B60G3/202	｛１本の縦腕および２本の平行な横腕をもつもの，例．デュアルリンク型ストラット懸架装置｝
B60G3/205	｛車輪の回転軸および車輪の接地面により規定される平面上の縦腕の軸支点をもつもの｝
B60G3/207	｛腕が本質的に車両の長手軸と平行であるもの｝
B60G3/22	剛体腕が車軸箱を形成するもの
B60G3/225	｛トレーリングウィッシュボーン型の腕であるもの｝
B60G3/24	剛体腕が動軸で形成されるもの　｛（Ｂ６０Ｇ３／２２，Ｂ６０Ｇ３／２６が優先，駆動装置Ｂ６０Ｋ１７／２２，Ｂ６０Ｋ１７／３０，Ｂ６０Ｋ１７／３２）｝
B60G3/26	懸架装置の作動中に車輪のキャンバーをほぼ一定に保つ手段；　｛懸架装置の作動中に車輪の位置の変化を制御する手段（Ｂ６０Ｇ３／２０２，Ｂ６０Ｇ３／２２，Ｂ６０Ｇ７／００３，Ｂ６０Ｇ７／００６が優先；キャンバー，キャスターまたはトーインを調整する装置Ｂ６２Ｄ１７／００）｝
B60G3/265	｛連結を介して車輪の支持部に結合することにより，懸架部の形態に寄与するストラットシリンダをもつもの｝
B60G3/28	少なくとも腕の一つが弾性体，例．板ばね，であるもの[（Ｎ:Ｂ６０Ｇ７／００３が優先）｝
B60G3/285	｛腕が本質的に車両の長手軸と平行であるもの｝
B60G5/00	関連動作をする一組のタンデム車輪または車軸のための弾性的懸架装置
B60G5/005	｛車輪が非枢軸構造，例．スライディングマウントに固定されたもの｝
B60G5/01	３つ以上の連続する車軸をもつことに特徴があるもの
B60G5/02	単一の軸支腕に取付けるもの，　｛例．剛体である腕｝
B60G5/025	｛腕が車両の長手軸と交差しているもの｝
B60G5/03	腕そのものに弾力があるもの，例．板ばね（Ｂ６０Ｇ５／０５３が優先）
B60G5/04	相互に弾性的な関連動作をする２以上の軸支腕をもつもの，　｛例．剛体である腕｝
B60G5/043	｛腕が車両の長手軸と交差しているもの｝
B60G5/047	｛少なくとも１つの腕に弾力があるもの，例．板ばね（Ｂ６０Ｇ５／０５３が優先）｝
B60G5/053	板ばねが２つの車軸支持装置間の平衡装置として用いられるもの
B60G5/06	腕が共通軸上で回動するもの　｛例．剛体であるもの｝
B60G5/065	｛弾性のある少なくとも１本の腕｝
B60G7/00	軸支された懸架腕；その付属品（懸架装置の作動中に車輪のキャンバーをほぼ一定に保つ手段Ｂ６０Ｇ３／２６；　｛車輪の連結Ｂ６０Ｇ５／００；板ばね取り付け手段Ｂ６０Ｇ１１／１０，Ｂ６０Ｇ１１／１２，トレーリングアームツイストビーム車軸取り付け手段Ｂ６０Ｇ２１／０５２；連結一般Ｆ１６Ｃ｝）
B60G7/001	｛懸架腕，例．構造特性（Ｂ６０Ｇ７／００６が優先）｝
B60G7/003	｛調整可能な長さのもの｝
B60G7/005	｛ボールジョイント（Ｂ６０Ｇ７／００６が優先；操向リンクＢ６２Ｄ７／１６；ボールジョイント自体Ｆ１６Ｃ１１／０６）｝
B60G7/006	｛外部アクチュエータ，例．液体または電気モータにより制御される装着手段からなるものを特徴とする車両の振動部または非振動部に対する腕の取付け（Ｂ６２Ｄ７／１４６が優先）｝
B60G7/008	｛車両の非振動部に対する腕の取付け（Ｂ６０Ｇ７／００５；Ｂ６０Ｇ７／００６が優先）｝
B60G7/02	車両の振動部に対する腕の取付け　｛（Ｂ６０Ｇ７／００６が優先）｝
B60G7/04	腕の運動を制限する緩衝装置　｛（流体式緩衝器の流体路の制限停止Ｆ１６Ｆ９／４９；流体式緩衝器のストローク制限停止Ｆ１６Ｆ９／５８）｝
B60G9/00	２以上の車輪用の剛性車軸または車軸箱の弾性的懸架装置　｛（一組のタンデム車軸の部品である車軸Ｂ６０Ｇ５／００〜Ｂ６０Ｇ５／０６５；板ばねをもつものＢ６０Ｇ１１／０２〜Ｂ６０Ｇ１１／０８）｝
B60G9/003	｛車軸がトレーリング案内装置に強固に接続しているもの｝
B60G9/006	｛車軸が，１本のみが車軸に強固に接続された２本のトレーリングアームに接続されているもの｝
B60G9/02	車軸または車軸箱が車両に回動可能に取付けられているもの　｛例．軸支軸が車両の長手軸に平行であるもの（Ｂ６０Ｇ９／００３が優先）｝
B60G9/022	｛車軸が虚軸支点をもつもの｝
B60G9/025	｛横方向揺れ変位をする車軸の懸架装置の結合を用いるもの｝
B60G9/027	｛三角形，Ｔ型またはＵ型のいずれかの形状を有し，その中間頂点のみでシャーシに直接連結されている車軸，例．デディオン式懸架装置｝
B60G9/04	｛車軸または車軸箱が車両に回動不可能に取付けられているもの（Ｂ６０Ｇ９／００３が優先）｝
B60G11/00	ばねの配列，位置，または種類に特徴がある弾性的懸架装置（それ自体弾性を有する軸支腕による単一車輪懸架装置Ｂ６０Ｇ３／００；ばね特性の調整Ｂ６０Ｇ１７／００；ばねそれ自体Ｆ１６Ｆ）<br><br><u>注</u><br><br>用語トーションバーは，トーション管または類似のものを含む。用語ゴムは似た性質の合成の代用品を含む。
B60G11/003	｛ばねおよび緩衝器用の潤滑装置（車両潤滑装置一般Ｂ６０Ｒ１７／００；板ばね用のもの一般Ｆ１６Ｆ１／２４）｝
B60G11/006	｛中心に配置されたばねユニット，例．全車輪が共用ばねユニットに接続されたもの（Ｂ６０Ｇ５／００，Ｂ６０Ｇ１７／０３３が優先）｝
B60G11/02	板ばねのみをもつもの　｛（Ｂ６０Ｇ１１／００６が優先）｝
B60G11/025	｛板ばねの修繕装置｝
B60G11/04	車両の長手軸に対してほぼ平行に配置されたもの
B60G11/06	車両の長手軸に対して斜めに配置されたもの
B60G11/08	車両の長手軸に対してほぼ交差するように配置されたもの
B60G11/10	車両の車軸または振動部にばねを取付けるのに特に適合した手段に特徴があるもの
B60G11/107	滑動または回転するマウント部材
B60G11/113	車軸に取付けたマウント部材（Ｂ６０Ｇ１１／１０７　が優先）
B60G11/12	リンク，ピン，またはブッシュ
B60G11/125	｛複眼的装置｝
B60G11/14	ら旋，うず巻線，またはコイルばねのみをもつもの　｛（Ｂ６０Ｇ１１／００６が優先）｝
B60G11/15	巻上げにより座屈防止をしてあるコイルばね
B60G11/16	車両の車軸または振動部にばねを取付けるのに特に適合した手段に特徴があるもの
B60G11/18	ねじり棒ばねのみをもつもの｛（Ｂ６０Ｇ１１／００６　が優先；ねじれエネルギー吸収型のゴムばねをもつものＢ６０Ｇ１１／２３）｝<br><br><u>注</u><br><br>Ｂ６０Ｇ１１／１８４がＢ６０Ｇ１１／１８１からＢ６０Ｇ１１／１８３に優先
B60G11/181	｛車両の長手軸に平行な平面に配置したもの｝
B60G11/182	｛車両の長手軸に斜めの平面に配置したもの｝
B60G11/183	｛車両の長手軸に横向きの平面に配置したもの｝
B60G11/184	｛ねじれ要素の束からなるトーションバー｝
B60G11/185	｛ロッドである要素｝
B60G11/186	｛六角形断面のもの｝
B60G11/187	｛ねじりにより負荷をかけられた板ばねである要素｝
B60G11/188	｛ケーブルである要素｝
B60G11/189	｛スリットを有する管からなるトーションばね｝
B60G11/20	車両の車軸または振動部にばねを取付けるのに特に適合した手段に特徴があるもの
B60G11/22	ゴムばねのみをもつもの　｛（Ｂ６０Ｇ１１／００６が優先）｝
B60G11/225	｛ナイトハルトタイプのゴムばね｝
B60G11/23	ねじれエネルギー吸収型のもの
B60G11/24	車両の車軸または振動部にばねを取付けるのに特に適した手段に特徴があるもの
B60G11/26	流体ばねのみをもつもの，例．ハイドロニューマティックばね　（｛Ｂ６０Ｇ１１／００６，｝Ｂ６０Ｇ１５／１２が優先）
B60G11/265	｛油圧ばね｝
B60G11/27	なかの流体が気体であるもの
B60G11/28	車両の車軸または振動部にばねを取付けるのに特に適した手段に特徴があるもの
B60G11/30	流体ばねのための圧力流体アキュムレーター，例．車両のフレームに配置されたアキュームレーター，をもつもの　｛（利用できるエネルギーを蓄える緩衝器Ｂ６０Ｇ１３／１４）｝
B60G11/32	異なる種類のばねをもつもの　｛（Ｂ６０Ｇ１１／００６が優先）｝
B60G11/34	板ばねを含むもの
B60G11/36	板ばねとら旋，うず巻線，またはコイルばねを含むもの
B60G11/38	板ばねとゴムばねを含むもの
B60G11/40	ゴムばねが車軸に取付けられているもの
B60G11/42	ゴムばねが車両の振動部に取付けられているもの
B60G11/44	板ばねとねじり棒ばねを含むもの
B60G11/46	板ばねと流体ばねを含むもの
B60G11/465	｛弾性壁をもつもの｝
B60G11/48	板ばねを含まないもの
B60G11/50	ら旋，うず巻線，またはコイルばねと，ねじり棒ばねとをもつもの
B60G11/52	ら旋，うず巻線，またはコイルばねと，ゴムばねとをもつもの
B60G11/54	ら旋，うず巻線，またはコイルばねの中に配置されたゴムばねをもつもの
B60G11/56	ら旋，うず巻線，またはコイルばねと，流体ばねとをもつもの
B60G11/58	同軸に配置されたもの
B60G11/60	ゴムばねとねじり棒ばねの両方をもつもの
B60G11/62	ゴムばねと流体ばねの両方をもつもの
B60G11/64	ねじり棒ばねと流体ばねの両方をもつもの
B60G13/00	振動緩衝器の配列，位置，または形式に特徴がある弾性的懸架装置（緩衝効果を調整するものＢ６０Ｇ１７／０６；振動緩衝器それ自体Ｆ１６Ｆ）
B60G13/001	｛緩衝器の取り付けのための配置（結合したばねおよび緩衝ユニットの装着装置Ｂ６０Ｇ１５／００；液体緩衝器の装着一般Ｆ１６Ｆ９／５４）｝
B60G13/003	｛緩衝ユニットを車体またはシャーシへ取り付けることを特徴とするもの｝
B60G13/005	｛緩衝ユニットを車軸または懸架腕へ取り付けることを特徴とするもの｝
B60G13/006	｛短車軸上のもの｝
B60G13/008	｛補助シリンダの使用にかかわるもの（Ｂ６０Ｇ１３／００６が優先）｝
B60G13/02	エネルギーを消滅させる，例．摩擦的に，緩衝器をもつもの
B60G13/04	機械的なもの，例．減衰要素として摩擦を生ずるばねをもつもの
B60G13/06	流体式のもの
B60G13/08	液圧によるもの
B60G13/10	気体圧式のもの
B60G13/12	準流体，すなわち粉末の媒介物をもつもの
B60G13/14	利用できるエネルギー，例．圧搾空気，を蓄える緩衝器をもつもの　｛（アキュームレータを有する液体ばねＢ６０Ｇ１１／３０）｝
B60G13/16	主たる緩衝装置として動的緩衝器，すなわち位相のずれた振動をするばね−質量システム，をもつもの
B60G13/18	エネルギー吸収装置と結合したもの
B60G15/00	結合されたばねと振動緩衝器，例．テレスコピック型，の配列，位置または形状に特徴がある弾性的懸架装置（結合されたばねと振動緩衝器それ自体Ｆ１６Ｆ）
B60G15/02	機械的なばねをもつもの
B60G15/04	機械的なばねと機械的な緩衝器をもつもの　｛または動的緩衝器｝
B60G15/06	機械的なばねと流体式緩衝器をもつもの
B60G15/061	｛緩衝器の内部に搭載されたコイルばねをもつもの｝
B60G15/062	｛ばねが緩衝器の囲りに配置されたもの（Ｂ６０Ｇ１５／０６１，Ｂ６０Ｇ１５／０６７，Ｂ６０Ｇ１５／０７が優先）｝
B60G15/063	｛緩衝器にばねを取り付けることを特徴とするもの（Ｂ６０Ｇ１５／０６５，Ｂ６０Ｇ１５／０６６が優先）｝
B60G15/065	｛ばねの結合を用いることを特徴とするもの
B60G15/066	｛コイルばねとは異なるばね（Ｂ６０Ｇ１５／０６５が優先）｝
B60G15/067	｛ばねおよび緩衝ユニットを車体またはシャーシに取り付けることを特徴とするもの｝
B60G15/068	｛マクファーソン式ストラット型懸架装置に特に適したもの｝
B60G15/07	緩衝器が短車軸に連結され，ばねが緩衝器のまわりに配置されるもの　｛（Ｂ６０Ｇ１５／０６８が優先）｝
B60G15/08	流体ばねをもつもの
B60G15/10	流体ばねと機械的な緩衝器｛またはダイナミックダンパー｝をもつもの
B60G15/12	流体ばねと流体式緩衝器をもつもの
B60G15/14	緩衝器が短車軸に連合され，ばねが緩衝器のまわりに配置されるもの
B60G17/00	車両または走行路面の状態の変化，例．速度または荷重による，に合わせて，ばねまたは振動緩衝器の特性を調節したり，車両の支持面と振動部との間隔を調整したり，または使用中の懸架装置をロックしたりする手段をもつ弾性的懸架装置　｛（チッパー用水平化または安定化装置Ｂ６０Ｐ１／０４５）｝
B60G17/002	｛懸架装置の温度調整によるもの，例．熱作動システム｝
B60G17/005	懸架装置をロックするようにしたもの　｛（格納式車輪のためのものＢ６２Ｄ６１／１２）｝
B60G17/015	電気または電子要素からなる調整手段　（｛Ｂ６０Ｇ１７／００２｝，Ｂ６０Ｇ１７／００５が優先）
B60G17/0152	｛特定の型の懸架ユニットの動作を特徴とするもの（Ｂ６０Ｇ１７／０１９４１が優先）｝
B60G17/0155	｛気体圧式ユニット｝
B60G17/0157	｛非流体ユニット，例．電動機｝
