B67B1/00	栓によるびん，広口びんまたは類似の容器の閉鎖（栓それ自体Ｂ６５Ｄ３９／００）
B67B1/005	｛栓の供給（一般Ｂ６５Ｇ）｝
B67B1/03	栓の前処理，例．洗浄，蒸し，加熱，浸み込みまたはコーティング；栓に弾性リングを装着するもの（コルクの機械的加工Ｂ２７Ｊ５／００）
B67B1/04	ねじのない栓，例．コルク，を押込むことによるもの
B67B1/045	｛手で操作する装置を用いるもの｝
B67B1/06	ねじ栓を押込み回転することによるもの
B67B1/08	びんの首部分と協働する押圧手段によって適当な位置に保持されている栓，例．揺動栓，の固定
B67B1/10	円板状閉鎖具の挿入によるもの
B67B3/00	キャップの装着によるびん，広口または類似の容器の閉鎖（キャップそれ自体Ｂ６５Ｄ４１／００）
B67B3/003	｛キャップの前処理，例．洗浄，蒸し，加熱または殺菌｝
B67B3/006	｛キャップの取付け中におけるラベルへの日付印，コード印または類似するものの取付け（ラベルへの取付けＢ６５Ｃ９／４６）｝
B67B3/02	フランジの付いているキャップ，例．王冠，を用いそしてフランジを変形させることにより固定するもの
B67B3/023	｛キャップを固定するため追加的手段，例．接着剤，を用いるもの｝
B67B3/026	｛キャップが熱可塑性材料からなるもの（Ｂ６７Ｂ３／０２３が優先）｝
B67B3/04	キャッピングマシンにおいて帯材から蓋を切り出すもの（帯材の動きを整合するための装置Ｂ６５Ｈ２３／００）
B67B3/06	キャッピングヘッドのキャップの送り
B67B3/061	｛キャップが非対称な底面を持つもの，例．把持リップを有するもの｝
B67B3/062	マガジンからの送り｛（Ｂ６７Ｂ３／０６１が優先）｝
B67B3/064	ホッパーからの送り｛（Ｂ６７Ｂ３／０６１が優先）｝
B67B3/0645	｛容器に適用する準備ができた位置にキャップを位置決めする手段を有するもの｝
B67B3/10	キャップを装着するためのキャッピングヘッド｛（Ｂ６７Ｂ３／０２３が優先）｝
B67B3/12	キャップのフランジを変形させるため，例．突き出たフランジの縁を内側に加圧するために，キャップと軸方向に対し相対的に可動できることに特徴があるもの
B67B3/14	キャップのフランジに半径方向の圧力を加えるために可動部材，例．ヒンジ爪，を有することに特徴があるもの（Ｂ６７Ｂ３／１６，Ｂ６７Ｂ３／１８が優先）
B67B3/16	弾性変形部材，例．弾性スリーブまたはカラー，を有することに特徴があるもの（Ｂ６７Ｂ３／１８が優先）
B67B3/18	回転自在であることに特徴があるもの，例．所定の箇所にねじ山を形成するためのもの
B67B3/20	あらかじめ形式されたねじキャップを適用し回転することによるもの（弾性変形部材によりねじ山を所定の位置に形成するものＢ６７Ｂ３／１６，回転キャッピングヘッドによるものＢ６７Ｂ３／１８）
B67B3/2006	｛手動で制御されるまたは手動で操作される装置を用いるもの｝
B67B3/2013	｛回転コンベヤ式キャッピング装置によるもの｝
B67B3/202	｛キャップのねじ回しに摩擦手段，例．ベルトまたはガイド，を用いるもの（Ｂ６７Ｂ３／２０２６，Ｂ６７Ｂ３／２０３３が優先）｝
B67B3/2026	｛静止キャッピングヘッドからなるもの｝
B67B3/2033	｛回転共回りキャッピングヘッドからなるもの｝
B67B3/204	｛直線形キャッピング装置｝
B67B3/2046	｛キャップのねじ回しに摩擦手段，例．ベルトまたはガイド，を用いるもの（Ｂ６７Ｂ３／２０５３が優先）｝
B67B3/2053	｛キャッピングヘッドからなるもの｝
B67B3/206	｛容器またはキャップの回転を防ぐための手段｝
B67B3/2066	｛キャッピングヘッドの細部（Ｂ６７Ｂ３／２０７３が優先）｝
B67B3/2073	｛トルク制限手段からなるもの（レンチまたはドライバにおけるトルク規制装置Ｂ２５Ｂ２３／１４；継手またはクラッチそれ自体Ｆ１６Ｄ）｝
B67B3/208	｛トルクに反応しモータ制御手段に適用され作動する電気的手段，例．歪みゲージまたは動力測定手段（Ｂ６７Ｂ３／２０９３が優先）｝
B67B3/2086	｛磁気クラッチまたは電磁クラッチ｝
B67B3/2093	｛適用されるトルク制限が可変であるもの｝
B67B3/22	スナップ―オンキャップを用いることによるもの
B67B3/24	真空のもとでキャップをするための特殊な手段
B67B3/26	キャッピング装置における制御，警告，安全装置の適用
B67B3/261	｛ねじキャップの締結を制御する装置，例．解除トルクの試験（トルク試験器一般Ｇ０１Ｌ５／００）｝
B67B3/262	｛キャップを制御するための装置｝
B67B3/264	｛キャップの位置決め｝
B67B3/265	｛キャップの存在｝
B67B3/267	｛キャップラベルの位置決め｝
B67B3/268	｛閉鎖機の破損を防ぐための装置｝
B67B3/28	びんまたは広口びんとキャップイングヘッドとの間に相対運動を起こさせる機構
B67B5/00	閉鎖具への保護または装飾カバーの適用；針金によりびんの閉鎖具を固定するための装置（びんに定着させる手段をもつ幼児への哺乳用乳首Ａ６１Ｊ１１／０４）
B67B5/03	閉鎖具に対する保護または装飾カバーの適用，例．所定の位置に形成することによるもの
