C01D1/00	ナトリウム，カリウムまたは他のアルカリ金属の酸化物または水酸化物一般
C01D1/02	酸化物
C01D1/04	水酸化物
C01D1/20	アルカリ金属の塩と酸化物または水酸化物との反応による製造
C01D1/22	炭酸塩または重炭酸塩を有するもの
C01D1/24	ふっ化物またはけいふっ化物からのまたはそれを経由するもの
C01D1/26	シアノ化合物，例．シアン化物，シアナミド，からの，またはそれを経由しての製造
C01D1/28	精製；分離
C01D1/30	結晶化によるもの
C01D1/32	吸着または沈殿によるもの
C01D1/34	選択的溶剤によるもの
C01D1/36	酸化によるもの
C01D1/38	透析によるもの
C01D1/40	電解によるもの
C01D1/42	濃縮；脱水
C01D1/44	粒，小片または他の成形品の製造
C01D3/00	ナトリウム，カリウムまたは他のアルカリ金属のハロゲン化物一般　｛（ハロゲン化物一般Ｃ０１Ｂ９／００）｝
C01D3/02	ふっ化物
C01D3/04	塩化物
C01D3/06	塩水，海水またはあく廃液の処理による製造
C01D3/08	天然産もしくは工業の塩混合物またはけい酸質鉱物の処理による製造
C01D3/10	臭化物
C01D3/12	よう化物
C01D3/14	精製
C01D3/145	｛固体イオン交換体または固体キレート剤によるもの｝
C01D3/16	沈でんまたは吸着によるもの　｛（Ｃ０１Ｄ３／１４５　が優先）｝
C01D3/18	選択的溶剤によるもの
C01D3/20	融解によるもの
C01D3/22	粒，小片または他の成形品の製造
C01D3/24	結晶工程への影響
C01D3/26	吸湿防止または結晶の固結防止
C01D5/00	ナトリウム，カリウムまたは他のアルカリ金属の硫酸塩または亜硫酸塩一般　｛（亜硫酸塩一般Ｃ０１Ｂ１７／６２）｝
C01D5/002	｛添加剤による，水分の吸収または結晶の固化の防止｝
C01D5/004	｛粒子，小片または他の成形品の製造｝
C01D5/006	｛ビスコースの紡糸のための凝固浴からの硫酸ナトリウムの回収｝
C01D5/008	｛みょうばん石からの硫酸カリウムの製造｝
C01D5/02	アルカリ金属塩および硫酸または重硫酸塩からの硫酸塩の製造；重硫酸塩の製造
C01D5/04	亜硫酸または亜硫酸塩を用いる硫酸塩の製造，例．ハーグリーブズ（Ｈａｒｇｒｅａｖｅｓ）プロセス　｛（ピロ亜硫酸またはメタ重亜硫酸Ｃ０１Ｄ５／１４５）｝
C01D5/06	複分解による硫酸塩の製造
C01D5/08	個々のものを用いるものまたは硫酸アンモニウムを用いるもの
C01D5/10	マグネシウム，カルシウム，ストロンチウムまたはバリウムの硫酸塩を用いるもの
C01D5/12	ナトリウムまたはカリウムを用いる硫酸複塩の製造
C01D5/14	亜硫酸塩の製造　（Ｃ０１Ｄ５／０４　が優先）
C01D5/145	｛ピロ亜硫酸またはメタ重亜硫酸｝
C01D5/16	精製　｛（Ｃ０１Ｄ５／１４５　が優先）｝
C01D5/18	脱水　｛（Ｃ０１Ｄ５／１４５　が優先）｝
C01D7/00	ナトリウム，カリウムまたはアルカリ金属の炭酸塩一般
C01D7/02	複分解による製造
C01D7/04	ふっ化物またはけいふっ化物によるもの（Ｃ０１Ｄ１／２４が優先）
C01D7/06	炭酸マグネシウム−ナトリウムまたはカリウムを経由する製造
C01D7/07	水酸化物からの製造
C01D7/08	ナトリウムまたはカリウムのシアノ化合物からの，またはそれを経由する製造（Ｃ０１Ｄ１／２６が優先）
C01D7/10	炭酸塩から重炭酸塩の製造（アンモニア―ソーダ法Ｃ０１Ｄ７／１８）
C01D7/12	重炭酸塩から炭酸塩の製造　｛または重炭酸塩含有生成物｝
C01D7/123	｛液状媒体の不存在下で，固体の熱分解によるもの｝
C01D7/126	｛多段階工程，例．トロナからソーダ灰まで｝
C01D7/14	セスキ炭酸塩の製造
C01D7/16	アミンと二酸化炭素とを用いるナトリウムまたはカリウム化合物からの製造
C01D7/18	アンモニア―ソーダ法による製造　｛（Ｃ０１Ｄ７／１２　が優先）｝
C01D7/22	精製
C01D7/24	結晶化
C01D7/26	沈でんまたは吸着によるもの
C01D7/28	選択的溶剤によるもの
C01D7/30	酸化によるもの
C01D7/32	透析によるもの
C01D7/34	電解によるもの
C01D7/35	結晶水含量または比重の変更　｛（焼成　Ｂ０１Ｊ６／００，　Ｆ２７Ｂ）｝
C01D7/37	炭酸ナトリウムの濃密化
C01D7/38	粒，小片または他の成形品の製造
C01D7/40	結晶化工程への影響
C01D7/42	吸湿防止または固結防止
C01D9/00	ナトリウム，カリウムまたは他のアルカリ金属の硝酸塩一般　｛（肥料またはそれらを含有する肥料としての製造Ｃ０５Ｄ５／００）｝
C01D9/02	天然産塩混合物の処理による製造
C01D9/04	硝酸液を用いる製造
C01D9/06	気体状硝酸または酸化窒素を用いる製造
C01D9/08	複分解による製造
C01D9/10	硝酸アンモニウムを用いるもの
C01D9/12	マグネシウム，カルシウム，ストロンチウムまたはバリウムの硝酸塩を用いるもの
C01D9/14	硝酸ナトリウムを用いるカリウム塩の製造
C01D9/16	精製
C01D9/18	成形品，例．粒，の製造
C01D9/20	吸湿防止または固結防止
C01D13/00	他のどこにも分類されないナトリウムまたはカリウム化合物
C01D15/00	リチウム化合物
C01D15/005	｛リチウムヘキサフルオロりん酸塩｝
C01D15/02	酸化物；水酸化物
C01D15/04	ハロゲン化物
C01D15/06	硫酸塩；亜硫酸塩
C01D15/08	炭酸塩；重炭酸塩
C01D15/10	硝酸塩
C01D17/00	ルビジウム，セシウムまたはフランシウム化合物
C01D17/003	｛アルカリ金属化合物｝
C01D17/006	｛有機試薬により沈殿する，または，液体有機層により抽出されるカリウムイオンからなるカリウム化合物の製造｝
