C03B1/00	バッチの調製（化用組成Ｃ０３Ｃ）
C03B1/02	ガラスバッチのコンパクト化，例．ペレット化
C03B3/00	溶融窯への装入
C03B3/005	｛スクリューフィーダを用いるもの｝
C03B3/02	ガラス製造原料，ペレットまたはカレットの予備加熱，予備溶融，または予備処理と組合わせたもの
C03B3/023	｛予熱｝
C03B3/026	｛溶融窯の加熱に用いられるバーナまたは同等の加熱手段からの原料の火炎への装入によるもの｝
C03B5/00	溶融窯における溶融；ガラス製造専用窯
C03B5/005	｛ガラスを形成する廃材料のもの（固体廃棄物の処理または変換一般Ｂ０９Ｂ；放射性廃棄物の処理Ｇ２１Ｆ９／００）｝
C03B5/02	電気窯におけるもの，｛例．誘電加熱によるもの（電気加熱一般Ｈ０５Ｂ）｝
C03B5/021	｛誘導加熱によるもの｝
C03B5/023	｛マイクロ波加熱によるもの｝
C03B5/025	｛アーク放電またはプラズマ加熱によるもの｝
C03B5/027	ガラスバスに浸漬された電極間に電流を通すことによるもの，すなわち直接抵抗加熱によるもの
C03B5/0272	｛るつぼ窯｝
C03B5/0275	｛シャフト窯（Ｃ０３Ｂ５／０２７７が優先）｝
C03B5/0277	｛回転窯｝
C03B5/03	タンク窯
C03B5/031	｛頂部冷却タンク窯｝
C03B5/033	ガラスバス中または，その上に抵抗発熱体を使用することによるもの，すなわち間接抵抗加熱によるもの
C03B5/0332	｛タンク窯｝
C03B5/0334	｛るつぼ窯；巻芯窯｝
C03B5/0336	｛シャフト窯（Ｃ０３Ｂ５／０３３８が優先）｝
C03B5/0338	｛回転窯｝
C03B5/04	タンク窯におけるもの｛（Ｃ０３Ｂ５／０２が優先）｝
C03B5/05	不連続稼働タンク窯，例．デイタンク
C03B5/06	るつぼ窯におけるもの｛（Ｃ０３Ｂ５／０２が優先）｝
C03B5/08	ガラス溶融るつぼ窯
C03B5/10	タンク窯およびるつぼとの組み合わせにおけるもの｛（Ｃ０３Ｂ５／０２が優先）｝
C03B5/12	シャフト窯におけるもの｛（Ｃ０３Ｂ５／０２が優先）｝
C03B5/14	円転円筒窯におけるもの｛（Ｃ０３Ｂ５／０２が優先）｝
C03B5/16	溶融プロセスの特徴；ガラス溶融窯に特に適する補助手段
C03B5/163	｛電気化学的処理，例．発泡または泡の生成を防ぐためのもの（Ｃ０３Ｂ５／１６７２，Ｃ０３Ｂ５／１８５が優先）｝
C03B5/167	設備への損傷を防止する手段，例．溶融ガラス，熱ガス，バッチによる（Ｃ０３Ｂ５／２０，Ｃ０３Ｂ５／４２が優先）
C03B5/1672	｛そのための材料の使用｝
C03B5/1675	｛白金族金属｝
C03B5/1677	｛電気化学的保護手段，例．電極の不動体化，の使用によるもの｝
C03B5/173	ガラス窯内の溶融ガラスの組成を変える装置，例．溶融ガラスの着色のためのもの（化学的なものはＣ０３Ｃ）
C03B5/18	かくはん装置；均質化｛（混合一般Ｂ０１Ｆ）｝
C03B5/182	固定要素に沿って溶融ガラスを動かすことによるもの，例．デフレクター，せき，じゃま板
C03B5/183	熱的手段の使用，例．対流をおこすためのもの
C03B5/185	電気的手段
C03B5/187	動く要素を有するもの
C03B5/1875	｛ねじ込み式またはポンプ式のもの｝
C03B5/193	ガスの使用，例．バブラー
C03B5/20	汚れ，泡あるいはバッチを引き止める仕切壁，シュー，スロートあるいはその他の装置
C03B5/202	｛溶融表面上にブローする装置，例．高運動量バーナ｝
C03B5/205	｛溶融表面をすくうまたはすくい取る機械的手段｝
C03B5/207	｛孔付スクリーンまたは網目スクリーン，例．水中ふるい｝
C03B5/225	清澄（Ｃ０３Ｂ５／１８が優先；｛清澄剤Ｃ０３Ｃ１／００４｝）
C03B5/2252	｛減圧下におけるもの，例．真空清澄機によるもの｝
C03B5/2255	｛遠心力によるもの｝
C03B5/2257	｛薄層清澄によるもの｝
C03B5/23	溶融ガラスの冷却（Ｃ０３Ｂ５／１８，Ｃ０３Ｂ５／２２５が優先）
C03B5/235	ガラスの加熱（Ｃ０３Ｂ５／０２，Ｃ０３Ｂ５／１８，Ｃ０３Ｂ５／２２５が優先）<br><br><u>注</u><br><br>汚れ，泡あるいはバッチを抑える装置はＣ０３Ｂ５／２０２にも分類される
C03B5/2353	｛純酸素または酸素富化空気を用いた燃焼によるもの，例．酸素バーナまたは酸素槍を用いるもの｝
C03B5/2356	｛浸漬加熱，例．ヒートパイプ，熱ガスまたは浸漬燃焼バーナの使用によるもの（バブラーＣ０３Ｂ５／１９３）｝
C03B5/237	ガラス溶融窯に特に適合した蓄熱装置または換熱装置
C03B5/2375	｛蓄熱装置れんがの設計（れんがの形状一般Ｆ２７Ｄ１／０４２）；そのための材料の使用；れんが積重ね装置｝
C03B5/24	溶融プロセスの自動調整
C03B5/245	｛溶融またはバッチの高さ，深さもしくは厚さの調整｝
C03B5/26	取り出し口，｛例．排液管，サイホン｝；オーバーフロー口，｛例．フロート槽，トウィルに供給するためのもの｝
C03B5/262	｛排液管，すなわち，ガラス溶融物を放出または不要な沈殿物を取り出す手段｝
C03B5/265	｛オーバーフロー口；リップ；トウィル｝
C03B5/267	｛フロート槽に供給するように特に適合したもの｝
C03B5/28	サイホン
C03B5/42	炉壁構造の細部，例．腐食を防ぐためのもの；炉壁用材料の使用
C03B5/425	腐食または浸食の防止（Ｃ０３Ｂ５／４４が優先）
C03B5/43	炉壁用材料，例．耐火れんが，の使用
C03B5/435	炉壁のための加熱装置
C03B5/44	炉壁のための冷却装置
C03B7/00	溶融ガラス分配装置；装入された溶融ガラスを取り出す手段；ゴブの製造，｛例．ゴブの形状，重量または配送タクトの制御｝
C03B7/005	｛制御，調整または測定｝
C03B7/01	導入された溶融ガラスを取り出す手段｛（Ｃ０３Ｂ７／０８，Ｃ０３Ｂ７／１４〜Ｃ０３Ｂ７／２２が優先）｝
C03B7/02	フォアハース，すなわちフィーダーチャンネル
C03B7/04	回転フォアハース
C03B7/06	ガラス温度の熱的調整あるいは制御手段
C03B7/065	｛純酸素または酸素富化空気を用いた燃焼によるもの｝
C03B7/07	電気的手段
C03B7/08	フィーダースパウト，例．ゴブフィーダー
C03B7/082	空気式フイーダー
