C07D201/00	置換基のないラクタムの製造，分離，精製または安定化
C07D201/02	ラクタムの製造
C07D201/04	オキシムからベックマン転移による
C07D201/06	ケトンからオキシムの同時形成および転移によるもの
C07D201/08	カルボン酸またはその誘導体，例．ヒドロキシカルボン酸，ラクトン，ニトリル，からのもの
C07D201/10	脂環式化合物の同時ニトロシル化および転移によるもの
C07D201/12	ポリアミドの解重合によるもの
C07D201/14	ラクタムの塩の製造　｛および錯体｝
C07D201/16	分離または精製（無機塩の分離Ｃ０１）
C07D201/18	安定化
C07D203/00	異項原子として１個の窒素原子のみを含有する３員環からなる複素環式化合物
C07D203/02	閉環による製造　｛Ｃ０７Ｄ２０３／０４〜Ｃ０７Ｄ２０３／０６が優先｝
C07D203/04	他の環と縮合していないもの
C07D203/06	環原子相互間または環原子と非環原子間に二重結合を有しないもの
C07D203/08	環の窒素原子に直接結合する水素原子，炭化水素基または置換炭化水素基のみを有するもの
C07D203/10	単結合の酸素原子により置換されている炭化水素基　｛（Ｃ０７Ｄ２０３／０８Ｂ(ＥＣＬＡ)　が優先）｝
C07D203/12	ニトロ基の一部でない窒素原子によって置換されている炭化水素基　｛（Ｃ０７Ｄ２０３／０８Ｂ(ＥＣＬＡ)　が優先；　ニトロ基によるもの　Ｃ０７Ｄ２０３／０８Ａ(ＥＣＬＡ)）｝
C07D203/14	環の窒素原子に直接結合している炭素環を有するもの　｛（Ｃ０７Ｄ２０３／０８Ｂ(ＥＣＬＡ)　が優先）｝
C07D203/16	アシル化されている環の窒素原子を有するもの
C07D203/18	カルボン酸によるかまたはその硫黄または窒素類似体によるもの　｛すなわち，誘導されたアシル基｝
C07D203/20	炭酸によるかまたはその硫黄または窒素類似体，例．カルバミン酸塩，によるもの　｛すなわち，誘導されたアシル基｝
C07D203/22	環の窒素原子に直接結合する異種原子を有するもの
C07D203/24	硫黄原子
C07D203/26	炭酸環または環系と縮合しているもの
C07D205/00	異項原子として１個の窒素原子のみを含有する４員環からなる複素環式化合物
C07D205/02	他の環と縮合していないもの
C07D205/04	環原子相互間または環原子と非環原子間に二重結合を有しないもの
C07D205/06	環原子相互間または環原子と非環原子間に１個の二重結合を有するもの
C07D205/08	２位に直接結合する１個の酸素原子を有するもの，例．β−ラクタム
C07D205/085	３位に直接結合した窒素原子を有するもの
C07D205/09	４位に直接結合した硫黄原子を有するもの
C07D205/095	および３位に直接結合した窒素原子を有するもの
C07D205/10	環原子相互間又は環原子と非環原子間に２個の二重結合を有するもの
C07D205/12	炭素環または環系と縮合しているもの
C07D207/00	異項原子として１個の窒素原子のみを含有し，他の環と縮合していない５員環からなる複素環式化合物
C07D207/02	環の窒素原子に直接結合する水素原子または炭素原子のみを有するもの
C07D207/04	環原子相互間または環原子と非環原子間に二重結合を有しないもの
C07D207/06	環の炭素原子に結合した，水素原子および炭素原子のみからなる基を有するもの
C07D207/08	異種原子により置換された炭化水素基を有するもの　｛または異種原子との３個の結合を持ちそのうち多くても１個がハロゲンとの結合である炭素原子，例．エステルまたはニトリル基，によるもの｝環の炭素原子に結合したもの
C07D207/09	｛ニトロ基の一部でない窒素原子に置換された基｝
C07D207/10	ヘテロ原子をもつものまたはヘテロ原子に対する３個の結合，そのうち多くても１個がハロゲンに対する結合を含む，炭素原子をもつもの，例．エステル基またはニトリル基，環の炭素原子に直接結合したもの
C07D207/12	酸素原子または硫黄原子
C07D207/14	ニトロ基の一部でない窒素原子　｛ニトロ基　Ｃ０７Ｄ２０７／１０｝
C07D207/16	異種原子に対する３個の結合をもち，そのうち多くても１個がハロゲンに対する結合である炭素原子，例．エステルまたはニトリル基
C07D207/18	環原子相互間または環原子と非環原子間に１個の二重結合を有するもの
C07D207/20	環の炭素原子に結合する水素原子，炭化水素基または置換炭化水素基のみを有するもの
C07D207/22	異種原子，または異種原子に対する３個の結合をもち，そのうち多くても１個がハロゲンに対する結合である炭素原子，例．エステルまたはニトリル基，が環の炭素原子に直接結合したもの
C07D207/24	酸素原子または硫黄原子
C07D207/26	２−ピロリドン
C07D207/263	環の他の炭素原子に，水素原子または水素原子と炭素原子のみを含有する基のみが直接結合したもの
C07D207/267	環の窒素原子に直接結合する水素原子，または水素原子および炭素原子のみからなる基のみを有するもの
C07D207/27	環の窒素原子に直接結合する置換炭化水素基を有するもの
C07D207/273	異種原子，または異種原子に対する３個の結合をもちそのうち多くても１個がハロゲンに対する結合である炭素原子，例．エステル基またはニトリル基，が環の他の炭素原子に直接結合したもの
C07D207/277	異種原子に対する３個の結合をもちそのうち多くても１個がハロゲンに対する結合である炭素原子，例．エステルまたはニトリル基
C07D207/28	２―ピロリドン―５―カルボン酸；その官能性誘導体，例．エステル，ニトリル
C07D207/30	環原子相互間または環原子と非環原子間に２個の二重結合を有するもの
C07D207/32	環の炭素原子に直接結合する水素原子，炭化水素基または置換炭化水素基のみを有するもの
C07D207/323	環の窒素原子に直接結合する水素原子，または水素原子および炭素原子のみからなる基のみを有するもの
C07D207/325	環の窒素原子に直接結合する置換炭化水素基を有するもの
C07D207/327	異種原子に対する３個の結合をもち，そのうち多くても１個がハロゲンに対する結合である炭素原子で置換された基，例．エステルまたはニトリル基
C07D207/33	環の炭素原子に直接結合する，置換炭化水素基を有するもの
C07D207/333	酸素原子または硫黄原子で置換された基
C07D207/335	ニトロ基の一部でない窒素原子で置換された基
C07D207/337	異種原子に対する３個の結合をもち，そのうち多くても１個がハロゲンに対する結合である炭素原子で置換された基，例．エステルまたはニトリル基
C07D207/34	異種原子，または異種原子に対する３個の結合をもち，そのうち多くても１個がハロゲンに対する結合である炭素原子，例．エステルまたはニトリル基，が環の炭素原子に直接結合したもの
C07D207/36	酸素原子または硫黄原子
C07D207/38	２−ピロロン
C07D207/40	２，５―ピロリジン―ジオン
C07D207/404	環の他の炭素原子に，水素原子または水素原子と炭素原子のみを含有する基のみが直接結合したもの，例．スクシンイミド
C07D207/408	環の炭素原子に結合する水素原子および炭素原子のみからなる基
C07D207/412	７個以上の炭素原子からなる非環式基
C07D207/416	異種原子，または異種原子に対する３個の結合をもちそのうち多くても１個がハロゲンに対する結合である炭素原子，例．エステル基またはニトリル基，が環の他の炭素原子に直接結合したもの
C07D207/42	ニトロ基
C07D207/44	環原子相互間または環原子と非環原子間に３個の二重結合を有するもの
C07D207/444	２位と５位に直接結合する２個の二重結合の酸素原子を有するもの
C07D207/448	環の他の炭素原子に，水素原子または水素原子と炭素原子のみを含有する基のみが直接結合したもの，例．マレイミド
C07D207/452	環の窒素原子に直接結合する，異種原子によって置換された炭化水素基を有するもの
C07D207/456	異種原子，または異種原子に対する３個の結合をもちそのうち多くても１個がハロゲンに対する結合である炭素原子，例．エステル基またはニトリル基，が環の他の炭素原子に直接結合したもの
C07D207/46	環の窒素原子に直接結合する異種原子を有するもの
C07D207/48	硫黄原子
C07D207/50	窒素原子
C07D209/00	異項原子として１個の窒素原子のみを含有し，他の環と縮合している５員環からなる複素環式化合物
C07D209/02	１個の炭素環と縮合しているもの
C07D209/04	インドール；水素添加したインドール
C07D209/06	コールタールからインドールの製造
C07D209/08	複素環の炭素原子に直接結合する水素原子または水素原子および炭素原子のみからなる基のみを有するもの
C07D209/10	複素環の炭素原子に結合し，置換されている炭化水素基を有するもの
C07D209/12	酸素原子により置換されている基
C07D209/14	ニトロ基の一部でない窒素原子により置換されている基　｛（３位にフェニル基，２位にアミノメチル基が結合したものＣ０７Ｄ２０９／０４Ａ(ＥＣＬＡ)；Ｃ０７Ｄ２０９／１０ニトロ基によるもの）｝
C07D209/16	トリプタミン　｛任意に置換された３−アミノエチルインドール｝
C07D209/18	異種原子に対する３個の結合をもち，そのうち多くても１個がハロゲンに対する結合である炭素原子，例．エステルまたはニトリル基，により置換されている基
C07D209/20	更に窒素原子により置換されているもの，例．トリプトファン　｛（ペプチド　Ｃ０７Ｋ）｝　
C07D209/22	環の窒素原子に結合するアラルキル基を有するもの　｛（Ｃ０７Ｄ２０９／２０　が優先）｝　
C07D209/24	環の窒素原子に結合するアルキル基またはシクロアルキル基を有するもの　｛（Ｃ０７Ｄ２０９／２０　が優先）｝　
C07D209/26	｛カルボキシル基または炭酸｝環窒素原子に結合したアシル基を有するもの　｛（Ｃ０７Ｄ２０９／２０　が優先）｝　
C07D209/28	５位に酸素または窒素原子が結合した１−（４−クロロベンゾイル）−２−メチルインドリル−３−酢酸　｛その誘導体，例．｝そのエステル
C07D209/30	異種原子，または異種原子に対する３個の結合をもち，そのうち多くても１個がハロゲンに対する結合である炭素原子が複素環の炭素原子に直接結合したもの
C07D209/32	酸素原子
C07D209/34	２位において
C07D209/36	３位において，例．アドレノクローム
C07D209/38	２位と３位において，例．イサチン
C07D209/40	ニトロ基の一部でない窒素原子，例．アデノクロムセミカルバゾン　｛ニトロ基　Ｃ０７Ｄ２０９／３０｝
