C07K1/00	ペプチドの製造のための一般方法
C07K1/003	｛最後のアミノ酸をアミドに変換することによるもの｝
C07K1/006	｛誘導された側鎖アミノ酸を含有するペプチドの｝
C07K1/02	溶液中で　｛（Ｃ０７Ｋ１／００３，　Ｃ０７Ｋ１／００６　が優先）｝
C07K1/023	｛ラセミ化抑制剤を使用するもの｝
C07K1/026	
C07K1/04	担体上で　｛（Ｃ０７Ｋ１／００３，　Ｃ０７Ｋ１／００６　が優先）｝
C07K1/042	｛担体の性質に特徴があるもの｝
C07K1/045	｛合成を改善する装置を使用するもの，例．／応器，特別の容器｝
C07K1/047	｛異なったペプチドの同時合成；　ペプチドライブラリ｝　
C07K1/06	保護基または活性化剤を使用するもの　｛（Ｃ０７Ｋ１／００３，　Ｃ０７Ｋ１／００６　が優先）｝
C07K1/061	｛保護基を使用するもの｝
C07K1/062	｛α−またはω−カルボキシル基のためのもの｝
C07K1/063	｛α−アミノ基のためのもの｝
C07K1/064	｛ωーアミノまたは−グアニジノ基のためのもの｝
C07K1/065	｛カルボキシル基の一部ではないヒドロキシル基のためのもの｝
C07K1/066	｛ωーアミド基のためのもの｝
C07K1/067	｛硫黄含有基のためのもの｝
C07K1/068	｛複素環側鎖のためのもの｝
C07K1/08	活性化剤を使用するもの　｛（Ｃ０７Ｋ１／００３，　Ｃ０７Ｋ１／００６　が優先）｝
C07K1/082	｛リンを含有するもの｝
C07K1/084	｛窒素を含有するもの｝
C07K1/086	｛硫黄を含有するもの｝
C07K1/088	｛他の元素を含有するもの，例．ホウ素，ケイ素，ヒ素｝
C07K1/10	カップリング試薬を使用するもの　｛（Ｃ０７Ｋ１／００６が優先）｝
C07K1/107	前駆体ペプチドの化学的変成によるもの
C07K1/1072	｛残基または官能基の共有結合によるもの｝
C07K1/1075	｛アミノ酸またはペプチド残基の共有結合によるもの｝
C07K1/1077	｛アミノ酸またはペプチド残基以外の残基の共有結合によるもの，例．糖，ポリオール，脂肪酸｝
C07K1/113	一次構造を変更しないもの
C07K1/1133	｛システイン／シスチン側鎖が関与するレドックス反応によるもの　（蛋白質の構造には際立った変化をもたらさない）｝
C07K1/1136	｛二級，三級，四級構造の　（可逆的な）　変性によるもの，変性剤を使用するもの　（プロティンホールディング）｝
C07K1/12	加水分解によるもの　｛すなわち，加溶媒分解一般｝
C07K1/122	｛ＨＦと異なる酸による加水分解｝
C07K1/124	｛ヒドラジン分解｝
C07K1/126	｛アミノリシス｝
C07K1/128	
C07K1/13	ペプチドの標識化
C07K1/14	抽出；分離；精製
C07K1/145	
C07K1/16	クロマトグラフィーによるもの
C07K1/165	
C07K1/18	イオン交換クロマトグラフィー
C07K1/20	分配，逆相または疎水性相互作用クロマトグラフィー
C07K1/22	アフィニティー・クロマトグラフィー，または選択的吸着プロセスに基づく関連技術
C07K1/24	電気化学的手段によるもの
C07K1/26	電気泳動法
C07K1/28	等電点電気泳動
C07K1/285	
C07K1/30	沈澱によるもの
C07K1/303	
C07K1/306	
C07K1/32	複合体として
C07K1/34	濾過，限外濾過または逆浸透
C07K1/36	異なる種類の２つ以上の方法の組み合わせによるもの
C07K2/00	不確定数のアミノ酸からなるペプチド；その誘導体
C07K4/00	不確定または一部分しか確定していない配列をもつ，２０個以下のアミノ酸を含有するペプチド；その誘導体
C07K4/02	ウイルスから
C07K4/04	細菌から
C07K4/06	菌類から
C07K4/08	藻類から；地衣類から
C07K4/10	植物から
C07K4/12	動物から:ヒトから．<br><br><u>｛注</u><br><br>　相反する指示がない限り，全てのアミノ酸は天然のＬ−体とみなす　｝
C07K5/00	確定された配列をもつ，４個以下のアミノ酸を含有するペプチド；その誘導体
C07K5/02	擬ペプチド結合を少なくとも１個含有するもの
C07K5/0202	｛−ＮＨ−Ｘ−Ｘ−Ｃ（＝０）−の構造を含有するもの，　Ｘ　は，置換されてもよい炭素原子または異種原子，例．　β―アミノ酸｝
C07K5/0205	｛−ＮＨ−（Ｘ）３−Ｃ（＝０）−の構造を含有するもの，例．スタチンまたはその誘導体｝
C07K5/0207	｛−ＮＨ−（Ｘ）４−Ｃ（＝０）の構造を含有するもの，例．　｀アイソスター｀，　２個のアミノ基を置換するもの｝
C07K5/021	｛−ＮＨ−（Ｘ）ｎ−Ｃ（＝０）−の構造を含有するもの，　ｎ　は　５　または　６；　　ｎ　＞　６のものは，　　正常ペプチド結合を持つ部分に従って　Ｃ０７Ｋ５／０６　から　Ｃ０７Ｋ５／１０に分類，｝
C07K5/0212	｛−Ｎ−Ｃ−Ｎ−Ｃ（＝０）−の構造を持つもの，例．　レトローインベルソペプチド｝
C07K5/0215	｛天然アミノ酸を含有するもの，その側鎖の官能基を通じてペプチド結合を形成するもの，例．　ε−Ｌｙｓ，　γ−Ｇｌｕ｝
C07K5/0217	｛−Ｃ（＝Ｏ）−Ｃ−Ｎ−Ｃ（＝Ｏ）−Ｎ−Ｃ−Ｃ（＝Ｏ）−の構造を含有するもの｝
C07K5/022	｛−Ｘ−Ｃ（＝Ｏ）−（Ｃ）ｎ−Ｎ−Ｃ−Ｃ（＝Ｏ）−Ｙ−の構造を含有するもの；　Ｘ　および　Ｙ　は異種原子；　ｎ　は　１　または　２｝
C07K5/0222	｛複素環式アミノ酸を含有するもの｝
C07K5/0225	｛−Ｎ−Ｃ−Ｃ（＝Ｏ）−Ｎ−Ｃ（＝Ｏ）−Ｃ−Ｎ−の構造を含有するもの｝
C07K5/0227	｛−Ｐｈｅ−Ｈｉｓ−ＮＨ−（Ｘ）２−Ｃ（＝０）−の（部分）ペプチド配列を含有するもの，例．　レニン阻害剤　ｎ　＝　２　−　６；　　ｎ　＞　６は，　　Ｃ０７Ｋ５／０６　から　Ｃ０７Ｋ５／１０を参照｝
