C23F1/00	化学的手段による金属質材料のエッチング（製版Ｂ４１Ｃ；印刷回路の製造Ｈ０５Ｋ）
C23F1/02	部分的エッチング
C23F1/04	ケミカルミーリング
C23F1/06	やすりの目立て
C23F1/08	装置，例．写真製版（写真製版による複製Ｇ０３Ｆ）
C23F1/10	エッチング組成物（Ｃ２３Ｆ１／４４が優先）
C23F1/12	ガス状組成物
C23F1/14	水溶液組成物
C23F1/16	酸性組成物（Ｃ２３Ｆ１／４２が優先）
C23F1/18	銅または銅合金をエッチングするためのもの
C23F1/20	アルミニウムまたはアルミニウム合金をエッチングするためのもの
C23F1/22	マグネシウムまたはマグネシウム合金をエッチングするためのもの
C23F1/26	耐火金属をエッチングするためのもの
C23F1/28	鉄族金属をエッチングするためのもの
C23F1/30	その他の金属質材料をエッチングするためのもの
C23F1/32	アルカリ性組成物（Ｃ２３Ｆ１／４２が優先）
C23F1/34	銅または銅合金をエッチングするためのもの
C23F1/36	アルミニウムまたはアルミニウム合金をエッチングするためのもの
C23F1/38	耐火金属をエッチングするためのもの
C23F1/40	その他の金属質材料をエッチングするためのもの
C23F1/42	水に混和しない液体を分散して含むもの
C23F1/44	異った組成の金属質材料の基板から金属質材料をエッチングするための組成物
C23F1/46	エッチング組成物の再生
C23F3/00	化学的手段による金属のつや出し
C23F3/02	軽金属
C23F3/03	酸性溶液を用いるもの
C23F3/04	重金属
C23F3/06	酸性溶液を用いるもの
C23F4/00	グループＣ２３Ｆ１／００またはＣ２３Ｆ３／００に分類されない，表面から金属質材料を除去するための方法
C23F4/02	蒸発によるもの
C23F4/04	物理的分解によるもの
C23F11/00	腐食のおそれがある表面への抑制剤の適用または腐食媒体への抑制剤の添加による金属質材料の防食（抑制剤の鉱油，燃料または潤滑剤への添加Ｃ１０；抑制剤の酸洗い浴への添加Ｃ２３Ｇ）
C23F11/02	蒸気状の抑制剤を空気またはガスに添加
C23F11/04	明白な酸性液体への添加
C23F11/06	明白なアルカリ性液体へ添加
C23F11/08	他の液体へ添加
C23F11/10	有機質抑制剤を用いるもの　<br><br><u>注</u><br><br><u>注</u><br><br>１．化合物は最後の適切な箇所に分類する。．．２．有機酸のエステルまたは無水物は，他に表記されない限り，関連する酸として分類する。無機化合物を含む化合物の塩は，他に特に分類されない限り，その化合物として分類する。
C23F11/12	酸素含有化合物
C23F11/122	アルコール；　アルデヒド；ケトン
C23F11/124	カルボン酸
C23F11/126	脂肪酸
C23F11/128	カルボン酸エステル
C23F11/14	窒素含有化合物
C23F11/141	アミン；四級アンモニウム化合物
C23F11/142	ヒドロキシアミン
C23F11/143	アミン塩
C23F11/144	アミノカルボン酸
C23F11/145	アミド；Ｎ−置換アミド
C23F11/146	複数の窒素−炭素結合を含有するもの
C23F11/147	窒素−酸素結合を含有するもの
C23F11/148	窒素−窒素結合を含有するもの
C23F11/149	異種原子として窒素原子を含有する複素環式化合物
C23F11/16	硫黄含有化合物
C23F11/161	メルカプタン
C23F11/162	チオアルデヒド；チオケトン
C23F11/163	スルホン酸
C23F11/164	　−ＳＯ２−Ｎ　基を含有するもの
C23F11/165	異種原子として硫黄原子を含有する複素環式化合物
C23F11/167	りん含有化合物
C23F11/1673	リン酸またはチオリン酸のエステル
C23F11/1676	ホスホン酸
C23F11/173	高分子化合物
C23F11/18	無機質抑制剤を用いるもの
C23F11/181	窒素含有化合物
C23F11/182	硫黄，ホウ素またはケイ素含有化合物
C23F11/184	リン，ヒ素，アンチモンまたはビスマス含有化合物
C23F11/185	耐火金属含有化合物
C23F11/187	無機抑制剤混合物
C23F11/188	リン酸塩を含有するもの
C23F13/00	陽極または陰極保護による金属の防食
C23F13/005	｛陽極保護｝
C23F13/02	陰極によるもの；陰極保護のための条件，変数または手順の選択，例．電気的条件
C23F13/04	希望の変数を制御または調整するもの
C23F13/06	陰極保護装置の構造的部分，または組み立て
C23F13/08	陰極保護による腐食の抑制に特に適した電極；その製造；その電極への電流の通電
C23F13/10	構造に特徴のある電極（Ｃ２３Ｆ１３／１６が優先）
C23F13/12	素材に特徴のある電極（Ｃ２３Ｆ１３／１６が優先）
C23F13/14	犠牲陽極の素材
C23F13/16	構造と素材の組み合せに特徴のある電極
C23F13/18	電極を支持する手段
C23F13/20	電極への電流の通電
C23F13/22	そのための監視装置
C23F14/00	物理的または化学的目的のための液体加熱装置の鉱皮の抑制（スケール防止剤または除去剤の水への添加Ｃ０２Ｆ５／００）　｛重合反応器中の鉱皮の抑制Ｃ２３Ｆ１５／００５｝
C23F14/02	化学的手段によるもの
C23F15/00	他の方法による金属の防食または鉱皮の抑制
C23F15/005	｛鉱皮の抑制｝
C23F17/00	少なくとも１工程はクラスＣ２３に分類され，少なくとも１工程はサブクラスＣ２１ＤもしくはＣ２２ＦまたはクラスＣ２５に包含される金属質材料の表面処理の多段階工程（Ｃ２３Ｃ２８／００が優先）
C23F2201/00	陰極保護により保護される材料のタイプ
C23F2201/02	コンクリート，例．補強されたもの
C23F2213/00	陰極または陽極保護による金属の防食
C23F2213/10	パラメータの制御または調整
C23F2213/11	迷走電流の主体となる構造のためのもの
C23F2213/20	陰極または陽極保護装置の構造的な部品または組立
C23F2213/21	陰極または陽極保護の少なくとも二つのタイプの組合せ
C23F2213/22	イオン伝導に特徴があるもの
C23F2213/30	特定の対象に特に適合した陰極または陽極保護
C23F2213/31	浸された構造，例．潜水構造
C23F2213/32	パイプ
