C25C1/00	溶液の電気分解による金属の電解製造，回収または精製（Ｃ２５Ｃ５／００が優先）
C25C1/02	軽金属
C25C1/04	水銀陰極電解槽中において
C25C1/06	または鉄族金属，耐火金属またはマンガン
C25C1/08	ニッケルまたはコバルト
C25C1/10	クロムまたはマンガン
C25C1/12	銅
C25C1/14	錫
C25C1/16	亜鉛，カドミウムまたは水銀
C25C1/18	鉛
C25C1/20	貴金属
C25C1/22	グループＣ２５Ｃ１／０２からＣ２５Ｃ１／２０に分類されない金属
C25C1/24	全てのイオンの陰極還元によって得られる合金
C25C3/00	溶融物の電気分解による金属の電解製造，回収または精製（Ｃ２５Ｃ５／００が優先）
C25C3/02	アルカリ金属またはアルカリ土類金属
C25C3/04	マグネシウム
C25C3/06	アルミニウム
C25C3/08	電解槽の構造，例．底部，壁部，陰極
C25C3/085	｛非導電熱絶縁部に特徴があるもの｝
C25C3/10	外部支持枠または構造物
C25C3/12	陽極
C25C3/125	｛炭素に基づくもの｝
C25C3/14	供給用または金属皮破砕用装置
C25C3/16	電流供給装置，例．母線
C25C3/18	電解液
C25C3/20	電解槽の自動制御または自動調製（制御または調製一般Ｇ０５）
C25C3/22	発生ガスの収集
C25C3/24	精製
C25C3/26	チタン，ジルコニウム，ハフニウム，タンタルまたはバナジウム
C25C3/28	チタン
C25C3/30	マンガン
C25C3/32	クロム
C25C3/34	グループＣ２５Ｃ３／０２からＣ２５Ｃ３／３２に分類されない金属
C25C3/36	全てのイオンの陰極還元によって得られる合金
C25C5/00	金属粉または多孔質金属塊の電解製造，回収または精製
C25C5/02	溶液から
C25C5/04	溶融物から
C25C7/00	電解槽の構造部品またはその組立体；電解槽の保守または操作（アルミニウムの製造のためのものＣ２５Ｃ３／０６からＣ２５Ｃ３／２２）
C25C7/002	｛少なくとも粒子で構成された電極を含む槽　（Ｃ２５Ｃ７／００５，　Ｃ２５Ｃ７／０２からＣ２５Ｃ７／０６が優先）｝
C25C7/005	｛溶融物の電解のための槽　（Ｃ２５Ｃ７／０２からＣ２５Ｃ７／０６が優先）｝
C25C7/007	｛少なくとも可動電極で構成された槽（Ｃ２５Ｃ７／００２，　Ｃ２５Ｃ７／０２からＣ２５Ｃ７／０６が優先）｝　
C25C7/02	電極（金属の精製のための消耗陽極Ｃ２５Ｃ１／００から　Ｃ２５Ｃ５／００）；　それらの結合
C25C7/025	｛溶融物の電解のための槽で用いられるもの｝
C25C7/04	隔膜；間隔要素
C25C7/06	操作または保守
C25C7/08	陰極からの析出金属の分離
