D06N1/00	リノリュウム，｛例．リノキシン，重合樹脂または酸化樹脂｝
D06N3/00	高分子材料，例えば樹脂，ゴムまたはこれらの誘導体で繊維ウェブを被覆して得られる人工皮革，オイルクロスまたは｛その他の｝類似物
D06N3/0002	｛基質に特徴のあるもの｝
D06N3/0004	｛極細２成分繊維，例．海島繊維，または極細１成分繊維（＜１デニール）を用いるもの｝
D06N3/0006	｛織布を用いるもの｝
D06N3/0009	｛編布を用いるもの｝
D06N3/0011	｛不織布を用いるもの｝
D06N3/0013	｛多層ウェブを用いるもの｝
D06N3/0015	｛特定の化学的なまたは物理的な性質の繊維，例．天然絹糸，を用いるもの｝
D06N3/0018	｛コラーゲン繊維または繊維上のコラーゲン｝
D06N3/002	｛石綿繊維｝
D06N3/0022	｛ガラス繊維｝
D06N3/0025	｛ゴム糸；弾性繊維；延伸可能な，かさ高なまたは巻縮した繊維；収縮，巻縮する繊維；製造中の繊維の収縮または延伸；斜めに糸を通した布帛｝
D06N3/0027	｛ゴムのまたは弾性の繊維｝
D06N3/0029	｛延伸可能な繊維；製造中の繊維の延伸｝
D06N3/0031	｛収縮可能な繊維，製造中の繊維の収縮｝
D06N3/0034	｛ポリアミド繊維（弾性繊維のためのものＤ０６Ｎ３／００２５）｝
D06N3/0036	｛ポリエステル繊維（弾性繊維のためのものＤ０６Ｎ３／００２５）｝
D06N3/0038	｛ポリオレフィン繊維（弾性繊維のためのものＤ０６Ｎ３／００２５）｝
D06N3/004	｛樹脂を塗られた植毛ウェブまたはパイル布帛を使用するもの；樹脂塗布前のウェブの梳き，浮き立たせ｝
D06N3/0043	｛有孔構造に特徴のあるもの；発泡層または気泡層の特徴（延伸で得られる有孔構造Ｄ０６Ｎ３／００２９）｝
D06N3/0045	｛既成の発泡体層を応用して得られるもの；発泡体層を圧縮，皺寄せ，または押し潰して得られるもの，例．発泡体層の被覆処理｝
D06N3/0047	｛空気の導入により得られるもの，例．泡｝
D06N3/005	｛発泡剤または膨潤剤を用いて得られるもの｝
D06N3/0052	｛化合物，例．水溶性塩，繊維または充填剤，を浸出して得られるもの；凍結または昇華により得られるもの；昇華性流体の液滴を除去して得られるもの｝
D06N3/0054	｛機械的穴あけにより得られるもの｝
D06N3/0056	｛高分子塗料の配合成分に特徴のあるもの（Ｄ０６Ｎ３／００５が優先）｝
D06N3/0059	｛特殊効果を有する有機成分，例．撥油剤，撥水剤，抗微生物剤，耐燃剤，磁性剤，殺菌剤，臭気影響剤；香料（Ｄ０６Ｎ３／００６５が優先）｝
D06N3/0061	｛有機充填剤または有機繊維充填剤，例．粉砕皮革屑，樹皮，コルク粉末，野菜粉末；他の有機配合成分；有機化合物による後処理｝
D06N3/0063	｛無機配合成分，例．金属，炭素繊維，Ｎａ２ＣＯ３，金属層；無機化合物による後処理｝
D06N3/0065	｛有機顔料，例．染料，光沢剤｝
D06N3/0068	｛高分子の顆粒，粒子または粉末，例．核−殻粒子，マイクロカプセル｝
D06N3/007	｛機械的または物理的処理に特徴のあるもの（Ｄ０６Ｎ３／００２９，Ｄ０６Ｎ３／００３１が優先）｝
D06N3/0072	｛薄切り；２枚のウェブの一度での製造｝
D06N3/0075	｛樹脂塗膜の毛羽立て，梳き，浮き出たせまたは摩滅（塗装前のウェブの浮き出たせ，毛羽立てＤ０６Ｎ３／００４）｝
D06N3/0077	｛エンボス加工；表面加圧；転がし研磨および粉砕；解砕；冷却；加熱，例．鏡面仕上げ｝
D06N3/0079	｛吸引，真空処理｝
D06N3/0081	｛波動エネルギーまたは粒子線によるもの（Ｄ０６Ｎ３／０８が優先）｝
D06N3/0084	｛電気的方法，例．電位，コロナ放電，電気泳動，電気分解，によるもの｝
D06N3/0086	｛適用する技法に特徴のあるもの｝
D06N3/0088	｛直接の樹脂の適用によるもの（Ｄ０６Ｎ３／００４５が優先）｝
D06N3/009	｛ウェブ上への成分の噴霧によるもの（粉末D06N 3/0093）｝
D06N3/0093	｛樹脂粉末の適用によるもの：焼結によるもの｝
D06N3/0095	｛反転技法によるもの；転写処理によるもの｝
D06N3/0097	｛表面剥離，例．分離シート；シリコーン紙｝
D06N3/02	セルロース誘導体によるもの
D06N3/04	炭素―炭素間不飽和結合のみが関与する反応によって得られる高分子化合物によるもの
