D21C1/00	蒸解前の細割り材料の予備処理（故紙Ｄ２１Ｃ５／０２）
D21C1/02	水または水蒸気によるもの
D21C1/04	酸性化合物によるもの
D21C1/06	アルカリ性化合物によるもの
D21C1/08	酸素発生化合物によるもの
D21C1/10	浸透を促進するための物理的方法
D21C3/00	セルロース含有材料のパルプ化（蒸解器Ｄ２１Ｃ７／００）
D21C3/003	｛有機化合物によるもの（Ｄ２１Ｃ３／２０およびＤ２１Ｃ３／２２２が優先）｝
D21C3/006	｛他に分類されない化合物によるもの｝
D21C3/02	無機塩基またはアルカリ性化合物によるもの，例．硫酸塩法
D21C3/022	｛Ｓ含有化合物の存在下におけるもの｝
D21C3/024	｛ＮＨ３またはＨ２Ｏによるもの｝
D21C3/026	｛Ｏ２の存在下におけるもの，例．空気）｝
D21C3/028	｛Ｏ３の存在下におけるもの｝
D21C3/04	酸，酸性塩または酸無水物によるもの｛（Ｄ２１Ｃ３／００３およびＤ２１Ｃ３／２２２が優先）｝
D21C3/045	｛Ｏ２またはＯ３の存在下におけるもの｝
D21C3/06	二酸化硫黄；亜硫酸；重亜硫酸塩；｛亜硫酸塩｝によるもの
D21C3/08	重亜硫酸カルシウムによるもの
D21C3/10	重亜硫酸マグネシウムによるもの
D21C3/12	重亜硫酸ナトリウムによるもの
D21C3/14	重亜硫酸アンモニウムによるもの
D21C3/16	酸化窒素；硝酸；｛硝酸塩，亜硝酸塩｝によるもの
D21C3/18	ハロゲンまたはハロゲン発生化合物によるもの（セルロースパルプの漂白Ｄ２１Ｃ９／１２）
D21C3/20	有機溶剤によるもの｛または溶剤環境におけるもの｝
D21C3/22	パルプ化法のその他の特徴
D21C3/222	｛パルプ化法を加速する化合物の使用｝
D21C3/224	｛圧力および温度以外の手段の使用｝
D21C3/226	｛スケール生成を避ける化合物の使用｝
D21C3/228	｛パルプ化法の自動化｝
D21C3/24	連続法
D21C3/26	多段法
D21C3/263	｛少なくとも一段は酸素の存在下であること｝
D21C3/266	｛全段における同一パルプ化剤の使用（Ｄ２１Ｃ３／２６３が優先）｝
D21C3/28	発泡抑制
D21C5/00	セルロースを得るためのその他の方法，例．綿リンタの蒸解（紡績用繊維を得る方法Ｄ０１Ｃ）；｛セルロース含有出発材料の選択に特徴のある方法｝
D21C5/005	｛微生物または酵素によるセルロース含有材料の処理｝
D21C5/02	故紙からのパルプの再生（機械的なものＤ２１Ｂ１／０８，Ｄ２１Ｂ１／３２）
D21C5/022	｛そのための化学薬品｝
D21C5/025	｛脱墨｝
D21C5/027	｛そのための化学薬品｝
D21C7/00	蒸解器
D21C7/02	回転式蒸解器
D21C7/04	ライニング
D21C7/06	供給装置
D21C7/08	排出装置
D21C7/10	加熱装置
D21C7/12	調節用または制御用装置
D21C7/14	薬液の循環用装置
D21C7/16	安全装置
