E03F1/00	下水または雨水を排除するための方法，系統または施設
E03F1/001	
E03F1/002	｛地面，例．空井戸，または水域への排水によるもの｝
E03F1/003	
E03F1/005	
E03F1/006	｛空気圧式下水処理装置；特にそのために適用された付属器具｝
E03F1/007	
E03F1/008	
E03F3/00	下水管路系
E03F3/02	下水管路または管系の配置
E03F3/04	特に下水用に用いられる管または取り付け具（コンクリート管の製造Ｂ２８；管または管取り付け具一般Ｆ１６Ｌ）
E03F3/043	
E03F3/046	｛開放下水講｝
E03F3/06	下水管を布設するための方法または装置（レンガまたはコンクリートによる現場での下水きょの作製Ｅ０２Ｄ２９／１０）　｛深溝の採掘に関連した管路の布設Ｅ０２Ｆ５／１０；管の布設一般Ｆ１６Ｌ１／００｝
E03F2003/065	
E03F5/00	下水道の構造
E03F5/02	マンホール立て坑またはその他の検査室（一般的なものＥ０２Ｄ２９／１２）；雪孔用開口；付属物（マンホールの蓋，枠またはその類似物Ｅ０２Ｄ２９／１４）
E03F5/021	
E03F5/022	
E03F5/024	
E03F5/025	
E03F5/027	
E03F2005/028	
E03F5/04	下水溝　｛流入口，道路排水溝，床排水きょ｝臭気止めまたは沈殿物止めをもったまたはもたないもの
E03F5/0401	
E03F5/0402	
E03F5/0403	
E03F5/0404	
E03F5/0405	
E03F5/0406	
E03F5/0407	
E03F5/0408	
E03F5/0409	
E03F5/041	
E03F5/0411	
E03F2005/0412	
E03F2005/0413	
E03F2005/0414	
E03F2005/0415	
E03F2005/0416	
E03F2005/0417	
E03F2005/0418	
E03F5/042	排水きょからの逆流，越水に対処するための手段の配置
E03F5/046	縁石と共に使用されるもの（Ｅ０３Ｆ５／０６が優先）　｛道路の排水Ｅ０１Ｆ｝
E03F5/06	下水溝ちりよけ格子
E03F2005/061	
E03F2005/063	
E03F2005/065	
E03F2005/066	
E03F2005/068	
E03F5/08	下水道の換気
E03F5/10	捕集槽；流出量を調節するための調整槽；貯留槽　｛下水沈殿設備８５Ｃ３Ｅ，８５Ｃ６Ａ；砂止め８５Ｃ６Ａ２；下水沈殿設備のくみ取り８５Ｃ６Ｅ；沈殿設備一般Ｂ０１Ｄ２１／００｝
E03F5/101	
E03F5/102	
E03F5/103	
E03F5/105	
E03F5/106	
E03F5/107	
E03F5/108	
E03F5/12	非常用排出口
E03F5/125	
E03F5/14	下水からの液体または固体の分離装置，例．砂止めまたは汚泥止め，レーキまたはちりよけ格子（下水浄化施設に使われるものまたは下水浄化施設および下水系統両用のものＢ０１Ｄ）　｛沈殿物止めを有する下水溝Ｅ０３Ｆ５／０４｝
E03F5/16	幹線下水に導く排水管内の汚物から油，水またはグリース状物を分離する装置
E03F5/18	下水を消毒，中和または冷却するための水槽（生物学的，化学的事項に関する槽の配置Ｃ０２Ｆ）
E03F5/20	サイフォン管，逆サイフォン（一般Ｅ０２Ｄ２９／０８；浴槽，洗面器またはその類似物の連結用Ｅ０３Ｃ１／１２）　｛ダムにおけるサイフォンＥ０２Ｂ７／１８｝
E03F5/22	下水を上昇させるためのポンプ設備の使用（下水きょ，汚水だめをくみ干すための車付き装置Ｅ０３Ｆ７／１０；ポンプ，くみ上げ装置それ自体Ｆ０４）
E03F5/24	下水きょにおける爆発を防止するための設備　｛タンク内Ｂ６５Ｄ９０／３８；爆発に対応するためのマンホールカバーの安全装置Ｅ０２Ｄ２９／１４｝
E03F5/26	下水をかきまぜる設備　｛下水とともに排出されるごみの分解Ｂ０２Ｃ１８／４０(ＥＣＬＡ)；水洗便所用便器上の装置Ｅ０３Ｄ｝
E03F7/00	下水系を操作するためのその他の施設または器具，例．つまりの防止または表示用のもの；汚水だめのくみ出し
E03F7/02	遮断装置（一般的なものＦ１６Ｋ）
E03F7/04	逆流防止弁　｛下水溝，排水きょまたはその類似物におけるものＥ０３Ｆ５／０４２｝
E03F7/06	ねずみまたはその他の動物を防止する装置
E03F7/08	下水きょまたは汚水だめのくみ取り用手道具
E03F7/10	下水きょまたは汚水だめのくみ取り用車付き装置
E03F7/103	
E03F7/106	
E03F7/12	下水管路に沿って検査員がドライブできるようにした設備
E03F9/00	装置または固定された設備　下水管を清掃｛または汚れを除去｝するための｛方法または装置｝，例．洗浄による（下水管路に配置された，沈殿物止め，レーキ，ちりよけ格子またはその類似物Ｅ０３Ｆ５／１４；管の清掃一般，管の清掃装置Ｂ０８Ｂ９／０２[Ｎ:清掃またはくみ取り用の洗浄設備を有する下水溝Ｅ０３Ｆ５／０４Ｂ(ＥＣＬＡ)；排水管または流しにおける妨害物を除去する装置Ｅ０３Ｃ１／３０]
E03F9/002	｛機械的手段による下水管の清掃（洗浄設備に連結されたものＥ０３Ｆ９／００）｝
E03F9/005	｛ケーブルの先端または棒の集合体によって運搬される清掃装置の押込みと回転を同時に行う装置｝
E03F9/007	
E03F11/00	汚水だめ（汚水だめのくみ出しＥ０３Ｆ７／００；下水処理に特徴あるものＣ０２Ｆ）
E03F2201/00	
E03F2201/10	
E03F2201/20	
E03F2201/30	
E03F2201/40	
