E05C1/00	直線運動をするボルトを持つ固定装置
E05C1/002	｛固定具装着面に対して垂直のもの｝
E05C1/004	｛固定具装着面に対して平行のもの｝
E05C1/006	｛ウイングの端縁に対して平行のもの｝
E05C2001/008	ボルトの運動の中心軸がボルトが突出する表面，例．ウイングの端縁，と斜角を形成するもの
E05C1/02	ラッチ作用をもたないもの
E05C1/04	ボルトに固着された操作ハンドルまたは同効部材をもつもの
E05C1/06	ボルトに固着されず他の手段により作動する操作ハンドルまたは同効部材をもつもの
E05C1/065	｛埋込み｝
E05C1/08	ラッチ作用をもつもの
E05C1/085	｛ラッチ操作中のラッチボルトの押し下げを補助する手段をもつもの｝
E05C1/10	ラッチに固定された操作ハンドルまたは同効の部材をもつもの
E05C1/12	ラッチに固定されず他の手段により作動される操作ハンドルまたは同効部材をもつもの
E05C1/14	ウィングまたは台枠面から実質上垂直に移動するハンドルまたは部材
E05C1/145	｛埋込み｝
E05C1/16	ウィングまたは枠に実質的に平行な面内を移動するハンドルまたは部材
E05C1/163	｛円筒状または管状ラッチ｝
E05C1/166	｛スライドハンドルを有するもの｝
E05C3/00	旋回または回転するボルトをもつ固定装置
E05C3/002	｛弓形の案内またはその類似物内に滑動するもの（円形ボルトで固定するものＥ０５Ｂ６３／１２３）｝
E05C3/004	｛固定具装着面に垂直な軸の周り｝
E05C3/006	｛固定具装着面に平行な軸の周り｝
E05C3/008	｛ウイングの端縁に対して平行のもの｝
E05C3/02	ラッチ作用をもたないもの
E05C3/04	ボルトに固着された操作ハンドルまたは同効の部材をもつもの
E05C3/041	｛固定具装着面に垂直な軸の周りを回転するもの｝
E05C3/042	｛ウイングの一方の側に位置するハンドル，他方の側または内側に位置するボルト｝
E05C3/043	｛ボルトとハンドルの間に位置するピポット（Ｅ０５Ｃ３／０４２が優先）｝
E05C3/044	｛ピボットの同一側面に位置するボルトとハンドル（Ｅ０５Ｃ３／０４５，　Ｅ０５Ｃ３／０４６が優先）｝
E05C3/045	｛鈎状のもの（鈎状の固定具Ｅ０５Ｃ１９／１０）｝　
E05C3/046	｛三日月形のカム（鈎Ｅ０５Ｃ３／０４５）｝
E05C3/047	｛固定具装着面に平行な軸の周りを回転するもの｝
E05C3/048	｛ウイングの端縁に対して平行のもの｝
E05C3/06	ボルトに固着されずに他の手段により作動する操作ハンドルまたは同効部材をもつもの
E05C3/08	ウィングまたは台枠面から実質上垂直に移動するハンドルまたは部材
E05C3/10	ウィングに実質的に平行な面内を移動するハンドルまたは部材　｛または枠｝
E05C3/12	ラッチ作用をもつもの（固定部分がばねにより作られるかまたは単にばねで保持され，そしてばねの変形によって作動する装置，例．スナップＥ０５Ｃ１９／０６；チルトプレートラッチＥ０５Ｃ１９／００７）
E05C3/122	｛埋込み｝
E05C3/124	｛ピボットと撃鉄との間に圧縮力下でラッチを有するもの（Ｅ０５Ｃ３／１２２，Ｅ０５Ｃ３／１４，Ｅ０５Ｃ３／１６および　Ｅ０５Ｂ６５／０８５２が優先）｝
E05C2003/126	係止のためラッチの一部のみが動かせるもの
E05C2003/128	振り子式ボルト
E05C3/14	ラッチに固定された操作ハンドルまたは同効の部材をもつもの　｛（Ｅ０５Ｃ３／１２２　が優先）｝
E05C3/145	｛ウイングに垂直な軸の周りを旋回するもの｝
E05C3/16	ラッチに固着されず他の手段によって作動する操作ハンドルまたは同効の部材　｛（Ｅ０５Ｃ３／１２２　が優先）｝
E05C3/162	｛ウィングまたは台枠面から実質上垂直に移動するハンドルまたは部材（Ｅ０５Ｃ３／１６７が優先）｝
E05C3/165	｛ウィングまたは台枠面から実質的に平行に移動するハンドルまたは部材（Ｅ０５Ｃ３／１６７が優先）｝
E05C3/167	｛ウィングに垂直な軸の周りを旋回するラッチ｝
E05C3/22	ばねで規制されたボルト　｛現在この分類は使用していない；Ｅ０５Ｃ３／１６およびサブグループを参照｝
E05C3/24	二又に分かれた形状のもの　｛（二又のラッチを有する自動キャッチＥ０５Ｃ１９／０２４；二又のボルトを有する錠Ｅ０５Ｂ６５／００４６，Ｅ０５Ｂ６５／１９Ｂ(ＥＣＬＡ)，Ｅ０５Ｂ６５／３２Ｂ(ＥＣＬＡ)）｝
E05C3/26	植え込みボルト状の留め金に係止するもの｛現在この分類は使用されていない；Ｅ０５Ｃ３／２４およびサブグループを参照｝
E05C3/28	同時作動の二重ボルトを有するもの　｛（一対の二又のボルトを有する錠Ｅ０５Ｂ６５／３２Ｃ(ＥＣＬＡ)）｝　
E05C3/30	鈎（かぎ）状のもの　｛（鈎状の固定具Ｅ０５Ｃ１９／１０；旋回ボルトを有する滑動ウイング用の錠Ｅ０５Ｂ６５／０８１１，Ｅ０５Ｂ６５／０８３５）｝
E05C3/34	同時作動の二重ボルトを有するもの　｛（ウイングに平行な軸の周りを旋回するボルトを有する滑動ウイング用の錠Ｅ０５Ｂ６５／０８３５，同時に旋回する二重鈎状のロック部材を含むものＥ０５Ｂ６５／０８５８）｝　
E05C3/36	回転歯車形のもの　｛（止め金に係止する部材が歯車状または類似の形状に作られる車両のドアの錠Ｅ０５Ｂ６５／３４(ＥＣＬＡ)）｝
E05C3/38	鈎状受具に係止するボルトを有するもの（Ｅ０５Ｃ３／２４，Ｅ０５Ｃ３／３０，Ｅ０５Ｃ３／３６が優先）
E05C3/40	植え込みボルト状留め金に係止するボルトを有するもの（Ｅ０５Ｃ３／２４，Ｅ０５Ｃ３／３０，Ｅ０５Ｃ３／３６，Ｅ０５Ｂ６５／１９Ｈ(ＥＣＬＡ)　が優先）
E05C5/00	単なる直線運動および単なる旋回または回転運動以外の運動をするボルトをもつ固定装置　｛（Ｅ０５Ｃ９／１８８３，Ｅ０５Ｃ１９／００９，Ｅ０５Ｂ６３／１２５，Ｅ０５Ｂ６３／１２６，Ｅ０５Ｂ６３／１２７　が優先；枢着されているトグル作用を有する鈎状固定具Ｅ０５Ｃ１９／１４；バヨネット型の錠Ｅ０５Ｂ６３／１２５；付加的運動を有する，滑動ウイング用の錠Ｅ０５Ｂ６５／０８１７）｝　
E05C2005/005	
E05C5/02	ウィングを係止するため軸方向移動と共にその軸まわりの回転運動をするもの
E05C5/04	同時に両運動をするもの，例．受具へのねじ込みによるもの
E05C7/00	特に二個のウィングに適合された固定装置<br><br><u>注</u><br><br>１つのウイングを既に閉じている別のウイングに対し，単に係止するに過ぎない固定装置は，特に二個のウイングに適合されたものとは見なされない。
E05C7/002	｛スルースドア用（原子炉用Ｇ２１Ｃ１３／０２８５）｝
E05C7/005	｛ダッチドア用，すなわち，上翼と下翼｝
E05C2007/007	二重ウイング引き戸または引き窓，すなわち両ウイングが摺動可能なもの
E05C7/02	閉じたとき一方が他の後に来るウィング用　｛Ｅ０５Ｃ７／００２が優先｝
E05C7/04	閉じたとき互いに接するウィング用　｛（支柱の無い車両のドアＥ０５Ｃ６５／２０Ｄ(ＥＣＬＡ)）｝
E05C7/045	二重ドアまたは二重窓の通常閉鎖状態のウイングの端縁に取り付けまたは埋め込まれた滑動ボルト
E05C7/06	一方のウィングを閉じることにより他方が作動されるかまたは制御されるウィング用の固定装置　｛（一方のドアを閉じることで他方の車両のドアを鎖錠するものＥ０５Ｂ６５／４０(ＥＣＬＡ)）｝　
E05C9/00	同一ウィング上の充分離れた位置における同時操作のボルトまたは他の係止装置の配置（｛Ｅ０５Ｂ５３／００３，Ｅ０５Ｂ５３／００６が優先；鎖錠，横棒またはセキュリティ・バーＥ０５Ｃ１９／００３｝　；本質的には鎖錠手段を含むものＥ０５Ｂ６３／１４；　｛金庫用またはそれに類する錠Ｅ０５Ｂ６５／００７５；ロッカー用のものＥ０５Ｃ６５／０２Ｌ(ＥＣＬＡ)，非常口用の垂直棒型のものＥ０５Ｃ６５／１０Ｂ(ＥＣＬＡ)；車両のボンネット用に十分分離された位置で同時作動する固定具Ｅ０５Ｂ６５／１９Ｈ３(ＥＣＬＡ)｝；機械的閉鎖のための類似構造Ｆ１６Ｊ１３／０８）　
E05C9/002	｛自動，すなわち，ウイングを閉じることにより作動するもの（Ｅ０５Ｂ６３／２０　が優先）｝
E05C9/004	｛面板；（その他の錠または固定具用Ｅ０５Ｂ９／００２）；棒の細部；誘導手段の棒｝
E05C9/006	
E05C9/008	
E05C9/02	一方への移動時に固定しその逆方向への移動時に解除する一個の滑り棒をもつもの；固定または解除する時に同じ方向へ移動する二つの滑り棒をもつもの
E05C9/021	
E05C9/023	
E05C9/025	
E05C9/026	
E05C9/028	
E05C9/04	固定または解除するとき互いに反対方向に移動する二個の滑り棒をもつもの
E05C9/041	
E05C9/042	
E05C9/043	
E05C9/045	
E05C9/046	
E05C9/047	
E05C9/048	
E05C9/06	三個またはそれ以上の滑り棒をもつもの　｛（船舶の隔壁内の水密扉用Ｂ６３Ｂ４３／２４，Ｂ６３Ｂ４３／３２；金庫の扉用Ｅ０５Ｂ６５／００７５；圧力容器用ふたまたは類似の閉蓋具Ｆ１６Ｊ１３／００）｝
E05C9/063	｛ウイングまたは台枠の３つ以上の側面に沿って延伸したもの（縦棒と横棒間の運動を伝達するための手段Ｅ０５Ｆ７／０８）｝
E05C9/066	
E05C9/08	固定手段を作動させるための回転棒をもつもの　｛（Ｅ０５Ｂ６５／１６Ｂ(ＥＣＬＡ)　およびＥ０５Ｂ６５／４６８が優先；複数のひき出し用Ｅ０５Ｂ６５／４６５）｝
E05C9/085	｛扉に垂直な軸を旋回するもの（ウイングの平面に垂直な軸の周りを旋回する鎖錠棒またはそれに類するものＥ０５Ｃ１９／００５）｝
E05C9/10	棒の作動機構　｛（Ｅ０５Ｃ９／０２から　Ｅ０５Ｃ９／０６が優先）｝
E05C9/12	歯車とラックをもつもの
E05C9/14	みぞ穴に係合するピンをもつもの
E05C9/16	クランクピンと連結棒をもつもの
E05C9/18	棒の端部の固定手段または保持手段の細部
E05C9/1808	｛止め金｝
E05C2009/1816	ねじ式締結具なしにスナップ取り付けされるもの
E05C9/1825	｛固定装置（現在この分類は使用していない，他のサブグループおよびＥ０５Ｃ９／１８を参照）｝
E05C9/1833	｛滑動するもの（現在この分類は使用していない，他のサブグループおよびＥ０５Ｃ９／１８を参照）｝
