E21D1/00	立て坑掘下げ
E21D1/02	手によるもの
E21D1/03	機械によるもの，　｛例．ローディングショベルまたはローディングバケツ，かき取り装置，輸送スクリュー｝（Ｅ２１Ｄ１／０８が優先）
E21D1/04	つかみ機をもつもの　｛（ボーリンググラブＥ０２Ｆ３／４４(ＥＣＬＡ)，Ｅ２１Ｂ２７／００；掘削作業用掴み上げバケツ一般Ｅ０２Ｆ３／４７）｝
E21D1/06	立て坑ボーリングカッタをもつもの（削孔機械Ｅ２１Ｂ，Ｅ２１Ｃ）
E21D1/08	下方に動きながらライニングするもの　｛（準備した立て坑に沿って下降しながらライニングを行うものＥ２１Ｄ５／０１；土止め板Ｅ０２Ｄ５／０２）｝
E21D1/10	地盤の保護　｛（坑道またはトンネルのためのものＥ２１Ｄ９／００１；基礎地盤または岩盤の改良または保護Ｅ０２Ｄ３／００）｝
E21D1/105	｛水位を改善することによるもの｝
E21D1/12	凍結によるもの　｛（基礎地盤の凍結Ｅ０２Ｄ３／１１５）｝
E21D1/14	凍結用具
E21D1/16	石化することによるもの（アンカーボルトへのグラウト注入Ｅ２１Ｄ２０／０２；　｛土壌への凝固材または空隙充填物質の注入による地盤強化Ｅ０２Ｄ３／１２）｝
E21D3/00	立て坑掘り上り，すなわち底から上方に向う採掘
E21D5/00	立て坑へのライニング；そのためのライニング（Ｅ２１Ｄ１１／００が優先；　｛掘り下げを進めながらライニングも同時に行うものＥ２１Ｄ１／０８｝）
E21D5/01	穴の中に液体または粘着性物質を流し込んで作ったライニングを用いるもの
E21D5/012	ライニング層の表面または間げきに水密性または減摩性材料を用いるもの
E21D5/016	支え曲面
E21D5/02	木材によるもの（Ｅ２１Ｄ５／０１，Ｅ２１Ｄ５／０１２，Ｅ２１Ｄ５／０１６が優先）
E21D5/04	レンガ，コンクリート，石材またはその類似の建材によるもの（Ｅ２１Ｄ５／０１，Ｅ２１Ｄ５／０１２，Ｅ２１Ｄ５／０１６が優先）
E21D5/06	鉄または鋼によるもの（Ｅ２１Ｄ５／０１，Ｅ２１Ｄ５／０１２，Ｅ２１Ｄ５／０１６が優先）
E21D5/08	形鋼の形態によるもの
E21D5/10	円筒わくの形態によるもの　｛異形材成分で構成されたリングによるもの｝
E21D5/11	異なる材料の組み合わせ，例．木，金属，コンクリート（Ｅ２１Ｄ５／０１，Ｅ２１Ｄ５／０１２，Ｅ２１Ｄ５／０１６が優先）
E21D5/12	立て坑ライニングの付属具，例．つり下げかご，シャッタ
E21D7/00	立て坑装置，例．立て坑内の支保　｛（昇降路または採掘坑における昇降設備Ｂ６６Ｂ１５／００からＢ６６Ｂ１９／００）｝
E21D7/005	｛立て坑ライニング変形の測定｝
E21D7/02	立て坑内のケージガイドの配置；ケージガイドの立て坑壁面への取付け（エレベーター用の案内軌条またはガイドＢ６６Ｂ７／０２）
E21D8/00	グループ１／００〜７／００に分類されない立て坑
E21D9/00	ライニングを有するか有しないトンネルまたは坑道；それらを造るための方法または装置（Ｅ０２Ｄ２９／０４５，Ｅ０２Ｄ２９／０６３が優先；ライニングそれ自体Ｅ２１Ｄ１１／００）；トンネルまたは坑道のレイアウト
E21D9/001	｛地盤または岩盤の改良，例．凍結；改良材注入によるもの（立て坑の沈下改善のためのものＥ２１Ｄ１／１０；塵埃凝結液の注入Ｅ２１Ｆ５／１８；地盤または岩盤の改良または保護Ｅ０２Ｄ３／００；注入工程において使用する坑井閉鎖部材，すなわちパッカーＥ２１Ｂ３３／１２）｝
E21D9/002	｛使用される化学組成物により特徴付けられる注入方法｝
E21D9/003	｛坑道推進作業中に用いる測定装置また表示装置の設置，例．誘導機用のもの｝
E21D9/004	｛方向または位置制御にライトビームを利用するもの｝
E21D9/005	｛プレハブ部品を地中で推し進めることによるもの，例．アクセスピットからライニングを推し進めるもの（坑道推進シールドＥ２１Ｄ９／０６）｝
E21D9/006	｛発破法を利用するもの（爆発性組成物Ｃ０６Ｂ；その種の爆破作業Ｆ４２）｝
E21D9/008	
E21D9/01	
E21D9/02	傾斜したトンネルまたは坑道の掘進
E21D9/03	
E21D9/04	軟弱層を通ってのトンネルまたは坑道の掘進；他に分類されないそのための装置　｛（Ｅ２１Ｄ９／００５，Ｅ２１Ｄ９／０６が優先；土壌改良Ｅ２１Ｄ９／００１；一時的保護カバーＥ２１Ｄ１９／０４）｝
E21D9/06	推進するシールドを使用して作成するもの，　｛すなわち敷設済みライニングにあてがった押し出し手段を用いて推進するもの（アクセスピットからプレハブ部品を地中で推し進めるものＥ２１Ｄ９／００５）｝
E21D9/0607	｛トンネルライニング用装置を備えたシールド，例．型枠（Ｅ２１Ｄ９／０８２，Ｅ２１Ｄ９／０８７が優先；端部型枠として用いる後端部シーリング手段Ｅ２１Ｄ９／０６３５）｝
E21D9/0609	
E21D9/0621	｛シールド推進装置｝
E21D9/0635	｛後端部シーリング手段，例．端部型枠として用いるもの｝
E21D9/0642	
E21D9/065	
E21D9/0657	
E21D9/0664	
E21D9/0671	
E21D9/0678	
E21D9/0685	
E21D9/0692	｛カッター駆動シールド｝
E21D9/08	削孔または切削手段を付加したもの　｛通常のシールドカッター刃を使用するもの以外｝
E21D9/087	｛トンネルライニング装置，例．型枠，を備えるシールド｝
E21D9/0873	
E21D9/0874	
E21D9/0875	
E21D9/0879	
E21D9/093	
E21D9/10	削孔機械または切削機械を使って作製するもの（Ｅ２１Ｄ９／０８が優先；採鉱用ピックＥ２１Ｃ３５／１８）
E21D9/1006	｛回転切削工具を有するもの（断面全体を同時に切削するためのものＥ２１Ｄ９／１１；ドリルビットＥ２１Ｂ１０／００）｝
E21D9/1013	｛可動ブームに支持されるツールキャリヤー上に装着されたもの｝
E21D9/102	｛垂直軸と水平軸上で旋回可能な縦に伸びるブームによるもの｝
E21D9/1026	｛横軸上で旋回するツールキャリヤー｝
E21D9/1033	｛縦軸上で旋回可能な横に伸びるブームによるもの｝
E21D9/104	｛切削工具固定具（衝撃工具を備える装置Ｅ２１Ｄ９／１０６）｝
E21D9/1046	｛振動付与｝
E21D9/1053	｛トンネルの縦断面周囲に沿ってスリットを形成し，続いて残りの地盤中心部を除去，例．爆破により，するためのもの｝
E21D9/106	｛衝撃工具，例．ピックハンマー，を有するもの｝
E21D9/1066	｛流体噴射によるもの（高温ガス放射Ｅ２１Ｄ９／１０７３；液体またはガス噴射による掘削Ｅ２１Ｂ７／１８；液体噴射によるスリット形成Ｅ２１Ｃ２５／６０）｝
E21D9/1073	｛熱エネルギーの適用，例．火炎またはガスの放射によるもの，レーザービーム放射によるもの（火炎削孔Ｅ２１Ｂ７／１４）｝
E21D9/108	｛トンネルまたは坑道掘進用機械のため特に調整された遠隔制御（スリット形成または鉱物の完全除去のための機械用に調整されたものＥ２１Ｃ３５／２４）｝
E21D9/1086	｛そのために調整された駆動装置または変速装置｝
E21D9/1093	｛機械またはツールキャリアーの支持，前進，方向制御のための装置（誘導機用の測定装置９／００Ｃ；坑井内における固定作業Ｅ２１Ｂ４／１８）｝
E21D9/11	断面全体を同時に切削する，回転する削孔ヘッドを有するもの，すなわち，フル・フェース・マシン
E21D9/111	｛往復回転運動を行うヘッドまたはツールキャリングセクターを手段として用いるもの｝
E21D9/112	｛単一回転ヘッド単体または同心回転ヘッドによるもの（Ｅ２１Ｄ９／１１１が優先）｝
E21D9/113	｛パイロットトンネルを掘る中心部分とパイロットトンネル拡大のための後続部分を有するもの（Ｅ２１Ｄ９／１１５が優先；掘削済み坑井を広げるための同様の装置Ｅ２１Ｂ７／２８）｝
E21D9/115	｛ヘッドに枢設または摺動可能に装着された切削工具を有するもの｝
E21D9/116	｛非同心回転ヘッドによるもの（Ｅ２１Ｄ９／１１１が優先）｝
E21D9/117	｛フレームに対する位置決めまたは横方向への位置調整のため設置されるもの｝
E21D9/118	｛個別に駆動される中央ヘッドを有するもの｝
E21D9/12	掘削物または掘削土の移送または運搬用装置；作業または積込み台（地下の運搬Ｅ２１Ｆ１３／００）
E21D9/122	｛作業または積込み台（地下の運搬Ｅ２１Ｆ１３／００）｝
E21D9/124	｛そのための螺旋状運搬手段（Ｅ２１Ｄ９／１３が優先）｝
E21D9/126	｛積み込み装置またはその取り付け（積み込み台Ｅ２１Ｄ９／１２２；土砂移送機械Ｅ０２Ｆ３／００）　｝
E21D9/128	｛収集アームを備えるローダーコンベア｝
E21D9/13	水圧または空気圧輸送手段を用いるもの
E21D9/14	トンネルまたは坑道の設計；他に分類されないトンネルまたは坑道の構造上の特徴，例．坑門，トンネルの開口における日光の減衰
E21D11/00	トンネル，坑道または他の地下空洞，例．大地下空間，へのライニング；そのためのライニング材；現場でのこのようなライニングの作製，例．組立てによるもの（Ｅ２１Ｄ１５／００〜Ｅ２１Ｄ２３／００が優先；特に立て坑に用いるものＥ２１Ｄ５／００；　｛トンネルライニングのための手段を組み合わせた坑道推進シールドＥ２１Ｄ９／０６｝；圧力水トンネルのライニング，そのためのライニング材Ｅ０２Ｂ９／０６）
E21D11/003	｛ライニングまたはその上の設備，特に通行用トンネルのため調整されたもの，例．洗浄装置を内蔵するもの（Ｅ２１Ｄ１１／３８が優先）　｝
E21D11/006	｛岩盤に固定されるライニング（アンカーボルトの設置Ｅ２１Ｄ２０／００；アンカーボルトＥ２１Ｄ２１／００）｝
E21D11/02	おもに木材によるライニング
E21D11/03	木材据付け機を用いるもの
E21D11/04	建材によるライニング（Ｅ２１Ｄ１１／０２，Ｅ２１Ｄ１１／１４が優先；　｛モルタル，コンクリート組成物または類似の建材の使用Ｃ０４Ｂ；坑内作業における充填材の使用Ｅ２１Ｆ１５／００｝）
E21D11/05	圧搾挿入によるもの
E21D11/06	レンガによるもの
E21D11/07	レンガ敷設機を使用するもの　｛（レンガ敷設機自体Ｅ０４Ｇ２１／２２）｝
E21D11/08	既製コンクリートスラブによるもの　｛（スラブと岩石の間の空隙の埋め戻しＥ２１Ｄ１１／１０５）　｝
E21D11/083	｛隣接コンクリートセグメント接合のための方法または装置　｝
E21D11/086	
E21D11/10	現場でのコンクリート打ちによるもの；そのための型枠｛同じく金属板のロスト型枠，例．ブロック状のもの　｝またはその他の装置
E21D11/102	｛取り外し可能な型枠；そのための支承または支持装置　｝
E21D11/105	｛トンネルまたは坑道のライニングのため特に調整されたコンクリートの輸送または適用（建設作業におけるものＥ０４Ｆ２１／０８，Ｅ０４Ｇ２１／０２）；主要建築要素と周囲岩盤の間隙の，例．コンクリートによる，埋め戻し，　｝
E21D11/107	｛そのための補強要素；補強要素用保持具　｝
E21D11/12	築壁中の一時的な支保；　｛取り外しできる型枠Ｅ２１Ｄ１１／１０２　｝；付属具　｛（一時的保護カバーＥ２１Ｄ１９／０４）　｝
E21D11/14	おもに金属によるライニング　｛（ライニング要素と岩盤の間の空隙の埋め戻しＥ２１Ｄ１１／１０５）　｝
E21D11/15	板状ライニング；被覆材，すなわち，裏の構成物質を支えまたは負荷を主な支持部材に伝達するようにされたライニング（絶縁Ｅ２１Ｄ１１／３８）
E21D11/152	｛支持格子または網構造によりなる被覆材　｝
E21D11/155	｛細長片，薄片，スラブまたは矢板よりなる被覆材（採掘坑アーチのための縦柱体Ｅ２１Ｄ１１／２８）　｝
E21D11/157	｛流体緩衝材を使用する被覆材，例．硬化材を含む流体（フレキシブルコンテナーでできたチョックＥ２１Ｄ１５／４８３）｝
E21D11/18	アーチ部材；　｛アーチ部材で構成した網状構造物（Ｅ２１Ｄ１１／３６が優先）；リング要素，多角形要素，アーチ内部の多角形要素（アーチ用キャップＥ２１Ｄ１７／００）　｝
E21D11/183	｛Ｅ２１Ｄ１１／２２には分類されていないアーチ部材用支持手段｝
E21D11/186	｛そのための予備応力付加または解体装置｝
E21D11/20	特殊な断面形状をもつもの，例．波形　｛（支柱用Ｅ２１Ｄ１５／５０２；キャップ用Ｅ２１Ｄ１７／０１）｝
E21D11/22	剛性，または過大圧力に対して可縮的なアーチ部材のクランプまたはその他のたわみ手段
E21D11/24	アーチ部材間のナックル継ぎ手またはリンク
E21D11/26	アーチ部材を支柱に連結するシュー
E21D11/28	縦支柱　｛すなわち隣接アーチ間の縦接続｝
E21D11/30	低いアーチ部材の基部（支柱用Ｅ２１Ｄ１５／５４）
E21D11/34	垂直支柱と水平頂部支杆との連結具（支柱の一部を形成する端部キャップＥ２１Ｄ１５／５４；　｛縦坑支柱の頂部と係合するためのキャップ上の保持プレート　Ｅ２１Ｄ１７／１０｝）
E21D11/36	不規則な断面形状をもつトンネルまたは坑道のために作製されたライニングまたは支保
E21D11/362	｛積み込みエリア用のもの（ライニングシャフトＥ２１Ｄ５／００）｝
E21D11/365	｛交差する水平坑道のためのもの｝
E21D11/367	｛長壁採炭切羽との合流点のためのもの（そのための歩行支持台Ｅ２１Ｄ２３／００９１）｝
E21D11/38	防水（防水一般Ｅ０２Ｄ３１／００）；熱絶縁；防音；電気絶縁（建築構造用一般Ｅ０４Ｂ１／６２）
E21D11/381	｛設置装置または機器｝
E21D11/383	｛防水撓みシートの適用によるもの；トンネルまたは中空壁へシートを固定する手段｝
E21D11/385	｛隣接ライニング部材間に設置したシーリング手段（基礎構造物内の接合部のためのものＥ０２Ｄ２９／１６；下水施設用Ｅ０３Ｆ３／０４；建築構造物一般用Ｅ０４Ｂ１／６８）｝
E21D11/386	
E21D11/388	
