F05C2201/00	金属
F05C2201/02	軽金属
F05C2201/021	アルミニウム
F05C2201/023	ベリリウム
F05C2201/025	ホウ素
F05C2201/026	リチウム
F05C2201/028	マグネシウム
F05C2201/04	重金属
F05C2201/0403	耐熱金属，例．Ｖ，Ｗ
F05C2201/0406	クロム
F05C2201/0409	モリブデン
F05C2201/0412	チタニウム
F05C2201/0415	ジルコニウム
F05C2201/0418	貴金属
F05C2201/0421	銀
F05C2201/0424	金
F05C2201/0427	白金族，例．Ｐｔ，Ｉｒ
F05C2201/043	希土類金属，例．Ｓｃ，Ｙ
F05C2201/0433	鉄族；鉄合金，例．鋼鉄
F05C2201/0436	鉄
F05C2201/0439	鋳鉄
F05C2201/0442	球状黒鉛鋳鉄，例．ノジュラー鋳鉄，可鍜鋳鉄
F05C2201/0445	オーステンパ球状黒鉛鋳鉄［ＡＤＩ］
F05C2201/0448	鋼鉄
F05C2201/0451	鋳鋼
F05C2201/0454	肌焼き鋼
F05C2201/0457	浸炭鋼
F05C2201/046	ステンレス鋼あるいは不銹鋼，例．１８−８
F05C2201/0463	コバルト
F05C2201/0466	ニッケル
F05C2201/0469	その他の重金属
F05C2201/0472	カドミウム
F05C2201/0475	銅またはその合金
F05C2201/0478	青銅（Ｃｕ／Ｓｎ合金）
F05C2201/0481	黄銅（Ｃｕ／Ｚｎ合金）
F05C2201/0484	ニッケル銅合金，例．モネル
F05C2201/0487	マンガン
F05C2201/049	鉛
F05C2201/0493	錫
F05C2201/0496	亜鉛
F05C2201/90	他に分類されない合金
F05C2201/903	アルミニウム合金，例．ＡｌＣｕＭｇＰｂ　Ｆ３４，３７
F05C2201/906	リン青銅合金
F05C2203/00	非金属無機材料
F05C2203/02	ガラス
F05C2203/04	リン
F05C2203/06	ケイ素
F05C2203/08	セラミック；酸化物
F05C2203/0804	非酸化物セラミック
F05C2203/0808	炭素，例．黒鉛
F05C2203/0813	炭化物
F05C2203/0817	ケイ素のもの
F05C2203/0821	チタニウムのもの，例．ＴｉＣ
F05C2203/0826	タングステンのもの，例．タングステン炭化物
F05C2203/083	窒化物
F05C2203/0834	アルミニウムのもの
F05C2203/0839	ホウ素のもの
F05C2203/0843	ケイ素のもの
F05C2203/0847	チタニウムのもの
F05C2203/0852	ジルコニウムのもの
F05C2203/0856	硫化物
F05C2203/086	モリブデンのもの
F05C2203/0865	酸化物セラミック
F05C2203/0869	アルミニウム酸化物
F05C2203/0873	サファイヤ
F05C2203/0878	アルミニウムチタン酸塩
F05C2203/0882	炭素，例．黒鉛
F05C2203/0886	シリカ
F05C2203/0891	亜鉛酸化物
F05C2203/0895	酸化ジルコニウム
F05C2211/00	他に分類されない無機材料
F05C2221/00	皮革
F05C2223/00	セルロース材料，例．木材
F05C2225/00	合成高分子，例．プラスチック；ゴム
F05C2225/02	ゴム
F05C2225/04	ＰＴＦＥ［ポリテトラフルオロエチレン］
F05C2225/06	ポリアミド，例．ナイロン
F05C2225/08	熱可塑性樹脂
F05C2225/10	ポリアミド，例．オーラム
F05C2225/12	ポリエーテルエーテルケトン，例．ＰＥＥＫ
F05C2231/00	他に分類されない有機材料
F05C2251/00	材料特性
F05C2251/02	弾性
F05C2251/04	熱的特性
F05C2251/042	膨張性
F05C2251/044	同様のもの
F05C2251/046	相違するもの
F05C2251/048	熱伝達
F05C2251/06	反射特性
F05C2251/08	形状記憶性
F05C2251/10	硬度
F05C2251/12	磁気的特性
F05C2251/125	非磁性
F05C2251/14	自己潤滑材料；固体潤滑剤
F05C2253/00	その他の物質の特徴；物質の処理
F05C2253/02	布
F05C2253/025	織物
F05C2253/04	複合物，例．繊維強化物
F05C2253/06	非結晶性のもの
F05C2253/08	結晶性のもの
F05C2253/083	指向性凝固結晶構造
F05C2253/0831	単結晶のもの
F05C2253/10	シンタクティックなもの
F05C2253/12	被膜
F05C2253/14	発泡体
F05C2253/16	繊維
F05C2253/18	充填剤
F05C2253/20	樹脂
F05C2253/22	補強剤
F05C2253/24	熱処理
