F16G1/00	伝動用ベルト（Ｖベルト　Ｆ１６Ｇ５／００；コンベヤベルト　Ｂ６５Ｇ）
F16G1/02	皮革製（Ｆ１６Ｇ１／２８が優先；その製造Ｃ１４Ｂ９／００）｛いくつかの部品からなるもの　Ｆ１６Ｇ１／２２｝
F16G1/04	繊維質物質，例．ゴム被覆されているかまたはされていない織物（Ｆ１６Ｇ１／２８が優先；その製造　Ｄ０３Ｄ）｛いくつかの部品からなるもの　Ｆ１６Ｇ１／２２｝
F16G1/06	ゴム製（Ｆ１６Ｇ１／２８が優先；その製造　Ｂ２９Ｄ２９／００）｛いくつかの部品からなるもの　Ｆ１６Ｇ１／２２｝
F16G1/08	ゴムで結合された補強を有するもの
F16G1/10	織物の補強を有するもの
F16G1/12	金属の補強を有するもの
F16G1/14	合成樹脂製（Ｆ１６Ｇ１／２８が優先；その製造　Ｂ２９Ｄ２９／００）｛いくつかの部品からなるもの　Ｆ１６Ｇ１／２２｝
F16G1/16	合成樹脂材で結合された補強を有するもの｛（その製造　Ｂ３２Ｂ）｝
F16G1/18	ワイヤ製（その製造　Ｂ２１Ｆ４３／００）｛いくつかの部品からなるもの　Ｆ１６Ｇ１／２２｝
F16G1/20	単金属板製（その製造　Ｂ２１Ｄ５３／１４）
F16G1/21	上に置かれた層から構成されたもの，例．ジグザグに重ねたもの
F16G1/22	いくつかの部品からなるもの
F16G1/24	リンクの形状のもの（チェーンリンクの形状のもの　Ｆ１６Ｇ１３／０８）
F16G1/26	薄板または薄片形状のもの
F16G1/28	特殊の形状，例．歯形の接触面のもの
F16G3/00	ベルト継ぎ手，例．コンベヤベルト用（Ｖベルト用　Ｆ１６Ｇ７／００）
F16G3/003	｛ベルトを接合する装置または道具（ステープラ　Ｂ２５Ｃ５／００）｝
F16G3/006	｛ベルト，ケーブルまたはチェーンを寄せ集めるための牽引装置｝
F16G3/02	一連の留め孔またはそれと類似のものがピンで連結されてヒンジを形成しているもの（Ｆ１６Ｇ３／０９が優先）
F16G3/04	分離したＵ形の端部または類似の留め孔がその中に貫通している部品によりベルトに取り付けられているもの
F16G3/06	相互に連結されたベルト端部が外側に曲がるもの
F16G3/07	摩擦締め金，例．縁当シンブル形成
F16G3/08	板金およびボルトまたはリベットからなるもの（Ｆ１６Ｇ３／０６が優先）
F16G3/09	ヒンジを形成する板金
F16G3/10	縫うか，はり付けるか，加硫するかまたは類似のことによりベルトを接合するもの；この目的のためにベルト端部の構造の改作
F16G3/12	レーシングでベルトを接合するもの
F16G3/14	伸張性の部品によるもの；弾性部品によるもの
F16G3/16	伝動用ベルトまたは類似のものを連結するための装置または機械
F16G5/00	Ｖベルト，すなわちテーパ断面を有するベルト
F16G5/02	皮革製（Ｆ１６Ｇ５／２０が優先；｛いくつかの部品からなるもの　Ｆ１６Ｇ５／１６｝）
F16G5/04	ゴム製（Ｆ１６Ｇ５／０２が優先）｛いくつかの部品からなるもの　Ｆ１６Ｇ５／１６｝
F16G5/06	ゴムで結合された補強を有するもの
F16G5/08	織物の補強を有するもの
F16G5/10	金属の補強を有するもの
F16G5/12	合成樹脂製（Ｆ１６Ｇ５／２０が優先）｛いくつかの部品からなるもの　Ｆ１６Ｇ５／１６｝
F16G5/14	合成樹脂材で結合された補強を有するもの
F16G5/16	いくつかの部品からなるもの
F16G5/163	｛潤滑を許容する手段を有するもの（Ｆ１６Ｇ５／１８が優先）｝<br><br><u>警告</u><br><br>このグループは再分類が完了していない，Ｆ１６Ｇ５／１６も参照
