F21W2102/00	照明目的の車両外部の照明装置
F21W2102/10	出射光の配置または外形
F21W2102/13	ハイビームまたはロービーム領域用
F21W2102/135	カットオフライン，すなわち出射領域と暗部領域の間の明確な境界線，がある光
F21W2102/14	垂直なカットオフラインがあるもの；可変配光ハイビームに特に適合されるもの，すなわちビームは広範であるが他の道路使用者の眩暈を避けるもの
F21W2102/145	光が２つの平行な垂直カットオフライン間で出射されるもの，例．選択的に出射される長方形状のハイビーム
F21W2102/15	Ｌ字型のカットオフライン，すなわち，垂直および水平なカットオフラインで光が出射される
F21W2102/155	傾斜および水平方向のカットオフラインを有するもの
F21W2102/16	カットオフラインをぼかしたもの
F21W2102/165	カットオフライン以外の出射領域および暗部領域間の境界線が可変であるもの
F21W2102/17	ハイビームまたはロービーム以外の領域のためのもの
F21W2102/18	オーバーヘッドサイン用
F21W2102/19	曲路用
F21W2102/20	出射領域内の照度分布
F21W2102/30	フォグランプ
F21W2102/40	車両へのアクセスを容易にするため光が出射されるもの
F21W2103/00	信号表示用の外部車両照明装置
F21W2103/10	ポジションランプ
F21W2103/15	サイドマーカーライト
F21W2103/20	方向指示灯
F21W2103/25	サイドミラー用
F21W2103/30	ハザードランプ
F21W2103/35	ブレーキ灯
F21W2103/40	リアフォグランプ
F21W2103/45	後退灯
F21W2103/50	登録板灯
F21W2103/55	日中点灯用ライト［ＤＲＬ］
F21W2103/60	照明装置からのサインの投影，例．シンボルまたは情報が路上に投影されるもの
F21W2104/00	装飾用の外部車両照明装置
F21W2105/00	グループＦ２１Ｗ２１０２／００〜Ｆ２１Ｗ２１０４／００に分類される照明装置の組合せ
F21W2106/00	内部の車両照明装置
F21W2107/00	特殊な種別の車両外部もしくは車両内部への照明装置の使用または適用
F21W2107/10	陸上車両用
F21W2107/13	二輪車用
F21W2107/17	オートバイ用
F21W2107/20	水上，水中移動体用
F21W2107/30	航空機用
F21W2111/00	グループＦ２１Ｗ２１０２／００〜Ｆ２１Ｗ２１０７／００に分類されない，信号表示用，マーキング用もしくは表示用の照明装置もしくはシステムの使用または適用
F21W2111/02	道路，通路，または同様のもの用
F21W2111/023	歩道用
F21W2111/027	縁石，段，または階段の表示用
F21W2111/04	水路用
F21W2111/043	灯台または灯台船用
F21W2111/047	照明ブイ用
F21W2111/06	航空機の滑走路または同様のもの用
F21W2111/08	柄（ハンドル）または手すり用
F21W2111/10	個人使用用，例．把持するもの
F21W2121/00	グループＦ２１Ｗ２１０２／００〜Ｆ２１Ｗ２１０７／００に分類されない，装飾用の照明装置もしくはシステムの使用または適用
F21W2121/002	｛誕生日または記念日用のケーキ用のろうそく立て｝
F21W2121/004	｛家屋またはビルの外装にそれらを部分的に照明するために取り付けたもの｝
F21W2121/006	｛氷雪，例．つらら，を照明するものまたはそれに似せるもの｝
F21W2121/008	｛星空や大空に似せるもの｝
F21W2121/02	噴水用
F21W2121/04	クリスマス・ツリー用
F21W2121/06	個人着用用
F21W2131/00	グループＦ２１Ｗ２１０２／００〜Ｆ２１Ｗ２１２１／００に分類されない，照明装置もしくはシステムの使用または適用
F21W2131/10	屋外の照明
F21W2131/1005	｛作業場，建築現場またはそれに類するもの｝
F21W2131/101	トンネルまたは類似のもの，例．橋の下
F21W2131/103	街路または道路
F21W2131/105	競技場
F21W2131/107	ビル外部
F21W2131/109	庭園
F21W2131/20	医療用の照明
F21W2131/202	歯科用
F21W2131/205	手術室用
F21W2131/208	病室用
F21W2131/30	家庭または個人用の照明
F21W2131/3005	｛本用，すなわち本に取り付けられる読書灯｝
F21W2131/301	家具用
F21W2131/302	鏡用
F21W2131/304	絵画用
F21W2131/305	冷蔵庫用
F21W2131/307	オーブン用
F21W2131/308	水槽用
F21W2131/40	工業，商業，娯楽または軍事用の照明
F21W2131/401	スイミング・プール用
F21W2131/402	仕事場用
F21W2131/403	機械用
F21W2131/4035	ミシン用
F21W2131/405	ショーウィンドウまたはディスプレイ用
F21W2131/406	劇場，ステージ，撮影スタジオ用
F21W2131/407	屋内競技場用
F21W2131/409	炉またはキルン用
F21W2131/411	空洞構造の内部の検査用，例．管または筒状部
