F23N1/00	燃料供給の調整
F23N1/002	｛電子的手段を用いるもの（Ｆ２３Ｎ１／０４からＦ２３Ｎ１／１０が優先）｝
F23N1/005	｛電気的または電気機械的手段を用いるもの（Ｆ２３Ｎ１／０４からＦ２３Ｎ１／１０が優先）｝
F23N1/007	｛機械的手段を用いるもの（Ｆ２３Ｎ１／０４からＦ２３Ｎ１／１０が優先）｝
F23N1/02	空気供給とともに行なうもの
F23N1/022	｛電子的手段を用いるもの｝
F23N1/025	｛電気的または電気機械的手段を用いるもの｝
F23N1/027	｛機械的手段を用いるもの｝
F23N1/04	空気供給および通風をともに行なうもの
F23N1/042	｛電子的手段を用いるもの｝
F23N1/045	｛電気的または電気機械的手段を用いるもの｝
F23N1/047	｛機械的手段を用いるもの｝
F23N1/06	通風とともに行なうもの
F23N1/062	｛電子的手段を用いるもの｝
F23N1/065	｛電気的または電気機械的手段を用いるもの｝
F23N1/067	｛機械的手段を用いるもの｝
F23N1/08	他の媒体，例．ボイラ水，とともに行なうもの
F23N1/082	｛電子的手段を使用するもの｝
F23N1/085	｛電気的または電気機械的手段を用いるもの｝
F23N1/087	｛機械的手段を用いるもの｝
F23N1/10	しかも空気供給または通風とともに行なうもの
F23N1/102	｛電子的手段を用いるもの｝
F23N1/105	｛電気的または電気機械的手段を用いるもの｝
F23N1/107	｛機械的手段を用いるもの｝
F23N3/00	空気供給または通風の調整（燃料供給とともに行なうものＦ２３Ｎ１／００）
F23N3/002	｛電子的手段を用いるもの（Ｆ２３Ｎ３／０２からＦ２３Ｎ３／０８が優先）｝
F23N3/005	｛電気的または電気機械的手段を用いるもの（Ｆ２３Ｎ３／０２からＦ２３Ｎ３／０８が優先）｝
F23N3/007	｛機械的手段を用いるもの（Ｆ２３Ｎ３／０２からＦ２３Ｎ３／０８が優先）｝
F23N3/02	単一の弁またはダンパを直接圧力操作することにより通風を調整するもの
F23N3/04	感温体により単一の弁またはダンパを操作して行なうもの
F23N3/042	｛電子的手段を用いるもの｝
F23N3/045	｛電気的または電気機械的手段を用いるもの｝
F23N3/047	｛機械的手段を用いるもの｝
F23N3/06	２またはそれ以上の弁またはダンパの結合操作によるもの（Ｆ２３Ｎ３／０８が優先）
F23N3/065	｛機械的手段を用いるもの｝
F23N3/08	補助動力システムによるもの
F23N3/082	｛電子的手段を用いるもの｝
F23N3/085	｛電気的または電気機械的手段を用いるもの｝
F23N3/087	｛機械的手段を用いるもの｝
F23N5/00	燃焼制御のシステム（Ｆ２３Ｎ１／００，Ｆ２３Ｎ３／００が優先）
F23N5/003	｛燃焼ガス特性を感知する検知器を用いるもの（Ｆ２３Ｎ５／０２，Ｆ２３Ｎ５／１８からＦ２３Ｎ５／２６が優先）｝
F23N5/006	｛検知器が酸素を感知するもの｝
F23N5/02	媒体の熱的変化または熱膨張に応答する装置を用いるもの
F23N5/022	｛電子的手段を用いるもの（Ｆ２３Ｎ５／０４からＦ２３Ｎ５／１４が優先）｝
F23N5/025	｛電気的または電気機械的手段を用いるもの（Ｆ２３Ｎ５／０４からＦ２３Ｎ５／１４が優先）｝
F23N5/027	｛機械的手段を用いるもの（Ｆ２３Ｎ５／０４からＦ２３Ｎ５／１４が優先）｝
F23N5/04	バイメタル素子を用いるもの
F23N5/042	｛電子的手段を用いるもの｝
F23N5/045	｛電気的または電気機械的手段を用いるもの｝
F23N5/047	[Ｎ．機械的手段を用いるもの｝
F23N5/06	ベローを用いるもの；ダイヤフラムを用いるもの
F23N5/062	｛電子的手段を用いるもの｝
F23N5/065	｛電気的または電気機械的手段を用いるもの｝
F23N5/067	｛機械的手段を用いるもの｝
F23N5/08	感光素子を用いるもの
F23N5/082	｛電子的手段を用いるもの｝
F23N5/085	｛電気的または電気機械的手段を用いるもの｝
F23N5/087	｛機械的手段を用いるもの｝
F23N5/10	熱電対を用いるもの
F23N5/102	｛電子的手段を用いるもの｝
F23N5/105	｛電気的または電気機械的手段を用いるもの｝
F23N5/107	｛機械的手段を用いるもの，例．安全弁｝
F23N5/12	イオン化感知素子，すなわちフレームロッド，を用いるもの　｛（他の点火手段の試験，例．炎Ｆ０２Ｐ１７／１２；熱を利用してイオン化を調査することによりガスを分析するものＧ０１Ｎ２７／６２６）｝
F23N5/123	｛電子的手段を用いるもの｝
F23N5/126	｛電気的または電気機械的手段を用いるもの｝
F23N5/14	感熱抵抗体を用いるもの
F23N5/143	｛電子的手段を用いるもの｝
F23N5/146	｛電気的または電気機械的手段を用いるもの｝
F23N5/16	騒音を感知する検出器を用いるもの
F23N2005/165	超音波手段をもつもの
F23N5/18	空気または燃料の流れの割合を感知する検出器を用いるもの
F23N2005/181	空気の流量を感知する検出器を用いるもの
F23N2005/182	空気流切換スイッチ
F23N5/184	｛電子的手段を用いるもの｝
F23N2005/185	燃料の流量を感知する検出器を用いるもの
F23N5/187	｛電気的または電気機械的手段を用いるもの｝
