F25C1/00	氷の製造（Ｆ２５Ｃ３／００が優先）
F25C1/02	天然氷の製造，すなわち冷凍によらないもの
F25C1/04	固定製氷型の使用によるもの
F25C1/045	下向きの開放端をもつもの
F25C1/06	両端が開放または開放可能なもの
F25C1/08	水中に浸けた製氷型または板によるもの
F25C1/10	回転または他の運動が可能な製氷型の使用によるもの（Ｆ２５Ｃ１／０８が優先）
F25C1/12	製氷板上の水の凍結によるもの，例．板状の氷を形成するもの
F25C1/125	｛軟性表面上におけるもの｝
F25C1/14	削り取られるかまたは楔で割り取られる薄氷を形成するもの，例．フレーク氷を形成するもの
F25C1/142	冷却体の外壁からのもの
F25C1/145	冷却体の内壁からのもの
F25C1/147	オーガーの使用によるもの
F25C1/16	真空中における水の部分的蒸発によるもの
F25C1/18	特定の透明さまたは半透明さを意図した氷の製造，例．空気注入によるもの
F25C1/20	攪拌によるもの
F25C1/22	製氷型の構造；製氷型への注水装置
F25C1/24	冷蔵庫のためのもの，例．製氷皿
F25C1/243	プラスチック製製氷型，例．シリコン製
F25C1/246	分離した格子構造を備えた製氷型
F25C1/25	製氷型への注水装置
F25C3/00	ウィンタースポーツまたは類似のレクレーション目的のための氷または雪の製造に特に適合した方法または装置，例．　スポーツ施設のためのもの；人工雪の製造
F25C3/02	アイスリンク用
F25C3/04	そりまたはスキーの小道用；人工雪の製造
F25C5/00	氷の作業，取り扱い（Ｆ２５Ｃ３／００が優先）
F25C5/02	氷の細分化，除氷または氷の収集のための装置
F25C5/04	鋸を使用しないもの
F25C5/043	｛道具，例．アイスピック，砕氷，削氷｝
F25C5/046	｛砕氷機｝
F25C5/06	氷の接している容器の変形によるもの，例．ふくらむ材料により成る容器によるもの
F25C5/08	氷の接している容器の加熱によるもの
F25C5/10	高温の冷媒を使用するもの；高温の冷媒で加熱された流体を使用するもの
F25C5/12	氷削り機
F25C5/14	氷の小塊の形成または仕上げをするための装置，例．アイスプレス
F25C5/142	
F25C5/18	氷の貯蔵
F25C5/182	そのための氷容器
F25C5/185	製氷皿を備えるもの
F25C5/187	氷レベル感知手段を備えるもの
F25C5/20	氷の分配
F25C5/22	｛家庭用冷蔵庫に特に適合するもの｝
F25C5/24	｛容器を貯蔵するためのもの（氷容器一般Ｆ２５Ｃ５／１８２）｝
F25C2300/00	氷の製造，作業，貯蔵または分配のための特別な機構または特徴
F25C2301/00	氷の製造のための特別な機構または特徴
F25C2301/002	氷スラリーの製造
F25C2303/00	ウィンタースポーツまたは類似のレクレーション目的，例．スポーツ施設，のための氷または雪の製造のための特別な機構または特徴；人工雪のための特別な機構または特徴；
F25C2303/042	固形体の氷の使用による雪の製造，例．砕氷
F25C2303/044	付加的な特徴，例．添加剤，液化ガス，の使用による雪の製造
F25C2303/046	低圧空気の送風機，例．雪大砲(snow canons)，の使用による雪の製造
F25C2303/048	散水手段の使用による雪の製造
F25C2303/0481	圧縮空気を使用するもの
F25C2305/00	氷の作業または分配のための特別な機構または特徴
F25C2305/022	製氷型または製氷皿の回転，傾斜または旋回を含む氷の収納
F25C2305/0221	
F25C2305/024	
F25C2400/00	氷の製造，作業，貯蔵または分配のための補助的な特徴または装置
F25C2400/02	冷凍面の状態
F25C2400/04	氷の案内，例．氷塊の貯蔵タンクへの案内
F25C2400/06	そのための複数の製氷型または製氷皿
F25C2400/08	異なる種類の氷のためのもの
F25C2400/10	冷蔵ユニット
F25C2400/12	衛生手段
F25C2400/14	水の供給
F25C2500/00	解決すべき課題
F25C2500/02	幾何学的課題（Geometry problems）
F25C2500/04	パラメータの演算
F25C2500/06	水の流出
F25C2500/08	氷の詰まり
F25C2600/00	制御
F25C2600/02	タイミング
F25C2600/04	制御手段
F25C2700/00	パラメータの検知；そのためのセンサ
F25C2700/02	氷の高さ
F25C2700/04	水の高さ
F25C2700/06	固定製氷型から氷を排出する排出器の回転角度
F25C2700/08	オーガー型製氷機のオーガー用モータを駆動するための動力
F25C2700/10	オーガー型製氷機のオーガー用モータの回転速度
F25C2700/12	製氷皿の温度
F25C2700/14	水の温度
