F42B1/00	形状に特徴のある装薬，ただし容器の形状にはよらないもの
F42B1/02	成形または中空の装薬（装薬に空洞のある爆破薬包３／０８；成形装薬穴開け機を用いる採油Ｅ２１Ｂ４３／１１６）
F42B1/024	不活性材料の埋め込み体を備えたもの
F42B1/028	ライナーの形状に特徴のあるもの
F42B1/032	ライナーの材料に特徴のあるもの
F42B1/036	そのための製造工程　｛（Ｆ４２Ｂ３３／０２１４からＦ４２Ｂ３３／０２９２が優先）｝
F42B1/04	起爆薬であって，信管の部分品でないもの
F42B3/00	爆破薬包，すなわちケースおよび爆薬（導火線，例．導爆線Ｃ０６Ｃ５／００；起爆筒，工業雷管または火管の化学的事項Ｃ０６Ｃ７／００）
F42B3/003	｛液体酸素薬包｝
F42B3/006	｛爆発ボルト；爆発作動器（爆発弁Ｆ１６Ｋ１３／０６；爆発切断Ｂ２３Ｄ１５／１４５；爆発スイッチＨ０１Ｈ３９／００；火薬式作動器Ｆ１５Ｂ１５／１９）｝
F42B3/02	構成体に装着されるもの
F42B3/04	圧力ガスを発生させるためのもの｛（車両用エアバックに特に適した膨張流体の発生装置Ｂ６０Ｒ２１／２６）｝
F42B3/045	｛圧力を増加するために爆破を用いて前もって加圧されたガスをもつ複合方式，例．密閉容器からガスを放出させるもの｝
F42B3/06	再使用ケースを使用のもの
F42B3/08	装薬に空洞のあるもの，例．成形装薬爆破薬包
F42B3/087	たわみまたは変形可能な爆破薬包，例．薬のうまたはホース　｛スラリー用｝（装てんされた薬のうＦ４２Ｂ５／３８）
F42B3/093	マットまたはテープ状のもの
F42B3/10	そのための点火装置（撃発信管Ｆ４２Ｃ７／００；撃発雷管Ｆ４２Ｃ１９／１０；電気火管Ｆ４２Ｃ１９／１２）．<br><br><u>注</u><br><br>グループＦ４２Ｂ３／１８がグループＦ４２Ｂ３／１０３からＦ４２Ｂ３／１６に優先
F42B3/103	点火装置への点火頭の装着；塞栓
F42B3/107	使用材料に特徴のある塞栓
F42B3/11	使用材料に特徴のあるもの，例．点火装置ケースまたは電気芯線（Ｆ４２Ｂ３／１０７が優先）
F42B3/113	光学的手段，例．レーザー，閃光，により作動するもの
F42B3/117	摩擦により作動するもの
F42B3/12	電橋式点火装置　｛（Ｆ４２Ｂ３／１９５が優先；推進薬における電気点火装置Ｆ４２Ｃ１９／１２）｝
F42B3/121	｛組み込まれた集積回路をもつ点火装置｝
F42B3/122	｛プログラム方式電子遅延点火装置｝
F42B3/124	
F42B3/125	
F42B3/127	
F42B3/128	
F42B3/13	半導体電橋のあるもの
F42B3/14	火花点火装置　｛Ｆ４２Ｂ３／１９５が優先｝
F42B3/16	｛火工品｝遅延点火装置（Ｆ４２Ｂ３／１９５が優先；　｛プログラム方式電子遅延点火装置Ｆ４２Ｃ１１／０６５｝）
F42B3/18	静電気または迷走電流によって起こる過早発火を防止する安全点火装置
F42B3/182	短絡手段を有するもの　｛（Ｆ４２Ｂ３／１８５が優先；短絡装置の細部Ｈ０１Ｒ１３／７０３２）｝
F42B3/185	半導性を有するもの　｛手段，例．｝塞栓
F42B3/188	電波障害対策を施したもの，　｛例．フェライト芯またはインダクタンスを含むもの（Ｆ４２Ｂ３／１８５が優先）｝
F42B3/192	水との接触により無効化される様に設計されたもの
F42B3/195	製造
F42B3/198	電気点火頭の　｛例．，試験，機械｝
F42B3/22	爆ごう波を制御または誘導する部材，例．管（成形または中空装薬に埋め込まれた不活性体を用いるものＦ４２Ｂ１／０２４）
F42B3/24	薬包ふたまたは密封（散弾銃弾薬包用上ふたＦ４２Ｂ７／１２）
F42B3/26	点火装置装着準備；そのための付属具，例．工具
F42B3/28	使用材料に特徴のある薬きょう，例．被覆（点火装置ケース用Ｆ４２Ｂ３／１１）
F42B4/00	煙火，すなわち娯楽，標示，照明または信号を目的とした火工品（爆発物による信号Ｇ０８Ｂ；花火による広告Ｇ０９Ｆ１３／４６；　｛鉄道システムの火工品による信号Ｂ６１Ｌ５／２０｝）
F42B4/02	薬包型のもの，すなわち砲弾，推進薬および火管
F42B4/04	爆竹
F42B4/06	空中標示ロケット（ロケット一般Ｆ４２Ｂ１５／００）
F42B4/08	羽根，翼，パラシュートまたは気球をもつ点に特徴のあるもの
F42B4/10	ケーシングを破壊せずにケーシングから物品または装薬を分離する手段をもつ点に特徴のあるもの
F42B4/12	パラシュートまたは照明筒の分離
F42B4/14	複数の連続的に点火される装薬をもつ点に特徴のあるもの
F42B4/16	手投げ式衝撃爆発音発生具；　｛火工品装薬により音を発生する他の音発生具｝（紙雷管ピストルＦ４１Ｃ３／０６）
F42B4/18	擬装，例．松かさ，破壊される家屋，軍艦，火山
F42B4/20	ケーシング以外の支持具，例．旋回具または火門せん支持具，をもつ点に特徴のあるもの　｛（照明筒またはたいまつ用の支持具Ｆ４２Ｂ４／２６）｝
F42B4/22	ケーシングを破壊せずにケーシングから物品または装薬を分離する手段をもつ点に特徴のあるもの（空中標示用ロケットにおけるものＦ４２Ｂ４／１０）
F42B4/24	複数の連続的に点火される装薬をもつ点に特徴のあるもの（空中標示用ロケットにおけるものＦ４２Ｂ４／１４）
F42B4/26	照明筒；たいまつ　｛（照明筒または照明装薬を含む演習または訓練用機雷Ｆ４２Ｂ８／２８；照明タイプの発射体Ｆ４２Ｂ１２／４２）｝
