G01G1/00	平衡おもりまたは他の平衡用重量物の使用を含む重量測定装置
G01G1/02	振り子装置
G01G1/025	｛可変カム半径または可変カウンターポイズ振り子をもつもの｝
G01G1/04	固定されたピボット軸をもつ振り子
G01G1/06	複数の振り子をもつもの
G01G1/08	移動ピボット軸をもつ振り子，例．浮遊振り子
G01G1/10	複数の振り子をもつもの
G01G1/12	等間隔指示目盛を得るための構造上の配列
G01G1/14	温度補償装置
G01G1/16	すえ付け傾斜を補正する手段
G01G1/18	ピボットで支えられたさおの使用を含む天びん，すなわちさお天びん
G01G1/185	｛２のドラフト牽伸測定装置，例．縦列はかり装置｝
G01G1/20	さおの下で支えられるはかり皿をもち，分離した平衡おもりを使用するさお天びん
G01G1/22	精密重量測定用
G01G1/24	台ばかり，すなわちさお上に支えられたはかり皿をもつもの
G01G1/243	｛さお上に支えられたはかり皿をもつもの｝
G01G1/246	｛平行四辺形型のもの｝
G01G1/26	連合されたまたは組になった平衡おもりをもつもの
G01G1/28	負荷に相応する平衡おもりを自動的に持上げる手段を含むもの
G01G1/29	電気的または電気機械的制御手段をもつもの
G01G1/30	平衡おもりが鎖状のもの
G01G1/32	平衡おもりがライダー状のもの
G01G1/34	固定された平衡おもりを含み，負荷側に選択的に加えられる平衡おもりをもつもの
G01G1/36	平衡おもりがさお上を摺動できるもの，例．さおばかり
G01G1/38	自動的に操作される平衡おもりをもつもの
G01G1/40	置換法による重量測定のための特に適合したもの
G01G1/42	温度補償装置
G01G3/00	弾性変形部材の使用によって特徴づけられた重量測定装置，例．ばねばかり
G01G3/02	つるまきばねを重量測定要素とするもの
G01G3/04	複数のばねを用いるもの
G01G3/06	うず巻きばねを重量測定要素とするもの
G01G3/08	板ばねを重量測定要素とするもの
G01G3/10	重量測定要素のねじり変形を測定するもの
G01G3/12	圧縮または引張を受ける固体を重量測定要素とするもの
G01G3/125	｛重量測定用素が光学部材であるもの｝
G01G3/13	圧電または圧電抵抗の特性をもつもの
G01G3/14	電気抵抗変化を測定するもの（Ｇ０１Ｇ３／１３が優先）
G01G3/1402	｛抵抗ひずみ計を装着するために予め選択された場所をもつ特殊な支持；支持の装着｝
G01G3/1404	｛電気的ブリッジにひずみ計を接続する手段と組み合わせたもの｝
G01G3/1406	｛特殊な測定回路と組み合わせたもの｝
G01G3/1408	｛カラム型の支持，例．円筒形のもの｝
G01G3/141	｛円盤または輪状の支持｝
G01G3/1412	｛平行四辺形型の支持｝
G01G3/1414	｛望ましくない効果を修正または補償する配置｝
G01G3/1416	｛非線形性のためのもの｝
G01G3/1418	｛温度変化のためのもの｝
G01G3/142	それに特に適合した回路
G01G3/145	参照値との比較を伴うもの（Ｇ０１Ｇ３／１４７が優先）
G01G3/147	デジタル計数を伴うもの
G01G3/15	磁気的性質の変化を測定するもの
G01G3/16	固体の振動周波数の変化を測定するもの
G01G3/165	｛構造細部｝
G01G3/18	温度補償装置
G01G5/00	流体作用により平衡する重量測定装置
G01G5/003	｛ロードセル構造または取り付け具｝
G01G5/006	｛空気式手段をもつもの｝
G01G5/02	フロートまたは他の液中に可変的に浸漬された部材をもつもの
G01G5/04	液体が負荷から受ける圧力を測定する手段をもつもの（圧力ゲージ自体Ｇ０１Ｌ）
G01G5/045	｛複数のロードセルにより課される圧力を合計する手段と組み合わせたもの｝
G01G5/06	電気的指示手段をもつもの
G01G7/00	磁気的，電磁気的，または静電的作用，または前記グループに分類されない手段により平衡する重量測定装置
G01G7/02	電磁気的作用によるもの
G01G7/04	ソレノイドの電流を調節する手段
G01G7/045	｛ＰＩＤ制御装置を有するもの｝
G01G7/06	静電的作用によるもの
G01G9/00	他に分類されない重量決定の装置または方法
G01G9/005	｛放射，例．放射線を利用するもの（波または粒子の放射を利用して材料を分析するものＧ０１Ｎ２３／００）｝
G01G11/00	移動中の材料の連続した流れの重量を測定する装置；コンベヤーベルトばかり
G01G11/003	｛細部；特別に適応される付属部材（重量測定装置の細部一般Ｇ０１Ｇ２１／００；重量測定装置の補助装置一般Ｇ０１Ｇ２３／００）｝
G01G11/006	｛そのための特殊な風袋重量測定装置または検量装置（風袋重量を決定する装置一般Ｇ０１Ｇ２３／１４）｝
G01G11/02	機械的重量感知装置をもつもの
G01G11/025	｛合計または積分装置と組み合わせたもの｝
G01G11/04	電気的重量感知装置をもつもの
G01G11/043	｛合計または積分装置と組み合わせたもの｝
G01G11/046	｛デジタル計数を伴うもの｝
G01G11/06	流体重量感知装置をもつもの
G01G11/065	｛合計または積分装置と組み合わせたもの｝
G01G11/08	供給または排出の割合を制御する手段をもつもの（流動体の流量調整Ｇ０５Ｄ）
G01G11/083	｛ウェイトベルトまたはオージェ計量型のもの（Ｇ０１Ｇ１１／１０，Ｇ０１Ｇ１１／１２が優先）｝
G01G11/086	｛減量供給型のもの｝
G01G11/10	ベルト上の材料の高さ制御によるもの
G01G11/12	ベルトの速度制御によるもの
G01G11/14	合計または積分装置を用いるもの（合計または積分装置それ自体Ｇ０６）　｛Ｇ０１Ｇ１１／０２５，　Ｇ０１Ｇ１１／０４３，　Ｇ０１Ｇ１１／０４６，Ｇ０１Ｇ１１／０６５が優先｝
G01G11/16	電気的または電子的手段であるもの
G01G11/18	デジタル計数を用いるもの
G01G11/20	機械的手段であるもの
G01G13/00	材料の定量取出しのために自動的な供給または排出をする重量測定装置（連続した流れの重量測定用Ｇ０１Ｇ１１／００；検量Ｇ０１Ｇ１５／００；流体用Ｇ０１Ｇ１７／０４；混合される材料を重量により配分するものＧ０１Ｇ１９／２２；組合わせの重量測定Ｇ０１Ｇ１９／３８７）
G01G13/003	｛細部；特別に適応される付属部材（重量測定装置の細部一般Ｇ０１Ｇ２１／００；重量測定装置の補助装置一般Ｇ０１Ｇ２３／００｝
G01G13/006	｛容器供給または排出機構（自動負荷または排出手段Ｇ０１Ｇ１３／０２，Ｇ０１Ｇ１３／１６，Ｇ０１Ｇ１３／２４）｝
G01G13/02	重量測定機構の制御の下にはかり皿または他の容器，例．包装容器，に自動的に負荷する手段
G01G13/022	｛材料供給装置（Ｇ０１Ｇ１３／０４からＧ０１Ｇ１３／１４までが優先）｝
G01G13/024	｛重力によるもの｝
G01G13/026	｛機械的運搬手段，例．ベルトまたは振動コンベヤーによるもの｝
G01G13/028	｛空気式搬送手段によるもの｝
G01G13/04	容器中に材料が目標重量になるように，重量測定機構によって制御される少量供給手段を含むもの
G01G13/06	主供給がホッパーまたはシュートからの重力により行われるもの
G01G13/08	主供給が機械的運搬手段，例．ベルトコンベヤー，振動コンベヤー，により行われるもの
G01G13/10	主供給が空気式運搬手段によるもの，例．粒状物の流体化供給によるもの
G01G13/12	停止時に落下中の材料，すなわち重量測定器が供給器を停止した時点で供給器から落下しつつある材料，の補償装置
G01G13/14	無負荷容器，例．包装容器，の風袋を決定または補正する装置
G01G13/16	重量測定機構による制御の下に重量測定容器から自動的に排出する手段
G01G13/18	容器底部のバルブまたはフラップによるもの
G01G13/20	重量測定容器中のスクリューコンベヤーによるもの
G01G13/22	重量測定容器の回転または傾斜によるもの
G01G13/24	自動供給または排出のための重量測定機構の制御装置
G01G13/241	｛バルク最終重量測定装置，例．個別の精密重量測定はかりと組み合わせた粗重量測定はかり｝
G01G13/242	｛２連重量測定装置；単一負荷搬送体および負荷搬送体と交互に結合した複数のはかり皿を利用する重量測定装置；２以上の交互に使用される重量測定装置をもつ重量測定装置｝
G01G13/243	｛単一負荷搬送体を利用するもの｝
G01G13/244	｛２以上の交互に利用される部分に分割される単一の重量測定容器をもつもの｝
G01G13/245	｛揺動可能なまたは振動する重量測定容器｝
G01G13/246	｛回転可能な重量測定装置｝
G01G13/247	｛供給配列内の材料量のチェック，例．所定量が存在するときのみ材料を排出
G01G13/248	｛材料流の連続制御（流れの制御Ｇ０５Ｄ７／００）｝
G01G13/26	流体圧力系を含むもの
G01G13/28	容器の負荷または排出を制御するために用いられる電気的変量の変化を含むもの
G01G13/285	参照値との比較を伴うもの（Ｇ０１Ｇ１３／２９が優先；　｛参照値との比較を伴う電気的計測装置Ｇ０１Ｒ１７／００｝）
G01G13/2851	｛はかり皿または他の容器に自動的に負荷することを制御するためのもの（Ｇ０１Ｇ１３／２９が優先）｝
G01G13/2852	｛容器中に材料が目標重量になるように，重量測定機構によって制御される少量供給手段を含むもの｝
G01G13/2853	｛主供給がホッパーまたはシュートからの重力により行われるもの｝
G01G13/2855	｛主供給が機械的運搬手段，例．ベルトコンベヤー，振動コンベヤー，により行われるもの｝
G01G13/2856	｛主供給が空気式運搬手段によるもの，例．粒状物の流体化供給によるもの｝
G01G13/2857	｛停止時に落下中の材料，すなわち重量測定器が供給器を停止した時点で供給器から落下しつつある材料，の補償装置｝
G01G13/2858	｛無負荷容器，例．使い捨て容器，の風袋を決定または補正する装置｝
G01G13/29	デジタル計数を伴うもの
G01G13/2906	｛はかり皿または他の容器に自動的に負荷することを制御するためのもの｝
G01G13/2912	｛容器中に材料が目標重量になるように，重量測定機構によって制御される少量供給手段を含むもの｝
G01G13/2918	｛主供給がホッパーまたはシュートからの重力により行われるもの｝
G01G13/2925	｛主供給が機械的運搬手段，例．ベルトコンベヤー，振動コンベヤー，により行われるもの｝
G01G13/2931	｛主供給が空気式運搬手段によるもの，例．粒状物の流体化供給によるもの｝
G01G13/2937	｛停止時に落下中の材料，すなわち重量測定器が供給器を停止した時点で供給器から落下しつつある材料，の補償装置｝
G01G13/2943	｛無負荷容器，例．使い捨て容器，の風袋を決定または補正する装置｝
G01G13/295	容器に自動的に負荷することを制御するためのもの　｛Ｇ０１Ｇ１３／２８５，Ｇ０１Ｇ１３／２９が優先｝
G01G13/2951	｛容器中に材料が目標重量になるように，重量測定機構によって制御される少量供給手段を含むもの｝
G01G13/2952	｛主供給がホッパーまたはシュートからの重力により行われるもの｝
G01G13/2954	｛主供給が機械的運搬手段，例．ベルトコンベヤー，振動コンベヤー，により行われるもの｝
