G01T1/00	Ｘ線，ガンマ線，微粒子線または宇宙線の測定　（Ｇ０１Ｔ３／００，　Ｇ０１Ｔ５／００　が優先）
G01T1/003	｛シンチレーション　（フロー）　セル｝
G01T1/006	｛全吸収カロリーメータ　；　シャワー検出器｝
G01T1/02	線量計，（Ｇ０１Ｔ１／１５　が優先，Ｘ線の照射時間の測定　Ｈ０５Ｇ１／２８）
G01T1/023	｛シンチレーション　線量率計｝　　
G01T1/026	｛半導体　線量率計｝　
G01T1/04	化学線量率計　（Ｇ０１Ｔ１／０６，　Ｇ０１Ｔ１／０８　が優先　）
G01T1/06	ガラス線量計　｛色の変化を利用するもの；　プラスチック線量計を含むもの｝
G01T1/08	写真作用による線量計　（感光材料，それの加工処理　Ｇ０３Ｃ；　｛写真測光　Ｇ０１Ｊ１／５２｝）
G01T1/10	ルミネッセンス線量計
G01T1/105	読み取り装置　（Ｇ０１Ｔ１／１１５　が優先）
G01T1/11	熱ルミネッセンス線量計　｛（熱ルミネッセンス組成物　Ｃ０９Ｋ１１／００）｝
G01T1/115	読取り装置
G01T1/12	熱量計式線量計
G01T1/14	静電式線量計　（電離箱の構造　Ｈ０１Ｊ３９／２８(ＥＣＬＡ)；　｛エレクトロメータ　Ｇ０１Ｒ５／２８｝）
G01T1/142	充電装置；読取り装置
G01T1/15	放射線検出器により発生したパルスが積分される装置，　例．　ダイオードポンプ回路によるもの　（パルス計数率計一般　Ｇ０１Ｒ２３／０２）
G01T1/16	放射線強度の測定　（Ｇ０１Ｔ１／２９　が優先；　｛自己出力検出器　Ｇ０１Ｔ３／００６；　液体または固体，　例．　凍結した液体，　誘電体　で満たされた電離箱を使用するもの　Ｇ０１Ｔ３／００８｝）
G01T1/1603	｛少なくとも２個の異なるタイプの検出器の組合せをもつもの　（暫定的に　Ｇ０１Ｔ１／１６　も参照）｝
G01T1/1606	｛Ｇ０１Ｔ１／１６の他のサブグループに分類されない他の指定の検出器をもつもの　（暫定的にＧ０１Ｔ１／１６　も参照）｝
G01T1/161	核医学の分野における応用，　例．　生体内計数　｛（放射線診断装置　Ａ６１Ｂ６／００）｝
G01T1/1611	
G01T1/1612	
G01T1/1614	
G01T1/1615	
G01T1/1617	
G01T1/1618	
G01T1/163	ホールボディカウンター　｛手または足の汚染測定　Ｇ０１Ｔ１／１６７；　肺，脳，甲状腺，腎臓等その他同様の計数　Ｇ０１Ｔ１／１６１）｝
G01T1/1635	｛検出器と被験者との間の相対運動に係わるもの；　走査ベッド　（断面走査　Ｇ０１Ｔ１／１６６；　患者の位置決め，　放射線診断用の傾斜可能なテーブル　Ａ６１Ｂ６／０４）｝
G01T1/164	シンチグラフィ　（ラジオアイソトープ　Ｇ２１Ｇ４／００；　トレーサ　Ｇ２１Ｈ５／００；　｛空間分布の測定　Ｇ０１Ｔ１／２９１４；　異なる面における放射線診断装置　Ａ６１Ｂ６／０２｝）
G01T1/1641	｛一個または数個のシンチレーション素子を使用する一または二次元の放射能分布の静的描画装置；　放射性同位元素カメラ｝
G01T1/1642	｛シンチレーション結晶及び位置検知用受光素子アレイ，　例．　アンガーカメラ　を使用するもの｝
G01T1/1644	｛シンチレーションの直接の位置選定を可能にする光学的に分離したシンチレーション素子アレイを使用するもの　（Ｇ０１Ｔ１／１６４５　が優先）｝
G01T1/1645	｛電子光学的撮像手段，　例．　イメージ増強管，　同等な光電子増倍管，　イメージコンバータ　　を使用するもの｝
G01T1/1647	｛シンチグラフィックなデータの処理をするもの　（特定の画像システムに無関係なもの　Ｇ０１Ｔ１／２９９２；　核物理学用専用計算機　Ｇ０６Ｆ１５／５２(ＥＣＬＡ)）｝
G01T1/1648	｛シンチレーションカメラ用補助装置　例．　基準マーカ，　運動アーチファクト除去装置，　キャリブレーション装置　（流れ研究に適合　Ｇ０１Ｔ１／１６４７）｝
G01T1/166	検出器と物体間の相互運動を含むもの　（｛シンチグラフィを使用しない走査装置一般　Ｇ０１Ｔ１／２９６４｝）
G01T1/1663	｛走査データの処理方法　例．　コントラスト強化，　バックグラウンド低減，　スムージング，　動作修正，　デュアル放射性同位元素スキャニング，　コンピュータ処理　（放射線の空間分布測定用　Ｇ０１Ｔ１／２９９２；　核物理学または核工学に特に適合するデジタル計算またはデータ処理装置または方法　Ｇ０６Ｆ１５／５２(ＥＣＬＡ)，　例．　画像データ処理のためのもの　Ｇ０６Ｆ１５／５２Ｄ(ＥＣＬＡ)；‘用画像データ処理　Ｇ０６Ｔ１／００；　コンピュータ断層撮影法　Ｇ０６Ｔ１１／００３）；　補助装置　（カラープリンタ　Ｇ０１Ｔ１／１６６６）｝　
G01T1/1666	｛検出された放射能の強度またはエネルギレベルに応じた異なるシンボルまたは色の印刷に適合するもの　（色の深み判別　Ｇ０１Ｔ１／２９８５）｝
G01T1/167	物体の放射能含有量，　例．　汚染　の測定　（ホールボディカウンタ　Ｇ０１Ｔ１／１６３）
G01T1/169	汚染された表面領域の調査，　位置探査　（核放射線　例．　自然または誘導放射能，　の使用による調査　Ｇ０１Ｖ５／００）　｛元の場所での測定，　例．　床汚染モニタ　（方向検出器　Ｇ０１Ｔ１／２９０７）｝
G01T1/17	特殊な型式の検出器に適合しない回路構成　｛（パルス選択回路　Ｈ０３Ｋ，　Ｇ０１Ｒ）｝
G01T1/171	｛不感時間カウントロスの補正　（暫定的に　１／１７も参照）｝
G01T1/172	同時回路装置をもつもの　（Ｇ０１Ｔ１／１７８　が優先；　｛検出器の組合せ，　参照　Ｇ０１Ｔ１／１６０３，　Ｇ０１Ｔ１／３０，　Ｇ０１Ｔ１／３６１，　Ｇ０１Ｔ１／３６Ｄ２(ＥＣＬＡ)，　Ｇ０１Ｔ１／３６Ｄ３(ＥＣＬＡ)｝）
G01T1/175	給電回路　（給電回路それ自体　Ｈ０２Ｊ；　コンバータ　Ｈ０２Ｍ）
G01T1/178	他の放射性物質，　例．　空気中または雨水のような液体中の自然放射能，　の存在下で比放射能を測定するためのもの
G01T1/18	計数管をもつもの，　例．　ガイガー計数管をもつもの　（管　Ｈ０１Ｊ３９／２６(ＥＣＬＡ)；　｛警報準備手段をもつもの　Ｇ０１Ｔ７／１２５｝）
G01T1/185	電離箱装置をもつもの　（電離箱の構造　Ｈ０１Ｊ３９／２８(ＥＣＬＡ)；　｛イオン化によるガス分析　Ｇ０１Ｎ２７／６６；　圧力測定　Ｇ０１Ｌ９／００；　漏れ検出　Ｇ０１Ｍ３／００；　遠隔測定　Ｇ０８Ｃ｝）
G01T1/20	シンチレーション検出器をもつもの
G01T1/2002	｛光学的細部，　例．／射または拡散層｝
G01T1/2004	｛シンチロスコープ　（Ｘ線蛍光透視装置　Ｇ２１Ｋ４／００；　放射線診断　Ａ６１Ｂ６／００）｝
G01T1/2006	｛平均放射線強度を測定するシンチレータと受光素子との組合せを用いるもの｝
G01T1/2008	｛異なるタイプのシンチレーション検出器の組合せを用いるもの｝
G01T1/201	
G01T1/2012	
G01T1/2014	
G01T1/2016	
G01T1/2018	｛シンチレーションとフォトダイオードの組合せ｝　
G01T1/20181	
G01T1/20182	
G01T1/20183	
G01T1/20184	
G01T1/20185	
G01T1/20186	
G01T1/20187	
G01T1/20188	
G01T1/20189	
G01T1/2019	
G01T1/202	検出器が結晶であるもの
G01T1/2023	｛材料の選定　（暫定的に　Ｇ０１Ｔ１／２０２　も参照）｝
G01T1/2026	｛井戸形検出器　（暫定的に　Ｇ０１Ｔ１／２０２　も参照）｝
G01T1/203	検出器がプラスチックよりなるもの
G01T1/2033	｛材料の選定　（暫定的に　Ｇ０１Ｔ１／２０３　も参照）｝
G01T1/2036	｛井戸形検出器　（暫定的に　Ｇ０１Ｔ１／２０３　も参照）｝
G01T1/204	検出器が液体であるもの
G01T1/2042	｛液体シンチレーションシステムの組成｝
