G03F1/00	フォトメカニカル法による凹凸化又はパターン化された表面の製造に用いる原稿の作成
G03F1/20	荷電粒子線[ＣＰＢ｝の放射，例．電子線，によって画像化するためのマスク又はマスクブランク；その準備
G03F1/22	１００ｎｍ以下の波長の放射によって画像化するためのマスク又はマスクブランク，例．Ｘ線マスク，極端紫外[ＥＵＶ]マスク；その準備
G03F1/24	反射マスク；その準備
G03F1/26	位相シフトマスク[ＰＳＭ｝；ＰＳＭブランク；その準備
G03F1/28	同一のＰＳＭ上に３種以上の位相；その準備
G03F1/29	リムＰＳＭ又はアウトリガーＰＳＭ；その準備
G03F1/30	交互ＰＳＭ，例．渋谷・レベンソンＰＳＭ；その準備
G03F1/32	減衰ＰＳＭ[ａｔｔ−ＰＳＭ｝，例．ハーフトーンＰＳＭ又は半透明な位相シフト部を有するＰＳＭ；その準備
G03F1/34	フェーズ・エッジＰＳＭ，例．クロムレスＰＳＭ；その準備
G03F1/36	近接効果補正に特徴を有するマスク；その準備，例．光近接効果補正[ＯＰＣ｝デザインプロセス
G03F1/38	補助的な特徴を有するマスク，例．特別なコーティング又はアライメント若しくは試験のためのマーク；その準備
G03F1/40	静電放電[ＥＳＤ｝に関連する特徴，例．帯電防止コーティング又はマスク基板の周囲の導電性金属層
G03F1/42	アライメント又は重ね合わせ（レジストレーション）の特徴，例．マスク基板上のアライメントマーク
G03F1/44	試験又は測定の特徴，例．格子パターン，フォーカスモニター，のこぎり歯状スケール又はノッチ状スケール
G03F1/46	反射防止コーティング
G03F1/48	保護コーティング
G03F1/50	グループＧ０３Ｆ１／２０からＧ０３Ｆ１／２６に包含されないマスクブランク；その準備
G03F1/52	反射材
G03F1/54	吸収材，例．不透明な材料
G03F1/56	有機的な吸収材，例．フォトレジスト
G03F1/58	２つ以上の異なる吸収材層，例．積層された複数層の吸収材
G03F1/60	基板
G03F1/62	ペリクル又はペリクル構造体，例．支持フレーム上に薄膜を備えるもの；その準備
G03F1/64	そのフレームに特徴のあるもの，例．その構造又は材料
G03F1/66	容器，特にマスク，マスクブランク又はペリクルに適合するもの；その準備
G03F1/68	グループＧ０３Ｆ１／２０からＧ０３Ｆ１／５０に包含されない準備プロセス
G03F1/70	マスクの基本的レイアウト又はデザインをリソグラフィプロセスの要求に適合させること，例．画像化のためのマスクパターンの再修正
G03F1/72	マスク欠陥の修理又は修正
G03F1/74	荷電粒子線[ＣＰＢ｝，例．集束イオンビーム，によるもの
G03F1/76	画像化によるマスクのパターン形成
G03F1/78	荷電粒子線[ＣＰＢ｝，例．電子線，によるもの
G03F1/80	エッチング
G03F1/82	補助的なプロセス，例．クリーニング
G03F1/84	検査
G03F1/86	荷電粒子線[ＣＰＢ｝によるもの
G03F1/88	レリーフ状原稿作成のために写真プロセスによって準備されたもの
G03F1/90	モンタージュプロセスによって準備されたもの
G03F1/92	印刷表面から準備されたもの
G03F3/00	色分解；色調の修正（写真的複写装置一般Ｇ０３Ｂ）
G03F3/02	手工修正によるもの
G03F3/04	写真的手段によるもの
G03F3/06	マスキングによるもの
G03F3/10	分解ネガまたはポジの色または調子のチェック
G03F3/101	｛非写真的手段，または非衝撃印刷方法または複写またはＢ４１Ｍ５／００に包含される標識方法以外の手段による色彩または色彩値の点検｝
G03F3/102	｛色彩検査システムのための貼合または剥離方法または装置｝
G03F3/103	｛調色フォロレジストまたは光重合可能なシステムの利用｝
G03F3/105	｛電気光学的材料の利用｝
G03F3/106	｛珪素含有化合物以外の炭素ー炭素二重結合を有する非高分子光重合可能な化合物の利用｝
G03F3/107	｛ハロゲン化銀光感受性材料の利用｝
G03F3/108	｛非衝撃印刷方法，例．インクジェット，の利用，または複写法またはＢ４１Ｍ５／００に包含される標識法の利用，例．アブレーションまたは熱写真的手段による｝
G03F5/00	スクリーン法；そのためのスクリーン　｛組み込まれたスクリーンを備えた感光版または光感受性層Ｇ０３Ｆ７／００４｝
G03F5/02	投映方法によるもの（カメラＧ０３Ｂ）
G03F5/04	網掛け効果の変化によるもの
G03F5/06	絞り効果の変化によるもの
G03F5/08	平行線スクリーンの使用
G03F5/10	交差線スクリーンの使用
G03F5/12	その他のスクリーン，例．砂目スクリーン，の使用
G03F5/14	密着法によるもの
G03F5/16	灰色中間調スクリーンの使用
G03F5/18	カラー中間調スクリーンの使用
G03F5/20	グラビア印刷用網掛けの使用
G03F5/22	数枚のスクリーンの組合せ法；モアレの除去
G03F5/24	多重露光，例．線写真とスクリーンの組合せ
G03F7/00	フォトメカニカル法，例．フォトリソグラフィ法，による凹凸化またはパターン化された表面，例．印刷表面，の製造；そのための材料，例．フォトレジストからなるもの；そのため特に適合した装置（特別の製造法のためのフォトレジスト構造を用いるもの，関係箇所参照，例．Ｂ４４Ｃ，Ｈ０１Ｌ，例．Ｈ０１Ｌ２１／００，Ｈ０５Ｋ）
G03F7/0002	｛放射線露光を含む方法以外の模様付与法を用いるリソグラフィ法，例．スタンプによるもの｝
G03F7/0005	｛リソグラフィ法またはそのために用いられる材料によって特徴づけられる光学的装置または部品の生産｝
G03F7/0007	｛フィルター，例．補色カラーフィルター；表示装置のための部品｝
G03F7/001	｛位相変調パターン，例．屈折率パターン｝
G03F7/0012	｛フォトリソグラフィ材料のタック性を利用した方法，例．装着のためのもの；フォトリソグラフィ材料のための包装；フォトリソグラフィ材料の処理によって得られる包装｝
G03F7/0015	｛開口装置，細孔系またはスタンプの製造｝
G03F7/0017	｛エンボス，切断または同様の装置の製造のためのもの；鋳込み手段の製造のためのもの｝
G03F7/002	｛マイクロカプセル含有材料の利用；そのような材料の調製または処理，例．圧力による；そのために設計された装置または器具｝
G03F7/0022	｛装置または器具｝
G03F7/0025	｛現像剤を被覆させる手段に特徴があるもの｝
G03F7/0027	｛圧力手段に特徴があるもの｝
G03F7/003	｛光感受性材料のための保存手段に特徴があるもの，例．カートリッジ｝
G03F7/0032	｛熱付与または光沢手段に特徴があるもの｝
G03F7/0035	｛多重工程，例．既に前工程で処理を受けたパターンまたは凹凸化された表面へのレジスト層のさらなる適用｝
G03F7/0037	｛３次元画像の製造｝
G03F7/004	感光材料（Ｇ０３Ｆ７／１２，Ｇ０３Ｆ７／１４が優先）
G03F7/0041	｛露光時のエッチング剤の供給（光分解性ハロゲン化合物Ｇ０３Ｆ７／０２９５（Ｇ０３Ｆ７／０７５が優先）｝
G03F7/0042	｛他の場所では規定されない無機のまたは有機金属の光感受性化合物，例．無機レジストを用いるもの（Ｇ０３Ｆ７／０７５が優先）｝
G03F7/0043	｛カルコゲナイド；シリコン，ゲルマニウム，砒素またはそれらの誘導体；金属，酸化物またはそれらの合金（Ｇ０３Ｆ７／００４４が優先）｝
G03F7/0044	｛金属および非金属成分間の相互作用に係わるもの，例．フォトドープ系｝
G03F7/0045	｛他の場所で規定されない非高分子光感受性化合物を用いるもの，例．溶解抑制剤｝
G03F7/0046	｛全フッ素化合物，例．乾式リソグラフィ（Ｇ０３Ｆ７／００４８が優先）｝
G03F7/0047	｛金属またはセラミックのパターンを得るための添加剤に特徴があるもの，例．燃焼｝
G03F7/0048	｛散布を容易にする溶剤または薬剤に特徴があるもの，例．界面活性剤｝
G03F7/008	アジド（Ｇ０３Ｆ７／０７５が優先）
G03F7/0085	｛非高分子添加剤に特徴があるもの｝
G03F7/012	高分子アジド；高分子添加剤，例．結合剤　｛（Ｇ０３Ｆ７／００８５が優先）｝
G03F7/0125	｛高分子アジド以外の高分子結合剤または高分子添加剤に特徴があるもの｝
G03F7/016	ジアゾニウム塩または化合物（Ｇ０３Ｆ７／０７５が優先）
G03F7/0163	｛非イオンジアゾニウム化合物，例．ジアゾスルフォン酸塩；その前駆体，例．トリアゼン｝
G03F7/0166	｛非高分子添加剤に特徴があるもの｝
G03F7/021	高分子ジアゾニウム化合物；高分子添加剤，例．結合剤　｛Ｇ０３Ｆ７／０１６６が優先｝
G03F7/0212	｛高分子結合剤，ジアゾ樹脂以外の高分子添加剤または高分子ジアゾニウム化合物に特徴があるもの｝
G03F7/0215	｛天然ゴム；蛋白質，例．ゼラチン；高分子炭水化物，例．セルロース；ポリビニルアルコールおよびその誘導体，例．ポリビニルアセタール｝
G03F7/0217	｛ポリウレタン；エポキシ樹脂｝
G03F7/022	キノンジアジド（Ｇ０３Ｆ７／０７５が優先）
G03F7/0223	イミノキノンジアジド；p−キノンジアジド
G03F7/0226	｛非高分子添加剤に特徴のあるもの｝
G03F7/023	高分子キノンジアジド；高分子添加剤，例．結合剤　｛（Ｇ０３Ｆ７／０２２６が優先）｝
G03F7/0233	｛高分子キノンジアジド以外の高分子結合剤または高分子添加剤によって特徴づけられるもの｝
G03F7/0236	｛カルボニル化合物とフェノール化合物との縮合体，例．ノボラック樹脂｝
G03F7/025	炭素−炭素三重結合を有する非高分子光重合性化合物，例．アセチレン化合物（Ｇ０３Ｆ７／０７５が優先）
G03F7/027	炭素−炭素二重結合を有する非高分子光重合性化合物，例．エチレン化合物（Ｇ０３Ｆ７／０７５が優先）
G03F7/0275	｛ジチオールまたは多硫化化合物をもちいるもの｝
G03F7/028	増感物質をもつもの，例．光重合開始剤
G03F7/0285	｛銀塩，例．銀塩潜像｝
G03F7/029	無機化合物；オニウム化合物；酸素，窒素または硫黄以外の異種原子をもつ有機化合物
G03F7/0295	｛光分解性ハロゲン化合物｝
G03F7/031	グループＧ０３Ｆ７／０２９に包含されない有機化合物
G03F7/032	結合剤をもつもの
G03F7/0325	｛多糖類である結合剤，例．セルロース｝
G03F7/033	結合剤が炭素−炭素不飽和結合を含む反応のみによって得られた重合体であるもの，例．ビニル重合体
G03F7/035	結合剤がポリウレタンであるもの
G03F7/037	結合剤がポリアミドまたはポリイミドであるもの
G03F7/038	不溶性または特異的に親水性になる高分子化合物（Ｇ０３Ｆ７／０７５が優先；高分子アジドＧ０３Ｆ７／０１２；高分子ジアゾニウム化合物Ｇ０３Ｆ７／０２１）
G03F7/0381	｛フェノール樹脂とポリオキシエチレン樹脂の組み合わせを用いるもの｝
