G06M1/00	一般的構成事項
G06M1/02	ハウジング（測定器用一般Ｇ０１Ｄ）
G06M1/022	｛板状体｝
G06M1/024	｛軸受け｝
G06M1/026	｛接続または支持用部品｝
G06M1/028	｛主軸，巻胴の固定および調整手段（主軸固定手段Ｆ１６Ｃ１７／０８）｝
G06M1/04	最下位の段の駆動用（駆動の比が可変のものＧ０６Ｍ１／３８）
G06M1/041	｛巻胴型指示手段｝
G06M1/042	｛クリック装置を備えるもの（電磁式駆動手段Ｇ０６Ｍ１／１０２）｝
G06M1/044	｛脱進機を備えるもの（電磁式駆動手段Ｇ０６Ｍ１／１０２）｝
G06M1/045	｛ダイアル，ポインタまたは類似の指示手段用｝
G06M1/047	｛算術演算用｝
G06M1/048	｛複数の計数装置間の切り替え手段を備えるもの｝
G06M1/06	段の連続回転を生じさせるもの，例．歯車列によるもの
G06M1/062	｛巻胴型指示手段用｝
G06M1/064	｛ダイアル，ポインタまたは類似の指示手段用｝
G06M1/066	｛算術演算用｝
G06M1/068	｛複数の計数装置間の切り替え手段を備えるもの｝
G06M1/08	駆動作動用
G06M1/083	｛機械的手段によるもの（積み重ねられた対象物の計数Ｇ０６Ｍ９／００）｝
G06M1/086	｛障壁を含むもの（被搬送物の計算Ｇ０６Ｍ７／００）｝
G06M1/10	電気的または磁気的手段によるもの
G06M1/101	｛電気光学的手段によるもの｝
G06M1/102	｛磁気的または電磁気的手段によるもの｝
G06M1/104	｛電気磁石，クリック｝
G06M1/105	｛電気磁石作動用電子回路｝
G06M1/107	｛電動機｝
G06M1/108	｛電子的手段によるもの｝
G06M1/12	流体手段によるもの
G06M1/123	｛気体的手段によるもの｝
G06M1/126	｛水力手段によるもの｝
G06M1/14	ある段から高位段へある状態を桁送りするためのもの（桁送りの比が可変のものＧ０６Ｍ１／３８）
G06M1/143	｛巻胴を備えるもの｝
G06M1/146	｛ダイアル，ポインタまたは類似の指示手段を備えるもの｝
G06M1/16	自己作動のもの，例．ジェネバ機構によるもの
G06M1/163	｛巻胴を備えるもの｝
G06M1/166	｛ダイアル，ポインタまたは類似の指示手段を備えるもの｝
G06M1/18	外部作動を要するもの，例．電磁力によるもの
G06M1/183	｛巻胴を備えるもの｝
G06M1/186	｛ダイアル，ポインタまたは類似の指示手段を備えるもの｝
G06M1/20	各段の単位が不同のものに特に適するもの，例．角度の度や分のためのもの
G06M1/22	計数機構上の計数結果を可視表示するためのもの，例．拡大レンズをもつ窓によるもの
G06M1/24	巻胴；ダイアル；ポインタ（測定機器用一般Ｇ０１Ｄ；｛時間測定機器用Ｇ０４Ｂ１９／００，巻胴を含むものＧ０４Ｂ１９／２０Ｃ(ＥＣＬＡ)，Ｇ０４Ｃ１９／０４；日付表示用Ｇ０４Ｂ１９／２４｝）
G06M1/241	｛巻胴｝
G06M1/243	｛事前設定手段を備えた巻胴｝
G06M1/245	｛ダイアル，ポインタ｝
G06M1/246	｛バンド，シート｝
G06M1/248	｛ディスク｝
G06M1/26	整列手段
G06M1/27	計数結果を電気信号の形で出力するためのもの，例．計数ドラム上のマークを感知することによるもの
G06M1/272	光電的手段を用いるもの
G06M1/274	磁気的手段を用いるもの；ホール効果素子を用いるもの
G06M1/276	機械的に作動される接点を用いるもの
G06M1/28	特定値への設定または帰零用
G06M1/283	｛巻胴を備えるもの｝
G06M1/286	｛ダイアル，ポインタまたは類似の指示手段を備えるもの｝
G06M1/30	ハート形または類似のカムを用いるもの；レバーを用いるもの
G06M1/303	｛巻胴を備えるもの｝
G06M1/306	｛ダイアル，ポインタまたは類似の指示手段を備えるもの｝
G06M1/32	作動手段，例．磁石，ばね，おもり
G06M1/323	｛巻胴を備えるもの｝
G06M1/326	｛ダイアル，ポインタまたは類似の指示手段を備えるもの｝
G06M1/34	再設定軸を用いるもの
G06M1/343	｛巻胴を備えるもの｝
G06M1/346	｛ダイアル，ポインタまたは類似の指示手段を備えるもの｝
G06M1/36	作動手段，例．磁石，ばね，おもり
G06M1/363	｛巻胴を備えるもの｝
G06M1/366	｛ダイアル，ポインタまたは類似の指示手段を備えるもの｝
G06M1/38	駆動または桁送りの比を可変にするためのもの，例．複数の計数輪列を択一的に用いるもの
G06M1/385	｛相違｝
G06M3/00	付加的手段をもつ計数器（間隔がランダムな電気パルスの発生Ｈ０３Ｋ３／８４）
G06M3/02	設定計数値である作動，例．機械の停止，を行なわせるもの｛（Ｇ０６Ｍ３／０４が優先）｝
G06M3/021	｛巻胴型指示手段を備えるもの｝
G06M3/022	｛減算によるもの｝
G06M3/024	｛加算によるもの｝
G06M3/025	｛ダイアル，ポインタまたは類似の指示手段を備えるもの｝
G06M3/027	｛減算によるもの｝
G06M3/028	｛加算によるもの｝
G06M3/04	逆方向作動用の付加計数輪列をもつもの
G06M3/043	｛巻胴を備えるもの｝
G06M3/046	｛ダイアル，ポインタまたは類似の指示手段を備えるもの｝
G06M3/06	計数結果を印字または別表示するためのもの（表示システムＧ０９）
G06M3/062	｛印刷用｝
G06M3/065	｛巻胴を備えるもの｝
G06M3/067	｛ダイアル，ポインタまたは類似の指示手段を備えるもの｝
G06M3/08	数個の源からの入力を計数するためのもの；異なる量の入力を計数するためのもの
G06M3/10	各段での単位が等しくないものの計数用，例．角度の度や分（桁送り機構Ｇ０６Ｍ１／２０）
G06M3/12	不適当な作動を防止するためのもの，例．偽報防止用
G06M3/14	正および負の作動の差を記録するためのもの
G06M7/00	コンベヤによって運ばれる物品の計数
G06M7/02	検出素子へ達する前に物品が引き続く物品間で明確な空隙を生ずるように分離されるもの
G06M7/04	塊状の物品，例．箱，の計数
G06M7/06	平板状の物品，例．紙，の計数
G06M7/08	物品が検出される位置で物品の移動方向が変更されるもの
G06M7/10	オーバーラップしている平板状物品，例．カード，の計数
G06M9/00	積み重なった物品の計数
G06M9/02	流体吸引ノズルと共働する回転分離装置を用いるもの
G06M9/025	｛積重方向と実質的に平行である回転軸｝
G06M11/00	ランダムに分布している物品の計数，例．一表面上に分布しているものの計数
G06M11/02	一つの表面を次々と線状に走査する電子ビームを用いるもの，例．基板上の血球についてのもの
