G07D1/00	コイン投出装置（紙幣を払出す装置Ｇ０７Ｄ１１／００）
G07D1/02	小銭を支払うもの ｛（コイン作動機構一般Ｇ０７Ｆ）｝
G07D1/04	挿入金額と等しい金額の小銭を支払うもの
G07D1/06	支払金額と請求金額との差額を支払うもの
G07D1/08	手動のもの
G07D3/00	貨幣を混在したものから貨幣単位によって選別するもの　｛（紙幣の選別Ｇ０７Ｄ１１／００８４；コインの重量によって選別するものＧ０１Ｇ）｝<br><br><u>警告</u><br><br>再分類が不完全である。Ｇ０７Ｆ３／００とＧ０７Ｆ３／０４も参照。
G07D3/02	貨幣単位別に設けた孔によって選別するもの
G07D3/04	傾斜したレール上に並べたもの
G07D3/06	円形通路に沿って並べたもの
G07D3/08	螺線上に並べたもの
G07D3/10	連続して並べられたふるいによるもの
G07D3/12	段を設けた転向装置により選別するもの
G07D3/121	｛傾斜した通路上に並べたもの｝
G07D3/123	｛コインがレールから外れるように転向されるもの｝
G07D3/125	｛転向装置を動かすことによるもの｝
G07D3/126	｛コインが流路の斜道で転換されるもの｝
G07D3/128	｛回転式装置｝
G07D3/14	コイン感知要素の制御のもとに駆動される装置
G07D3/16	コイン計数と組み合わせたもの
G07D5/00	コインが同一であることまたは真正であることを決定するために特に適合した検査，例．貨幣として受け入れられないまたは性質を異にするコインを分離するもの（貨幣の混在したものから貨幣単位に分離する装置Ｇ０７Ｄ３／００；コイン解放装置と結合したものＧ０７Ｆ３／００）<br><br><u>警告</u><br><br>再分類が未完成。Ｇ０７Ｆ３／００からＧ０７Ｆ３／０２７も参照。
G07D5/005	｛地紋を検査するもの，例．浮き彫り模様｝<br><br><u>警告</u><br><br>再分類が未完成。Ｇ０７Ｆ３／０２とＧ０７Ｆ３／０２７も参照。
G07D5/02	寸法，例．厚さ，径，を検査するもの；変形を検査するもの<br><br><u>警告</u><br><br>再分類が未完成。Ｇ０７Ｆ３／０２とＧ０７Ｆ３／０２２も参照。
G07D5/04	重量を検査するもの
G07D5/06	堅さまたは弾力性を検査するもの<br><br><u>警告</u><br><br>再分類が未完成。Ｇ０７Ｆ３／０２とＧ０７Ｆ３／０２５も参照。
G07D5/08	磁気的または電気的性質を検査するもの<br><br><u>警告</u><br><br>再分類が未完成。Ｇ０７Ｆ３／０２とＧ０７Ｆ３／０２５も参照。
G07D5/10	へり，例．へりのぎざぎざを検査するもの<br><br><u>警告</u><br><br>再分類が未完成。Ｇ０７Ｆ３／０２とＧ０７Ｆ３／０２７も参照。
G07D7/00	｛紙幣，証券，債券，または類似の有価証券の本物か否かの検査（記録担体上の記録マークの正しさを検査する方法または装置Ｇ０６Ｋ５／００）<br><br><u>注</u><br><br>このグループにおいては，グループＧ０７Ｄ７／１６からＧ０７Ｄ７／２０がグループＧ０７Ｄ７／０２からＧ０７Ｄ７／１４が優先｝<br><br><u>警告</u><br><br>Ｇ０７Ｄ７／０００６，Ｇ０７Ｄ７／００４６，Ｇ０７Ｄ７／００９３は再分類が未完成。Ｇ０７Ｄ７／００４も参照。
G07D7/003	
G07D7/0032	
G07D7/0034	
G07D7/004	｛ディジタル保安装置を用いるもの｝<br><br><u>警告</u><br><br>このグループは２０１１年１月１日から分類付与される文献には使われていない。このグループのバックログは継続的にＧ０７Ｄ７／０００６，Ｇ０７Ｄ７／００４６，Ｇ０７Ｄ７／００９３に再分類されている。
G07D7/0043	
G07D7/0047	
G07D7/005	
G07D7/0051	
G07D7/0053	｛模様に付加されたマークを含むもの，例．格子点｝
G07D7/0054	
G07D7/0055	
G07D7/0056	
G07D7/0057	
G07D7/01	
G07D7/02	電気的手段を用いるもの，　｛例．銀行券の電気的性質を検出するもの（Ｇ０７Ｄ７／００４，Ｇ０７Ｄ７／０４，Ｇ０７Ｄ７／０６が優先）｝
G07D7/023	｛直接接触により導電度を測定するもの｝
G07D7/026	｛静電容量センサを用いるもの｝
G07D7/04	磁性を利用した手段を用いるもの，例．磁気による刻印の検出，　｛銀行券の磁気的特性を検出するもの（Ｇ０７Ｄ７／００４が優先）｝
G07D7/06	波または粒子の照射を用いるもの，　｛例．波を銀行券に照射するもの（Ｇ０７Ｄ７／００４が優先）｝
G07D7/08	音波
G07D7/10	マイクロウエーブ
G07D7/12	可視光線，赤外線または紫外線の照射
G07D7/1205	
G07D7/121	｛照明組立て品細部｝
G07D7/128	｛視覚的検査装置｝
G07D7/14	化学的手段を用いるもの
G07D7/15	
G07D7/16	寸法の検査をするもの
G07D7/162	｛長さまたは幅｝
G07D7/164	｛厚さ｝
G07D7/17	
G07D7/181	
G07D7/182	｛硬度の検査をするもの｝
G07D7/183	
G07D7/185	｛穴または細孔を検出するもの｝
G07D7/187	｛汚れを検出するもの｝
G07D7/189	
G07D7/20	描かれている模様の検査をするもの，　｛例．メモリの参照と比較するもの，（Ｇ０７Ｄ７／００４が優先）｝
G07D7/2008	｛前処理，例．ぼけ修正，平均化，正規化，回転｝
G07D7/2016	｛特徴抽出，例．セグメント化，エッジ検出，ハフ変換｝
G07D7/202	
G07D7/2033	｛特有の模様との一致，例．指紋採取｝
G07D7/2041	｛統計分布との一致，例．粒子サイズの配向によるもの｝
G07D7/205	｛スペクトル特性との一致｝
G07D7/206	
G07D7/207	
G07D7/2075	｛受容レベルや受容パラメータの設定｝
G07D7/2083	｛自動学習処理｝
G07D7/2091	｛複数レベルの設定｝
G07D9/00	コインの計数（コインの選別との組み合わせＧ０７Ｄ３／１６）；このサブクラスの他のグループに分類されないコインの取扱い<br><br><u>注</u><br><br>情報参照<br>-紙幣の取扱いＧ０７Ｄ１１／００２１- 紙幣の計数Ｇ０７Ｄ１１／００８４<br>
G07D9/002	｛コインを保持する装置｝
G07D9/004	｛コイン包装体｝
G07D9/006	｛コインを包むもの｝
G07D9/008	｛ばら積みからコインを供給するもの｝
G07D9/02	つり銭皿
G07D9/04	コインの計数装置として手動またはモーター駆動のもの｛（計数機構一般Ｇ０６Ｍ）｝
G07D9/06	支持台上にコインを積み重ね，その他並べる装置，例．コインの計数に使用する穴あき板
G07D9/065	｛コインを包装する装置｝
G07D11/00	コインを受け入れる装置または紙幣を｛受け入れるものまたは払出すもの｝，例．預入れ機（コイン作動装置Ｇ０７Ｆ，例．Ｇ０７Ｆ１１／００；紙幣作動装置Ｇ０７Ｆ７／０４；完全バンキングシステムＧ０７Ｆ１９／００；｛金銭または同種のものを支払うためのまたは受け取るための，あるいは当該取引を現存の口座に記帳するためのコード化カードにより作動する装置，例．現金自動預払機[ATMs｝G07F19/00F｝）<br><br><u>注</u><br><br>このグループはいわゆる現金自動預払機（ＡＴＭ）をはじめとする紙幣を取扱う装置の構造的，機能的局面を含む；取引を現存の口座に記帳するなど当該ＡＴＭの他の局面および利用者との相互作用に関連する局面はグループＧ０７Ｆ１９／００Ｆに含む<br>情報参照:<br>- コインを払出す装置Ｇ０７Ｄ１／００
G07D11/0087	｛銀行券交換装置｝
G07D11/009	｛預入れ装置（金庫Ｅ０５Ｇ）｝
G07D11/0093	｛落とし箱｝
G07D11/0096	｛容器，例．コードマークをつけた封筒，に入れた紙幣または他の有価証券を受入れるもの｝
G07D11/10	
G07D11/12	
G07D11/125	
G07D11/13	
G07D11/135	
G07D11/14	
G07D11/16	
G07D11/165	
G07D11/17	
G07D11/175	
G07D11/18	
G07D11/20	
G07D11/22	
G07D11/225	
G07D11/23	
G07D11/235	
G07D11/237	
G07D11/24	
G07D11/245	
G07D11/25	
G07D11/26	
G07D11/28	
G07D11/30	
G07D11/32	
G07D11/34	
G07D11/36	
G07D11/40	
G07D11/50	
G07D11/60	
