G21C1/00	原子炉
G21C1/02	高速炉，すなわち減速材を用いない原子炉　｛金属冷却炉；高速増殖炉｝
G21C1/022	｛炉心の構想および特性に特徴のあるもの｝
G21C1/024	｛炉心が燃料ゾーンと増殖材ゾーンとに分かれているもの｝
G21C1/026	
G21C1/028	｛圧縮冷却材によって冷却されるもの（冷却配置Ｇ２１Ｃ１５／００）｝
G21C1/03	本質的に加圧されていない冷却材によって冷却されるもの，例．プール型原子炉
G21C1/04	熱中性子炉　｛熱外中性子炉｝
G21C1/06	非均質炉，すなわち燃料と減速材が分離しているもの
G21C1/07	ペブルベッド原子炉；粒状燃料をもつ原子炉
G21C1/08	減速材が高圧で加圧されているもの，例．沸騰水型原子炉，積分過熱型原子炉，加圧水型原子炉（Ｇ２１Ｃ１／２２が優先）
G21C1/082	｛冷却材が過熱している原子炉｝
G21C1/084	｛沸騰水型原子炉｝
G21C1/086	｛加圧水型原子炉｝
G21C1/088	
G21C1/09	圧力調整装置，すなわち加圧器
G21C1/10	減速材と冷却材が異なるか，または分離しているもの
G21C1/12	減速材が固体であるもの，例．マグノックス炉　｛気体−黒鉛型原子炉｝
G21C1/14	減速材が実質的に加圧されていないもの，例．水泳プール型原子炉（Ｇ２１Ｃ１／２２が優先）
G21C1/16	減速材と冷却材が異なるか，または分離しているもの，例．ナトリウム―黒鉛炉　｛ナトリウム−重水型原子炉，有機冷却材−重水型原子炉｝
G21C1/18	冷却材が加圧されているもの
G21C1/20	減速材が液体のもの，例．圧力管型原子炉　｛また加圧管の構造｝
G21C1/22	液体状または気体状燃料を用いるもの
G21C1/24	均質炉，すなわち燃料および減速材が中性子に対して実質的に均質な媒体を与えるもの
G21C1/26	単一領域型原子炉
G21C1/28	二領域型原子炉
G21C1/30	未臨界装置　｛水泳プール型原子炉，ゼロエネルギー型原子炉を例外とする実験用原子炉｝
G21C1/303	｛原子炉内実験用照射配置（照射環Ｇ２１Ｃ１／３０６；中性子による素材検査Ｇ０１Ｎ２３／００５）｝
G21C1/306	｛照射環｝
G21C1/32	積分型原子炉，すなわち機能的に原子炉と関連しているが反応には必須でない部分，例．熱交換器，が炉心をもつ密閉容器の内部に配置されている原子炉（１／０２〜１／３０が優先）
G21C1/322	
G21C1/324	
G21C1/326	
G21C1/328	
G21C3/00	原子炉燃料要素およびその集合体；原子炉燃料要素用物質の選択
G21C3/02	燃料要素　｛生産　Ｇ２１Ｃ２１／０２｝
G21C3/04	構造の細部
G21C3/041	｛燃料要素からの気体除去手段｝
G21C3/042	｛冷却材通路を間に有する顆粒状燃料の塊体付きケーシングを構成する燃料要素｝
G21C3/044	｛多孔または毛管構造の燃料要素｝
G21C3/045	
G21C3/047	
G21C3/048	
G21C3/06	被覆管；ジャケット
G21C3/07	被覆管またはジャケットの材料によって特徴づけられるもの，例．合金
G21C3/08	熱交換を促進するために設けられた外部構造，例．ひれ，そらせ板
G21C3/10	端部閉塞部　｛そのための硬くしまった据付手段｝
G21C3/105	｛平らな端栓｝
G21C3/12	原子炉炉心に設置するために燃料要素の一部を形成する手段　｛燃料要素の一部を形成しない手段Ｇ２１Ｃ５／０６｝
G21C3/14	燃料要素を炉心内に挿入または炉心から取り出すために燃料要素の一部を形成する手段；隣接燃料要素を結合する手段，　｛例．縦材を形成するもの｝
G21C3/16	燃料被覆管内の細部構造
G21C3/17	燃料要素内の気体の貯蔵または不動化手段
G21C3/18	燃料被覆管の内部に設けられたスペーサーまたはその他の非活性物質，例．燃料棒の延びの補償，または過剰反応度の補償（中間層Ｇ２１Ｃ３／２０）
G21C3/20	燃料表面または燃料被覆管の内面に被覆を有するもの；燃料被覆管と活性物質の間に非活性物資を有するもの　｛複合被覆管または複合活性層を持つもの｝
G21C3/22	冷却材と接触する核分裂性または増殖性物質を有するもの
G21C3/24	非活性燃料被覆管内に液体状の核分裂性または増殖性物質を有するもの
G21C3/26	非活性燃料被覆管内に粒子状の核分裂性または増殖性物質を有するもの
G21C3/28	非活性燃料被覆管内に固体状の核分裂性または増殖性物質を有するもの
G21C3/30	固定ユニットの形状をとる多数の燃料要素の集合体
G21C3/32	平行配列のピン状，棒状または管状の燃料要素の束
G21C3/3206	｛冷却材をろ過するための燃料集合体と連携する手段，例．ノズル，格子　｝
G21C3/3213	｛核分裂ガスの保管または取り出し手段（核分裂ガスのエレメント内保管手段Ｇ２１Ｃ３／１６；核分裂ガスのエレメントからの取り出し手段Ｇ２１Ｃ３／０４）　｝
G21C3/322	燃料要素の束を通過するかあるいはその周囲を流れる冷却材流に影響を与える手段
G21C3/3225	
G21C3/324	燃料要素の束の被覆または覆い
G21C3/3245	｛減速材素材でできているもの｝
G21C3/326	燃料要素が異なる組成から成るもの；燃料要素に加えて，他のピン状，棒状または管状の要素から成るもの，例．制御棒，格子板支持棒，潜在核燃料棒，毒物棒またはダミー棒
G21C3/3262	
G21C3/3265	
G21C3/3267	
G21C3/328	燃料要素の束の格子における各要素の相対配置
G21C3/33	燃料要素の束において各要素を支持または懸架するもの（スペーサー格子板Ｇ２１Ｃ３／３４）；炉心に燃料要素の束を挿入または炉心から取り除くために燃料要素の束の一部を形成する手段，隣接する燃料要素の束を連結する手段
G21C3/3305	
G21C3/331	
G21C3/3315	
G21C3/332	スペーサー格子板の支持体
G21C3/334	燃料要素の束を組み立てるもの　｛燃料集合体の修復｝
G21C3/335	照射された燃料要素において交換する各要素
G21C3/336	燃料要素の束における燃料棒用のスペーサー要素（スペーサー格子板Ｇ２１Ｃ３／３４）
G21C3/338	らせん状スペーサー要素
G21C3/34	スペーサ格子板
G21C3/3408	｛小型スペーサー格子板，例．平板または刃でできたもの｝
G21C3/3416	｛金属ワイヤー，例．バネ，で形成されたスペーサー格子板｝
G21C3/3424	｛スペーサー格子板の組立｝
G21C3/3432	
