H01T1/00	スパークギャップの細部
H01T1/02	アークを消す方法
H01T1/04	磁気的な吹き消しを用いるもの
H01T1/06	永久磁石をもつもの
H01T1/08	消弧流体の流れを用いるもの
H01T1/10	アークの熱により固体材料から放出される消弧流体によるもの
H01T1/12	スパークギャップと構造的に組み合わされ，その作動を記録するための装置
H01T1/14	スパークギャップと構造的に組み合わされ過負荷に対してスパークギャップを保護し，または故障の場合に切り離すための装置（Ｈ０１Ｔ１／１５，Ｈ０１Ｔ１／１６，Ｈ０１Ｔ１／１８が優先；火花間隙避雷器のための非常保護回路装置Ｈ０２Ｈ７／２４）
H01T1/15	過大圧力に対する保護のためのもの
H01T1/16	スパークギャップと構造的に組み合わされた直列抵抗
H01T1/18	スパークギャップと構造的に組み合わされた電解装置
H01T1/20	アークの開始またはスパークギャップの点弧の促進手段
H01T1/22	電極の形状または組成によるもの
H01T1/24	電極のための材料の選択（Ｈ０１Ｔ１／２２が優先）
H01T2/00	補助的なトリガ手段を含むスパークギャップ（トリガ回路Ｈ０１Ｔ１５／００）
H01T2/02	トリガ電極または補助的なスパークギャップを含んでなるもの
H01T4/00	スパークギャップを用いる過電圧避雷器（Ｈ０１Ｔ２／００が優先；スパークギャップを用いる過電圧保護回路Ｈ０２Ｈ９／０６）
H01T4/02	細部
H01T4/04	ハウジング（Ｈ０１Ｔ４／０６が優先）
H01T4/06	複数個の過電圧避雷器のための取付装置
H01T4/08	保護装置と構造的に組み合わされているもの（スイッチ付のものＨ０１Ｈ９／１４；ヒューズ付のものＨ０１Ｈ８５／４４）
H01T4/10	単一のギャップまたは並列にされた複数個のギャップを有するもの
H01T4/12	ハーメチックシールされたもの
H01T4/14	アークホーン（絶縁体と組み合わされたものＨ０１Ｂ１７／４６）
H01T4/16	直列に配列された複数個のギャップを有するもの
H01T4/18	積層スパークギャップの高さを減少させるための装置
H01T4/20	電位分布を改善するための装置
H01T7/00	回転スパークギャップ，すなわち１個以上の回転電極をもつ装置
H01T9/00	発振を起すために特に適合したスパークギャップ
H01T11/00	整流器として特に適合したスパークギャップ
H01T13/00	スパークプラグ
H01T13/02	細部
H01T13/04	スパークプラグに電気的な接続をする手段
H01T13/05	干渉抑制またはシールド手段と組み合わされたもの
H01T13/06	プラグの一部を構成し，プラグを有害な環境から保護するカバー
H01T13/08	スパークプラグの取り付け，固定または封止，例．燃焼室内
H01T13/10	バヨネット型結合によるもの
H01T13/12	器具または手により保持するのに便利なスパークプラグ上の手段
H01T13/14	自己清浄のための手段
H01T13/16	熱を放散するための手段
H01T13/18	加熱するための手段，例．乾燥するためのもの
H01T13/20	電極または絶縁体の形状に特徴のあるもの
H01T13/22	絶縁体中に埋めた２個以上の電極をもつもの（２個以上のスパークギャップを有するスパークプラグＨ０１Ｔ１３／４６） 
H01T13/24	可動電極をもつもの（Ｈ０１Ｔ１３／２８が優先）
H01T13/26	電極を曲げないでスパークギャップを調節するためのもの
H01T13/28	球面形状の電極をもつもの，例．球型
H01T13/30	自由に動き得るように支持されたもの
H01T13/32	接地電極の形状に特徴のあるもの
H01T13/34	絶縁体への電極の取り付けに特徴のあるもの，例．埋設
H01T13/36	絶縁体と本体との間の結合に特徴のあるもの，例．セメントを使用するもの
H01T13/38	絶縁体としての材料の選択
H01T13/39	電極のための材料の選択
H01T13/40	他の装置と構造的に結合されているもの（燃料噴射装置と結合されまたは組合わされているものＦ０２Ｍ５７／０６；内燃機関の他の部品と構造的に結合されているものＦ０２Ｐ１３／００）
H01T13/41	干渉抑制またはシールド手段をもつもの
H01T13/42	磁気的なスパーク発生器をもつもの
H01T13/44	変成器をもつもの，例．高周波点火用
H01T13/46	２個以上のスパークギャップをもつもの
H01T13/462	｛直列接続のもの｝
H01T13/465	｛１個のスパークギャップがスパークプラグに組み込まれたもの｝
H01T13/467	｛並列接続のもの｝
H01T13/48	スパークを見るようにする手段をもつもの
H01T13/50	ギャップのイオン化のための手段をもつもの（Ｈ０１Ｔ１３／５２が優先）
H01T13/52	表面に沿っての放電に特徴のあるもの
H01T13/54	部分的に閉じた燃焼室内に配置した電極をもつもの
H01T13/56	容易に組み立てたり外したりできる部品を持つことに特徴のあるもの
H01T13/58	試験（内燃機関点火時の火花特性の試験Ｆ０２Ｐ１７／１２）
H01T13/60	電気的な特性の試験
H01T14/00	グループＨ０１Ｔ２／００〜Ｈ０１Ｔ１３／００に分類されないスパークギャップ（コロナ放電を生じるための装置Ｈ０１Ｔ１９／００）
H01T15/00	スパークギャップのために特に適合する回路，例．点火回路（内燃機関のための点火回路Ｆ０２Ｐ；燃焼装置のための電気的スパーク点火Ｆ２３Ｑ；スパークギャップを用いる保護回路Ｈ０２Ｈ９／０６）
H01T19/00	コロナ放電を生じるための装置（電子写真要素の帯電のためのものＧ０３Ｇ１５／０２）
H01T19/02	コロナリング
H01T19/04	とがった電極を有するもの
H01T21/00	スパークギャップまたはスパークプラグの製造または保守のために特に適合した装置または方法
H01T21/02	スパークプラグに関するもの
H01T21/04	清浄（自己清浄のための手段Ｈ０１Ｔ１３／１４；スパークプラグの清浄のための研摩剤吹き付け装置Ｂ２４Ｃ３／３４） 
H01T21/06	スパークギャップの調整（ギャップ調整用可動電極を有するスパークプラグＨ０１Ｔ１３／２６）
H01T23/00	非密閉気体，例．大気，の中へ導入されるべきイオンの発生装置
