H02M1/00	変換装置の細部
H02M1/0003	｛制御，フィードバックまたは調整回路の細部｝
H02M1/0006	｛変換器の制御回路に適切な電圧を供給するための装置｝
H02M1/0009	｛変換器内の電流を検出するための装置または回路｝
H02M1/0012	｛デジタルまたは数値技法を用いる制御回路（直流−直流変換器内のものＨ０２Ｍ３／１５７，Ｈ０２Ｍ３／３３５１５；直流−交流変換器内のものＨ０２Ｍ７／５３８７３）｝
H02M1/0016	｛外乱パラメータのフィードフォワードを用いて出力電圧偏差を補償する制御回路｝
H02M1/0019	｛外乱パラメータが負荷電流の変動であるもの｝
H02M1/0022	｛外乱パラメータが入力電圧の変動であるもの｝
H02M1/0025	｛変換器の制御ループにおける基準値，フィードバック値またはエラー値を修正するための装置｝
H02M1/0029	｛スイッチング信号の傾きを制限するための回路または装置，例．スルーレート｝
H02M1/0032	｛低電力モードでの運転を可能にする制御回路，例．スタンバイモードにおけるもの｝
H02M1/0035	｛バースト方式制御を用いるもの｝
H02M1/0038	｛抑制，例．正しくないターンオンまたはターンオフ信号のマスクによるもの，のための回路または装置，例．電流モード制御における電流スパイクによるものの｝
H02M1/0041	｛クロック信号が選択的に有効または無効にされる制御回路｝
H02M1/0043	｛位相シフトしてスイッチされる変換器，すなわち，交互に割り込むもの（非絶縁直流／直流変換器Ｈ０２Ｍ３／１５８６）｝
H02M1/0045	｛スイッチモード調整と線形調整の概念を組み合わせた変換器，例．スイッチング変換器の線形事前調整，並列な線形およびスイッチング変換器，同一の変換器またはトランジスタが線形またはスイッチングモードのいずれかで作動するもの｝
H02M1/0048	｛損失を低減するための回路または装置（スナバを用いるものＨ０２Ｍ１／３４）｝
H02M1/0051	｛ダイオードの逆回復における損失｝
H02M1/0054	｛トランジスタのスイッチング損失（低電力モードにあるスイッチング変換器の動作の定期的な延期Ｈ０２Ｍ１／００３５）｝
H02M1/0058	｛ソフトスイッチング技法，すなわち，電圧がゼロにされおよび／または電流がゼロを通るときにトランジスタを転流するもの，の使用によるもの（インバータブリッジにおける直流電圧の中間または２つのプッシュプル分岐に接続された補助的な能動スイッチ共振転流回路を用いるものＨ０２Ｍ７／４８１１；共振インバータにおけるものＨ０２Ｍ７／４８１５；共振直流源によって作動するインバータにおけるものＨ０２Ｍ７／４８２６）｝
H02M1/0061	｛放電管を使用するもの｝
H02M1/0064	｛異なる機能，例．蓄積，フィルタまたは変換，を組み合わせる磁気構造｝
H02M1/0067	｛複数の変換器ユニットを用いる変換器構造であって，一つの負荷に対してそれらのユニットが並列動作するものではないもの｝
H02M1/007	｛複数の変換器ユニットが段階的に連なったもの（プレレギュレータを有するプッシュプル直流−直流変換器Ｈ０２Ｍ３／３３７４；直流−直流段に続く直流−交流変換器であって高周波変圧器を含むものＨ０２Ｍ７／４８０７，直流−直流変換段に続く直流−交流変換器であって周期的に変化する電圧を発生させるものＨ０２Ｍ７／４８２６）｝
H02M1/0074	｛その入力が直列に接続された複数の変換器ユニット｝
H02M1/0077	｛その出力が直列に接続された複数の変換器ユニット｝
H02M1/008	｛２以上の独立しておりかつ並列でない出力を発生させるための複数の変換器ユニット，例．負荷スイッチングレギュレータの複数の点を有するシステム｝
H02M1/0083	｛入力または出力構成に特徴のある変換器｝
H02M1/0085	｛部分的に制御されるブリッジ｝
H02M1/0087	｛入力電流源を受けるために適合されたもの｝
H02M1/009	｛独立して制御される２以上の出力を有するもの（中間が交流である直流−直流変換器のためのものＨ０２Ｍ３／３３５６１）｝
H02M1/0093	｛出力が調整された電圧を付加することによってまたは調整されていない入力からそれを減じることによって生成されたものであるもの｝
H02M1/0095	｛ハイブリッド変換トポロジー，例．フライングキャパシタと混合されたＮＰＣ，ＭＭＣと混合されたサイリスタ変換器または充填ポンプ）｝
H02M1/0096	｛保持時間，すなわち，入力電源の喪失後に変換器の出力が規定の制限内に残存する時間の長さ，を増大させるための手段｝
H02M1/02	静止型変換器に用いられる放電管の格子制御またはイグナイタ制御電力の発生に用いられる回路
H02M1/04	制御格子をもつ管用のもの
H02M1/042	｛交流電圧を基準にして制御電圧の位相を調整するもの｝
H02M1/045	｛多相システム用のもの｝
H02M1/047	｛電圧または電流の零クロスにおける点弧用のもの｝
H02M1/06	ガス放電管または等価の半導体装置，例．サイラトロン，サイリスタ，を非導通にするために特に適合した回路
H02M1/065	｛放電管用のもの｝
H02M1/08	静止型変換器に用いられる半導体装置の制御電圧の発生に用いられる回路
H02M1/081	｛交流源を基準にして制御電圧の位相を調整するもの｝
H02M1/082	｛デジタル制御を伴うもの｝
H02M1/083	｛電圧または電流の零クロスにおける点弧用のもの｝
H02M1/084	多相システムのいくつかの相に共通な制御回路に使用するもの
H02M1/0845	｛デジタル制御されるもの（またはデジタル制御を伴うもの）｝
H02M1/088	直列または並列接続された半導体装置の同時制御のためのもの
H02M1/092	光学的に伝送される制御信号
H02M1/096	主スイッチング素子に並列接続される制御回路へ給電（Ｈ０２Ｍ１／０９２が優先）
H02M1/10	異なった種類の供給電力，例．交流または直流，から負荷を運転させるための変換装置に用いられる装置
H02M1/12	交流入力または出力から高調波を減少させるための装置
H02M1/123	｛同位相の電圧または電流の抑制｝
H02M1/126	｛受動フィルタを使用するもの｝
H02M1/14	直流入力または出力からリップルを減少させるための装置
H02M1/143	｛補償装置を使用するもの（送電系統における電源からのノイズ低減用のものＨ０４Ｂ１５／００５）｝
H02M1/146	｛放電管を使用するもの｝
H02M1/15	能動素子を使用するもの
H02M1/16	回路の開閉時に立ち上がり電流を供給するための装置，例．可飽和リアクトルをもつもの
H02M1/20	非静止型変換器の接点機構
H02M1/22	集電装置およびブラシを用いたもの
H02M1/24	回動または転動接点を用いたもの
H02M1/26	カム操作接点を用いたもの
H02M1/28	電磁的に操作される振動接点を用いたもの
H02M1/30	液体接点を用いたもの
H02M1/32	自動切断によるもの以外の，変換器を保護するための手段
H02M1/322	｛電気構成部品を保護しまたは電気的衝撃を防止するために変換器のコンデンサを急速に放電させるための手段｝
H02M1/325	｛故障時に動作を継続することを可能にするための手段，すなわち，耐故障変換器｝
H02M1/327	｛異常な温度に対するもの｝
H02M1/34	スナバ回路
H02M1/342	｛能動的で消散しないスナバ｝
H02M1/344	｛能動的で消散するスナバ｝
H02M1/346	｛受動的で消散しないスナバ｝
H02M1/348	｛受動的で消散するスナバ｝
H02M1/36	変換器を起動または停止するための手段
H02M1/38	スイッチング手段が同時導通することを防止するための手段
H02M1/385	｛不感時間によってもたらされた出力電圧の変動を修正するための手段をもつもの｝
H02M1/40	磁気的飽和（偏磁）することを防止する手段
H02M1/42	変換器の力率を補正または調節するための回路または装置
H02M1/4208	｛交流入力の力率を改善するための装置｝
H02M1/4216	｛三相入力電圧から作動するもの（Ｈ０２Ｍ１／４２３３が優先）｝
H02M1/4225	｛非絶縁昇圧変換器を用いるもの｝
H02M1/4233	｛能動スイッチでからなるブリッジ変換器を用いるもの｝
H02M1/4241	｛共振変換器を用いるもの｝
H02M1/425	｛交流入力の力率の補正および高周波交流出力電圧の生成の双方に単一の変換段を用いるもの｝
H02M1/4258	｛交流入力の力率の補正および調整され電気的に絶縁された直流出力電圧の生成の双方に単一の変換段を用いるもの（Ｈ０２Ｍ１／４２４１が優先）｝
H02M1/4266	｛受動素子を用いるもの｝
H02M1/4275	｛入力に直列な補助的な出力電圧を付加することによるもの｝
H02M1/4283	｛平滑コンデンサを供給する最初の整流器に並行に制御された整流器を付加することによるもの｝
H02M1/4291	｛入力電流を切り替えるために降圧型変換器を用いることによるもの｝
H02M1/44	変換器の電磁妨害を補償するための回路または装置
H02M3/00	直流入力−直流出力変換
H02M3/003	｛構造的細部，例．物理的な配置，組立，配線または母線接続｝
H02M3/005	｛Ｃｕｋ変換器を用いるもの｝
H02M3/01	｛共振直流／直流変換器｝
H02M3/015	｛共振周波数に適合するための手段をもつもの，例．共振回路の容量またはインダクタンスの変調によるもの｝
H02M3/02	中間に交流変換をもたないもの
H02M3/04	静止型変換器によるもの
H02M3/06	抵抗または蓄電器を用いるもの，例．分圧器を用いるもの
H02M3/07	制御電極を有する半導体装置によって交互に充放電される蓄電器を使用するもの，｛例．充填ポンプ｝
H02M3/071	｛正電圧源からの負電圧出力の発生に適したもの｝
H02M3/072	｛入力電圧より低い値の出力電圧の発生に適したもの｝
H02M3/073	｛シェンケル型充填ポンプ｝
H02M3/075	｛複数の段と２セットのクロック信号を含み，１セットは偶数で１セットは奇数の段のためのもの｝
H02M3/076	｛クロック信号が入力電圧値よりも高い値に高められるもの｝
H02M3/077	｛充填ポンプの段が並列に接続されたもの｝
H02M3/078	｛バックバイアス効果，すなわち，変換器に段が加わるにつれて，トランジスタの閾電圧が増加する効果，を低減するための手段をもつもの｝
H02M3/08	制御電極をもたない放電管または制御電極をもたない半導体装置を用いるもの
H02M3/10	制御電極を有する放電管または制御電極を有する半導体装置を使用するもの（Ｈ０２Ｍ３／０７が優先）
H02M3/125	消弧手段を必要とするサイラトロンまたはサイリスタ型式の装置を用いるもの
H02M3/13	電子管のみを用いるもの
H02M3/135	半導体装置のみを用いるもの
H02M3/137	出力電圧または電流の自動制御を有するもの，例．スイッチングレギュレータ
H02M3/139	デジタル制御を有するもの
H02M3/142	単一負荷のための最終制御装置としての複数の半導体装置を含むもの
H02M3/145	制御信号の連続的印加を必要とする三極管またはトランジスタ型式の装置を用いるもの
H02M3/15	電子管のみを用いるもの
H02M3/155	半導体装置のみを用いるもの
H02M3/1552	｛変圧器のまたは交流発電機の漏洩インダクタンスをブーストインダクタとして利用するブースト変換器｝
H02M3/1555	｛インピーダンスが実質的に誘導性である負荷に調整された電流を発生させるためのもの｝
H02M3/1557	｛シングルエンデツド・プライマリ・インダクタ・コンバータ［ＳＥＰＩＣ］｝
H02M3/156	出力電圧または電流の自動制御を有するもの，例．切換調整器
H02M3/1563	｛外部クロックを使用しないもの（Ｈ０２Ｍ３／１５８が優先）｝
H02M3/1566	｛急速な負荷変動に対して補償するための手段をもつもの，例．補助電流源をもつもの，両モード制御をもつものまたはインダクタンスが変化するもの｝
H02M3/157	デジタル制御を有するもの
H02M3/158	単一負荷のための最終制御装置として複数の半導体装置を含むもの
H02M3/1582	｛バックブースト変換器（Ｈ０２Ｍ３／１５８４が優先）｝
H02M3/1584	｛並列接続された複数の電力処理段を有するもの｝
H02M3/1586	｛位相シフトしてスイッチされるもの，すなわち，交互に割り込むもの｝
H02M3/1588	｛少なくとも一つの同期整流素子から成るもの（Ｈ０２Ｍ３／１５８２，Ｈ０２Ｍ３／１５８４が優先）｝
H02M3/16	非静止型変換器によるもの
H02M3/18	交互に充電および放電する，例．並列接続で充電され，直列接続で放電する，蓄電器または蓄電池を用いたもの
H02M3/20	静止型と非静止型変換器との結合によるもの；電動力型と他の非静止型または静止型変換器との結合によるもの
H02M3/22	中間に交流変換をもつもの
H02M3/24	静止型変換器によるもの
H02M3/26	一旦交流を発生するために制御電極をもたない放電管または制御電極をもたない半導体装置を用いるもの
H02M3/28	一旦交流を発生するために制御電極をもつ放電管または制御電極をもつ半導体装置を用いるもの
H02M3/285	｛単一の変換器で並列に接続された複数の出力段を有するもの（直流配電網における複数の変換器の並列運転Ｈ０２Ｊ１／１０）｝
H02M3/305	消弧手段を必要とするサイラトロンまたはサイリスタ型式の装置を用いるもの
H02M3/31	電子管のみを用いるもの
H02M3/315	半導体装置のみを用いるもの
H02M3/3155	｛出力電圧または電流の自動制御を伴うもの｝
H02M3/325	制御信号の連続的印加を必要とする三極管またはトランジスタ型式の装置を用いるもの
H02M3/33	電子管のみを用いるもの
H02M3/335	半導体装置のみを用いるもの
H02M3/33507	｛出力電圧または電流の自動制御をともなうもの，例．フライバック型変換器（Ｈ０２Ｍ３／３３５６１，Ｈ０２Ｍ３／３３５６９が優先）｝
H02M3/33515	｛デジタル制御を伴うもの｝
H02M3/33523	｛出力段およびフィードバックループの双方の入出力間が電気的に絶縁されたもの｝
H02M3/3353	｛入力側に少なくとも２個の同時に動作する開閉器を備えたもの，例．ダブルフォワード型またはダブル（スイッチト）フライバック型の変換器｝
H02M3/33538	｛フォワード型のもの（Ｈ０２Ｍ３／３３５３，Ｈ０２Ｍ３／３３５６９が優先）｝
H02M3/33546	｛出力電圧または電流の自動制御を伴うもの（Ｈ０２Ｍ３／３３５６１が優先）｝
H02M3/33553	｛出力段およびフィードバックループの双方の入出力間が電気的に絶縁されたもの｝
H02M3/33561	｛独立して制御される複数の出力を備えたもの｝
H02M3/33569	｛数個の能動スイッチング素子を備えたもの（Ｈ０２Ｍ３／３３５３が優先）｝
H02M3/33571	｛絶縁変圧器の一次側における半ブリッジ｝
