H03C1/00	振幅変調（Ｈ０３Ｃ５／００，Ｈ０３Ｃ７／００が優先）
H03C1/02	細部
H03C1/04	角度変調分を低減させるための変調段に存在する手段または変調段と組み合わせられた手段
H03C1/06	ひずみを低減し，２種以上の変調器にあきらかに適用しうる変調器の改良，例．帰還により
H03C1/08	可変インピーダンス素子によるもの（Ｈ０３Ｃ１／２８〜Ｈ０３Ｃ１／３４，Ｈ０３Ｃ１／４６〜Ｈ０３Ｃ１／５２，Ｈ０３Ｃ１／６２が優先）
H03C1/10	その素子が電流制御インダクタであるもの
H03C1/12	その素子が電圧制御コンデンサであるもの
H03C1/14	その素子がダイオードであるもの
H03C1/16	少なくとも３個の電極を有する電子管によるもの（Ｈ０３Ｃ１／２８〜Ｈ０３Ｃ１／３４，Ｈ０３Ｃ１／５０，Ｈ０３Ｃ１／５２，Ｈ０３Ｃ１／６２が優先）
H03C1/18	搬送波が制御格子へ加えられるもの　｛含まれる文書は無い｝
H03C1/20	変調信号が陽極へ加えられるもの
H03C1/22	変調信号が同じ格子へ加えられるもの
H03C1/24	変調信号が別個の格子へ加えられるもの
H03C1/26	変調信号が陰極へ加えられるもの
H03C1/28	電子走行時間型電子管によるもの
H03C1/30	マグネトロンによるもの
H03C1/32	電子管内での電子ビームの偏向によるもの
H03C1/34	感光素子によるもの
H03C1/36	少なくとも３個の電極を有する半導体素子によるもの（Ｈ０３Ｃ１／３４，Ｈ０３Ｃ１／５０，Ｈ０３Ｃ１／５２，Ｈ０３Ｃ１／６２が優先）
H03C1/46	機械的または音響的に駆動される部品をそなえた変調器
H03C1/48	ホール効果素子によるもの
H03C1/50	角度変調の振幅変調への変換によるもの（Ｈ０３Ｃ１／２８〜Ｈ０３Ｃ１／３４，Ｈ０３Ｃ１／４６，Ｈ０３Ｃ１／４８が優先）
H03C1/52	搬送波または一方の側帯波が完全にまたは部分的に抑圧される変調器（Ｈ０３Ｃ１／２８〜Ｈ０３Ｃ１／３４，Ｈ０３Ｃ１／４６，Ｈ０３Ｃ１／４８が優先）
H03C1/54	平衡変調器，例．ブリッジ型，リング型，２重平衡型
H03C1/542	｛少なくとも３個の電極を有する半導体素子を包含するもの｝
H03C1/545	｛双極性トランジスタを用いるもの｝
H03C1/547	｛電界効果トランジスタを用いるもの｝
H03C1/56	可変２端子素子のみを包含するもの
H03C1/58	ダイオードを包含するもの
H03C1/60	一方の側帯波が完全にまたは部分的に抑圧されるもの
H03C1/62	出力における搬送波成分の振幅が変調信号の値に関係する変調器，例．変調信号が存在しないときに搬送波が出ないもの（Ｈ０３Ｃ１／２８〜Ｈ０３Ｃ１／３４，Ｈ０３Ｃ１／４６，Ｈ０３Ｃ１／４８が優先）
H03C3/00	角度変調（Ｈ０３Ｃ５／００，Ｈ０３Ｃ７／００が優先）
H03C3/005	｛非対称変調のための回路｝
H03C3/02	細部
H03C3/04	振幅変調分を低減するための，変調段に存在する手段または変調段と組み合わせられた手段
H03C3/06	周波数偏差を変えるための手段　｛復調のためのものＨ０３Ｄ３／００３，Ｈ０３Ｄ３／２４２｝
H03C3/08	変調を直線的にし，２種以上の変調器にあきらかに適用しうる変調器の改良，例．帰還
H03C3/09	中心周波数を調整するための変調器の変形
H03C3/0908	｛ループ内に分周器またはカウンタ付きＰＬＬを用いるもの（分周器またはカウンタ付きＰＬＬ一般Ｈ０３Ｌ７／１８）｝
H03C3/0916	｛ＰＬＬの帰還ループ内に部分周波数分割を用いるもの（部分分割器付きＰＬＬシンセサイザーＨ０３Ｌ７／１９７４）｝
H03C3/0925	
H03C3/0933	
H03C3/0941	
H03C3/095	
H03C3/0958	
H03C3/0966	
H03C3/0975	
H03C3/0983	
H03C3/0991	
H03C3/10	可変インピーダンスによるもの（Ｈ０３Ｃ３／３０〜Ｈ０３Ｃ３／３８が優先）
H03C3/12	可変リアクタンス素子によるもの
H03C3/14	少なくとも３個の電極を持つ能動素子を有する回路，例．リアクタンス管回路，によって擬似された可変リアクタンス素子によるもの
H03C3/145	｛半導体素子を用いるもの｝
H03C3/16	その能動素子が発振器の能動素子としても役立つもの
H03C3/18	その素子が電流制御インダクタであるもの
H03C3/20	その素子が電圧制御コンデンサであるもの
H03C3/22	その素子が半導体ダイオード，例．可変容量ダイオード，であるもの
H03C3/222	｛双極性トランジスタを用いるもの（Ｈ０３Ｃ３／２２７が優先）｝
H03C3/225	｛ＦＥＴトランジスタを用いるもの（Ｈ０３Ｃ３／２２７が優先）｝
H03C3/227	｛双極性トランジスタとＦＥＴトランジスタの組み合わせを用いるもの｝
H03C3/24	その素子が可変抵抗素子，例．電子管，であるもの
H03C3/245	｛半導体素子を用いるもの｝
H03C3/26	変調信号によってプッシュプルに制御される２個の素子を包含するもの
H03C3/28	機械的または音響的に駆動される可変インピーダンスを用いるもの
H03C3/30	電子走行時間型電子管によるもの
H03C3/32	電子管がマグネトロンであるもの
H03C3/34	電子管内での電子ビームの偏向によるもの
H03C3/36	感光素子によるもの
H03C3/38	振幅変調の角度変調への変換によるもの
H03C3/40	所定の位相差を有する２つの信号路を使用し，少なくとも一方の信号路の出力が振幅変調されるようにしたもの
H03C3/403	｛カスケード接続の２つの直交周波数変換段階を用いるもの｝
H03C3/406	｛混合器または復調器を含む帰還ループを用いるもの｝
H03C3/42	電気ー機械素子によるもの（Ｈ０３Ｃ３／２８が優先）
H03C5/00	同一の変調信号によって振幅変調および角度変調を同時にまたは随意に生ぜしめるもの（Ｈ０３Ｃ７／００が優先）
H03C5/02	走行時間型電子管によるもの
H03C5/04	電子管がマグネトロンであるもの
H03C5/06	電子管内での電子ビームの偏向によるもの
H03C7/00	電磁波の変調（光の変調Ｇ０２Ｆ１／００；振動を発生するためのものＨ０３Ｂ。Ｈ０３Ｋ）
H03C7/02	伝送線路，導波管，空胴共振器または空中線の放射電磁界におけるもの
H03C7/022	｛強磁性体装置，例．フェライト，を使用するもの｝
H03C7/025	｛半導体装置を使用するもの｝
H03C7/027	｛ダイオードを使用するもの｝
H03C7/04	伝送波の偏波が変調されるもの　｛Ｈ０３Ｃ７／０２２が優先｝
H03C99/00	このサブクラスの他のグループに分類されない主題事項
H03C2200/00	
H03C2200/0004	
H03C2200/0008	
H03C2200/0012	
H03C2200/0016	
H03C2200/002	
H03C2200/0025	
