H04Q1/00	選択装置または配置の細部（セレクタスイッチの細部Ｈ０１Ｈ６３／００）
H04Q1/02	構造上の細部
H04Q1/021	
H04Q1/023	
H04Q1/025	
H04Q1/026	
H04Q1/028	｛加入者線網インターフェイス装置（加入者用セットの中のラインインターフェイスＨ０４Ｍ１／００Ｌ(ＥＣＬＡ)）｝
H04Q1/03	
H04Q1/032	
H04Q1/035	
H04Q1/04	セレクタスイッチのためのフレームまたは実装架；その付属物，例．フレームカバー
H04Q1/06	交換機設備のためにとくに適合したケーブルダクトまたは実装具（一般Ｈ０２Ｇ）
H04Q1/062	
H04Q1/064	
H04Q1/066	
H04Q1/068	
H04Q1/08	リレーのためのフレームまたは実装架；そのための付属物
H04Q1/09	
H04Q1/10	交換局の組立て
H04Q1/11	
H04Q1/112	
H04Q1/114	
H04Q1/116	
H04Q1/118	
H04Q1/12	枢転可能なフレームの有無を問わない多重バーの配置
H04Q1/13	
H04Q1/131	
H04Q1/133	
H04Q1/135	
H04Q1/136	
H04Q1/138	
H04Q1/14	分配フレーム
H04Q1/141	｛ケーブルと分配フレーム間の接続細部｝
H04Q1/142	｛分配フレーム用端子ブロック｝
H04Q1/143	円形面上に接点を有するもの
H04Q1/144	｛分配フレームで使用されるプラグ｝
H04Q1/145	｛マトリクス構成で配置されたスィッチを有するもの｝
H04Q1/146	｛線路保護手段を有するもの｝
H04Q1/147	｛分配用ロボットを使用するもの｝
H04Q1/148	｛分配フレーム用識別ストリップ｝
H04Q1/149	ワイヤ布線管理装置
H04Q1/15	
H04Q1/155	
H04Q1/16	フレームにおけるセレクタスイッチまたはリレーのための布線配置
H04Q1/18	電気的な細部
H04Q1/20	試験回路または装置；障害または故障を検出表示または信号するための回路または装置
H04Q1/22	自動配置
H04Q1/24	接続装置のためのもの
H04Q1/245	｛時分割多重システムにおけるもの｝
H04Q1/26	あいてる従交換機における故障を信号するためのもの
H04Q1/28	交換機における選択設備のための電流供給回路または配置
H04Q1/30	信号装置；信号電流の操作（呼び出し信号または監視信号のための多重化方式Ｈ０４Ｊ１／１４，Ｈ０４Ｑ３／１２；電話サブステーション機器Ｈ０４Ｍ１／００）
H04Q1/32	直流パルス列を用いるもの（Ｈ０４Ｑ１／３９が優先）
H04Q1/34	機械的または他の非電気的記号配置を備えたインパルス発生器
H04Q1/36	パルス修正装置，例．混信による影響を低減させるためのもの
H04Q1/38	線路導体または線路導体の結合を通して別々の振幅または極性の直流電流の結合を用いるもの
H04Q1/39	符号化されたパルス群を用いるもの
H04Q1/40	パルスの持続時間または２個のパルスの間隔が可変であるところのもの
H04Q1/42	１周期中に１パルスの位置を含むもの
H04Q1/44	交流を用いるもの（Ｈ０４Ｑ１／５０が優先）
H04Q1/442	音声帯域外周波数信号を用いるもの
H04Q1/4423	｛単一周波数信号を使用するもの｝
H04Q1/4426	｛逐次，または同時に伝送される複数周波数信号を使用するもの｝
H04Q1/444	音声帯域周波数信号を用いるもの
H04Q1/446	単一周波数信号を用いるもの（Ｈ０４Ｑ１／４６が優先）
