H05G1/00	Ｘ線管を含むＸ線装置；そのための回路
H05G1/02	構造の細部
H05G1/025	｛Ｘ線管または発生器を冷却するための手段｝
H05G1/04	密封容器へのＸ線管の据え付け
H05G1/06	Ｘ線管と少なくとも電源装置の一部が同一容器中に据え付けられたもの
H05G1/08	電気的細部
H05G1/085	｛制御グリッドを有するＸ線管に特に適合した回路装置｝
H05G1/10	Ｘ線管電源装置　｛コンバータを備えた電源回路一般Ｈ０２Ｍ；エミッタおよび増幅器のための電源回路Ｈ０４Ｂ１／１６〜Ｈ０４Ｂ１／１６２３｝
H05G1/12	直流または整流された単相交流を用いるもの　｛または二相｝
H05G1/14	単相低周波交流を用いるもの　｛また，整流素子がＸ線管と直列の場合｝
H05G1/16	ピーク逆電圧を減衰させるもの
H05G1/18	低周波多相交流を用いるもの　｛整流されるもの｝
H05G1/20	高周波交流を用いるもの；パルス列を用いるもの　｛（パルス発生器一般Ｈ０３Ｋ３／００，Ｈ０３Ｋ４／００）｝
H05G1/22	単パルスを用いるもの
H05G1/24	エネルギ蓄積装置を使用することによってパルスを得るもの（パルス発生Ｈ０３Ｋ）　｛電流および電圧のパルス発生器Ｈ０３Ｋ３／５３｝
H05G1/26	測定，制御，防護（電気的値の測定Ｇ０１Ｒ；Ｘ線の強度の測定Ｇ０１Ｔ）
H05G1/265	｛電流，電圧，または電力の測定（これらの値の測定一般２１Ｅ２７）｝
H05G1/28	実際の露出時間の測定または記録；露出回数の計数；必要とする露出時間の測定
H05G1/30	制御
H05G1/32	Ｘ線装置またはＸ線管の供給電圧（装置の作動特性と無関係に供給を調整するものＧ０５Ｆ）　｛電圧制御一般Ｇ０５Ｆ｝
H05G1/34	Ｘ線管の陽極電流，ヒータ電流，ヒータ電圧（装置の作動特性と無関係に供給を調整するものＧ０５Ｆ）　｛電流制御一般Ｇ０５Ｆ｝
H05G1/36	陽極の温度；像の輝度　｛電力（電気的温度調整一般Ｇ０５Ｄ２３／１９）｝
H05G1/38	露出時間　｛タイムスイッチ一般Ｈ０１Ｈ４３／００およびサブグループ｝
H05G1/40	調整可能のタイムスイッチを使用するもの
H05G1/42	放射線量があらかじめ決められた量に達したとき開閉する装置を使用したもの，例．開閉する時刻が管球に供給された電気エネルギを測定することにより決定されるもの
H05G1/44	開閉する時刻が放射線量を直接測定することにより決定されるもの　｛線量測定一般Ｇ０１Ｔ１／０２｝
H05G1/46	異種の多数の量を組み合わせて制御するもの，例．電圧または電流とともに露出時間も制御するもの
H05G1/48	装置の起動の瞬間に生じる電圧降下を補償するもの（装置の作動特性と無関係に供給を調整するものＧ０５Ｆ）　｛電圧制御一般Ｇ０５Ｆ｝
H05G1/50	電圧波形の特定の部分の期間だけ管電流が流れるもの
H05G1/52	ターゲットの大きさまたは形状；電子ビームの方向，例．１つの陽極と複数個の陰極をもつ管球におけるもの
H05G1/54	防護（制御と組み合わされた過負荷防止Ｈ０５Ｇ１／４６）
H05G1/56	スイッチ閉成；スイッチ開放
H05G1/58	１つの作動形態から他の作動形態に変更するための切換装置，例．透視から撮影，透視から照射に切り換える装置
H05G1/60	連続Ｘ線写真またはＸ線映画を得るための回路装置
H05G1/62	被写体の運動の予定された瞬間にＸ線写真を得るための回路装置，例．Ｘ線ストロボスコピ
H05G1/64	イメージインテンシファイアを取り入れたＸ線装置の回路装置　｛材料，条件付きで９７ＤＰ２７；イメージインテンシファイアＨ０１Ｊ３１／００｝
H05G1/66	陽極を基準にターゲットを移動可能なＸ線管の回路装置
H05G1/68	リリエンフェルド管の回路装置；ガス入Ｘ線管の回路装置
H05G1/70	複数個の陽極をもつＸ線管回路装置；複数個のＸ線管を含む装置の回路装置
H05G2/00	Ｘ線の発生に特に適合した装置または処理で，Ｘ線管を含まないもの，例．プラズマの発生を含むもの（Ｘ線レーザＨ０１Ｓ４／００；プラズマ技術一般Ｈ０５Ｈ）
H05G2/001	プラズマから発生するＸ線放射（アノードに向かって加速される電子の生成のためのプラズマ Ｈ０１Ｊ３５／００
H05G2/002	
H05G2/0023	
H05G2/0025	
H05G2/0027	
H05G2/003	液体または気体から生成されるもの
H05G2/0035	
H05G2/005	放射発生源の主成分として金属を含むもの
H05G2/006	噴射装置の細部，例．ノズルの構造的細部
H05G2/007	
H05G2/008	エネルギー線を含むもの，例．プラズマ励起工程におけるレーザまたは電子ビーム
H05G2/0082	
H05G2/0084	
H05G2/0086	
H05G2/0088	
H05G2/009	
H05G2/0092	
H05G2/0094	
