Y02P10/00	金属の製造に関連する技術
Y02P10/10	温室効果ガス［ＧＨＧ］の排出の削減
Y02P10/122	ＣＯ２の捕集または貯蔵によるもの
Y02P10/134	ＣＯ２の回避によるもの，例．水素を用いるもの
Y02P10/143	メタン［ＣＨ４］の
Y02P10/146	パーフルオロカーボン［ＰＦＣ］；ハイドロフルオロカーボン［ＨＦＣ］；六弗化硫黄［ＳＦ６］
Y02P10/20	リサイクル
Y02P10/25	工程の効率
Y02P10/32	再生可能なエネルギー源を用いるもの
Y02P20/00	化学産業に関する技術
Y02P20/10	工程の効率
Y02P20/129	エネルギーの回収，例．熱電併給，Ｈ２の回収または圧力回収タービンによるもの
Y02P20/133	再生可能エネルギー源，例．太陽光
Y02P20/141	供給原料
Y02P20/143	供給原料が再生材料，例．プラスチック，であるもの
Y02P20/145	供給原料が生物由来の材料であるもの
Y02P20/151	温室効果ガス［ＧＨＧ］，例．ＣＯ２，の排出が低減されたもの
Y02P20/155	｛パーフルオロカーボン［ＰＦＣ］；ヒドロフルオロカーボン［ＨＦＣ］；ハイドロクロロフルオロカーボン［ＨＣＦＣ］；クロロフルオロカーボン［ＣＦＣ］｝
Y02P20/156	メタン［ＣＨ４］
Y02P20/20	塩素の生産に関する改善
Y02P20/30	アジピン酸またはカプロラクタムの生産に関する改善
Y02P20/40	フッ化塩化炭化水素，例．クロロジフルオロメタン［ＨＣＦＣ−２２］，の生産に関連する改善
Y02P20/50	大量の化学製品の生産に関する改善
Y02P20/52	触媒，例．選択的な触媒，を用いるもの
Y02P20/54	溶媒，例．超臨界溶媒またはイオン化液体，を用いるもの
Y02P20/55	合成経路の設計，例．補助的なまたは保護的なグループの使用の低減
Y02P20/582	未反応で出発したまたは中間の物質のリサイクル
Y02P20/584	触媒のリサイクル
Y02P20/59	生物学的合成；生物学的精製
Y02P30/00	石油精製および石油化学産業に関する技術
Y02P30/20	生物学的な供給材料を用いるもの
Y02P30/40	エチレンの生産
Y02P40/00	鉱物の処理に関する技術
Y02P40/10	セメントの生産，例．生産方法の改善または最適化；セメントの粉砕
Y02P40/121	エネルギー効率化手段，例．生産方法の改善または最適化
Y02P40/125	再生可能なエネルギー源，例．廃棄物またはバイオマス，に由来する燃料
Y02P40/18	炭素の捕集および貯蔵［ＣＣＳ］
Y02P40/40	石灰の製造または処理，例．パルプまたは製糖における石灰の石灰石への再生
Y02P40/45	再生可能なエネルギー源からの燃料を用いるもの
Y02P40/50	ガラスの生産，例．生産または成形中における廃熱の再利用
Y02P40/57	生産の改善，例．不良率の低減
Y02P40/60	セラミック材料またはセラミック要素の生産，例．代替可能な原料，例．灰，による粘土または頁岩の代用
Y02P60/00	農業，家畜または農産物に関する技術
Y02P60/12	再生可能なエネルギーを用いるもの，例．太陽光による水の汲み上げ
Y02P60/14	エネルギーの節約のための測定，例．温室におけるもの
Y02P60/20	農業における温室効果ガス［ＧＨＧ］の排出の低減，例．ＣＯ２
Y02P60/21	一酸化二窒素［Ｎ２Ｏ］，例．養殖と水耕栽培との組み合わせ，水耕栽培または効率化手段を用いるもの
Y02P60/22	メタン［ＣＨ４］，例．水田からの
Y02P60/30	土地の利用の方針手段
Y02P60/40	植林または再植林
Y02P60/50	家畜または家禽の管理
Y02P60/52	再生可能エネルギーの使用
Y02P60/60	漁業；水産養殖；養殖業
Y02P60/80	食品加工，例．取扱い，運搬または貯蔵における再生可能エネルギーまたは可変速駆動の使用
Y02P60/85	食品の貯蔵または保存，例．冷却または乾燥
Y02P60/87	飼料生産のための食品加工における副産物の再利用
Y02P70/00	最終的な製造または消費製品のための生産工程における気候変動を緩和するための技術
Y02P70/10	温室効果ガス［ＧＨＧ］の捕集，材料の保存，熱回収または他のエネルギー効率化手段，例．モータ制御，製造工程，例．金属の圧延または金属加工，に特徴のあるもの
Y02P70/50	最終的に製造される製品に特徴のある製造または生産工程
Y02P70/62	織物またはそれらの可撓性材料または製品，履き物を含む，の生産または取扱いのための技術に関するもの
Y02P80/00	セクター間に広がる気候変動を緩和するための技術
Y02P80/10	エネルギーの効率的な使用，例．圧縮空気または加圧流体をエネルギー担体として用いるもの
Y02P80/14	地域レベルでの解決，ずなわち地域エネルギーネットワーク
Y02P80/15	現場で組み合わされたパワー，熱または冷却の生成または分配，例．熱と電力が組み合わされたもの［ＣＨＰ］
Y02P80/20	再生可能エネルギーを用いるもの
Y02P80/30	製造工程における廃棄物の低減；廃棄された量の計算
Y02P80/40	製造工程において使用される材料の最小化
Y02P90/00	温室効果ガス［ＧＨＧ］の排出の低減に貢献することのできる技術
Y02P90/02	全体的な工場の制御，例．スマート工場，フレキシブル生産システム［ＦＭＳ］または統合生産システム［ＩＭＳ］
Y02P90/30	製造に特に適合されたコンピュータシステム
Y02P90/40	製造工程における燃料電池技術
Y02P90/45	製造工程における水素技術
Y02P90/50	さらなる気候変動緩和効果をともなう産業界におけるエネルギーの貯蔵
Y02P90/60	製造工程のための電気的またはハイブリッド推進手段
Y02P90/70	油井における注入されたＣＯ２または炭酸ガスで飽和された水による，ＣＯ２の分離および炭化水素の利用の組み合わせ
Y02P90/80	管理または計画
Y02P90/82	そのためのエネルギーの監査または管理システム
Y02P90/84	温室効果ガス［ＧＨＧ］管理システム
Y02P90/845	温室効果ガス［ＧＨＧ］のための記録および報告システム
Y02P90/90	気候変動の緩和のための金融的手段，例．環境税，補助金または融資
Y02P90/95	ＣＯ２排出の認証または排出権取引
