E		固定構造物<br>	FIXED CONSTRUCTIONS				
E01		道路，鉄道または橋りょうの建設<br>	CONSTRUCTION OF ROADS, RAILWAYS, OR BRIDGES				
E01B		軌道；軌道用の工具；あらゆる種類の鉄道建設用機械（軌道上の脱線または復帰ブロック，軌道制動またはリターダＢ６１Ｋ；軌道からの異物の除去，除草，液体の散布Ｅ０１Ｈ）<br><b><ul>サブクラス内の索引</ul></b><br>軌道の構造<br>一般的構造　２／００<br>道床，横または縦まくら木　１／００，３／００<br>一般軌道用レールまたは転てつ器　５／００〜１３／００，２６／００<br>特殊軌道用レールまたは転てつ器　２１／００〜２６／００<br>保護装置　１５／００〜１９／００<br>道床または軌道の敷設，維持，更新，または取りはずし　２７／００〜３７／００<br>	PERMANENT WAY; PERMANENT-WAY TOOLS; MACHINES FOR MAKING RAILWAYS OF ALL KINDS (derailing or rerailing blocks on track, track brakes or retarders <b>B61K</b>; removal of foreign matter from the permanent way, vegetation control, applying liquids <b>E01H</b>)<br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">STRUCTURE OF THE PERMANENT WAY</td><tr><td ><p style=""text-indent:2em;margin:0"">General structure</td><td><b>2/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Ballastway, transverse or longitudinal sleepers</td><td><b>1/00</b>, <b>3/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Rails or switches for general application</td><td><b>5/00-13/00</b>, <b>26/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Rails or switches for particular application</td><td><b>21/00-26/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Protective arrangements</td><td><b>15/00-19/00</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">MAKING, MAINTAINING, RENEWING, OR TAKING-UP THE BALLASTWAY OR THE TRACK</td><td><b>27/00-37/00</b></td></p></tr></table>				
E01C		道路，競技場あるいは類似のものの建設またはその表面の作成；建設または修復用の機械または補助工具（雪や氷を固めたり，地ならしして道路または類似表面を形成するものＥ０１Ｈ）<br><b><ul>サブクラス内の索引</ul></b><br>設計；基礎　１／００；３／００，１３／００<br>道路，運動場または類似のものの舗装<br>舗装一般　５／００，７／００<br>特殊舗装　９／００，１３／００，１５／００<br>細部　１１／００，１７／００<br>道路，運動場または類似のものの建設または修復　２１／００，１９／００，２３／００<br>	CONSTRUCTION OF, OR SURFACES FOR, ROADS, SPORTS GROUNDS, OR THE LIKE; MACHINES OR AUXILIARY TOOLS FOR CONSTRUCTION OR REPAIR (forming road or like surfaces by compacting or grading snow or ice <b>E01H</b>)<br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">DESIGN; FOUNDATIONS</td><td><b>1/00</b>; <b>3/00</b>, <b>13/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">PAVING FOR ROADS, PLAYGROUNDS, OR THE LIKE</td><tr><td ><p style=""text-indent:2em;margin:0"">Paving in general</td><td><b>5/00</b>, <b>7/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Special paving</td><td><b>9/00</b>, <b>13/00</b>, <b>15/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Details</td><td><b>11/00</b>, <b>17/00</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">CONSTRUCTION OR REPAIR OF ROADS, PLAYGROUNDS, OR THE LIKE</td><td><b>21/00</b>, <b>19/00</b>, <b>23/00</b></td></p></tr></table>				
E01D		橋（客の乗降のためにターミナルビルと航空機の間に架設する橋Ｂ６４Ｆ１／３０５）<br><b><ul>注</ul></b><br>このサブクラスにおいては，グループ１０１／００のインデキシングコードを付加することが望ましい。［６］<br><b><ul>サブクラス内の索引</ul></b><br>橋一般　１／００<br>支持スパン構造の断面に特徴のある橋　２／００<br>形式に特徴のある橋　４／００〜１５／００<br>機能に特徴のある橋　１８／００<br>細部　１９／００<br>橋の架設または組立て　２１／００<br>修理または強化　２２／００<br>橋の解体　２４／００<br>	BRIDGES (bridges extending between terminal buildings and aircraft for embarking or disembarking passengers <b>B64F 1/305</b>)<br><br><b><u>Note(s)</u></b><br><ul type=""1""><li>In this subclass, it is desirable to add the indexing codes of group <b>E01D 101/00</b>.<b>[6]</b></li></ul><br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">BRIDGES IN GENERAL</td><td><b>1/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">BRIDGES CHARACTERISED BY THE CROSS-SECTION OF THEIR BEARING SPANNING STRUCTURE</td><td><b>2/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">BRIDGES CHARACTERISED BY THEIR STRUCTURAL TYPE</td><td><b>4/00-15/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">BRIDGES CHARACTERISED BY THEIR FUNCTION</td><td><b>18/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">DETAILS</td><td><b>19/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">ERECTING OR ASSEMBLING BRIDGES</td><td><b>21/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">REPAIRING OR STRENGTHENING EXISTING BRIDGES</td><td><b>22/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">DISMANTLING BRIDGES</td><td><b>24/00</b></td></p></tr></table>				
E01F		道路の付帯設備の設置またはプラットフォーム，ヘリコプタの着陸台，標示，防雪さく，またはその類似のものの建設のような付帯作業<br><b><ul>サブクラス内の索引</ul></b><br>道路または鉄道用の装置　１／００，５／００〜８／００<br>道路使用を容易にするための装置　９／００〜１５／００<br>ヘリコプタの着陸台　３／００<br>	ADDITIONAL WORK, SUCH AS EQUIPPING ROADS OR THE CONSTRUCTION OF PLATFORMS, HELICOPTER LANDING STAGES, SIGNS, SNOW FENCES, OR THE LIKE<br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">ARRANGEMENTS FOR ROADS OR RAILWAYS</td><td><b>1/00</b>, <b>5/00-8/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">ARRANGEMENTS FOR FACILITATING THE USE OF ROADS</td><td><b>9/00-15/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">LANDING STAGES FOR HELICOPTERS</td><td><b>3/00</b></td></p></tr></table>				
E01H		街路の清掃；軌道の清掃；海岸の清掃；地面の清掃；霧の消散一般（芝生やその他の表面を，例．除雪のために，掃くあるいは清掃するための装置に転換できるモーア，あるいは芝生やその他の表面を掃く，または清掃することができるモーアＡ０１Ｄ４２／０６；清掃一般Ｂ０８Ｂ）［４］<br><b><ul>サブクラス内の索引</ul></b><br>街路の清掃　１／００，３／００，５／００，６／００，１１／００<br>雪面または氷面の整備または維持；すべり止めの増進　４／００；１０／００<br>軌道の清掃　８／００，１１／００<br>海岸の清掃　１２／００<br>他の清掃　１５／００<br>霧の消散　１３／００<br>	STREET CLEANING; CLEANING OF PERMANENT WAYS; CLEANING BEACHES; CLEANING LAND; DISPERSING FOG IN GENERAL (mowers convertible to apparatus for sweeping or cleaning lawns or other surfaces, e.g. to remove snow, or capable of sweeping or cleaning lawns or other surfaces <b>A01D 42/06</b>; cleaning in general <b>B08B</b>)<b>[4]</b><br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">STREET CLEANING</td><td><b>1/00</b>, <b>3/00</b>, <b>5/00</b>, <b>6/00</b>, <b>11/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">MAKING OR MAINTAINING SURFACES OF SNOW OR ICE; IMPROVING GRIPPING POWER</td><td><b>4/00</b>; <b>10/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">CLEANING OF PERMANENT WAYS</td><td><b>8/00</b>, <b>11/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">CLEANING BEACHES</td><td><b>12/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">OTHER CLEANING OF LAND</td><td><b>15/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">DISPERSING FOG</td><td><b>13/00</b></td></p></tr></table>				
E02		水工；基礎；土砂の移送<br>	HYDRAULIC ENGINEERING; FOUNDATIONS; SOIL-SHIFTING				
E02B		水工（船舶のリフトＥ０２Ｃ；しゅんせつＥ０２Ｆ）<br><b><ul>サブクラス内の索引</ul></b><br>方法および装置一般　１／００，３／００<br>人工の水路　５／００<br>ダムまたはせき　７／００，８／００<br>水力発電所　９／００<br>排水；かんがい；開放水面の清掃　１１／００；１３／００；１５／００<br>杭または類似の支持物上の人工島　１７／００<br>	HYDRAULIC ENGINEERING (ship-lifting <b>E02C</b>; dredging <b>E02F</b>)<br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">METHODS AND EQUIPMENT IN GENERAL</td><td><b>1/00</b>, <b>3/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">ARTIFICIAL WATER CANALS</td><td><b>5/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">BARRAGES OR WEIRS</td><td><b>7/00</b>, <b>8/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">WATER-POWER PLANTS</td><td><b>9/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">DRAINAGE; IRRIGATION; CLEANING OF SURFACE OF OPEN WATER</td><td><b>11/00</b>; <b>13/00</b>; <b>15/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">ARTIFICIAL ISLANDS MOUNTED ON PILES OR LIKE SUPPORTS</td><td><b>17/00</b></td></p></tr></table>				
E02C		船のリフト装置または機構<br>	SHIP-LIFTING DEVICES OR MECHANISMS				
E02D		基礎，根切り；築堤（特に水工に適合したものＥ０２Ｂ）；地下または水中の構造物［６］<br><b><ul>注</ul></b><br>（１）このサブクラスは基礎工事により（つまり地表面をかき乱すことにより）構築する地下構造物を包含する。［６］<br>（２）このサブクラスは地中掘削方法のみにより（つまり，地表面をかき乱すことによらないで）構築する地下空間を包含しない。それはサブクラスＥ２１Ｄに包含される。［６］<br><b><ul>サブクラス内の索引</ul></b><br>基礎地盤または基礎岩盤の調査，改良または保持　１／００，３／００<br>構造要素とこれのための技術<br>構造要素　５／００<br>設置；撤去；設置と撤去；付属物　７／００；９／００；１１／００；１３／００<br>材料の取り扱い　１５／００<br>根切り，築堤　１７／００<br>基礎現場の乾燥の維持　１９／００<br>ケーソン　２３／００，２５／００<br>基礎構造物；地下または水中の構造物，擁壁　２７／００；２９／００<br>保護，試験，直線修正，引き上げ，修復　３１／００〜３７／００<br>	FOUNDATIONS; EXCAVATIONS; EMBANKMENTS (specially adapted for hydraulic engineering <b>E02B</b>); UNDERGROUND OR UNDERWATER STRUCTURES<b>[6]</b><br><br><b><u>Note(s)</u></b><br><ul type=""1""><li>This subclass <u>covers</u> underground structures made by foundation engineering, i.e. involving disturbance of the ground surface.<b>[6]</b></li><li>This subclass <u>does not cover</u> underground spaces, made by underground mining methods only, i.e. not involving disturbance of the ground surface, which are covered by subclass <b>E21D</b>.</li></ul><br><br><b><u>Subclass indexes</u></b><br><table width="100%"><tr><td ><p style=""text-indent:1em;margin:0"">INVESTIGATING, IMPROVING OR PRESERVING FOUNDATION SOIL OR ROCK</td><td><b>1/00</b>, <b>3/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">STRUCTURAL ELEMENTS AND TECHNIQUES THEREFOR</td><tr><td ><p style=""text-indent:2em;margin:0"">Structural elements</td><td><b>5/00</b></td></p></tr><tr><td ><p style=""text-indent:2em;margin:0"">Placing; removing; placing and removing; accessories</td><td><b>7/00</b>; <b>9/00</b>; <b>11/00</b>; <b>13/00</b></td></p></tr></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">HANDLING MATERIALS</td><td><b>15/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">EXCAVATIONS, MAKING EMBANKMENTS</td><td><b>17/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">KEEPING DRY FOUNDATION SITES</td><td><b>19/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">CAISSONS</td><td><b>23/00</b>, <b>25/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">FOUNDATIONS AS SUBSTRUCTURES; UNDERGROUND OR UNDERWATER STRUCTURES, RETAINING WALLS</td><td><b>27/00</b>; <b>29/00</b></td></p></tr><tr><td ><p style=""text-indent:1em;margin:0"">PROTECTING, TESTING, STRAIGHTENING, LIFTING, REPAIRING</td><td><b>31/00-37/00</b></td></p></tr></table>				
