H03L   1/00  \	0	0	5J106	H03L   1/00	117	物理的な値，例，供給電力，の変化に対する発生器出力の安定化［２００６．０１］	Stabilisation of generator output against variations of physical values, e.g. power supply [2006.01]
H03L   1/02  \	1	1	5J106	H03L   1/02	625	温度の変化のみに対するもの［３］	against variations of temperature only [3]
H03L   1/04  \	2	2	5J106	H03L   1/04	78	温度を一定に維持するための構造上の細部［３］	Constructional details for maintaining temperature constant [3]
H03L   3/00  \	0	0	5J106	H03L   3/00	251	発生器の起動［３］	Starting of generators [3]
H03L   5/00  \	0	0	5J106	H03L   5/00	302	電圧，電流または電力の自動制御［３］	Automatic control of voltage, current, or power [3]
H03L   5/02  \	1	1	5J106	H03L   5/02	76	電力の自動制御［３］	of power [3]
H03L   7/00  \	0	0	5J106	H03L   7/00	1501	周波数または位相の自動制御；同期［２００６．０１］	Automatic control of frequency or phase; Synchronisation [2006.01]
H03L   7/00 210 \	1	1	5J106	H03L   7/00	492	複数の発振器の相互同期，現用予備	Mutual synchronisation of multiple oscillators, reserved for service
H03L   7/00 220 \	2	2	5J106	H03L   7/00	454	移相器又は遅延線を制御する手段を含むもの	including a means of controlling the phase shifter or delay line
H03L   7/00 230 \	1	1	5J106	H03L   7/00	190	入力信号が変調又は符号化されているもの（Ｈ０３Ｌ７／０８　１０７が優先）	input signal being modulated or encoded (H03L7/08 107 takes precedence)
H03L   7/02  \	1	1	5J106	H03L   7/02	501	受動周波数決定素子からなる周波数弁別器を用いるもの［３］	using a frequency discriminator comprising a passive frequency-determining element [3]
H03L   7/04  \	2	2	5J106	H03L   7/04	72	周波数決定素子が分布定数インダクタンスとキャパシタンスからなるもの［３］	wherein the frequency-determining element comprises distributed inductance and capacitance [3]
H03L   7/06  \	1	1	5J106	H03L   7/06	856	周波数または位相ロックループに加えられる基準信号を用いるもの［３］	using a reference signal applied to a frequency- or phase-locked loop [3]
H03L   7/06 210 \	2	2	5J106	H03L   7/06	758	位相ロックループ	Phase lock loop
H03L   7/06 220 \	2	2	5J106	H03L   7/06	297	数値基準を用いるもの	using a numeric reference
H03L   7/06 230 \	2	2	5J106	H03L   7/06	436	周波数比較によるもの（Ｈ０３Ｌ７／０６　２４０が優先）	using frequency comparison (H03L7/06 240 takes precedence.)
H03L   7/06 240 \	2	2	5J106	H03L   7/06	114	２つの周波数電圧変換器の出力電圧を比較するもの	comparing the output voltages of two frequency voltage converters
H03L   7/07  \	2	2	5J106	H03L   7/07	569	いくつかのループを用いるもの，例．冗長クロック信号発生のためのもの［２００６．０１］	using several loops, e.g. for redundant clock signal generation [2006.01]
H03L   7/08  \	2	2	5J106	H03L   7/08	950	位相ロックループの細部［３］	Details of the phase-locked loop [2006.01]
H03L   7/08 102 \	3	3	5J106	H03L   7/08	1494	電力消費量の軽減に適したループ（Ｈ０３Ｌ７／１４が優先）	loop adapted to reducing electric power consumption (H03L7/14 takes precedence)
H03L   7/08 105 \	3	3	5J106	H03L   7/08	414	ループ外部の使用のために追加的な制御信号を提供することに適したループ	loop adapted to providing additional control signal for use at outside of loop
H03L   7/08 107 \	3	3	5J106	H03L   7/08	2354	主に基準信号のリカバリー回路に関するもの	mainly  involving recovery circuit of standard signal
H03L   7/08 210 \	3	3	5J106	H03L   7/08	1497	ＰＬＬの入力部に関するもの	related to the PLL input unit
