A44C1/00	7	Brooches or clips in their decorative or ornamental aspect	A44C1/00	A44C1/00		1183
A44C3/00	7	Medals; Badges	A44C3/00	A44C3/00		265
A44C3/001	8	{Badges}	A44C3/00	A44C3/00		693
A44C3/002	9	{Honorific badges, e.g. ribbon holders for decoration}	A44C3/00	A44C3/00		163
A44C3/004	8	{Medals}	A44C3/00	A44C3/00		146
A44C3/005	9	{made of one piece}	A44C3/00	A44C3/00		14
A44C3/007	9	{which can be separated into parts, e.g. to be worn by two persons}	A44C3/00	A44C3/00		34
A44C3/008	9	{Suspension loops or rings}	A44C3/00	A44C3/00		159
A44C5/00	7	Bracelets; Wrist-watch straps; Fastenings for bracelets or wrist-watch straps {(settings for holding gems or the like A44C17/02; devices for putting-on or pulling-off bracelets A47G25/901)}	A44C5/00	A44C5/00		1460
A44C5/0007	8	{Bracelets specially adapted for other functions or with means for attaching other articles}	A44C5/00	A44C5/00		2547
A44C5/0015	9	{providing information, e.g. bracelets with calendars (identification bracelets G09F3/005)}	A44C5/00	A44C5/00		950
A44C5/0023	9	{for therapeutic purposes}	A44C5/00	A44C5/00		470
A44C5/003	9	{with a storage compartment}	A44C5/00	A44C5/00		576
A44C5/0038	9	{with means for attaching keys (A44C5/003 takes precedence)}	A44C5/00	A44C5/00		70
A44C5/0046	9	{with means for attaching a writing instrument or a memo pad (A44C5/0015 and A44C5/003 take precedence)}	A44C5/00	A44C5/00		113
A44C5/0053	8	{Flexible straps}	A44C5/00	A44C5/00		1080
A44C5/0061	9	{essentially made from metal (A44C5/0076 takes precedence)}	A44C5/00	A44C5/00		193
A44C5/0069	9	{extensible}	A44C5/00	A44C5/00		262
A44C5/0076	10	{essentially made from metal}	A44C5/00	A44C5/00		70
A44C5/0084	8	{Bracelets in the form of a ring, band or tube of rigid material (C-spring-type bracelets A44C5/12)}	A44C5/00	A44C5/00		311
A44C5/0092	9	{essentially made from metal}	A44C5/00	A44C5/00		443
A44C5/02	8	Link constructions	A44C5/02	A44C5/02		767
A44C5/022	9	{with links threaded on at least one filamentary core (ornamental chains made of pearls A44C11/002)}	A44C5/02	A44C5/02		134
A44C5/025	9	{with links threaded on a band}	A44C5/02	A44C5/02		140
A44C5/027	10	{the band also made of links}	A44C5/02	A44C5/02		54
A44C5/04	9	extensible {(A44C5/022 and A44C5/025 take precedence)}	A44C5/04	A44C5/04		249
A44C5/06	10	having lazy-tongs	A44C5/06	A44C5/06		136
A44C5/08	10	having separate links	A44C5/08	A44C5/08		1031
A44C5/10	9	not extensible {(A44C5/022 and A44C5/025 take precedence)}	A44C5/10	A44C5/10		205
A44C5/102	10	{with links made of one piece with integral connecting means}	A44C5/10	A44C5/10		242
A44C5/105	10	{with links made of one piece and linked together by one connecting element}	A44C5/10	A44C5/10		274
A44C5/107	10	{with links made of more than two elements including connecting elements}	A44C5/10	A44C5/10		673
A44C5/12	8	C-spring-type bracelets or wrist-watch holders	A44C5/12	A44C5/12		426
A44C5/14	8	characterised by the way of fastening to a wrist-watch or the like	A44C5/14	A44C5/14		2433
A44C5/142	9	{Cord type straps}	A44C5/14	A44C5/14		90
A44C5/145	9	{Hooks}	A44C5/14	A44C5/14		526
A44C5/147	9	{Watchcase itself used as fastener}	A44C5/14	A44C5/14		243
A44C5/16	9	by folding the strap	A44C5/16	A44C5/16		347
A44C5/18	8	Fasteners for straps, {chains or the like}(buckles A44B11/00)	A44C5/18	A44C5/18		335
A44C5/185	9	{Attachment of fasteners to straps or chains}	A44C5/18	A44C5/18		404
A44C5/20	9	for open straps {, chains or the like}	A44C5/20	A44C5/20		739
A44C5/2004	10	{Padlocks}	A44C5/20	A44C5/20		39
A44C5/2009	10	{of the ring type}	A44C5/20	A44C5/20		92
A44C5/2014	11	{of the spring ring type}	A44C5/20	A44C5/20		108
A44C5/2019	10	{Hooks}	A44C5/20	A44C5/20		190
A44C5/2023	11	{Sliding hooks}	A44C5/20	A44C5/20		38
A44C5/2028	12	{with spring closure means}	A44C5/20	A44C5/20		125
A44C5/2033	11	{Hooks provided with pivoting closure means}	A44C5/20	A44C5/20		152
A44C5/2038	12	{Swivels}	A44C5/20	A44C5/20		161
A44C5/2042	10	{Fasteners provided with a turnable clamping lever}	A44C5/20	A44C5/20		545
A44C5/2047	10	{Fasteners provided with a V-shaped spring-tongue male member}	A44C5/20	A44C5/20		296
A44C5/2052	10	{Fasteners provided with at least one push-button acting parallel to the main plane of the fastener and perpendicularly to the direction of the fastening (A44C5/2047 takes precedence)}	A44C5/20	A44C5/20		272
A44C5/2057	10	{Fasteners locked by sliding or rotating of the male element of the fastener; Turn-button fasteners}	A44C5/20	A44C5/20		230
A44C5/2061	11	{combined with spring means}	A44C5/20	A44C5/20		189
A44C5/2066	10	{Fasteners with locking means acting parallel to the main plane of the fastener and perpendicularly to the direction of the fastening}	A44C5/20	A44C5/20		102
A44C5/2071	10	{with the two ends of the strap or chain overlapping each other and fastened by an action perpendicularly to the main plane of these two ends (A44C5/2009&#160;-&#160;A44C5/2057 take precedence)}	A44C5/20	A44C5/20		598
A44C5/2076	10	{with the two ends of the strap or chain abutting each other or sliding in the main plane or a plane parallel to the main plane of these two ends (A44C5/2009&#160;-&#160;A44C5/2061 take precedence)}	A44C5/20	A44C5/20		417
A44C5/208	11	{being screwed to each other}	A44C5/20	A44C5/20		54
A44C5/2085	10	{with the two ends sliding transversally to the main plane of the strap or chain}	A44C5/20	A44C5/20		92
A44C5/209	10	{Fasteners specially adapted for necklaces or bracelets made of pearls}	A44C5/20	A44C5/20		102
A44C5/2095	11	{provided with retaining means for several strings of pearls}	A44C5/20	A44C5/20		94
A44C5/22	9	for closed straps	A44C5/22	A44C5/22		481
A44C5/24	10	with folding devices	A44C5/24	A44C5/24		710
A44C5/243	11	{Automatic folding spring closure}	A44C5/24	A44C5/24		35
A44C5/246	11	{having size adjusting means}	A44C5/24	A44C5/24		399
A44C7/00	7	Ear-rings; Devices for piercing the ear-lobes	A44C7/00	A44C7/00		1251
A44C7/001	8	{Devices for piercing the ear-lobes}	A44C7/00	A44C7/00		224
A44C7/002	8	{Ear-rings with interchangeable ornaments}	A44C7/00	A44C7/00		304
A44C7/003	8	{Ear-studs or their catch devices}	A44C7/00	A44C7/00		616
A44C7/004	8	{Ear-clips}	A44C7/00	A44C7/00		125
A44C7/005	9	{made of one piece}	A44C7/00	A44C7/00		50
A44C7/006	9	{with a pivotable back clamping arm}	A44C7/00	A44C7/00		303
A44C7/007	9	{with an ear gripping member mounted, e.g. pivotably, at the upper end of a back arm}	A44C7/00	A44C7/00		56
A44C7/008	10	{movable axially}	A44C7/00	A44C7/00		79
A44C7/009	8	{Earrings covering the upper portion of the ear}	A44C7/00	A44C7/00		85
A44C9/00	7	Finger-rings {(settings for holding gems or the like A44C17/02)}	A44C9/00	A44C9/00		1452
A44C9/0007	8	{made of several rings}	A44C9/00	A44C9/00		62
A44C9/0015	9	{connected or interlinked to each other}	A44C9/00	A44C9/00		164
A44C9/0023	10	{in a separable way}	A44C9/00	A44C9/00		224
A44C9/003	10	{in a rotatable way}	A44C9/00	A44C9/00		222
A44C9/0038	8	{openable or able to be broken for safety reasons}	A44C9/00	A44C9/00		103
A44C9/0046	9	{comprising a hinge}	A44C9/00	A44C9/00		123
A44C9/0053	8	{having special functions}	A44C9/00	A44C9/00		728
A44C9/0061	9	{Holding articles}	A44C9/00	A44C9/00		124
A44C9/0069	9	{Storing articles, e.g. pills}	A44C9/00	A44C9/00		108
A44C9/0076	8	{worn on several fingers or between fingers}	A44C9/00	A44C9/00		44
A44C9/0084	8	{Accessories}	A44C9/00	A44C9/00		181
A44C9/0092	9	{Ring protectors}	A44C9/00	A44C9/00		34
A44C9/02	8	adjustable	A44C9/02	A44C9/02		680
A44C11/00	7	Watch chains; Ornamental chains {(fastening devices for watch or ornamental chains A44C5/18)}	A44C11/00	A44C11/00		1649
A44C11/002	8	{Ornamental chains composed of pearls (rosaries A44C23/00; making such chains D04D9/00)}	A44C11/00	A44C11/00		469
A44C11/005	8	{with friction boxes adjustments}	A44C11/00	A44C11/00		122
A44C11/007	8	{Tennis type}	A44C11/00	A44C11/00		171
A44C13/00	7	Connectible jewellery	A44C13/00	A44C13/00		534
A44C15/00	7	Other forms of jewellery	A44C15/00	A44C15/00		602
A44C15/0005	8	{Jewelry adherable on the human body}	A44C15/00	A44C15/00		122
A44C15/001	8	{Jewels transformable into other jewels, e.g. finger rings transformable into ear-rings}	A44C15/00	A44C15/00		241
A44C15/0015	8	{Illuminated or sound-producing jewellery}	A44C15/00	A44C15/00		983
A44C15/002	8	{Jewellery dispersing perfume or the like}	A44C15/00	A44C15/00		557
A44C15/0025	8	{Reversible or double face jewellery}	A44C15/00	A44C15/00		144
A44C15/003	8	{Jewellery holding or retaining articles, e.g. eyeglasses}	A44C15/00	A44C15/00		228
A44C15/0035	8	{Piercing type jewellery (earrings A44C7/00)}	A44C15/00	A44C15/00		191
A44C15/004	8	{Jewellery with monograms or other inscription}	A44C15/00	A44C15/00		303
A44C15/0045	8	{Jewellery specially adapted to be worn on a specific part of the body not fully provided for in groups A44C1/00&#160;-&#160;A44C9/00(A44C15/0035 takes precedence)}	A44C15/00	A44C15/00		116
A44C15/005	9	{Necklaces (ornamental chains A44C11/00)}	A44C15/00	A44C15/00		1033
A44C15/0055	10	{combined with other jewels, e.g. earrings}	A44C15/00	A44C15/00		88
A44C15/006	9	{on the head, e.g. diadem (hair holding devices A45D8/00)}	A44C15/00	A44C15/00		90
A44C15/0065	9	{on the nose or nostrils}	A44C15/00	A44C15/00		18
A44C15/007	9	{on the teeth, e.g. settings or decorations}	A44C15/00	A44C15/00		93
A44C15/0075	9	{on the hand or nails}	A44C15/00	A44C15/00		34
A44C15/008	10	{on the nails}	A44C15/00	A44C15/00		107
A44C15/0085	9	{on the leg, foot or toes}	A44C15/00	A44C15/00		43
A44C15/009	10	{on the foot or toes}	A44C15/00	A44C15/00		57
A44C15/0095	9	{on the nipples}	A44C15/00	A44C15/00		22
A44C17/00	7	Gems or the like	A44C17/00	A44C17/00		523
A44C17/001	8	{Faceting gems}	A44C17/00	A44C17/00		446
