A46B1/00	7	Brush bodies and bristles moulded as a unit	A46B1/00	A46B1/00		424
A46B3/00	7	Brushes characterised by the way in which the bristles are fixed or joined in or on the brush body or carrier (machines or appliances therefor A46D)	A46B3/00	A46B3/00		601
A46B3/005	8	{Bristle carriers and bristles moulded as a unit (A46B1/00 takes precedence)}	A46B3/00	A46B3/00		488
A46B3/02	8	by pitch, resin, cement, or other adhesives	A46B3/02	A46B3/02		259
A46B3/04	8	by mouldable materials, e.g. metals, cellulose derivatives, plastics (A46B1/00 takes precedence)	A46B3/04	A46B3/04		389
A46B3/06	8	by welding together bristles made of metal wires or plastic materials	A46B3/06	A46B3/06		354
A46B3/08	8	by clamping	A46B3/08	A46B3/08		922
A46B3/10	9	into rings or the like	A46B3/10	A46B3/10		358
A46B3/12	10	specially adapted for paint-brushes	A46B3/12	A46B3/12		661
A46B3/14	10	specially adapted for street-cleaning or rail-cleaning brooms	A46B3/14	A46B3/14		234
A46B3/16	8	by wires or other anchoring means, specially for U-shaped bristle tufts	A46B3/16	A46B3/16		689
A46B3/18	8	the bristles being fixed on or between belts or wires	A46B3/18	A46B3/18		1007
A46B3/20	8	the bristles being fixed or joined in rubber bodies, e.g. in soft rubber	A46B3/20	A46B3/20		270
A46B3/22	8	rubber bristles being fixed in or on brush bodies	A46B3/22	A46B3/22		154
A46B5/00	7	Brush bodies; Handles integral with brushware	A46B5/00	A46B5/00		2065
A46B5/0004	8	{Additional brush head}	A46B5/00	A46B5/00		83
A46B5/0008	9	{Brushes with two or more heads on the same end of a handle not intended for simultaneous use}	A46B5/00	A46B5/00		268
A46B5/0012	9	{Brushes with two or more heads on the same end of a handle for simultaneous use, e.g. cooperating with each-other}	A46B5/00	A46B5/00		744
A46B5/0016	9	{Brushes with heads on opposite sides or ends of a handle not intended for simultaneous use}	A46B5/00	A46B5/00		355
A46B5/002	8	{having articulations, joints or flexible portions}	A46B5/00	A46B5/00		432
A46B5/0025	9	{Brushes with elastically deformable heads that change shape during use}	A46B5/00	A46B5/00		379
A46B5/0029	10	{Head made of soft plastics, rubber or rubber inserts in plastics matrix}	A46B5/00	A46B5/00		224
A46B5/0033	9	{bending or stretching or collapsing (A46B7/023 takes precedence)}	A46B5/00	A46B5/00		502
A46B5/0037	10	{Flexible resilience by plastic deformation of the material}	A46B5/00	A46B5/00		164
A46B5/0041	10	{Mechanical joint or hinge, made up of several components}	A46B5/00	A46B5/00		427
A46B5/0045	10	{Brushes articulated with more than one hinge}	A46B5/00	A46B5/00		139
A46B5/005	10	{Brushes with a telescopic or similarly moveable portion}	A46B5/00	A46B5/00		462
A46B5/0054	9	{designed to allow relative positioning of the head to body}	A46B5/00	A46B5/00		225
A46B5/0058	10	{Mechanical joint or hinge made up of several components}	A46B5/00	A46B5/00		246
A46B5/0062	10	{being flexible or resilient during use}	A46B5/00	A46B5/00		330
A46B5/0066	11	{Flexible resilience by elastic deformation of the material}	A46B5/00	A46B5/00		174
A46B5/007	11	{Inserts made of different material, e.g. springs, plates}	A46B5/00	A46B5/00		207
A46B5/0075	10	{being adjustable and stable during use}	A46B5/00	A46B5/00		621
A46B5/0079	11	{Adjustable and stable shaft or handle, e.g. generally in one piece}	A46B5/00	A46B5/00		170
A46B5/0083	11	{Mechanical joint allowing adjustment in at least one plane}	A46B5/00	A46B5/00		355
A46B5/0087	11	{Mechanical joint featuring a ball and socket}	A46B5/00	A46B5/00		95
A46B5/0091	10	{promoting relative motion during use (bristle carriers moving during use A46B7/06; driven brush bodies A46B13/00)}	A46B5/00	A46B5/00		110
A46B5/0095	8	{Removable or interchangeable brush heads}	A46B5/00	A46B5/00		2912
A46B5/02	8	specially shaped for holding by the hand	A46B5/02	A46B5/02		1533
A46B5/021	9	{Grips or handles specially adapted to conform to the hand}	A46B5/02	A46B5/02		442
A46B5/023	9	{Grips or handles specially adapted for children}	A46B5/02	A46B5/02		109
A46B5/025	9	{Grips or handles specially adapted for handicapped persons}	A46B5/02	A46B5/02		64
A46B5/026	9	{Grips or handles having a nonslip section}	A46B5/02	A46B5/02		525
A46B5/028	9	{Handles featuring an adjustable thumbrest}	A46B5/02	A46B5/02		25
A46B5/04	8	shaped as gloves or finger-stalls {or other special holding ways, e.g. by the tongue}	A46B5/04	A46B5/04		1103
A46B5/06	8	in the form of tapes, chains, flexible shafts, springs, {mats} or the like	A46B5/06	A46B5/06		331
A46B7/00	7	Bristle carriers arranged in the brush body	A46B7/00	A46B7/00		443
A46B7/02	8	in an expanding or articulating manner	A46B7/02	A46B7/02		486
A46B7/023	9	{where the bristle carrier retracts or collapses, i.e. for storage}	A46B7/02	A46B7/02		539
A46B7/026	10	{where the bristle carrier collapses}	A46B7/02	A46B7/02		208
A46B7/04	8	interchangeably {removable bristle carriers}	A46B7/04	A46B7/04		2613
A46B7/042	9	{Clip or snap connection for bristle carriers}	A46B7/04	A46B7/04		439
A46B7/044	9	{Sliding connections for bristle carriers}	A46B7/04	A46B7/04		249
A46B7/046	9	{Threaded or screw connections for bristle carriers}	A46B7/04	A46B7/04		194
A46B7/048	10	{Lock screw to secure carriers}	A46B7/04	A46B7/04		38
A46B7/06	8	movably during use {, i.e. the normal brushing action causing movement (driven brush bodies A46B13/00)}	A46B7/06	A46B7/06		727
A46B7/08	9	as a rotating disc	A46B7/08	A46B7/08		349
A46B7/10	9	as a rotating cylinder	A46B7/10	A46B7/10		588
A46B9/00	7	Arrangements of the bristles in the brush body	A46B9/00	A46B9/00		195
A46B9/005	8	{where the brushing material is not made of bristles, e.g. sponge, rubber or paper}	A46B9/00	A46B9/00		1238
A46B9/02	8	Position or arrangement of bristles in relation to surface of the brush body, e.g. inclined, in rows, in groups	A46B9/02	A46B9/02		1571
A46B9/021	9	{arranged like in cosmetics brushes, e.g. mascara, nail polish, eye shadow}	A46B9/02	A46B9/02		1737
