A47F1/00	7	Racks for dispensing merchandise (racks in general A47B; storing means for workshops B25H); Containers for dispensing merchandise (show or display aspects A47F3/00; for workshop fittings B25H3/00; containers in general B65D{; for liquids B67D}; coin-freed dispensers G07F)	A47F1/00	A47F1/00		159
A47F1/02	8	for granulated or powdered materials {, i.e. bulk materials}	A47F1/02	A47F1/02		111
A47F1/03	9	Dispensing means {, e.g. with buttons or handles}	A47F1/03	A47F1/03		439
A47F1/035	10	having measuring devices	A47F1/035	A47F1/035		331
A47F1/04	8	{Racks or} containers with arrangements for dispensing articles {, e.g. by means of gravity or springs}	A47F1/04	A47F1/04		687
A47F1/06	9	dispensing from top {(for spring-urged trays or plates B65G1/07)}	A47F1/06	A47F1/06		362
A47F1/065	10	{for nested articles, e.g. cups, cones}	A47F1/06	A47F1/06		95
A47F1/08	9	dispensing from bottom	A47F1/08	A47F1/08		940
A47F1/082	10	{the container being made of tubes or wire (A47F1/085, A47F1/087, take precedence)}	A47F1/08	A47F1/08		43
A47F1/085	10	{for nested articles, e.g. cups, cones (A47F1/106 takes precedence)}	A47F1/08	A47F1/08		416
A47F1/087	10	{the container having approximately horizontal tracks of the serpentine type}	A47F1/08	A47F1/08		169
A47F1/10	10	having mechanical dispensing means {, e.g. with buttons or handles}	A47F1/10	A47F1/10		801
A47F2001/103	11	{for cutlery}	A47F1/10	A47F1/10		99
A47F1/106	11	{for nested articles, e.g. cups, cones}	A47F1/10	A47F1/10		113
A47F1/12	9	dispensing from the side of an approximately horizontal stack {(A47F1/087 takes precedence)}	A47F1/12	A47F1/12		911
A47F1/121	10	{made of tubes or wire (elongated hooks A47F5/0807)}	A47F1/12	A47F1/12		103
A47F1/123	10	{for nested articles, e.g. cups, cones}	A47F1/12	A47F1/12		38
A47F1/125	10	{with an article-pushing device}	A47F1/12	A47F1/12		427
A47F1/126	11	{the pushing device being urged by spring means}	A47F1/12	A47F1/12		903
A47F1/128	11	{for article hangers or brackets}	A47F1/12	A47F1/12		107
A47F3/00	7	Show cases or show cabinets	A47F3/00	A47F3/00		1577
A47F3/001	8	{Devices for lighting, humidifying, heating, ventilation}	A47F3/00	A47F3/00		2410
A47F3/002	8	{Devices for protection against sunlight or theft}	A47F3/00	A47F3/00		723
A47F3/004	8	{adjustable, foldable or easily dismountable}	A47F3/00	A47F3/00		1023
A47F3/005	8	{with glass panels}	A47F3/00	A47F3/00		1468
A47F3/007	9	{Cases or cabinets of the counter type}	A47F3/00	A47F3/00		473
A47F2003/008	10	{with pivoting front glass panel}	A47F3/00	A47F3/00		168
