A61N1/00	7	Electrotherapy; Circuits therefor (A61N2/00 takes precedence; irradiation apparatus A61N5/00)	A61N1/00	A61N1/00		859
A61N1/02	8	Details	A61N1/02	A61N1/02		688
A61N1/025	9	{Digital circuitry features of electrotherapy devices, e.g. memory, clocks, processors}	A61N1/02	A61N1/02		1179
A61N1/04	9	Electrodes {(electrosurgical electrodes A61B18/14)}	A61N1/04	A61N1/04		1054
A61N1/0404	10	{for external use (A61N1/06 takes precedence)}	A61N1/04	A61N1/04		485
A61N1/0408	11	{Use-related aspects}	A61N1/04	A61N1/04		732
A61N1/0412	12	{Specially adapted for transcutaneous electroporation, e.g. including drug reservoirs}	A61N1/04	A61N1/04		347
A61N1/0416	13	{Anode and cathode}	A61N1/04	A61N1/04		50
A61N1/042	14	{Material of the electrode}	A61N1/04	A61N1/04		72
A61N1/0424	14	{Shape of the electrode}	A61N1/04	A61N1/04		168
A61N1/0428	12	{Specially adapted for iontophoresis, e.g. AC, DC or including drug reservoirs}	A61N1/04	A61N1/04		918
A61N1/0432	13	{Anode and cathode}	A61N1/04	A61N1/04		139
A61N1/0436	14	{Material of the electrode}	A61N1/04	A61N1/04		409
A61N1/044	14	{Shape of the electrode}	A61N1/04	A61N1/04		599
A61N1/0444	13	{Membrane}	A61N1/04	A61N1/04		225
A61N1/0448	13	{Drug reservoir}	A61N1/04	A61N1/04		635
A61N1/0452	12	{Specially adapted for transcutaneous muscle stimulation [TMS]}	A61N1/04	A61N1/04		2173
A61N1/0456	12	{Specially adapted for transcutaneous electrical nerve stimulation [TENS]}	A61N1/04	A61N1/04		3150
A61N1/046	12	{Specially adapted for shock therapy, e.g. defibrillation}	A61N1/04	A61N1/04		830
A61N1/0464	12	{Specially adapted for promoting tissue growth}	A61N1/04	A61N1/04		189
A61N1/0468	12	{Specially adapted for promoting wound healing}	A61N1/04	A61N1/04		482
A61N1/0472	11	{Structure-related aspects}	A61N1/04	A61N1/04		1714
A61N1/0476	12	{Array electrodes (including any electrode arrangement with more than one electrode for at least one of the polarities)}	A61N1/04	A61N1/04		1871
A61N1/048	12	{Electrodes characterised by a specific connection between lead and electrode}	A61N1/04	A61N1/04		577
A61N1/0484	12	{Garment electrodes worn by the patient}	A61N1/04	A61N1/04		2372
A61N1/0488	12	{Details about the lead}	A61N1/04	A61N1/04		183
A61N1/0492	12	{Patch electrodes (A61N1/0412, A61N1/0428 take precedence)}	A61N1/04	A61N1/04		3076
A61N1/0496	13	{characterised by using specific chemical compositions, e.g. hydrogel compositions, adhesives}	A61N1/04	A61N1/04		823
A61N1/05	10	for implantation or insertion into the body, e.g. heart electrode (A61N1/06 takes precedence)	A61N1/05	A61N1/05		3314
A61N1/0502	11	{Skin piercing electrodes}	A61N1/05	A61N1/05		765
A61N1/0504	11	{Subcutaneous electrodes}	A61N1/05	A61N1/05		452
A61N1/0507	11	{Electrodes for the digestive system}	A61N1/05	A61N1/05		79
A61N1/0509	12	{Stomach and intestinal electrodes}	A61N1/05	A61N1/05		185
A61N1/0512	12	{Anal electrodes}	A61N1/05	A61N1/05		211
A61N1/0514	12	{Electrodes for the urinary tract}	A61N1/05	A61N1/05		127
A61N1/0517	11	{Esophageal electrodes}	A61N1/05	A61N1/05		197
A61N1/0519	11	{Endotracheal electrodes}	A61N1/05	A61N1/05		92
A61N1/0521	11	{Genital electrodes}	A61N1/05	A61N1/05		105
A61N1/0524	12	{Vaginal electrodes}	A61N1/05	A61N1/05		363
A61N1/0526	11	{Head electrodes (A61N1/0551 takes precedence)}	A61N1/05	A61N1/05		429
A61N1/0529	12	{Electrodes for brain stimulation}	A61N1/05	A61N1/05		1105
A61N1/0531	13	{Brain cortex electrodes}	A61N1/05	A61N1/05		650
A61N1/0534	13	{Electrodes for deep brain stimulation}	A61N1/05	A61N1/05		1782
A61N1/0536	13	{Preventing neurodegenerative response or inflammatory reaction}	A61N1/05	A61N1/05		103
A61N1/0539	13	{Anchoring of brain electrode systems, e.g. within burr hole}	A61N1/05	A61N1/05		434
A61N1/0541	12	{Cochlear electrodes}	A61N1/05	A61N1/05		1444
A61N1/0543	12	{Retinal electrodes}	A61N1/05	A61N1/05		579
A61N1/0546	12	{Nasal electrodes}	A61N1/05	A61N1/05		111
A61N1/0548	12	{Oral electrodes}	A61N1/05	A61N1/05		448
A61N1/0551	11	{Spinal or peripheral nerve electrodes}	A61N1/05	A61N1/05		3227
A61N1/0553	12	{Paddle shaped electrodes, e.g. for laminotomy}	A61N1/05	A61N1/05		650
A61N1/0556	12	{Cuff electrodes}	A61N1/05	A61N1/05		757
A61N1/0558	12	{Anchoring or fixation means therefor}	A61N1/05	A61N1/05		929
A61N1/056	11	{Transvascular endocardial electrode systems}	A61N1/05	A61N1/05		2546
A61N1/0563	12	{specially adapted for defibrillation or cardioversion}	A61N1/05	A61N1/05		603
A61N1/0565	12	{Electrode heads}	A61N1/05	A61N1/05		362
A61N1/0568	13	{with drug delivery}	A61N1/05	A61N1/05		211
A61N1/057	12	{Anchoring means; Means for fixing the head inside the heart}	A61N1/05	A61N1/05		780
A61N1/0573	13	{chacterised by means penetrating the heart tissue, e.g. helix needle or hook}	A61N1/05	A61N1/05		770
A61N1/0575	14	{with drug delivery}	A61N1/05	A61N1/05		106
A61N2001/0578	13	{having means for removal or extraction}	A61N1/05	A61N1/05		440
A61N2001/058	13	{Fixing tools}	A61N1/05	A61N1/05		250
A61N2001/0582	13	{Suture sleeves}	A61N1/05	A61N1/05		123
A61N2001/0585	12	{Coronary sinus electrodes}	A61N1/05	A61N1/05		488
A61N1/0587	11	{Epicardial electrode systems; Endocardial electrodes piercing the pericardium}	A61N1/05	A61N1/05		797
A61N1/059	12	{Anchoring means}	A61N1/05	A61N1/05		272
A61N1/0592	12	{Introducing the lead through the pericardium with a needle}	A61N1/05	A61N1/05		54
A61N1/0595	12	{Temporary leads}	A61N1/05	A61N1/05		66
A61N1/0597	12	{Surface area electrodes, e.g. cardiac harness}	A61N1/05	A61N1/05		65
A61N1/06	10	for high-frequency therapy	A61N1/06	A61N1/06		1974
