B23F1/00	7	Making gear teeth by tools of which the profile matches the profile of the required surface (special adaptations for making curved teeth B23F9/00)	B23F1/00	B23F1/00		60
B23F1/02	8	by grinding	B23F1/02	B23F1/02		302
B23F1/023	9	{the tool being a grinding worm}	B23F1/02	B23F1/02		57
B23F1/026	9	{with plural tools}	B23F1/02	B23F1/02		39
B23F1/04	8	by planing or slotting	B23F1/04	B23F1/04		266
B23F1/06	8	by milling	B23F1/06	B23F1/06		443
B23F1/065	9	{with plural tools}	B23F1/06	B23F1/06		16
B23F1/08	8	by broaching; by broach-milling	B23F1/08	B23F1/08		87
B23F1/083	9	{by broach-milling}	B23F1/08	B23F1/08		16
B23F1/086	9	{Pot broaching}	B23F1/08	B23F1/08		58
B23F3/00	7	Making gear teeth involving copying operations controlled by templates having a profile which matches that of the required tooth face or part thereof or a copy thereof to a different scale (copying systems or devices per seB23Q35/00)	B23F3/00	B23F3/00		74
B23F5/00	7	Making straight gear teeth involving moving a tool relatively to a workpiece with a rolling-off or an enveloping motion with respect to the gear teeth to be made	B23F5/00	B23F5/00		139
B23F5/02	8	by grinding	B23F5/02	B23F5/02		517
B23F5/04	9	the tool being a grinding worm	B23F5/04	B23F5/04		284
B23F5/06	9	the tool being a grinding disc with a plane front surface	B23F5/06	B23F5/06		194
B23F5/065	10	{and the grinding disc axis varying angularly with respect to the workpiece axis}	B23F5/06	B23F5/06		24
B23F5/08	9	the tool being a grinding disc having the same profile as the tooth or teeth of a rack	B23F5/08	B23F5/08		125
B23F5/085	10	{and the grinding disc axis varying angularly with respect to the workpiece axis}	B23F5/08	B23F5/08		17
B23F5/10	9	the tool being a grinding disc having the same profile as the tooth or teeth of a crown or bevel wheel	B23F5/10	B23F5/10		18
B23F5/12	8	by planing or slotting	B23F5/12	B23F5/12		400
B23F5/125	9	{with two single-tooth tools mounted on reciprocating slides}	B23F5/12	B23F5/12		3
B23F5/14	9	the tool having the same profile as a tooth or teeth of a rack	B23F5/14	B23F5/14		192
B23F5/16	9	the tool having a shape similar to that of a spur wheel or part thereof	B23F5/16	B23F5/16		242
B23F5/163	10	{the tool and workpiece being in crossed axis arrangement, e.g. skiving, i.e. "Waelzschaelen"}	B23F5/16	B23F5/16		227
B23F5/166	10	{with plural tools}	B23F5/16	B23F5/16		81
B23F5/18	9	the tool having the same profile as a tooth of a crown wheel	B23F5/18	B23F5/18		3
B23F5/20	8	by milling	B23F5/20	B23F5/20		591
B23F5/202	9	{the tool having a shape similar to that of a gear or part thereof, with cutting edges situated on the tooth contour lines (tools therefor B23F21/122)}	B23F5/20	B23F5/20		90
B23F5/205	9	{with plural tools}	B23F5/20	B23F5/20		79
B23F5/207	10	{the tools being interlocked}	B23F5/20	B23F5/20		43
B23F5/22	9	the tool being a hob for making spur gears	B23F5/22	B23F5/22		552
B23F5/24	9	the tool being a hob for making bevel gears	B23F5/24	B23F5/24		57
B23F5/26	9	the tool having the same profile as a tooth or teeth of a rack, for making spur gears	B23F5/26	B23F5/26		13
B23F5/27	9	the tool having the same profile as a tooth or teeth of a crown or bevel wheel	B23F5/27	B23F5/27		4
B23F5/28	8	by broaching; by broach-milling	B23F5/28	B23F5/28		28
B23F5/285	9	{broaching with working tools mounted on an endless chain or belt}	B23F5/28	B23F5/28		19
B23F7/00	7	Making herringbone gear teeth	B23F7/00	B23F7/00		141
B23F9/00	7	Making gears having teeth curved in their longitudinal direction	B23F9/00	B23F9/00		72
B23F9/003	8	{by broaching}	B23F9/00	B23F9/00		4
B23F9/006	9	{broaching with working tools mounted on an endless chain or belt}	B23F9/00	B23F9/00		5
B23F9/02	8	by grinding	B23F9/02	B23F9/02		102
B23F9/025	9	{with a face-mill-type, i.e. cup-shaped, grinding wheel}	B23F9/02	B23F9/02		125
B23F9/04	8	by planing or slotting with reciprocating cutting tools	B23F9/04	B23F9/04		19
B23F9/06	9	having a shape similar to a spur-wheel or part thereof	B23F9/06	B23F9/06		14
B23F9/07	9	having a shape similar to a crown wheel or a part thereof	B23F9/07	B23F9/07		1
B23F9/08	8	by milling, e.g. with helicoidal hob	B23F9/08	B23F9/08		99
B23F9/082	9	{with a hob}	B23F9/08	B23F9/08		49
B23F9/084	10	{the hob being tapered}	B23F9/08	B23F9/08		77
B23F9/086	9	{with two or more tools}	B23F9/08	B23F9/08		15
B23F9/088	10	{the tools being interlocked}	B23F9/08	B23F9/08		5
B23F9/10	9	with a face-mill	B23F9/10	B23F9/10		305
B23F9/105	10	{with continuous indexing, i.e. with continuous work rotation}	B23F9/10	B23F9/10		144
B23F9/12	10	for non-continuous generating processes	B23F9/12	B23F9/12		7
B23F9/14	10	for continuous generating processes	B23F9/14	B23F9/14		7
B23F11/00	7	Making worm wheels, e.g. by hobbing	B23F11/00	B23F11/00		253
B23F13/00	7	Making worms by methods essentially requiring the use of machines of the gear-cutting type (making screw-thread B23G)	B23F13/00	B23F13/00		105
B23F13/003	8	{making worms of conical or barrel shape}	B23F13/00	B23F13/00		4
B23F13/006	9	{by grinding}	B23F13/00	B23F13/00		12
B23F13/02	8	Making worms of cylindrical shape	B23F13/02	B23F13/02		65
B23F13/04	9	by grinding	B23F13/04	B23F13/04		76
B23F13/06	8	Making worms of globoidal shape	B23F13/06	B23F13/06		89
B23F13/08	9	by grinding	B23F13/08	B23F13/08		37
B23F15/00	7	Methods or machines for making gear wheels of special kinds not covered by groups B23F7/00&#160;-&#160;B23F13/00	B23F15/00	B23F15/00		237
B23F15/005	8	{Making sprocket teeth}	B23F15/00	B23F15/00		12
B23F15/02	8	Making gear teeth on wheels of varying radius of operation, e.g. on elliptical wheels	B23F15/02	B23F15/02		53
B23F15/04	8	Making fine-pitch gear teeth on clock wheels or the like by special machining	B23F15/04	B23F15/04		13
B23F15/06	8	Making gear teeth on the front surface of wheels, e.g. for clutches or couplings with toothed faces	B23F15/06	B23F15/06		211
B23F15/08	8	Making intermeshing rotors, e.g. of pumps	B23F15/08	B23F15/08		121
B23F17/00	7	Special methods or machines for making gear teeth, not covered by the preceding groups	B23F17/00	B23F17/00		412
B23F17/001	8	{for making gear pairs}	B23F17/00	B23F17/00		83
B23F17/003	8	{for dry cutting}	B23F17/00	B23F17/00		63
B23F17/005	8	{for machining tooth fillet or tooth root}	B23F17/00	B23F17/00		49
B23F17/006	8	{using different machines or machining operations}	B23F17/00	B23F17/00		194
B23F17/008	9	{Features relating to transfer of work gears between different work stations}	B23F17/00	B23F17/00		30
