B25J1/00	7	Manipulators positioned in space by hand (of leader-follower type B25J3/00; micromanipulators B25J7/00)	B25J1/00	B25J1/00		386
B25J1/02	8	articulated or flexible	B25J1/02	B25J1/02		247
B25J1/04	8	rigid, e.g. shelf-reachers {(without grippers A47F13/06)}	B25J1/04	B25J1/04		827
B25J1/06	8	of the lazy-tongs type	B25J1/06	B25J1/06		53
B25J1/08	8	movably mounted in a wall	B25J1/08	B25J1/08		83
B25J1/10	9	Sleeve and pivot mountings therefor	B25J1/10	B25J1/10		34
B25J1/12	8	having means for attachment to a support stand	B25J1/12	B25J1/12		64
B25J3/00	7	Manipulators of leader-follower type, i.e. both controlling unit and controlled unit perform corresponding spatial movements	B25J3/00	B25J3/00		718
B25J3/02	8	involving a parallelogram coupling of the leader and follower units (pantographic instruments B43L13/00)	B25J3/02	B25J3/02		57
B25J3/04	8	involving servo mechanisms (servo-actuated heads B25J15/02)	B25J3/04	B25J3/04		519
B25J5/00	7	Manipulators mounted on wheels or on carriages (B25J1/00 takes precedence; programme-controlled manipulators B25J9/00{; vehicle aspects B60, B62, e.g. remote-controlled steering for motor vehicles B62D1/24; control of position of vehicles G05D1/00})	B25J5/00	B25J5/00		3237
B25J5/002	8	{mounted on an air cushion}	B25J5/00	B25J5/00		18
B25J5/005	8	{mounted on endless tracks or belts}	B25J5/00	B25J5/00		1781
B25J5/007	8	{mounted on wheels}	B25J5/00	B25J5/00		9255
B25J5/02	8	travelling along a guideway	B25J5/02	B25J5/02		3658
B25J5/04	9	wherein the guideway is also moved, e.g. travelling crane bridge type	B25J5/04	B25J5/04		501
B25J5/06	8	Manipulators combined with a control cab for the operator	B25J5/06	B25J5/06		89
B25J7/00	7	Micromanipulators {(specimen supports for investigating or analysing materials G01N23/2204; associated with microscopes G02B21/32; means for supporting or positioning the objects or the material in discharge tubes H01J37/20)}	B25J7/00	B25J7/00		803
B25J9/00	7	Programme-controlled manipulators	B25J9/00	B25J9/00		3459
B25J9/0003	8	{Home robots, i.e. small robots for domestic use}	B25J9/00	B25J9/00		791
B25J9/0006	8	{Exoskeletons, i.e. resembling a human figure}	B25J9/00	B25J9/00		4614
B25J9/0009	8	{Constructional details, e.g. manipulator supports, bases}	B25J9/00	B25J9/00		5731
B25J9/0012	9	{making use of synthetic construction materials, e.g. plastics, composites}	B25J9/00	B25J9/00		298
B25J9/0015	9	{Flexure members, i.e. parts of manipulators having a narrowed section allowing articulation by flexion}	B25J9/00	B25J9/00		315
B25J9/0018	9	{Bases fixed on ceiling, i.e. upside down manipulators}	B25J9/00	B25J9/00		344
B25J9/0021	9	{All motors in base}	B25J9/00	B25J9/00		118
B25J9/0024	9	{Wrist motors at rear part of the upper arm}	B25J9/00	B25J9/00		54
B25J9/0027	9	{Means for extending the operation range}	B25J9/00	B25J9/00		126
B25J9/003	8	{having parallel kinematics}	B25J9/00	B25J9/00		1014
B25J9/0033	9	{with kinematics chains having a prismatic joint at the base}	B25J9/00	B25J9/00		150
B25J9/0036	10	{with kinematics chains of the type prismatic-rotary-rotary}	B25J9/00	B25J9/00		83
B25J9/0039	10	{with kinematics chains of the type prismatic-spherical-spherical}	B25J9/00	B25J9/00		54
B25J9/0042	10	{with kinematics chains of the type prismatic-universal-universal}	B25J9/00	B25J9/00		65
B25J9/0045	9	{with kinematics chains having a rotary joint at the base}	B25J9/00	B25J9/00		341
B25J9/0048	10	{with kinematics chains of the type rotary-rotary-rotary}	B25J9/00	B25J9/00		295
B25J9/0051	10	{with kinematics chains of the type rotary-universal-universal or rotary-spherical-spherical, e.g. Delta type manipulators}	B25J9/00	B25J9/00		379
B25J9/0054	9	{with kinematics chains having a spherical joint at the base}	B25J9/00	B25J9/00		89
B25J9/0057	10	{with kinematics chains of the type spherical-prismatic-spherical}	B25J9/00	B25J9/00		133
B25J9/006	10	{with kinematics chains of the type spherical-prismatic-universal}	B25J9/00	B25J9/00		34
